ski.	3600	in	soa	a0.nic.ski. hostmaster.donuts.email. 1767661835 7200 900 1209600 3600
101.ski.	3600	in	rrsig	DS 8 2 3600 20260122155824 20260101145824 25581 ski. LwQITFA0CnSEmo/dqYHvtOtff7cFHA/Kl1wrgUFWskWvdFVEqxrB9y3ZrgNAPjD8BqOY4PMRj+JKyrgW8xd2QvKp6Pl3L7DeYETkpRy+L/a5O89YBQZ6HKHAyBCvg6VV87GJBeugxPrJ8s4GdbHx/9ozhapuiN3e/XXML+uAIak=
1024.ski.	3600	in	ns	jack.ns.cloudflare.com.
1024.ski.	3600	in	ns	lina.ns.cloudflare.com.
10l4lrmupu3k0hfsl119fqhg3m6fpmj6.ski.	3600	in	nsec3	1 1 0 73 17K8F8DHPCA57A4NMH3JE9JUAVOCLUC6 NS DS RRSIG
10l4lrmupu3k0hfsl119fqhg3m6fpmj6.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. gmiy0fPa4QZi/EZHMytWdFO6T8vZOBjikMyMV0LplKPuqXUCHrioQYWuhppIxO9Ass3ZY4Xxpgu+A+5s8btCcd+5LXrjScQqnOAQ9HVqckIrWTIZmkG2JA8mSDiev1I7QebCHkjysebJtYou42GLDm5g+uKlv6G7eqWJ4wZGRAg=
112.ski.	3600	in	ns	ns1.register.it.
112.ski.	3600	in	ns	ns2.register.it.
11239.ski.	3600	in	ns	derek.ns.cloudflare.com.
11239.ski.	3600	in	ns	elly.ns.cloudflare.com.
114.ski.	3600	in	ns	butterfly.dnspod.net.
114.ski.	3600	in	ns	louis.dnspod.net.
11bet.ski.	3600	in	ns	darl.ns.cloudflare.com.
11bet.ski.	3600	in	ns	jessica.ns.cloudflare.com.
123.ski.	3600	in	ns	abraham.dnspod.net.
123.ski.	3600	in	ns	madeline.dnspod.net.
1234.ski.	3600	in	ns	dns13.hichina.com.
1234.ski.	3600	in	ns	dns14.hichina.com.
123b.ski.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.ski.	3600	in	ns	sandy.ns.cloudflare.com.
123movies.ski.	3600	in	ns	3727.ns1.abovedomains.com.
123movies.ski.	3600	in	ns	3727.ns2.abovedomains.com.
12bet.ski.	3600	in	ns	aaron.ns.cloudflare.com.
12bet.ski.	3600	in	ns	ziggy.ns.cloudflare.com.
1389.ski.	3600	in	ds	51401 15 2 4E62E6497BA3B355809CB9F0C6188F4C2A9E9454DF440E27D175B2EC7A1EEABA
1389.ski.	3600	in	ds	51401 15 4 B46A4AA32BE6DAE7073F8B555229AECE37FEE972BAD46428E41F24D41DAF02510DDC4CF2D6ACF9A992FE18FE510C2147
1389.ski.	3600	in	ns	ns1.hyp.net.
1389.ski.	3600	in	ns	ns2.hyp.net.
1389.ski.	3600	in	ns	ns3.hyp.net.
1389.ski.	3600	in	rrsig	DS 8 2 3600 20260122155824 20260101145824 25581 ski. UtZSUgzYf9znWyVWxMrdjASBWUzcAUNqMBxeLZzoax97Do53T3PZR96MChYlRMgGUuAMcqmrWA+4kWJ8PvBSjrR3hZJrzWd+VTf0Wkcu7istSe6nCPFljvvnsOtFiIzTT1gD696l/VocbuuBnG8m7DOBHsH14yQ3xiS2NpJuAns=
13win.ski.	3600	in	ns	ignat.ns.cloudflare.com.
13win.ski.	3600	in	ns	ziggy.ns.cloudflare.com.
1688global.ski.	3600	in	ns	dns25.hichina.com.
1688global.ski.	3600	in	ns	dns26.hichina.com.
17k8f8dhpca57a4nmh3je9juavocluc6.ski.	3600	in	nsec3	1 1 0 73 18BGC4TTVQRUUTC43BEE6OCL2U232UP0 NS DS RRSIG
17k8f8dhpca57a4nmh3je9juavocluc6.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. OGJQF6oz55PfvFYriGOT0GfY09ZsydmUMT/Rvy76vC7YHjLI48cm1DW1p3ZdBVFuQYkDUC+iHTwJ5HabCEJBspU/25AdNxt79ft3sk5HF8Xj15ZtjgdbUua0SiYgUIBiEiJVjx6UhGVyVe2XQY+kJgvOCbXD65UY2j/VJcJMdy4=
188bet.ski.	3600	in	ns	etienne.ns.cloudflare.com.
188bet.ski.	3600	in	ns	ulla.ns.cloudflare.com.
18bgc4ttvqruutc43bee6ocl2u232up0.ski.	3600	in	nsec3	1 1 0 73 19FI0IAV3GR52LM3AUSAJO5ER6L45SI7 NS DS RRSIG
18bgc4ttvqruutc43bee6ocl2u232up0.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. B+eDUCp/Pb82sLVcYbyJ+IrEhXearfwPhjBabkizof8N6rPFXTh0o95TXY4NyrQkq1g/jsp9akW8sxsu+s7U8opZEHx8eSTYuvbf2W8aMGsh4QvCxaJCnX3gV8c8P1yaL73KLRG3fR5VgWC4kdMeHX1Tgovj6zRM1VvwB4vszq4=
19782025.ski.	3600	in	ns	cornell.dnspod.net.
19782025.ski.	3600	in	ns	orangutan.dnspod.net.
19fi0iav3gr52lm3ausajo5er6l45si7.ski.	3600	in	nsec3	1 1 0 73 1AM63C1TLO2P9RLJ56AQ3VL6UVU2T9EC NS DS RRSIG
19fi0iav3gr52lm3ausajo5er6l45si7.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. Fw7+2IAP7ievolXLQk+EmgqzvcmzOLyz7f2ZJywsprznLTBkjTW9f8GXZH0f7kDEIBwEigzfRuV9Vg0NgZmtceCK6Y0vRrDNNCFZbLWZ5ThApj6FVBYy4yQoRNcGaclQ/RT2BIpMu3pD4tvz0Xfc8VwDQ7+U2t3O1J2/3X8DIUg=
1am63c1tlo2p9rlj56aq3vl6uvu2t9ec.ski.	3600	in	nsec3	1 1 0 73 1AQMTQFHP8T7H738Q0K287RVHVFQ2B7R NS DS RRSIG
1am63c1tlo2p9rlj56aq3vl6uvu2t9ec.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. ZH5GdfYFvNWNN98jlGVciDxe7xBICQJrsdEN0MkGwyMjs+p81poe/HKM/t+gSKBj1WsT4DPMDihtDH0xvRGsb4a3Tkf7sLMLS7JuXo7+VZvSOfMIvt5jBIH+Bs6FKKu1pJgtfBbCT3tulpcsjg0T45s0VAbwYTwS4Ls9IxHjFcU=
1aqmtqfhp8t7h738q0k287rvhvfq2b7r.ski.	3600	in	nsec3	1 1 0 73 1B7Q76N9V7IIBFH8BSKEV5BURLGNHFQ5 NS DS RRSIG
1aqmtqfhp8t7h738q0k287rvhvfq2b7r.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. fpvnLLc5cCcytvW7rtxMmOLF4s6Z3xbXRzWSSCcLhjDR3KZmCFp6FoEX6O1ewcEusIL4kOVJuDx0JFjAJKbpmvzf22RMBjBh3+9MrHMJarMbbABnJxCAbTHaMBvy2SI77/KNSJFtwFAEIIrzmQJLVK8mzMwBBnkT++38Z0GZv40=
1b7q76n9v7iibfh8bskev5burlgnhfq5.ski.	3600	in	nsec3	1 1 0 73 1DBFIDIGQ8L6EI8TKSSFSL62ECRUUS5L NS DS RRSIG
1b7q76n9v7iibfh8bskev5burlgnhfq5.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. N1FN5RZg/ufbqbE1nwmav57sLVLTn5aq4ajwfIWlv3fEE8W1N4a0qvA6VDncKyRIZYMTDXrvDH7Y0/un6Dws0GVViM47ISyyCb9/p22kMUJ7MFh+7kET7xbisWPmZzUZhNTIT8nUGHnMGfSmleCLBxRmMc+PL31W0Op92Vf26oM=
1dbfidigq8l6ei8tkssfsl62ecruus5l.ski.	3600	in	nsec3	1 1 0 73 1DE62G26AMS35BE2G4P9MK4CQ0M41CEM NS DS RRSIG
1dbfidigq8l6ei8tkssfsl62ecruus5l.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. GJBFMq+tEoOjlxLMUc7/ApFzsMuzob8IngaCZlTRRpzRvhELYsxc0ILaYVDcz6yrwnqHLRc+evgyfIs+hRgmG7eN5sin/vhTFhHAOU9+4Q+hgJs/NkrNWXuL9QER8E7Y5iS/ulAJB1tCHmlqtnRxtwGYzMzMNkzOwkieXwIg/R4=
1de62g26ams35be2g4p9mk4cq0m41cem.ski.	3600	in	nsec3	1 1 0 73 1EGKGIVVP57VE382MLQAIRO3R1QBJ9CF NS DS RRSIG
1de62g26ams35be2g4p9mk4cq0m41cem.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. bxY3a4wvhyasBOB7qkPCVU8dU6Lw+mB/K2su20aJiaCBzVvz7Dn1VEvo8ufYmYY30VgqswWbXKGoaq6IYXFe8sk9etoUJg4Mq/zGLFdNO3Pt91HpONur+7uV44yP9v4iC+R1qfxrx/3r52xNg3+FxTg8pTFZMrkfgHDEKCtmltY=
1egkgivvp57ve382mlqairo3r1qbj9cf.ski.	3600	in	nsec3	1 1 0 73 1FH2HJ1BBHVQNH29DJVQ25IUDJF0OCKM NS DS RRSIG
1egkgivvp57ve382mlqairo3r1qbj9cf.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. IO6ZoQZzd5jAN2UIrnIYBVcGK/aNbds3mmXEalnJ8MD9VOpgVSKZOS7hbDppMszFOP1JGbWKMl45lNi9wuw8t9KAh91bbFJEETSJ7GBGhp1BZRde7JDwQpWBWOS1Fb4yVuOEXooFsOGdKS0JdxrQraPY5BDfomvvOl9qHs1dl4w=
1fh2hj1bbhvqnh29djvq25iudjf0ockm.ski.	3600	in	nsec3	1 1 0 73 1FHPJQRDPAJ6G0CR89IT6ETUBISGEPFM NS DS RRSIG
1fh2hj1bbhvqnh29djvq25iudjf0ockm.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. Yoa662UE+iuQl9QZVmbcvJYz1iwBiQnbrGzuYLHPmGVfygfUuLCyqU6/TBVa3w8ijbk2FpcJ0JLTqVabdHflGdHPkC4ZifvGdwlT0kpknheDO4ooULJMFypxZwxud2ltXviHFlcoOSWhi9sGouI0XS1hWOWo2BlYkqh4QOPxT1g=
1fhpjqrdpaj6g0cr89it6etubisgepfm.ski.	3600	in	nsec3	1 1 0 73 1ISLHEBSRQB0HM62HGU5JSVG94SJ9C30 NS DS RRSIG
