0072c.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 08kUEf++E3Gx0MywKLL6ZXMC9WzCMjB5oDje+i+8sMvQq+M1OVfCRIpjeldl4LPezfX0xsvFPN+5nzqGkeBfpg==
0072d.mom.	3600	in	ns	gordon.ns.cloudflare.com.
0072d.mom.	3600	in	ns	jen.ns.cloudflare.com.
0072d.mom.	900	in	nsec	0072e.mom. NS RRSIG NSEC
0072d.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. ddGuc1j0Exv/cY9flE+5aSkgORCIzHE3P0X1Q5BAsGELQGDUDCTBQLp1BtL83F/7/rd7CuSvuYz6RGleNNTfNA==
0072e.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072e.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072e.mom.	900	in	nsec	0072f.mom. NS RRSIG NSEC
0072e.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 4QkldBONab4v/20xWvl5rfnGENVwXDj5NCPu7JL/XEczPF1iZ1u2+lKbDVypA7a6VgJyf/Hm/j8l/srUI7nsxQ==
0072f.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072f.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072f.mom.	900	in	nsec	0072g.mom. NS RRSIG NSEC
0072f.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. ePmUZgsiec83QONZyZuQM9x35L+MqTu7cQkQrOt41eqIesnnFqZvPtWhZX6InSro6vfo6vSHkk3X400xEfETHQ==
0072g.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072g.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072g.mom.	900	in	nsec	0072h.mom. NS RRSIG NSEC
0072g.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. +Q4PdMNhhP1h6WL72T6t+yqU+oTQTDYfUq7AzmadcgMR9eihDfAK/9lBGu32dWaRGfMU+C26T2HZnIpmYoxPNg==
0072h.mom.	3600	in	ns	damian.ns.cloudflare.com.
0072h.mom.	3600	in	ns	jessica.ns.cloudflare.com.
0072h.mom.	900	in	nsec	0072i.mom. NS RRSIG NSEC
0072h.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 5ojRyKZaW31KfdZPIO0YC5Dd/KunsWmWJv2515J7nqsJ5Xr8VhFp/xsvZOrtQKQ9jozzuAkq5waH8zPrLhGOgw==
0072i.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072i.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072i.mom.	900	in	nsec	0072k.mom. NS RRSIG NSEC
0072i.mom.	900	in	rrsig	NSEC 13 2 900 20260211001157 20260111224157 34859 mom. WwRLBSloRA6JJYsubudiPSpKHHNwPRnRrZd4dOp1TPP1pR+PJKP2QebKwa8oEH9aGMuKjETffZaBUZP8mSZahg==
0072k.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072k.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072k.mom.	900	in	nsec	0072l.mom. NS RRSIG NSEC
0072k.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. Kt7S2N8G4zHeoTsTcpRpY6tQbES55SVi+Uo7U/7/zoTALMcQLWT5PlWttj2z5XrEj2KeZk81IomskbOiiHo0zQ==
0072l.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072l.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072l.mom.	900	in	nsec	0072m.mom. NS RRSIG NSEC
0072l.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. e9NMNfhqmsWdgP+Y1m8//XNMY23+VY+IbPjXPTLWdmNYqxl4R5QWgDpv+U7s5yRXn5G0tr2fcsRO9vMUtItUCA==
0072m.mom.	3600	in	ns	gordon.ns.cloudflare.com.
0072m.mom.	3600	in	ns	jen.ns.cloudflare.com.
0072m.mom.	900	in	nsec	0072n.mom. NS RRSIG NSEC
0072m.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. r+S7sIUL0vcPkA+bksXV5Ei+3hixqug1LrWXRVYlkRNIStXXvqWgog0HCfU5Q9FjAJNuJO78sEtv9MscqBjd8A==
0072n.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072n.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072n.mom.	900	in	nsec	0072o.mom. NS RRSIG NSEC
0072n.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. gLJ+Q063Za3uuq09XYsh29dSu5OH3t3Fz57y6sx4Bm9/1NtvH5nBM6dfb2zh1yDpfZl0NlfqG88Xbfw3KiWL4w==
0072o.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072o.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072o.mom.	900	in	nsec	0072p.mom. NS RRSIG NSEC
0072o.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. luOVi+f3QvQsTJp4q1iGrd6VarfVmgfqV9Vaj2HB4ki8oBW/cbrkYQqDvONgBDsVUPVblDEEjhsh56i7af3/0g==
0072p.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072p.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072p.mom.	900	in	nsec	0072q.mom. NS RRSIG NSEC
0072p.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. OSjaBK0ZCKj20Boy7HmPYnIwtM3Xo1WZ2uMb/Itze/hDRMzL93jqKxQ2eTE7c62/UwzBJG/86N99dmwXKj6ZgQ==
0072q.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072q.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072q.mom.	900	in	nsec	0072r.mom. NS RRSIG NSEC
0072q.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. x1clnQgNfzBlJetvPVqg1YKPe1dwhzJge5Z7Y2UAoM5iAcLJMjIzDZy5oWwOR2/GcO8r+sGI8bDMla1oCdkNLg==
0072r.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072r.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072r.mom.	900	in	nsec	0072s.mom. NS RRSIG NSEC
0072r.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. Ch5RX7WdIOuLTpjLjpJyruZ/t4hU0mwDQz1JnlCCq/Ehwfzly3v3A3d3ioz3s6xDALxoaZ2pVhF0ZgYxC/Z+KA==
0072s.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072s.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072s.mom.	900	in	nsec	0072t.mom. NS RRSIG NSEC
0072s.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. Iaz3f7irt/Jif9CBQXfam5NwR84RsHnQsGDVP5CER7z7D1nefyj+2iHx95nFAyEJpg8WN3VbbvK+TSOM5BvnHA==
0072t.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072t.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072t.mom.	900	in	nsec	0072u.mom. NS RRSIG NSEC
0072t.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. BKmfzc/k3AnxkksyLiSmA/sLOOB/d/zI3VVtRDPhPW6ABuaeP0EtuRvOkw1B9s8Y0Abq+ZTUzH1yS14jfiCUaQ==
0072u.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072u.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072u.mom.	900	in	nsec	0072v.mom. NS RRSIG NSEC
0072u.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. GA8QDvm8VC465grz1RLzpwbO59fUSYZgGP0b7q05JuRU4V8yLsZywbtg0ADhoUvSkxb4kw0jWxgVwH6/ASTELA==
0072v.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072v.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072v.mom.	900	in	nsec	0072w.mom. NS RRSIG NSEC
0072v.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. MiY74EwUCtr2UQomUKzgnpCaCVpKN3crttqXRTxpF0mRRUw6Z7j16T8Lp8Bz4WS5ubpWdNmKKBny6bYEEGLIUg==
0072w.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072w.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072w.mom.	900	in	nsec	0072x.mom. NS RRSIG NSEC
0072w.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. RkBUdVX0MZDdpeKEwbcIAOv6IqWAdFBkGHgayjeSshoBA5m96VwUjlRz69dBAYNwHrPBv3WgrBZ9xFNzbzDIfA==
0072x.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072x.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072x.mom.	900	in	nsec	0072y.mom. NS RRSIG NSEC
0072x.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. NHodFLxN2FostN6aHcJhOPxCPtsoYfGj9SCPL5jO46ixL+QjNybF/Pz+5FheN64B1Ajj/tDeqzQmQxY7cyJE4g==
0072y.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072y.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072y.mom.	900	in	nsec	0072z.mom. NS RRSIG NSEC
0072y.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. eNWqvzNIPdHifk7BvGXZdTRmEavqgo2LhkUGxJtyejq0VaOuZlcXy0YeFNeV2QPZ0xINbYrCjdN8oa+zYDIZFA==
0072z.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072z.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072z.mom.	900	in	nsec	0077.mom. NS RRSIG NSEC
0072z.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. GIGwdeSj/DOIzN3bfUnERoIv4bLZxEElpGe3VKcJIoNtZrPKPcKiNG1t6umPmuUPXihdwEGWTu/jG56dAtBIwQ==
