nexus.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2026010509 21600 3600 259200 900
02gmsfp7d05pl8vr86kntbg71kuol11r.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 02IG3N34F0K6B9LI45SIH8D7TI3H02EP NS
02gmsfp7d05pl8vr86kntbg71kuol11r.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. Et3OJn5ba0VRobsi2LQYZ4NElGPGfIkJnbLM4EtZh0IGWClx6Sw6Vjbfb9AN2IZdvaAUffv1OEmcAikAUmUWKEAEyz02tYW7QlI4tpdOoVvTQ88QNUOqQhBi95rE7vIKR2VY30ylC86fHm2RhP7DVnKB2Jeqoic153698C4QvCo=
02ig3n34f0k6b9li45sih8d7ti3h02ep.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 02VA8S15PMEUL09IT7EIPO4U2NFUBPF6 NS DS RRSIG
02ig3n34f0k6b9li45sih8d7ti3h02ep.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. Mq9U35xJoiMsUySkSHKCBeUgyqAr+khhtZJSVq/R1osTv2bF2yLMW+IIqfFXBaBTZlkiBZrgWOQ3oynYMrOXwxrs9AZ0Ml0WCJP0BKEs7oGaB4L6xLJ14I2zJME3bJaxbmeAkyn0ZpOsV/x8uAMhaCGrjH1o1R7/iz1lS3y7Q5I=
02va8s15pmeul09it7eipo4u2nfubpf6.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 035OK2M0QEF2MAJ8GO2ENIRQEEE7CVUB NS
02va8s15pmeul09it7eipo4u2nfubpf6.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. Fh9BuAnjnB4RqCe7zKD7D5lDtI1ce7rboh8uwyPCq3ylf5QxtUHuR/BfYG+84BcLx0rv4CUiJRwhagKs5GggVxpFTEwVfjOiI/gacJYhT5oHzdERZXXumnIc2AZdt7diSAe0m6dF8ZKtoYSiiyZErYzSjGxDUduMCk9dAaE3ry0=
035ok2m0qef2maj8go2enirqeee7cvub.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0361DUS6C92BQ766TKQRD0BM1FHOAIEN NS
035ok2m0qef2maj8go2enirqeee7cvub.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. ZPXPHGUWEk7uhk+u+bT25ceGulvO/PjzDDR0BEY6LtEVIXWs1C1JNFLBBpa1PbJbFRFufgKOhVWcXNE+3IaSGMparK8ZVxzcHZwKWFYygKN60fiSeHP6b4TPLi6wY3t8qniwFHa4CJLE/jtXW0o6x0gahNt4d4RQOuQLo1v1UXw=
0361dus6c92bq766tkqrd0bm1fhoaien.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 038OPH7EANH17FUOC4TR4POLV05RBJI1 NS DS RRSIG
0361dus6c92bq766tkqrd0bm1fhoaien.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. b81YsX29vmyCiBiyjZJNLvFZH6oe/flSBswKGSbeZAuZPumjFNOQY8uQqYWAxquC2qC7tuSLQNsPz/WY6AGYOoywrh0jwuEiOOvPpIojpbAWgZ/0bg4ONs/IJ7fnyxVvAZiqMdisF5tP8fd2i9V9wemicbj2mXjW4ANHkPRpAr8=
