00ab3pqiansqtlf50bm13bu0h96q4heg.beer.	900	in	rrsig	NSEC3 8 2 900 20250917062215 20250903053227 21996 beer. 0gypJ/KqCLwpBil+Geeh693gtmXd0obddl0VC8tIiaHTwNkjLGhGCNH6TV0Y+m9dQUOQEiV0lSiGzBW4BzMTqrv8A43wA1xMi4ErFbTw7nh3NNKL+oiCNXps+hgBDX1d93TNjlASLnAj609Ni63qaYI13c9zrsaebs0cStlEBoE73tqMPHoqeOWeJSUcEWhXmWdexC15RkMLPgJYics16w==
01059298.beer.	3600	in	ds	12920 13 2 2C2076597C0924615DB4767A052E4A0FFD2AB98158201716E54407E6D86EE7D7
01059298.beer.	3600	in	ns	launch1.spaceship.net.
01059298.beer.	3600	in	ns	launch2.spaceship.net.
01059298.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. R1p/Z8B0wHuqklVDcYBAGqIScQROmRlXOKYEb5BfcJrofiEfXtMXZRgMbllPinTdRucfK6HpPv5o+mWMNx4LD0/vQHfSG2ImSr3nfEyhhK9SAvBYPf1/T08fyEqq0vUnkOlCAST5DYN6JZ4u8ukqyAJEuSa1tP5Idipft9e/PRpzjk/rBZzEKCFJMP4b2BNluNPlTEaHvQLkaB9KQSiZfg==
01143895.beer.	3600	in	ds	5446 13 2 AFC920957358A0AC4041A21F637D9CC59486880F2A7C02D75EE573EEB0E78EAB
01143895.beer.	3600	in	ns	launch1.spaceship.net.
01143895.beer.	3600	in	ns	launch2.spaceship.net.
01143895.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. k/micLQf02BZPyN4u2hrKRw8rW2jg/EMmh/Dej7ZlkEScRADNALk4OMfCzD3uBd1tmIsH2qHDioCDeY8OqFL9RnKBDYRhJzXYe1Ko3/jiaNHsVLYBQKoiFSUQ2bZlSbyE3Jyu3DkGVaa2J4ePKw3sGoyaJPmBzh4S5lpwgvfded/6oQZN75CJ94cmmAX9uldaNnSC+C3R7bfn+06ZfAycg==
0119364636522.beer.	3600	in	ds	65490 13 2 9E03243D1594A38E9C0CAD2A77988BAAE55613DE76318431F6885EF1521DAB42
0119364636522.beer.	3600	in	ns	launch1.spaceship.net.
