04.boats.	3600	in	ns	maceio.ns.porkbun.com.
04.boats.	3600	in	ns	salvador.ns.porkbun.com.
040f87u.boats.	3600	in	ns	ns1.dnsip.com.
040f87u.boats.	3600	in	ns	ns2.dnsip.com.
0412a2e8ba8157be12f90a2a230f9878.boats.	3600	in	ns	ns1.csof.net.
0412a2e8ba8157be12f90a2a230f9878.boats.	3600	in	ns	ns2.csof.net.
0412a2e8ba8157be12f90a2a230f9878.boats.	3600	in	ns	ns3.csof.net.
0412a2e8ba8157be12f90a2a230f9878.boats.	3600	in	ns	ns4.csof.net.
0439mli.boats.	3600	in	ns	ns1.superdnsmanager.com.
0439mli.boats.	3600	in	ns	ns2.superdnsmanager.com.
045hcrz.boats.	3600	in	ns	ns1.dnsip.com.
045hcrz.boats.	3600	in	ns	ns2.dnsip.com.
045srcb.boats.	3600	in	ns	ns1.superdnsmanager.com.
045srcb.boats.	3600	in	ns	ns2.superdnsmanager.com.
04ckdu.boats.	3600	in	ns	ns1.alidns.com.
04ckdu.boats.	3600	in	ns	ns2.alidns.com.
04drqka.boats.	3600	in	ns	ns1.dnsip.com.
04drqka.boats.	3600	in	ns	ns2.dnsip.com.
04e14hb.boats.	3600	in	ns	ns1.dnsip.com.
04e14hb.boats.	3600	in	ns	ns2.dnsip.com.
04hy9c8.boats.	3600	in	ns	ns1.alidns.com.
04hy9c8.boats.	3600	in	ns	ns2.alidns.com.
04kt6t5.boats.	3600	in	ns	ns1.dnsip.com.
04kt6t5.boats.	3600	in	ns	ns2.dnsip.com.
04lsnoh.boats.	3600	in	ns	ns1.dnsip.com.
04lsnoh.boats.	3600	in	ns	ns2.dnsip.com.
04mi9at.boats.	3600	in	ns	ns1.alidns.com.
04mi9at.boats.	3600	in	ns	ns2.alidns.com.
04mkvjt.boats.	3600	in	ns	ns1.alidns.com.
04mkvjt.boats.	3600	in	ns	ns2.alidns.com.
04oaedn.boats.	3600	in	ns	ns1.dnsip.com.
04oaedn.boats.	3600	in	ns	ns2.dnsip.com.
04qr6qe.boats.	3600	in	ns	ns1.alidns.com.
04qr6qe.boats.	3600	in	ns	ns2.alidns.com.
04rmlpq.boats.	3600	in	ns	ns1.dnsip.com.
04rmlpq.boats.	3600	in	ns	ns2.dnsip.com.
04sdumd97kl30bobkmacbf21rs19rulq.boats.	900	in	nsec3	1 1 0 - 04THPP9E1QGM3J8DP07KS07ALA9N6O60 NS DS RRSIG
04sdumd97kl30bobkmacbf21rs19rulq.boats.	900	in	rrsig	NSEC3 8 2 900 20260120112036 20251221095036 3856 boats. d4Zk9RwusCUnpH9LaNeNFILaHMB4Pdt5cvH7s/9GHmU4VDIJJwE/cEPvyFrMO0qoVxYLx+IHnz7Mo64YsNHgk5geK+NtNDI3M7JRqjrqN1dEZcDcigs2M1n+38HxPuruZmAXN+v3vEW/FK7+I1cT6YNdD+cu9JbZFkZNmv8Eq2A=
04thpp9e1qgm3j8dp07ks07ala9n6o60.boats.	900	in	nsec3	1 1 0 - 057EV889IOIQNB5ME0EK1C823AP08VPV NS DS RRSIG
04thpp9e1qgm3j8dp07ks07ala9n6o60.boats.	900	in	rrsig	NSEC3 8 2 900 20260120112036 20251221095036 3856 boats. pOj9IrAtqAkXSVayguy56AYSOLOeuCHfbhB17iKdSKB6xiTTtxJYzih2cZzSQwymmgfR8nBALqQJZl2DeycPRJbMvP1h+4VXo8Vic/Y3qQpwyghnJdWBW3DGP1Yz2wCkyJ7dgIK8lb2DHGigXI4bGGoDVQ29JdUjWnBTNPp1Ta0=
04waztn.boats.	3600	in	ns	ns1.dnsip.com.
04waztn.boats.	3600	in	ns	ns2.dnsip.com.
04wo2t0.boats.	3600	in	ns	ns1.alidns.com.
04wo2t0.boats.	3600	in	ns	ns2.alidns.com.
04wxvqz.boats.	3600	in	ns	ns1.alidns.com.
04wxvqz.boats.	3600	in	ns	ns2.alidns.com.
04y23wy.boats.	3600	in	ns	ns1.dnsip.com.
04y23wy.boats.	3600	in	ns	ns2.dnsip.com.
04zb9g4.boats.	3600	in	ns	ns1.dnsip.com.
04zb9g4.boats.	3600	in	ns	ns2.dnsip.com.
05.boats.	3600	in	ns	curitiba.ns.porkbun.com.
05.boats.	3600	in	ns	fortaleza.ns.porkbun.com.
05.boats.	3600	in	ns	maceio.ns.porkbun.com.
05.boats.	3600	in	ns	salvador.ns.porkbun.com.
05064ob.boats.	3600	in	ns	ns1.alidns.com.
05064ob.boats.	3600	in	ns	ns2.alidns.com.
0532dq9.boats.	3600	in	ns	ns1.dnsip.com.
0532dq9.boats.	3600	in	ns	ns2.dnsip.com.
0539dkp.boats.	3600	in	ns	ns1.dnsip.com.
0539dkp.boats.	3600	in	ns	ns2.dnsip.com.
0566hu.boats.	3600	in	ns	ns1.alidns.com.
0566hu.boats.	3600	in	ns	ns2.alidns.com.
057ev889ioiqnb5me0ek1c823ap08vpv.boats.	900	in	nsec3	1 1 0 - 05AN5TGJRNABAI9G1JNVFUO4TLTSMEP5 NS DS RRSIG
057ev889ioiqnb5me0ek1c823ap08vpv.boats.	900	in	rrsig	NSEC3 8 2 900 20260123162259 20251224145259 3856 boats. e61Wn9b3HELtpllDD1vnK1pKK+eLLg79t4t3mcPbLPmc0ITtGgMTOjgoiBvkB9f3S4lDWKM8Ard2PMGcSb7CySQI/Y2l7G6WpV5RNAkjiDR1rcAAcErYmtUv/+ltEHFktdENNNW7QF3673EF3mz0TyjrF1nt9B7Ok2QelMW4RJQ=
059aov7.boats.	3600	in	ns	ns1.alidns.com.
059aov7.boats.	3600	in	ns	ns2.alidns.com.
05an5tgjrnabai9g1jnvfuo4tltsmep5.boats.	900	in	nsec3	1 1 0 - 062NE67DEH5H2RVDDJV3GL0SE5A89FEJ NS DS RRSIG
05an5tgjrnabai9g1jnvfuo4tltsmep5.boats.	900	in	rrsig	NSEC3 8 2 900 20260110151118 20251211134118 3856 boats. uV/Dk5RzzwunY2eUD8xpZl84VisqHmR5fjDjQMnmbqfSZ/6QrQzRY6V0K++kBPtWvbRF3H+MAs0jaez5ZHkpyopizqH8REz8ucqlAVWNgvn0cEuxu1r72TG1X8WkFj2l/g69/idaIvg01wWRk4GE69E8b29+1ZnZFqwE/cHbIfw=
05ecg8.boats.	3600	in	ns	ns1.alidns.com.
05ecg8.boats.	3600	in	ns	ns2.alidns.com.
05eekh.boats.	3600	in	ns	ns1.alidns.com.
05eekh.boats.	3600	in	ns	ns2.alidns.com.
05etoc.boats.	3600	in	ns	ns7.alidns.com.
05etoc.boats.	3600	in	ns	ns8.alidns.com.
05hgnpq.boats.	3600	in	ns	ns1.dnsip.com.
05hgnpq.boats.	3600	in	ns	ns2.dnsip.com.
05i71pf.boats.	3600	in	ns	ns1.alidns.com.
05i71pf.boats.	3600	in	ns	ns2.alidns.com.
05kge6r.boats.	3600	in	ns	ns1.dnsip.com.
05kge6r.boats.	3600	in	ns	ns2.dnsip.com.
05ltyuc.boats.	3600	in	ns	ns1.dnsip.com.
05ltyuc.boats.	3600	in	ns	ns2.dnsip.com.
05mnbeo.boats.	3600	in	ns	ns7.alidns.com.
05mnbeo.boats.	3600	in	ns	ns8.alidns.com.
05nhn79.boats.	3600	in	ns	ns1.alidns.com.
05nhn79.boats.	3600	in	ns	ns2.alidns.com.
05nl45w.boats.	3600	in	ns	ns1.alidns.com.
05nl45w.boats.	3600	in	ns	ns2.alidns.com.
05ofai.boats.	3600	in	ns	ns3.myhostadmin.net.
05ofai.boats.	3600	in	ns	ns4.myhostadmin.net.
05ot5v.boats.	3600	in	ns	ns1.alidns.com.
05ot5v.boats.	3600	in	ns	ns2.alidns.com.
05pj347.boats.	3600	in	ns	ns1.alidns.com.
05pj347.boats.	3600	in	ns	ns2.alidns.com.
05pzlsa.boats.	3600	in	ns	ns1.dnsip.com.
05pzlsa.boats.	3600	in	ns	ns2.dnsip.com.
05ryghj.boats.	3600	in	ns	ns1.alidns.com.
05ryghj.boats.	3600	in	ns	ns2.alidns.com.
05smaga.boats.	3600	in	ns	ns1.dnsip.com.
05smaga.boats.	3600	in	ns	ns2.dnsip.com.
05su2x.boats.	3600	in	ns	ns1.alidns.com.
05su2x.boats.	3600	in	ns	ns2.alidns.com.
05viuat.boats.	3600	in	ns	ns1.dnsip.com.
05viuat.boats.	3600	in	ns	ns2.dnsip.com.
05whm10.boats.	3600	in	ns	ns1.dnsip.com.
05whm10.boats.	3600	in	ns	ns2.dnsip.com.
05wwks0.boats.	3600	in	ns	ns1.dnsip.com.
05wwks0.boats.	3600	in	ns	ns2.dnsip.com.
05x4m4r.boats.	3600	in	ns	ns1.alidns.com.
05x4m4r.boats.	3600	in	ns	ns2.alidns.com.
06.boats.	3600	in	ns	curitiba.ns.porkbun.com.
06.boats.	3600	in	ns	fortaleza.ns.porkbun.com.
06.boats.	3600	in	ns	maceio.ns.porkbun.com.
06.boats.	3600	in	ns	salvador.ns.porkbun.com.
