163987.xn--p1acf.	3600	in	ns	ns1.regery.net.
163987.xn--p1acf.	3600	in	ns	ns2.regery.net.
163987.xn--p1acf.	3600	in	ns	ns3.regery.net.
16725.xn--p1acf.	3600	in	ns	n1.xundns.com.
16725.xn--p1acf.	3600	in	ns	n2.xundns.com.
1688.xn--p1acf.	3600	in	ns	ns1.reg.ru.
1688.xn--p1acf.	3600	in	ns	ns2.reg.ru.
16942.xn--p1acf.	3600	in	ns	n1.xundns.com.
16942.xn--p1acf.	3600	in	ns	n2.xundns.com.
17025.xn--p1acf.	3600	in	ns	ns1.reg.ru.
17025.xn--p1acf.	3600	in	ns	ns2.reg.ru.
18650.xn--p1acf.	3600	in	ns	ns1.nameself.com.
18650.xn--p1acf.	3600	in	ns	ns2.nameself.com.
1888.xn--p1acf.	3600	in	ns	ns1.tildadns.com.
1888.xn--p1acf.	3600	in	ns	ns2.tildadns.com.
1980.xn--p1acf.	3600	in	ns	a.ns.rwsh.ru.
1980.xn--p1acf.	3600	in	ns	b.ns.rwsh.ru.
1983.xn--p1acf.	3600	in	ns	ns1.hosting.reg.ru.
1983.xn--p1acf.	3600	in	ns	ns2.hosting.reg.ru.
1989.xn--p1acf.	3600	in	ns	ns1.nameself.com.
1989.xn--p1acf.	3600	in	ns	ns2.nameself.com.
2.xn--e1aogabhdboe.xn--p1acf.	3600	in	a	45.12.6.105
2020.xn--p1acf.	3600	in	ns	ns1.reg.ru.
2020.xn--p1acf.	3600	in	ns	ns2.reg.ru.
2025.xn--p1acf.	3600	in	ns	exp1.nameself.com.
2025.xn--p1acf.	3600	in	ns	exp2.nameself.com.
2026.xn--p1acf.	3600	in	ns	ns1.smartape.ru.
2026.xn--p1acf.	3600	in	ns	ns2.smartape.ru.
24365.xn--p1acf.	3600	in	ns	ns1.nameself.com.
24365.xn--p1acf.	3600	in	ns	ns2.nameself.com.
24681.xn--p1acf.	3600	in	ns	n1.xundns.com.
24681.xn--p1acf.	3600	in	ns	n2.xundns.com.
24718.xn--p1acf.	3600	in	ns	n1.xundns.com.
24718.xn--p1acf.	3600	in	ns	n2.xundns.com.
