05nv3214hjbrmgkb57q4n5f5kucf94mr.dad.	900	in	rrsig	NSEC3 8 2 900 20251022005629 20250930005629 12933 dad. rzy2pIWpRTxZ2EnayCKLu8bTr0XAiwrG9+6mrsOjxAp/9oW4Vgtrkv78d7N+3nd3fyEect9QPTmtIm2Q9d5U4e3LGXZtabaHivSBrhIMhPk235DJ+1GMBGn+mg7M8aTs+PFGHD5GrAwk+EHw5+bwkfCTFt1TCo2Yiz+DMZceVUY=
05tvpfa2o4hgome8obivnkhoo33ltpgj.dad.	900	in	nsec3	1 0 1 5448994D752CCBD6 069LDP6KR483ITSHK1J6MN9NJDE09QJ9 NS DS RRSIG
05tvpfa2o4hgome8obivnkhoo33ltpgj.dad.	900	in	rrsig	NSEC3 8 2 900 20251022005629 20250930005629 12933 dad. OwDFyKiWl5AVv0fTktWfgZs1BuKWglBMfURFfkpAc7SSQBUka92Qut2XybPnkhtktZffQZZgL1ch27CkZ1zHFZtwULLrds2GSLqwY5hu99nTeRuqqbx9FfyppHbpXltc7vC+ulxE4ZI43zdpkyNcXpxr1hDwioEr4qHKHmg94Ws=
069ldp6kr483itshk1j6mn9njde09qj9.dad.	900	in	nsec3	1 0 1 5448994D752CCBD6 06JGDKDSGQOK8GO2KCDJB9F0K69EH67K NS
069ldp6kr483itshk1j6mn9njde09qj9.dad.	900	in	rrsig	NSEC3 8 2 900 20251022005629 20250930005629 12933 dad. BUbY1VLiMSws+fmpW100H2xS90Mape7hQZ7aL/OXF7WAjw3ZP4UMiWs3njT3+5pURue2BKHIGseqXdyNzZ6Hmffi6u+/xMQF+55+skYt7NymJd3vhRRqsX9sEt2nfOl4jNeqIO7MtzJhNaJfwH9GNAuKISIhiR8J7ydsi6DBXN0=
06jgdkdsgqok8go2kcdjb9f0k69eh67k.dad.	900	in	nsec3	1 0 1 5448994D752CCBD6 07756C9A60M49KP365HE1BN2LB2A0EO2 NS
06jgdkdsgqok8go2kcdjb9f0k69eh67k.dad.	900	in	rrsig	NSEC3 8 2 900 20251022005629 20250930005629 12933 dad. mpsWDKrQ1ypkxJVWj6qWnd7wQXFHZSLwrSwagfWMgmU9UWShibIgC1hGPHo9sZrCxJ62C87G46a6ZW0VitN9M7dq2T/FsuNFDvD3aUZ+PKsJjtOb1WyrCcepyWWYfykkCxpnIlIVVSwXtouz63kLAN8Ojcrfp8h/c8AgV6bocWY=
070com.dad.	10800	in	ns	elisa.ns.cloudflare.com.
070com.dad.	10800	in	ns	mike.ns.cloudflare.com.
07756c9a60m49kp365he1bn2lb2a0eo2.dad.	900	in	nsec3	1 0 1 5448994D752CCBD6 080MPRKD7585AADE73J0HFE76ATF9PT5 NS DS RRSIG
