123sauber.jetzt.	3600	in	ns	ns.udag.org.
123steuerfrei.jetzt.	3600	in	ns	ns1027.ui-dns.org.
123steuerfrei.jetzt.	3600	in	ns	ns1039.ui-dns.com.
123steuerfrei.jetzt.	3600	in	ns	ns1065.ui-dns.de.
123steuerfrei.jetzt.	3600	in	ns	ns1088.ui-dns.biz.
12fly.jetzt.	3600	in	ns	ns1076.ui-dns.biz.
12fly.jetzt.	3600	in	ns	ns1100.ui-dns.com.
12fly.jetzt.	3600	in	ns	ns1112.ui-dns.org.
12fly.jetzt.	3600	in	ns	ns1113.ui-dns.de.
12h8cqc1qi7sb0aivmbhe7ept0d0h4qh.jetzt.	3600	in	nsec3	1 1 0 73 14SH152CJDUJTDU5251U21QG1G5FD91J NS DS RRSIG
12h8cqc1qi7sb0aivmbhe7ept0d0h4qh.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. qmvVg/psCP4dMG626Hfkse55dSb3jCWr4cYxdrUN9I77KfrMUIfnddrSiMYg2NTjr7sLIRQYyj0ks3wArUCmTwCTkGaCrsEqBfu5/y8J/33EelNL9f3O5gnzbr0UDkw06SrqErcCXcEGKJjlTHwBjodi6HEvNaw4XEDIKX1xtQg=
137.jetzt.	3600	in	ns	ns5.ns35.de.
137.jetzt.	3600	in	ns	ns6.ns35.de.
137.jetzt.	3600	in	ns	ns7.ns35.de.
137.jetzt.	3600	in	ns	ns8.ns35.de.
140zu90.jetzt.	3600	in	ns	dns1.cscdns.net.
140zu90.jetzt.	3600	in	ns	dns2.cscdns.net.
14sh152cjdujtdu5251u21qg1g5fd91j.jetzt.	3600	in	nsec3	1 1 0 73 15OOU2FK554JSTJ02SOMKV8E388CDO08 NS DS RRSIG
14sh152cjdujtdu5251u21qg1g5fd91j.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. SNS8bcbTdQO+rgb2E06Xba90IcVsFiBYmSEm8Pl2R68YLfhY3R6yx8TwAosHTgE7MnyPJdn3HYIpNdLmilV0e0WIOeNh++5tkKKgItFp59lF4cvWH/OZY9LS5w2i37PObexTB1Ev1Mu2HYxZzKR4wkgyDGma1lySkMwTVspx+Yw=
15oou2fk554jstj02somkv8e388cdo08.jetzt.	3600	in	nsec3	1 1 0 73 15P708UG9TIAV6EMQMI7EJPEITVE4S0H NS DS RRSIG
15oou2fk554jstj02somkv8e388cdo08.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. Ej2FCJyusTMAdy3MSjF+1HZRiUTHlalxEbob6kiSKhPMgaJ+8XJFre+pThtHCVZrFoSMur5d13ybC3htYwZC7arYCBfIrr7ETdZPsqUQYf2RvIh0BM0UWo038eE5eIF5oFp8pJSzps53F2CPDtttNih9zTQCaLCf6EeYMo/8AOY=
15p708ug9tiav6emqmi7ejpeitve4s0h.jetzt.	3600	in	nsec3	1 1 0 73 160SVQJRAINL120IHOSQTTT9SL5DMB0U NS DS RRSIG
15p708ug9tiav6emqmi7ejpeitve4s0h.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. idWy/QaNUr5y3YNXFnfiqcVb0mbsEZdkj3lNjDS8RiTsx1Pay2h2MaSnB7qhRdUWD27dBuhhX4p1eSu/LTpFu0Ll3oaUVw2sJCSfLnxgAxQ9Bl9ECVGVsst/+hBqD1REo0zV7YApaqtgIMOQxDvN86KIV/0Em9zJg5hoQZIRsBs=
160svqjrainl120ihosqttt9sl5dmb0u.jetzt.	3600	in	nsec3	1 1 0 73 1AS7V8JK58R0O9E6RTO2BQDOO14Q0PN8 NS DS RRSIG
160svqjrainl120ihosqttt9sl5dmb0u.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. Ii9OQsSz7D/s/vQU/HMvGUADWVyXzSVTTtcgDhgaVDZqXUTlY9YVhmOWWJj7AOBgv2Ev/aEB8ojlyTwb+N9XptTDS9EIJeWkR6pEgpMtyrW4DRrgJoJgG4DcpKphUjP/tiKuToECJODGEJXo0FeF6gcdr89pqY8y3vMDJtJffFY=
16plus.jetzt.	3600	in	ns	docks04.rzone.de.
16plus.jetzt.	3600	in	ns	shades05.rzone.de.
18-4kw.jetzt.	3600	in	ns	ns01.dns-bb.de.
18-4kw.jetzt.	3600	in	ns	ns02.dns-bb.de.
18-4kw.jetzt.	3600	in	ns	ns03.dns-bb.de.
18-4kw.jetzt.	3600	in	ns	ns04.dns-bb.de.
1800flowers.jetzt.	3600	in	ns	dns1.cscdns.net.
1800flowers.jetzt.	3600	in	ns	dns2.cscdns.net.
187.jetzt.	3600	in	ds	1302 13 2 5D00802A898EA1A4ED5AE63885CA2F5BE2FA2AD701FCE2ECE5735C29E1953CAF
187.jetzt.	3600	in	ns	ns1.lima-city.de.
187.jetzt.	3600	in	ns	ns2.lima-city.de.
187.jetzt.	3600	in	ns	ns3.lima-city.de.
