rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
ik84qum3q7mjnat0f4p3svjs8aiv8m4p.rich.	3600	in	nsec3	1 1 0 73 LJKP1HBNU642992CM49VFVNA2L6V3L7I NS DS RRSIG
ik84qum3q7mjnat0f4p3svjs8aiv8m4p.rich.	3600	in	rrsig	NSEC3 8 2 3600 20250916160320 20250826150320 12519 rich. NP7oBbZigarry01tMiwzCI+hohdpr030KzTNbohIbFJcL6tMS7+UoDZKGPFIenILJRa82rwDAka9WDkdIrqGvgNZkkKIUH0eQVTJDYYsvqS81WbeIGxeQ78sobxSEZYeflZeSznWvi2HeB96F9Q7Uc06QZE/rH/+0c+7GPWspbU=
im.rich.	3600	in	ns	curitiba.ns.porkbun.com.
im.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
im.rich.	3600	in	ns	maceio.ns.porkbun.com.
im.rich.	3600	in	ns	salvador.ns.porkbun.com.
ineos.rich.	3600	in	ns	ns1.netnames.net.
ineos.rich.	3600	in	ns	ns2.netnames.net.
ineos.rich.	3600	in	ns	ns5.netnames.net.
ineos.rich.	3600	in	ns	ns6.netnames.net.
info.rich.	3600	in	ns	ns11.dnstool.net.
info.rich.	3600	in	ns	ns12.dnstool.net.
info.rich.	3600	in	ns	ns13.dnstool.net.
instagram.rich.	3600	in	ns	a.ns.facebook.com.
instagram.rich.	3600	in	ns	b.ns.facebook.com.
instagram.rich.	3600	in	ns	c.ns.facebook.com.
instagram.rich.	3600	in	ns	d.ns.facebook.com.
is.rich.	3600	in	ns	ns01.memail-dns.com.
is.rich.	3600	in	ns	ns02.memail-dns.net.
is.rich.	3600	in	ns	ns03.memail-dns.co.uk.
is.rich.	3600	in	ns	ns04.memail-dns.org.
islot.rich.	3600	in	ns	ns1qsy.name.com.
islot.rich.	3600	in	ns	ns2dqx.name.com.
islot.rich.	3600	in	ns	ns3cjl.name.com.
islot.rich.	3600	in	ns	ns4lny.name.com.
iwannabe.rich.	3600	in	ns	ns43.domaincontrol.com.
iwannabe.rich.	3600	in	ns	ns44.domaincontrol.com.
jackpot.rich.	3600	in	ns	curitiba.ns.porkbun.com.
jackpot.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
jackpot.rich.	3600	in	ns	maceio.ns.porkbun.com.
jackpot.rich.	3600	in	ns	salvador.ns.porkbun.com.
jtwadvisors.rich.	3600	in	ns	curitiba.ns.porkbun.com.
jtwadvisors.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
jtwadvisors.rich.	3600	in	ns	maceio.ns.porkbun.com.
jtwadvisors.rich.	3600	in	ns	salvador.ns.porkbun.com.
k.rich.	3600	in	ns	ns1.dyna-ns.net.
k.rich.	3600	in	ns	ns2.dyna-ns.net.
kayak.rich.	3600	in	ns	ns1.101domain.com.
kayak.rich.	3600	in	ns	ns2.101domain.com.
keyword.rich.	3600	in	ns	ns1cwy.name.com.
keyword.rich.	3600	in	ns	ns2dqr.name.com.
keyword.rich.	3600	in	ns	ns3ckl.name.com.
keyword.rich.	3600	in	ns	ns4ksy.name.com.
kids.rich.	3600	in	ns	ns01.memail-dns.com.
kids.rich.	3600	in	ns	ns02.memail-dns.net.
kids.rich.	3600	in	ns	ns03.memail-dns.co.uk.
kids.rich.	3600	in	ns	ns04.memail-dns.org.
kindle.rich.	3600	in	ns	nsgbr.comlaude.co.uk.
kindle.rich.	3600	in	ns	nssui.comlaude.ch.
kindle.rich.	3600	in	ns	nsusa.comlaude.net.
king.rich.	3600	in	ns	asa.ns.cloudflare.com.
king.rich.	3600	in	ns	zod.ns.cloudflare.com.
linkedin.rich.	3600	in	ns	ns1-42.azure-dns.com.
linkedin.rich.	3600	in	ns	ns2-42.azure-dns.net.
linkedin.rich.	3600	in	ns	ns3-42.azure-dns.org.
linkedin.rich.	3600	in	ns	ns4-42.azure-dns.info.
ljkp1hbnu642992cm49vfvna2l6v3l7i.rich.	3600	in	nsec3	1 1 0 73 2VIHMQDAH9T3DESHKUG1JDB4NITFBR30 NS DS RRSIG
ljkp1hbnu642992cm49vfvna2l6v3l7i.rich.	3600	in	rrsig	NSEC3 8 2 3600 20250916160320 20250826150320 12519 rich. cFE7eETJmVA8mBSrxfROQinb5o8jqGM3+wOnlWYQSn9WsyQdTfw1ipRtDnUOAhSRvPRb43UVGGcGe3uyqdr22+uPIHpv5DYf5vOL9QoYTLuH5VCegaHLhgSPlZdnkTsQCeyGR3C0l3WIpR++dmvHhEF08DQ44CWEU8JjYJ9Ocjo=
local.rich.	3600	in	ns	karina.ns.cloudflare.com.
local.rich.	3600	in	ns	tosana.ns.cloudflare.com.
mail.rich.	3600	in	ns	ns01.memail-dns.com.
mail.rich.	3600	in	ns	ns02.memail-dns.net.
mail.rich.	3600	in	ns	ns03.memail-dns.co.uk.
mail.rich.	3600	in	ns	ns04.memail-dns.org.
mailbox.rich.	3600	in	ns	ns01.memail-dns.com.
mailbox.rich.	3600	in	ns	ns02.memail-dns.net.
mailbox.rich.	3600	in	ns	ns03.memail-dns.co.uk.
mailbox.rich.	3600	in	ns	ns04.memail-dns.org.
mails.rich.	3600	in	ns	ns01.memail-dns.com.
mails.rich.	3600	in	ns	ns02.memail-dns.net.
mails.rich.	3600	in	ns	ns03.memail-dns.co.uk.
mails.rich.	3600	in	ns	ns04.memail-dns.org.
markmonitor.rich.	3600	in	ns	ns1.markmonitor.com.
markmonitor.rich.	3600	in	ns	ns2.markmonitor.com.
markmonitor.rich.	3600	in	ns	ns3.markmonitor.com.
markmonitor.rich.	3600	in	ns	ns4.markmonitor.com.
markmonitor.rich.	3600	in	ns	ns5.markmonitor.com.
markmonitor.rich.	3600	in	ns	ns6.markmonitor.com.
markmonitor.rich.	3600	in	ns	ns7.markmonitor.com.
mclaren.rich.	3600	in	ns	ns1.netnames.net.
mclaren.rich.	3600	in	ns	ns2.netnames.net.
mclaren.rich.	3600	in	ns	ns5.netnames.net.
mclaren.rich.	3600	in	ns	ns6.netnames.net.
me.rich.	3600	in	ns	ns01.memail-dns.com.
me.rich.	3600	in	ns	ns02.memail-dns.net.
me.rich.	3600	in	ns	ns03.memail-dns.co.uk.
me.rich.	3600	in	ns	ns04.memail-dns.org.
media.rich.	3600	in	ns	ns1.dyna-ns.net.
media.rich.	3600	in	ns	ns2.dyna-ns.net.
mega.rich.	3600	in	ns	ns1.afternic.com.
mega.rich.	3600	in	ns	ns2.afternic.com.
meme.rich.	3600	in	ns	ns25.domaincontrol.com.
meme.rich.	3600	in	ns	ns26.domaincontrol.com.
meta.rich.	3600	in	ns	a.ns.facebook.com.
meta.rich.	3600	in	ns	b.ns.facebook.com.
meta.rich.	3600	in	ns	c.ns.facebook.com.
meta.rich.	3600	in	ns	d.ns.facebook.com.
