158.mba.	3600	in	ns	dns10.hichina.com.
158.mba.	3600	in	ns	dns9.hichina.com.
168.mba.	3600	in	ns	equuleus.dnspod.net.
168.mba.	3600	in	ns	near.dnspod.net.
1688.mba.	3600	in	ns	ns3.myhostadmin.net.
1688.mba.	3600	in	ns	ns4.myhostadmin.net.
1688global.mba.	3600	in	ns	dns11.hichina.com.
1688global.mba.	3600	in	ns	dns12.hichina.com.
1705.mba.	3600	in	ns	indie.ns.cloudflare.com.
1705.mba.	3600	in	ns	kianchau.ns.cloudflare.com.
181bet.mba.	3600	in	ns	dns101.registrar-servers.com.
181bet.mba.	3600	in	ns	dns102.registrar-servers.com.
1824.mba.	3600	in	ns	indie.ns.cloudflare.com.
1824.mba.	3600	in	ns	kianchau.ns.cloudflare.com.
188bet.mba.	3600	in	ns	ns1.dyna-ns.net.
188bet.mba.	3600	in	ns	ns2.dyna-ns.net.
18cnno8ckbmulqasjbuhfoeq6laj990i.mba.	3600	in	nsec3	1 1 0 73 18U39D91S8S1G5LL9253FSFRNQFU8M90 NS DS RRSIG
18cnno8ckbmulqasjbuhfoeq6laj990i.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. D0CJywQaLMxN/3pasC8cvYmnBelBMRsmde6rYjIFyFD+IpcvAhdbdtrukkCibn2BrWdw9BaJORmcANycf5RwK9Tw6KcHyJbhG7cZIRp92Y+/t1SPtS4n0irMLzQOOo8/aCAADf7B0qQA5vZ/UrOrZcZnysoayO8uMtC9eCMg4SQ=
18u39d91s8s1g5ll9253fsfrnqfu8m90.mba.	3600	in	nsec3	1 1 0 73 1FUIIQPAGID1E2HG7NLJ76TR7ON9H6BC NS DS RRSIG
18u39d91s8s1g5ll9253fsfrnqfu8m90.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. xNdaBBzpbgbMC4zADGfwRFLWXooboyAzTnwmmfHxFD7yorfxVY82hH1jrQnlHun8baT3yhx2lmcVoSZy6jLWM4USS4c64DFnfZTwJ+rMGILpJEH7Jr5fiuMW5+peWejYuaM7PQhSBKucKG/4jFmurzObbgGcPEB8ZE2VDjxfRn0=
1978.mba.	3600	in	ns	fabian.dnspod.net.
1978.mba.	3600	in	ns	sextans.dnspod.net.
