1800.jewelry.	3600	in	ns	maceio.ns.porkbun.com.
1800.jewelry.	3600	in	ns	salvador.ns.porkbun.com.
18k.jewelry.	3600	in	ns	pdns11.domaincontrol.com.
18k.jewelry.	3600	in	ns	pdns12.domaincontrol.com.
1928.jewelry.	3600	in	ns	ns21.domaincontrol.com.
1928.jewelry.	3600	in	ns	ns22.domaincontrol.com.
1932.jewelry.	3600	in	ns	ns1.cdnetdns.net.
1932.jewelry.	3600	in	ns	ns2.cdnetdns.net.
1994.jewelry.	3600	in	ns	pdns01.domaincontrol.com.
1994.jewelry.	3600	in	ns	pdns02.domaincontrol.com.
1euro.jewelry.	3600	in	ns	ns11.globehosting.net.
1euro.jewelry.	3600	in	ns	ns12.globehosting.net.
1gsuk3un76ouke3avur1mubj5n504k6s.jewelry.	3600	in	nsec3	1 1 0 73 1I2L76UAIRBIUIH3PBVA0LNI6BHJK169 NS DS RRSIG
1gsuk3un76ouke3avur1mubj5n504k6s.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. XOwsj6D32fc3NVQcTmFnPrLM9nzHSQ1GtUf8OUYv74t8Ik0F4KllTfZoa2JpclMlzGCa1a4j2oVhTWo6WbK3bWBlxGT9jyyQ67zfFctO9gMmnzgwiTICzI1pi4GbhNjZnwXMhzDWPrQdchy/dM6IpGUPvWOAZgYB7Ksj/rhjvM8=
1i2l76uairbiuih3pbva0lni6bhjk169.jewelry.	3600	in	nsec3	1 1 0 73 1I8U4CQITSUDQPDQA6U7HGFEBO3HIAKQ NS DS RRSIG
1i2l76uairbiuih3pbva0lni6bhjk169.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. pUNwn8Ss1XlPzL7q7sf4PlnoUonhbKlujfga/nZT6avZAvoEpCO1FeEVLUgnHcgbatwp74ppFkT6wh6WFRYDig3Ampkhw/b9VkJmjgtJTzWcwv3hVWTcGfqIwKOBFeT7xA9mR1nP8RORqO1+ns/P4TAnouk/Cxku5cPIXKdyQk8=
1i8u4cqitsudqpdqa6u7hgfebo3hiakq.jewelry.	3600	in	nsec3	1 1 0 73 1RA5M3DJ7NCJ4N57BKF3PPM94V4ND0HR NS DS RRSIG
1i8u4cqitsudqpdqa6u7hgfebo3hiakq.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. KIko5P7/0h9BW6dnPUgWUNkv4g8erkq1D/tLExRhym1YlvSg31JKj6f2OUxEOadQQviqAED8fhH3pJitHYouXfAIRMG5ENwkbRvemNoODtRSeeGiR49a8WmId2DDp4VTEFO/tzpq8FVqcruMpi4tfyRxwn6UeO7jNcuH/ec6+MU=
1ra5m3dj7ncj4n57bkf3ppm94v4nd0hr.jewelry.	3600	in	nsec3	1 1 0 73 246RFK4N3IDOE9DB2OQK5MR63RP60HH6 NS DS RRSIG
