fredperry.xn--1ck2e1b.	3600	in	ns	ns7.markmonitor.com.
get.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.co.uk.
get.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.com.
get.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.net.
get.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.org.
get.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.co.uk.
get.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.com.
get.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.net.
get.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.org.
gofundme.xn--1ck2e1b.	3600	in	ns	ns1.lexsynergy.net.
gofundme.xn--1ck2e1b.	3600	in	ns	ns2.lexsynergy.us.
gofundme.xn--1ck2e1b.	3600	in	ns	ns3.lexsynergy.info.
hogan.xn--1ck2e1b.	3600	in	ns	ns1.barbero.zone.
hogan.xn--1ck2e1b.	3600	in	ns	ns2.barbero.zone.
idilis.xn--1ck2e1b.	3600	in	ns	dns1.cscdns.net.
idilis.xn--1ck2e1b.	3600	in	ns	dns2.cscdns.net.
ipad.xn--1ck2e1b.	3600	in	ns	a.ns.apple.com.
ipad.xn--1ck2e1b.	3600	in	ns	b.ns.apple.com.
ipad.xn--1ck2e1b.	3600	in	ns	c.ns.apple.com.
ipad.xn--1ck2e1b.	3600	in	ns	d.ns.apple.com.
iphone.xn--1ck2e1b.	3600	in	ns	a.ns.apple.com.
iphone.xn--1ck2e1b.	3600	in	ns	b.ns.apple.com.
iphone.xn--1ck2e1b.	3600	in	ns	c.ns.apple.com.
iphone.xn--1ck2e1b.	3600	in	ns	d.ns.apple.com.
ipod.xn--1ck2e1b.	3600	in	ns	a.ns.apple.com.
ipod.xn--1ck2e1b.	3600	in	ns	b.ns.apple.com.
ipod.xn--1ck2e1b.	3600	in	ns	c.ns.apple.com.
ipod.xn--1ck2e1b.	3600	in	ns	d.ns.apple.com.
junglee.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
junglee.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
junglee.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
kindle.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
kindle.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
kindle.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
line.xn--1ck2e1b.	3600	in	ns	adns1.naver.com.
line.xn--1ck2e1b.	3600	in	ns	adns2.naver.com.
line.xn--1ck2e1b.	3600	in	ns	ns1.naver.jp.
line.xn--1ck2e1b.	3600	in	ns	ns2.naver.jp.
lohaco.xn--1ck2e1b.	3600	in	ns	ns1.lexsynergy.net.
lohaco.xn--1ck2e1b.	3600	in	ns	ns2.lexsynergy.us.
lohaco.xn--1ck2e1b.	3600	in	ns	ns3.lexsynergy.info.
mac.xn--1ck2e1b.	3600	in	ns	a.ns.apple.com.
mac.xn--1ck2e1b.	3600	in	ns	b.ns.apple.com.
mac.xn--1ck2e1b.	3600	in	ns	c.ns.apple.com.
mac.xn--1ck2e1b.	3600	in	ns	d.ns.apple.com.
macbook.xn--1ck2e1b.	3600	in	ns	a.ns.apple.com.
macbook.xn--1ck2e1b.	3600	in	ns	b.ns.apple.com.
macbook.xn--1ck2e1b.	3600	in	ns	c.ns.apple.com.
macbook.xn--1ck2e1b.	3600	in	ns	d.ns.apple.com.
macintosh.xn--1ck2e1b.	3600	in	ns	a.ns.apple.com.
macintosh.xn--1ck2e1b.	3600	in	ns	b.ns.apple.com.
macintosh.xn--1ck2e1b.	3600	in	ns	c.ns.apple.com.
macintosh.xn--1ck2e1b.	3600	in	ns	d.ns.apple.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns1.markmonitor.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns2.markmonitor.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns3.markmonitor.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns4.markmonitor.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns5.markmonitor.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns6.markmonitor.com.
manoloblahnik.xn--1ck2e1b.	3600	in	ns	ns7.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns1.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns2.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns3.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns4.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns5.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns6.markmonitor.com.
markmonitor.xn--1ck2e1b.	3600	in	ns	ns7.markmonitor.com.
mathworks.xn--1ck2e1b.	3600	in	ns	ns-1391.awsdns-45.org.
mathworks.xn--1ck2e1b.	3600	in	ns	ns-1546.awsdns-01.co.uk.
mathworks.xn--1ck2e1b.	3600	in	ns	ns-460.awsdns-57.com.
mathworks.xn--1ck2e1b.	3600	in	ns	ns-758.awsdns-30.net.
matlab.xn--1ck2e1b.	3600	in	ns	ns-1507.awsdns-60.org.
matlab.xn--1ck2e1b.	3600	in	ns	ns-1651.awsdns-14.co.uk.
matlab.xn--1ck2e1b.	3600	in	ns	ns-352.awsdns-44.com.
