123movies.builders.	3600	in	ns	fortaleza.ns.porkbun.com.
123movies.builders.	3600	in	ns	maceio.ns.porkbun.com.
123movies.builders.	3600	in	ns	salvador.ns.porkbun.com.
123ramtruck.builders.	3600	in	ns	ns67.domaincontrol.com.
123ramtruck.builders.	3600	in	ns	ns68.domaincontrol.com.
12764.builders.	3600	in	ns	ns1.dnsip.com.
12764.builders.	3600	in	ns	ns2.dnsip.com.
12850.builders.	3600	in	ns	n1.xundns.com.
12850.builders.	3600	in	ns	n2.xundns.com.
12995.builders.	3600	in	ns	n1.xundns.com.
12995.builders.	3600	in	ns	n2.xundns.com.
12bet.builders.	3600	in	ns	leonard.ns.cloudflare.com.
12bet.builders.	3600	in	ns	susan.ns.cloudflare.com.
13032.builders.	3600	in	ns	n1.xundns.com.
13032.builders.	3600	in	ns	n2.xundns.com.
13763.builders.	3600	in	ns	n1.xundns.com.
13763.builders.	3600	in	ns	n2.xundns.com.
13794.builders.	3600	in	ns	ns1.dnsip.com.
13794.builders.	3600	in	ns	ns2.dnsip.com.
13iao785nurjo6k1h8l4joo5m46suifm.builders.	3600	in	nsec3	1 1 0 73 154AVFDD6EBHB7IBRFNEOFCLCEAI5I72 NS DS RRSIG
13iao785nurjo6k1h8l4joo5m46suifm.builders.	3600	in	rrsig	NSEC3 8 2 3600 20251022152537 20251001142537 50079 builders. C/Wc7a4WbiL92VlPIbpXOHg2LvgDHAtByWcSfrYviPJKgoXHvZErO3v4n3ELfDq/NtTwaZTwIhA7IHGSMNLzr0aOsi0A6IUv+hme+fozSfxteEnfXbuC68rUEQjpaT76m8c7ZCp+f0ELIDQ4co79pexw8MTwWDA48kbuWnnO6Io=
14156.builders.	3600	in	ns	n1.xundns.com.
14156.builders.	3600	in	ns	n2.xundns.com.
14239.builders.	3600	in	ns	ns1.dnsip.com.
14239.builders.	3600	in	ns	ns2.dnsip.com.
14368.builders.	3600	in	ns	n1.xundns.com.
14368.builders.	3600	in	ns	n2.xundns.com.
14468.builders.	3600	in	ns	n1.xundns.com.
14468.builders.	3600	in	ns	n2.xundns.com.
14505.builders.	3600	in	ns	ns1.dnsip.com.
14505.builders.	3600	in	ns	ns2.dnsip.com.
14528.builders.	3600	in	ns	ns1.dnsip.com.
14528.builders.	3600	in	ns	ns2.dnsip.com.
14638.builders.	3600	in	ns	n1.xundns.com.
14638.builders.	3600	in	ns	n2.xundns.com.
14914.builders.	3600	in	ns	ns1.dnsip.com.
14914.builders.	3600	in	ns	ns2.dnsip.com.
15075.builders.	3600	in	ns	ns1.dnsip.com.
15075.builders.	3600	in	ns	ns2.dnsip.com.
15129.builders.	3600	in	ns	ns1.dnsip.com.
15129.builders.	3600	in	ns	ns2.dnsip.com.
15185.builders.	3600	in	ns	n1.xundns.com.
15185.builders.	3600	in	ns	n2.xundns.com.
15221.builders.	3600	in	ns	ns1.dyna-ns.net.
15221.builders.	3600	in	ns	ns2.dyna-ns.net.
15267.builders.	3600	in	ns	n1.xundns.com.
15267.builders.	3600	in	ns	n2.xundns.com.
154avfdd6ebhb7ibrfneofclceai5i72.builders.	3600	in	nsec3	1 1 0 73 17CQKPHL5MBE6JR7V1D1NRUH03SRN1V4 NS DS RRSIG
154avfdd6ebhb7ibrfneofclceai5i72.builders.	3600	in	rrsig	NSEC3 8 2 3600 20251022152537 20251001142537 50079 builders. WqLPBzB000jGfxOUnZijo8ldpccFf0+xW7jDZe9GzOgk4WjR28OlSFLi7u10jiZRrZj0u0uHIpso6hVZA/ETQ/olqZaGRSYqbLrM0BTcSnDIKD2xApPrH2/BBmgbKqNYdQQfp0FJa2JPVT19cIPzhb8+ZVDh4vVMmBzsj0yqwpM=
15675.builders.	3600	in	ns	ns1.dnsip.com.
15675.builders.	3600	in	ns	ns2.dnsip.com.
15752.builders.	3600	in	ns	n1.xundns.com.
15752.builders.	3600	in	ns	n2.xundns.com.
15958.builders.	3600	in	ns	n1.xundns.com.
15958.builders.	3600	in	ns	n2.xundns.com.
16011.builders.	3600	in	ns	n1.xundns.com.
16011.builders.	3600	in	ns	n2.xundns.com.
16030.builders.	3600	in	ns	n1.xundns.com.
16030.builders.	3600	in	ns	n2.xundns.com.
16238.builders.	3600	in	ns	n1.xundns.com.
16238.builders.	3600	in	ns	n2.xundns.com.
16306.builders.	3600	in	ns	n1.xundns.com.
16306.builders.	3600	in	ns	n2.xundns.com.
16346.builders.	3600	in	ns	ns1.dnsip.com.
16346.builders.	3600	in	ns	ns2.dnsip.com.
16390.builders.	3600	in	ns	n1.xundns.com.
16390.builders.	3600	in	ns	n2.xundns.com.
168kingdom.builders.	3600	in	ns	ns1hwy.name.com.
168kingdom.builders.	3600	in	ns	ns2lns.name.com.
168kingdom.builders.	3600	in	ns	ns3dgr.name.com.
168kingdom.builders.	3600	in	ns	ns4lrt.name.com.
17199.builders.	3600	in	ns	ns1.dnsip.com.
17199.builders.	3600	in	ns	ns2.dnsip.com.
17253.builders.	3600	in	ns	n1.xundns.com.
17253.builders.	3600	in	ns	n2.xundns.com.
17267.builders.	3600	in	ns	ns1.dnsip.com.
17267.builders.	3600	in	ns	ns2.dnsip.com.
17393.builders.	3600	in	ns	n1.xundns.com.
17393.builders.	3600	in	ns	n2.xundns.com.
17395.builders.	3600	in	ns	n1.xundns.com.
17395.builders.	3600	in	ns	n2.xundns.com.
17419.builders.	3600	in	ns	ns1.dnsip.com.
17419.builders.	3600	in	ns	ns2.dnsip.com.
17470.builders.	3600	in	ns	ns1.dnsip.com.
17470.builders.	3600	in	ns	ns2.dnsip.com.
17493.builders.	3600	in	ns	n1.xundns.com.
17493.builders.	3600	in	ns	n2.xundns.com.
17689.builders.	3600	in	ns	n1.xundns.com.
17689.builders.	3600	in	ns	n2.xundns.com.
17749.builders.	3600	in	ns	ns1.dnsip.com.
17749.builders.	3600	in	ns	ns2.dnsip.com.
17890.builders.	3600	in	ns	n1.xundns.com.
17890.builders.	3600	in	ns	n2.xundns.com.
17942.builders.	3600	in	ns	n1.xundns.com.
17942.builders.	3600	in	ns	n2.xundns.com.
17cqkphl5mbe6jr7v1d1nruh03srn1v4.builders.	3600	in	nsec3	1 1 0 73 1BFG6PKCKPA69U2KFH5HGHTJMGB4E9GL NS DS RRSIG
17cqkphl5mbe6jr7v1d1nruh03srn1v4.builders.	3600	in	rrsig	NSEC3 8 2 3600 20251022152537 20251001142537 50079 builders. BLQ4Jhxh7yRsFWGGsj0x8+fTY57L4KS6YQ/yf7n8+uONHAgZzlfvMdpbLo9sWonwDRC3uLDIi0ptjcx5XeAnZjmGO1+RTjEVRY+A9/UgdPRLm76FicDxUK/Kn+Gvy/cmcy88tF9fgq2FKrVjbQ8mRHBgpXSMezqs6uSaDL2r53s=
1800.builders.	3600	in	ns	curitiba.ns.porkbun.com.
1800.builders.	3600	in	ns	fortaleza.ns.porkbun.com.
1800.builders.	3600	in	ns	maceio.ns.porkbun.com.
1800.builders.	3600	in	ns	salvador.ns.porkbun.com.
18154.builders.	3600	in	ns	ns1.dnsip.com.
18154.builders.	3600	in	ns	ns2.dnsip.com.
18240.builders.	3600	in	ns	ns1.dnsip.com.
18240.builders.	3600	in	ns	ns2.dnsip.com.
18435.builders.	3600	in	ns	ns1.dnsip.com.
18435.builders.	3600	in	ns	ns2.dnsip.com.
1858.builders.	3600	in	ns	ns1.bluehost.com.
1858.builders.	3600	in	ns	ns2.bluehost.com.
18768.builders.	3600	in	ns	n1.xundns.com.
18768.builders.	3600	in	ns	n2.xundns.com.
1889.builders.	3600	in	ns	ns35.domaincontrol.com.
1889.builders.	3600	in	ns	ns36.domaincontrol.com.
18893.builders.	3600	in	ns	n1.xundns.com.
18893.builders.	3600	in	ns	n2.xundns.com.
188bet.builders.	3600	in	ds	15768 13 2 267C533DA31719813629A5819941B939B4D5381ED607468019C396905EAF3450
188bet.builders.	3600	in	ns	launch1.spaceship.net.
