3gmsjfdkn7selopqb744032fe0gvepto.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922010836 20250908004532 38904 vodka. E3M9VyXkpXUDQKaQ0dQULCvF2DiaQ/oV0C+e4RsSZWRpixjDiEUO8LRG4NXSe/lPQcd7T82uRHGHS8ov/3eP0J56XiAj60nkPDREzlT57m+/YwW+pAuzUOkveg355ilGX3xyzHyBQauqXneudMKJLHaTXmG10nffvYjiBl3iIOKtrfCndSMMFEWXebFtA57NpUDvocgQaGVnbhGuDUeI9w==
3kl7g5bn5holqic7qv7kdap5u6lpj1fj.vodka.	900	in	nsec3	1 1 0 - 41THLSH2GQ3G359RK2T9KJUIR650GG0A NS DS RRSIG
3kl7g5bn5holqic7qv7kdap5u6lpj1fj.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922010836 20250908004532 38904 vodka. SSd2piAKxIL2nhsFfz5VL3a7It1VEGVBTgrnQWR8v4FDcNTHDTNj+HXgNQOjJ+0pGmlHx/gfUDKAUl+e8NSSPKoeUP9CbyiB8/1Xnjvsho7m592Ls/PUPhmJ7Tjn4ZgZn7R23v1I6Z9ROO71sIVN44JTtv98Fcvsf91M6TIHYrWsfcqaGSdoumYHgRAXpHAltVWL0zGxTCrexLjX1hx+Uw==
404.vodka.	3600	in	ns	ns1.gcorelabs.net.
404.vodka.	3600	in	ns	ns2.gcdn.services.
41thlsh2gq3g359rk2t9kjuir650gg0a.vodka.	900	in	nsec3	1 1 0 - 4DEFLDR6DVT8VSBI7GE55KJ58MPMOF0F TXT RRSIG
41thlsh2gq3g359rk2t9kjuir650gg0a.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921193330 20250907193305 38904 vodka. KyxIAA/AhxL206Xz4U3JmuqfKmpc1X5boDlCeFH3Z9ojjsnUg7B2b7jH5u+BsGmJmOY+VOHGcPQTPUUy8ywQlk7CAaXO5XSjGeUFL5C9twMkytsI12RcCaYVP2HF+8RAc58Y9E25vCjPCjKCXc+I4WuFzJih4X/Zbu1cAT12axd3c4q8F5K+XlmrhlCtwdFs6RWn8rFLnhCOJ0nIwhzAPg==
42.vodka.	3600	in	ns	arushi.ns.cloudflare.com.
42.vodka.	3600	in	ns	lakas.ns.cloudflare.com.
444.vodka.	172800	in	ns	ns1.world4you.at.
444.vodka.	172800	in	ns	ns2.world4you.at.
44north.vodka.	3600	in	ns	ns07.domaincontrol.com.
44north.vodka.	3600	in	ns	ns08.domaincontrol.com.
4defldr6dvt8vsbi7ge55kj58mpmof0f.vodka.	900	in	nsec3	1 1 0 - 4HCBJ0VF5EJVO7PODK3GK3TRFAJ6R046 NS DS RRSIG
4defldr6dvt8vsbi7ge55kj58mpmof0f.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921041018 20250907033639 38904 vodka. Pwlif5kN4B6IDxCNBhIL+n59UHZTSKQXd/ENzirXBUtcWM5dEvb8OZ/lDY965GPSgg5Zi/A2y1pAo5SH5vifcbMbjt6FGHSU+1MrCXybEqD0G10/tKbOo3YnHHVr+Kuo8XSvatxZkT1rIsI0MgzgqCl8iFsv3cDnybGhrOY0lCA6pz0ww/ybxS4usMem/xVsUMxyVX0/qkZGckZ0s2kvIg==
4hcbj0vf5ejvo7podk3gk3trfaj6r046.vodka.	900	in	nsec3	1 1 0 - 4OQKLONMKUE33Q5ILRSL1O091BRIDMR5 NS DS RRSIG
4hcbj0vf5ejvo7podk3gk3trfaj6r046.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922205108 20250908203529 38904 vodka. OJ0zPG/XL5/kCSl+mk8ZAeUdjIxCdLcy4VXF8/IXSwEunDc3EiME4MQQROBeTFYqh85CMjHhXJuHSBI1ipcpdyGONoI9dcNX42DjVq77RCU6wmeoJCMzIYUqGc/wxi7KGB0MzbYWzHDCLGugIrOnaPLDBQ72lGU/biukN5sGzBsbHSXkNsddJ74tWz50s6BxEniQUUwFi9Ui6d90jta9Wg==
4oqklonmkue33q5ilrsl1o091bridmr5.vodka.	900	in	nsec3	1 1 0 - 4RVQ63C29O8TLD4T8IRJ0KLL9MN7JBBL NS DS RRSIG
4oqklonmkue33q5ilrsl1o091bridmr5.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922205108 20250908203529 38904 vodka. g+sQL4Quo9fvMN1OUNA5wJ58scRXWoWJga+XKErN9aooeswzax25LWESjFwdWV9FK1SY64S6KG2O55ltYOR4ZTWx8NkucqjYUXDzSY2W5ZdulWQt/0DGlH0gEAmCKZxNw7VAYaGYdzkBhV0PAHjavqGuRPYc9DaY+JfOpUFwxLBOboLvPOpUcB4SLKaz+Nd8b0Tmdl34/i1WmBHwOPuVNQ==
4rvq63c29o8tld4t8irj0kll9mn7jbbl.vodka.	900	in	nsec3	1 1 0 - 5L7HUVRH7U6VD8A7IU8206L3V4HJ1RHB NS DS RRSIG
4rvq63c29o8tld4t8irj0kll9mn7jbbl.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922110612 20250908102352 38904 vodka. fw+EOFY2TLSPedn/FGHj+Ilfr7YY67ZiQIDrGJreDkq4YwiF9JzyRb/AgdnZGgkS+x61bUA/OjAeCKKVu8WzCeDXn9oz9k+5LN3b+N7gDimgoRpj/XzawgafOpTk+YQVB5r6nhZFh3FLRoKnwYWulPdlEJe+of+KRyBwDRj5uKTqSfE6AQyobn6aqVUxb5SEAvJHtRUGFrBXXyMvCQ+R6A==
50cal.vodka.	3600	in	ns	ns29.domaincontrol.com.
50cal.vodka.	3600	in	ns	ns30.domaincontrol.com.
57.vodka.	172800	in	ns	ns43.domaincontrol.com.
57.vodka.	172800	in	ns	ns44.domaincontrol.com.
5l7huvrh7u6vd8a7iu8206l3v4hj1rhb.vodka.	900	in	nsec3	1 1 0 - 5UMSM3CGE98LT2OKTIBLTSC2OC1DGIK7 NS DS RRSIG
5l7huvrh7u6vd8a7iu8206l3v4hj1rhb.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922010007 20250908005203 38904 vodka. jCz0337L7QDIil2cZdTfQ0McUZaw4dOYr/8EKr49EkON2lVDdw0aLboxHaaDcWTYTWe0Z7fsBIKuRvfs7bNvTLzXDgNmujO05DgyhgsF24wENj5YCtp/haB/BIFXfx32NRDf+xMyI8331IAe8UMNJq0UUIWQVRALO7hyOp7sLoPqh+9JBVYtZh3Fn/B+Bu3EeYovcmJI8IMH1UFRkD4H6w==
5umsm3cge98lt2oktibltsc2oc1dgik7.vodka.	900	in	nsec3	1 1 0 - 65TE79BNHAKVE7QI1O3ST35EQJCQBI2M NS DS RRSIG
5umsm3cge98lt2oktibltsc2oc1dgik7.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921095052 20250907091508 38904 vodka. b+FWr3RJnhtcQHyS5z6sxU4btZebkH8694oVQVyobistNsq0hX1biW/G+jbshnI0siyjnFbMF0Hn2ifBydsax7ZYwqEQii8ytTp7DnWyuN1tsNiw5m+uUCI63psWd8t3G7TsT5JGbH1ED6SAb9XGJTe/k4Alvkc7ydP28Cts8PHNoJkmZ8A/S4uoaZnmdJX44Ea5GL4gPNx/WxUwaxajZQ==
631.vodka.	3600	in	ns	ns15.domaincontrol.com.
631.vodka.	3600	in	ns	ns16.domaincontrol.com.
65te79bnhakve7qi1o3st35eqjcqbi2m.vodka.	900	in	nsec3	1 1 0 - 6SMDRM7LSNG3SRSET198O67GEPA2MUKB NS DS RRSIG
65te79bnhakve7qi1o3st35eqjcqbi2m.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921095052 20250907091508 38904 vodka. Cq4W5uxvdfU24USQuhDaLTxb9fh0RZucAk5u5RGW9h87FLPoLQfd4X6XnktZKdpjpoYz795PwI7poNauZlcI2nLswebp7ecj7rR+7l5t3x+yH7AOpgKgBvRKX8P3aoq9Fb6HRwuwhCBVzXO2D0SOMFyk+jym62Q19jPo19nI+GdEz4DMd0QY1rd5RkPVKVcj7TkI7TI99dQwHeDqQ9chcg==
6686.vodka.	3600	in	ns	aria.ns.cloudflare.com.
6686.vodka.	3600	in	ns	jerome.ns.cloudflare.com.
69vn.vodka.	3600	in	ns	bryce.ns.cloudflare.com.
69vn.vodka.	3600	in	ns	margot.ns.cloudflare.com.
6of1.vodka.	172800	in	ns	dns1.p08.nsone.net.
6of1.vodka.	172800	in	ns	dns2.p08.nsone.net.
6of1.vodka.	172800	in	ns	dns3.p08.nsone.net.
6of1.vodka.	172800	in	ns	dns4.p08.nsone.net.
6of1.vodka.	172800	in	ns	ns01.squarespacedns.com.
6of1.vodka.	172800	in	ns	ns02.squarespacedns.com.
6of1.vodka.	172800	in	ns	ns03.squarespacedns.com.
6of1.vodka.	172800	in	ns	ns04.squarespacedns.com.
6smdrm7lsng3srset198o67gepa2mukb.vodka.	900	in	nsec3	1 1 0 - 7R89LSM4DBAA43371PCBFKPHAV4D5M2S NS DS RRSIG
6smdrm7lsng3srset198o67gepa2mukb.vodka.	900	in	rrsig	NSEC3 8 2 900 20250923083200 20250909073753 38904 vodka. Gmtr4QF0cceklbeXA26TTCrp5STMnsXtE6T5J1w7CYI8zlAtpr6FLk5qYj9gVEvSJMT+kYheGkc2DWM+22Jfhr8RqEXI3T9135bNHpKAefhkBxMst0L6HxM3stSOifzmY+TqYZX4DPugYucnJIK2LG/SJTf5UX7qi5kadw2iMH1nwKgK8LZunvKW5f+Xbm8kXh5LVzDaqPRIu4Df2KnjZg==
6tj.vodka.	3600	in	ns	denver.ns.cloudflare.com.
6tj.vodka.	3600	in	ns	hadlee.ns.cloudflare.com.
7.vodka.	3600	in	ns	ns41.domaincontrol.com.
7.vodka.	3600	in	ns	ns42.domaincontrol.com.
721.vodka.	3600	in	ns	ns1.siteground.net.
721.vodka.	3600	in	ns	ns2.siteground.net.
73.vodka.	172800	in	ns	dns1.registrar-servers.com.
73.vodka.	172800	in	ns	dns2.registrar-servers.com.
777.vodka.	3600	in	ns	dns1.registrar-servers.com.
777.vodka.	3600	in	ns	dns2.registrar-servers.com.
789club.vodka.	3600	in	ns	bill.ns.cloudflare.com.
789club.vodka.	3600	in	ns	gracie.ns.cloudflare.com.
789p.vodka.	3600	in	ns	bryce.ns.cloudflare.com.
789p.vodka.	3600	in	ns	margot.ns.cloudflare.com.
789win.vodka.	3600	in	ns	becky.ns.cloudflare.com.
789win.vodka.	3600	in	ns	rene.ns.cloudflare.com.
78win.vodka.	3600	in	ns	bella.ns.cloudflare.com.
78win.vodka.	3600	in	ns	sam.ns.cloudflare.com.
79king.vodka.	3600	in	ns	maxine.ns.cloudflare.com.
79king.vodka.	3600	in	ns	sevki.ns.cloudflare.com.
7l.vodka.	3600	in	ns	chloe.ns.cloudflare.com.
7l.vodka.	3600	in	ns	robert.ns.cloudflare.com.
