025174.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. Q52VItZvdWRpUX5MGKzfjKqNu03I2szOonUCIGN+IMjwnBSbK6zC0yM1WnXzBHeGA9mgu7uFWjDTgOtw+eN+7w==
026162.christmas.	3600	in	ds	56521 13 2 EAB760C564F47C315D8246DD8D77062AF3A6BC6207875C1127CD0073B2B4587A
026162.christmas.	3600	in	ns	launch1.spaceship.net.
026162.christmas.	3600	in	ns	launch2.spaceship.net.
026162.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. HhmU/Sfku3QFO2Tz0YadtHwwvcVXrcdQN5mf1R0Dtz85PYTAG5s2KLfQ/B7PQNFj1j5D4jr0rTJRPT+PltcZTA==
026162.christmas.	900	in	nsec	026511.christmas. NS DS RRSIG NSEC
026162.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. bveXh3fvPXoCgTL2cC16321b4w4MItKudpesUUnXLwZBrOId5Q4N4eKecgPHcAEFgtTpBeZ26oD6Q50bcBdK6w==
026511.christmas.	3600	in	ds	23185 13 2 683712DABF03083715028B3BFC3F1CF19BA9C4D4A71DB8467927FDBD0B238341
026511.christmas.	3600	in	ns	launch1.spaceship.net.
026511.christmas.	3600	in	ns	launch2.spaceship.net.
026511.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. mBbX8CjaiwtJx7/SMqhxuZ2Ck1kTdGwI0z/YqJeQGlO7L70DUJC8a2Xm+hoiIvR0j0O8vnDj88L0Nu4ZSHSMYA==
026511.christmas.	900	in	nsec	02lzumf.christmas. NS DS RRSIG NSEC
026511.christmas.	900	in	rrsig	NSEC 13 2 900 20260211061830 20260112044830 58362 christmas. 7/XBQRQi7s9abvjvUo1MLkM51yhB8T/N72OUlVaufow/0REtBi6oqFOgU1BnNtPUa2gkw5QFUkx+3jcp55p6Jw==
02lzumf.christmas.	3600	in	ds	4346 13 2 610AD2C078E1E793EF7BD71AE62040D10275CF3754DEF0485A382F2C68EBDD71
02lzumf.christmas.	3600	in	ns	launch1.spaceship.net.
02lzumf.christmas.	3600	in	ns	launch2.spaceship.net.
02lzumf.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. ogClTl6F7ErzW5ieku3MFDqFpYUSrJaU3H9BDcajnhL4XvA2KaEJwkrKZ4mqrn2F4fQ9Z5le8VulBj0NQ8DvPQ==
02lzumf.christmas.	900	in	nsec	031213.christmas. NS DS RRSIG NSEC
02lzumf.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. NbN+tVQoSEdGUjIJokeSblfnHU2O+emq6YsD375n9g5RjjemP1tCL2/rVj2UbIaQEVrAsnQnxohqQmMjJAwRAA==
031213.christmas.	3600	in	ds	37302 13 2 F33BB670DE0CEF9CD33F26BC1903E262B417CC42B228699E5C5A961E0B8BFF5B
031213.christmas.	3600	in	ns	launch1.spaceship.net.
031213.christmas.	3600	in	ns	launch2.spaceship.net.
031213.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. m19L4R8TIeF0GeFyTwy+yGXxye4x/UayiAfQVp1E0c1/Q7k8j0wY93jf2Aap6PgkeGItq1bCIzrqnBXi4h9tHg==
031213.christmas.	900	in	nsec	040932.christmas. NS DS RRSIG NSEC
