0ff87vavdfmcntmjdkfti695cgf87s5s.tips.	3600	in	nsec3	1 1 0 73 0G0VMGHHBJ877C25NAOVI2497M99A5SG NS DS RRSIG
0ff87vavdfmcntmjdkfti695cgf87s5s.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. TMnKEYjp9jNx6AIrnaC0SXwHz8u7xzBc1wJgjloVcNtZdbK+xjieVnNDgJMA1UQwKacp4+d7yApVcnwsqoKCOcdayIG6JvNNZdKCWpQZJwZc3nlCLQhQ1MKLSJNl5G637nIoqcve+DFXzxQxc7ivCGTfjGznVUv4SMlg8CA6Uk0=
0g0vmghhbj877c25naovi2497m99a5sg.tips.	3600	in	nsec3	1 1 0 73 0HUA6LKU1L14K204GS1U9OA6A7E8G26J NS DS RRSIG
0g0vmghhbj877c25naovi2497m99a5sg.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. gTrVN/Wt9zwho3w9Lp4Ql4ad3d1eWLp9ArmGVDf45Qt3t7c+Cm3lgOWRfOZ+PUQRNjkQd9RSYtpjE+2afTOt65q7ZmOf66q+G0xAZjn6Me3QG3vZmTH/ff0oeKNmc9+mQNAzArGEx38zQrI0Qq4lcLDD7JA3sMDpZdoH823c6qM=
0hua6lku1l14k204gs1u9oa6a7e8g26j.tips.	3600	in	nsec3	1 1 0 73 0IO56SNH2R7UV4FSRP4QF4R39TNR7F86 NS DS RRSIG
0hua6lku1l14k204gs1u9oa6a7e8g26j.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. SGyU3eMYgMdcTTzhU7ynuzFSclnWPdyqLwb16XnY2mXdmpLehCwF/qxnckKvEzlIOBNvCBymoQDw+dAc1rhMSfebv6HBmsYIH2udFFvDlR1UPJ1rcC9M4PWJS8zpknLzHYGbBzSwOb9HJK/TE06VaUOjS0gxkei6wYS2CrRjAvI=
0io56snh2r7uv4fsrp4qf4r39tnr7f86.tips.	3600	in	nsec3	1 1 0 73 0JMF8CMKQGE5AAQG2L3PS4KN2N0O043O NS DS RRSIG
0io56snh2r7uv4fsrp4qf4r39tnr7f86.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. F6oA3FJfpWSID/OhNJKPbO5pHtWSfTTveY6B/tfDhd1V8eYHsxZxERvu7IdgP9RcI6LdxoZUokU/cYzH9S6rzQ84y87pv4tGkA74/56CW+8pYo3lCQ1lh5ymJUd+c9vuWtmz3nwN94NcVnnQk1qD0d1S1omb9/IpjgAyodS4Sjs=
0jmf8cmkqge5aaqg2l3ps4kn2n0o043o.tips.	3600	in	nsec3	1 1 0 73 0L0TF1ICD9E8OO9HC9PMC12HQIU7GL4O NS DS RRSIG
0jmf8cmkqge5aaqg2l3ps4kn2n0o043o.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. NSyRf714mjd6Gmn6Zt8aBaItoTkAX+Sh/zS1uB8t52PIbW5qnqu9CTXr4qWD7NshMfqampS80vsdkP+RW6qLulSp1xeSzQ8i8sQ/O5esedxoa2DnoI0gQvsE4i5Yi+sNnPPXS12SOvJKMe9jdmYHZwGbU0CqkLAetMfYMpeNbRM=
