024fril54rfrespfqa3nj8qkniu8lb2g.tattoo.	900	in	nsec3	1 1 0 - 02D0RBQGJIA7D9O4KUS6KUNBD6DERQOR NS DS RRSIG
024fril54rfrespfqa3nj8qkniu8lb2g.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250908140954 20250825135436 58469 tattoo. A1h2X8fAcEVkGxEG7VKaUTgdE1eKYMEEUMHtVh2qWjdZISIU+Uy0bSauYnaCs0euyWCjNuPqgD6qILBklHh8BQ==
02971390.tattoo.	3600	in	ds	62113 13 2 C2FD20741937B6AB041A16146BDE34322E5B6D0BC3468C553E13F98CBC6EB4BE
02971390.tattoo.	3600	in	ns	launch1.spaceship.net.
02971390.tattoo.	3600	in	ns	launch2.spaceship.net.
02971390.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. 2R8uZSX17cXo01bvZeZ7PM/78YM190WZzJEKmPnlvb699LikHw9IXZysofurcD+dd+YUOuB6swDqYPQsG2e6HA==
02d0rbqgjia7d9o4kus6kunbd6derqor.tattoo.	900	in	nsec3	1 1 0 - 039QH8K0CAMVP3I6ABMAP7P1T6MKBR88 NS DS RRSIG
02d0rbqgjia7d9o4kus6kunbd6derqor.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250909235326 20250826231941 58469 tattoo. t+ptMZgTkIf7zVRO/7jGcN5Fj3CW52gAobAzolUdVNgQQVbAPUy0Soi3T0kra1AZwKw2+2yLqXtZrpV2xprl2Q==
03218570.tattoo.	3600	in	ds	30141 13 2 B071AC618CF88A32F044E4A5B91DF0B5F91F5424001A356F907C416C6239D11E
03218570.tattoo.	3600	in	ns	launch1.spaceship.net.
03218570.tattoo.	3600	in	ns	launch2.spaceship.net.
03218570.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. KipWxriqetFdbmIdSA9NyJvD3EXDRt+dKUle4mRw5u6dpKIUdztygr35Zowim/mi+eC6mgNZ4oR6FsCzyuKSKQ==
03219887.tattoo.	3600	in	ds	62110 13 2 102C449F406840F72D45E4AA222C95AECC7860E20A97A6B22E834FFE16F8D281
