0a5umcr06b4u9nc5au3ma8fa3dinvfct.monster.	900	in	rrsig	NSEC3 13 2 900 20260216115403 20260117102403 38448 monster. ajsB6kDmxNOP4MgLIRYCsJpW6TuKMgx04hAu2vqY3Gxy6ClKHaAFJX3Cncv3xpzqJ9hXqbR88ANB0dEGFs+XOQ==
0acj7kq3ac6j0sn27evll25vg4h9b083.monster.	900	in	nsec3	1 1 0 - 0CJH7UM6686A8NCOKB8JB7DC22G9IUI2 NS DS RRSIG
0acj7kq3ac6j0sn27evll25vg4h9b083.monster.	900	in	rrsig	NSEC3 13 2 900 20260216162705 20260117145705 38448 monster. slHPktREcsV9DbTUY4rtr5au86p6fa7us3rlRwxjrzj1oQuUE/UhbgsSCtfqVYEeumZ/87rGnZOvFFbUVwnMDA==
0block.monster.	3600	in	ns	curitiba.ns.porkbun.com.
0block.monster.	3600	in	ns	fortaleza.ns.porkbun.com.
0block.monster.	3600	in	ns	maceio.ns.porkbun.com.
0block.monster.	3600	in	ns	salvador.ns.porkbun.com.
0cjh7um6686a8ncokb8jb7dc22g9iui2.monster.	900	in	nsec3	1 1 0 - 0CKSKQU58U4PS7D2V8BE9GOGVCAV6SAG NS DS RRSIG
0cjh7um6686a8ncokb8jb7dc22g9iui2.monster.	900	in	rrsig	NSEC3 13 2 900 20260216115403 20260117102403 38448 monster. xshaPUfr/OR6wLuybF0l/tfmK8qfj/7oaW8/FoBwajRgFtMT2vFa+CLGs1RDTL/iMfhnkhjI/iX1xMD9CsRa3w==
0ckskqu58u4ps7d2v8be9gogvcav6sag.monster.	900	in	nsec3	1 1 0 - 0CO6DM7NN2VB599G2P4AH9R937STREBP NS DS RRSIG
0ckskqu58u4ps7d2v8be9gogvcav6sag.monster.	900	in	rrsig	NSEC3 13 2 900 20260128194338 20251229181338 38448 monster. IuzsVSVSz9ISSYdPejxmL+sV0jcNmAREUiYRMGTuxgCodWzvmuPw+Dui2YgFfZTtsTVZV7SjTq2eloFZpShU5A==
0co6dm7nn2vb599g2p4ah9r937strebp.monster.	900	in	nsec3	1 1 0 - 0DEM9EQ5JUQA576Q58UV1EMB7EEQVQ3Q NS DS RRSIG
0co6dm7nn2vb599g2p4ah9r937strebp.monster.	900	in	rrsig	NSEC3 13 2 900 20260128194338 20251229181338 38448 monster. GeQOZbf/qBD5sVsIP6t4iInCj9PbJANQDhdPCsC5BPHathiHiHbfzsgO99adU7e/5OuL2KO6nRc+NOv09QZOXQ==
0cr688iv.monster.	3600	in	ns	aron.ns.cloudflare.com.
0cr688iv.monster.	3600	in	ns	stanley.ns.cloudflare.com.
0d.monster.	3600	in	ns	ns1.dyna-ns.net.
0d.monster.	3600	in	ns	ns2.dyna-ns.net.
0dem9eq5juqa576q58uv1emb7eeqvq3q.monster.	900	in	nsec3	1 1 0 - 0DOQBRJILSAAEP900PTNV87LL7SIQI5L NS DS RRSIG
0dem9eq5juqa576q58uv1emb7eeqvq3q.monster.	900	in	rrsig	NSEC3 13 2 900 20260216115403 20260117102403 38448 monster. rTxxCisg1kBBvd/8ECSeWB6KleosRwvugd9biva82iENRD+vlPk+Urx2dRVnDtKLp47f978aLlS2zU9Qd9UmGg==
0doqbrjilsaaep900ptnv87ll7siqi5l.monster.	900	in	nsec3	1 1 0 - 0DRCVTJ7QAOHJ920HNBPE4P6HG9H3AK2 NS DS RRSIG
0doqbrjilsaaep900ptnv87ll7siqi5l.monster.	900	in	rrsig	NSEC3 13 2 900 20260216115403 20260117102403 38448 monster. eQqtEuxFYtrGJ946xIuMCsUvouxQZ3zseG+tB5rtGhrV6VNFdUcux+qDeyweICw6PXMCXKz6imWiLwBoNw2zmw==
0drcvtj7qaohj920hnbpe4p6hg9h3ak2.monster.	900	in	nsec3	1 1 0 - 0E4409PTF0JPN6R3LL8H6JEK1AA2EOQJ NS DS RRSIG
