025003.baby.	3600	in	ns	expire1.gname-dns.com.
025003.baby.	3600	in	ns	expire2.gname-dns.com.
025004.baby.	3600	in	ns	expire1.gname-dns.com.
025004.baby.	3600	in	ns	expire2.gname-dns.com.
025005.baby.	3600	in	ns	expire1.gname-dns.com.
025005.baby.	3600	in	ns	expire2.gname-dns.com.
025156.baby.	3600	in	ns	ns1.dyna-ns.net.
025156.baby.	3600	in	ns	ns2.dyna-ns.net.
026quzfvaj.baby.	3600	in	ns	ns1.dnsip.com.
026quzfvaj.baby.	3600	in	ns	ns2.dnsip.com.
027.baby.	3600	in	ns	naomi.ns.cloudflare.com.
027.baby.	3600	in	ns	tim.ns.cloudflare.com.
028.baby.	3600	in	ns	ns7.alidns.com.
028.baby.	3600	in	ns	ns8.alidns.com.
02985.baby.	3600	in	ns	ns1.dyna-ns.net.
02985.baby.	3600	in	ns	ns2.dyna-ns.net.
02a.baby.	3600	in	ns	ns7.alidns.com.
02a.baby.	3600	in	ns	ns8.alidns.com.
02b.baby.	3600	in	ns	ns7.alidns.com.
02b.baby.	3600	in	ns	ns8.alidns.com.
02c.baby.	3600	in	ns	ns7.alidns.com.
02c.baby.	3600	in	ns	ns8.alidns.com.
02d.baby.	3600	in	ns	ns7.alidns.com.
02d.baby.	3600	in	ns	ns8.alidns.com.
02e.baby.	3600	in	ns	ns7.alidns.com.
02e.baby.	3600	in	ns	ns8.alidns.com.
02evgt8g3sdl8ihfk14gdrd8or5p2c39.baby.	900	in	nsec3	1 1 0 - 02JADSF865G98KE4TVRBRASLIDQ6GSN2 NS DS RRSIG
02evgt8g3sdl8ihfk14gdrd8or5p2c39.baby.	900	in	rrsig	NSEC3 8 2 900 20260129105552 20251230092552 55701 baby. dpLnlSpPAmdpz3Z4JSD4g2SJhKv+qCv4+qp1I9wPo/3xG5STIWtcG0RjOORriejlm1770iKrWhrwFENxgY5p7pEcnUY2IqA17UVbSn1b0iRS6laOrCyYOdGaIRxLFmuQ49149Sf6rVBma62jZvPtWeyeKZjOu0NFOlFQEvO0i64=
02jadsf865g98ke4tvrbraslidq6gsn2.baby.	900	in	nsec3	1 1 0 - 02Q3LGM73LCDLOLR16BDULFB3OHBKHNK NS DS RRSIG
