0ii6bj0r5cqdtqfhmahchtkbeev86eao.fund.	3600	in	nsec3	1 1 0 73 0KCEUMR3I3T5HFPLOL4D2SLGT235VMBL NS DS RRSIG
0ii6bj0r5cqdtqfhmahchtkbeev86eao.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. RYq4+7ZIuJbUdZ1NuetGi25w1FQTJPRL9eSUA07Ax0AKGdaLl6du5O4CjYqXrae7ki6qFMIiSUJsFsvxiPRC9K/CV7cp5W6Ynj2E1nseuL2HFsi1PgA51xUXSmpd6xRPd2uqciM83OT83wYRP/Aab8OYEDtwANkWiyoLEZy6NTQ=
0kceumr3i3t5hfplol4d2slgt235vmbl.fund.	3600	in	nsec3	1 1 0 73 0KUTKJV16741PC78U5B685K744RESN5B NS DS RRSIG
0kceumr3i3t5hfplol4d2slgt235vmbl.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. Q+RKhLnCkH/czTdWop5YLbnxVqONkMMgoeoKeNNyQT0N6iBJrAtFsk3CwmArwPovb77swhn+vsY9VYiSPY7wj8fysI6E73t8sbNLB4pBAAz7kG/U5rRnDfGH3TfrUwLsAgoIwAfR6qJDwHEsjYXHMU5Iov7drO3WPKCMml/jzn8=
0kutkjv16741pc78u5b685k744resn5b.fund.	3600	in	nsec3	1 1 0 73 0L9T80S0R4LFVT2HKLTFA6QB4NAAHU83 NS DS RRSIG
0kutkjv16741pc78u5b685k744resn5b.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. c6Q51X90QQW06qiQSVK2ZD6aap6cVzc0tapOG7DaASjFauFOriYu4FHlB8WEy9qKViB7ZEs7fIsBrnlTaiMDVqn2JI2ZkiGeCUXG21+Vu8mWSMijmuc52BkYptSJMkBVsueI7UdS2eoO6zcsaS6Bjz7qo96O1yIp2iu9AZlugcY=
0l9t80s0r4lfvt2hkltfa6qb4naahu83.fund.	3600	in	nsec3	1 1 0 73 0LATN7PT4EBKP3782ELGTTIDGCPDVJTN NS DS RRSIG
0l9t80s0r4lfvt2hkltfa6qb4naahu83.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. 19do1Y5JlcyQIvKA8kQqwP2r+uGzLnqsBQiQzeJ5MSCtOedFrrsdxsIPVz3TLUbKkp/pFDsE8kpjSgll7OZhZio1wAchfxyp90vrXDqbfKH3yM5/SmZbabvzzxvu6y6A6KgfA+29vqT1lSx9q4ruQwFyjl6ZVoHyrP+e2zZq2Xo=
0latn7pt4ebkp3782elgttidgcpdvjtn.fund.	3600	in	nsec3	1 1 0 73 0LV7E9I0TVECJ15VN1MQ5ONPSE4JB7KC NS DS RRSIG
0latn7pt4ebkp3782elgttidgcpdvjtn.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. zTctxAa1gCsnF27TVXDGnGKy5tj+/nmh7g34j8L1u4HPyEoTmJdHaCMzCTLXmAGE+7Twlk5FtIgHIkmd/V2XJJ2WXY3KezeyotHoyjaAGu/dwgm6caJrRPKdgfBQd6BuZV1CRxjbwr42zEb7Mip9MGYVA2IyQ48edactLPXnMuU=
0lv7e9i0tvecj15vn1mq5onpse4jb7kc.fund.	3600	in	nsec3	1 1 0 73 0OCL3EGNVAKFCO70QPG63OI4GO198N0Q NS DS RRSIG
0lv7e9i0tvecj15vn1mq5onpse4jb7kc.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. bTf7aTdvrlERGFtv9W7Y/3Rm23T7WEwepfWEHBehB7ipJVHIH/Kr7LA8d18hgmTWBfe0L4VSGm5tgsAon5KJy3yT6PtyL36xVsK50GWp2K6THHFlm0jIvwBsvDFm80uL/Y7JUn0BGhjGfL1RLGdYxtpB5LF4ATK7O/goDGixzhE=
0ocl3egnvakfco70qpg63oi4go198n0q.fund.	3600	in	nsec3	1 1 0 73 0PIOOC0JIOK0TE17HJHG3R4LF940EMAG NS DS RRSIG
0ocl3egnvakfco70qpg63oi4go198n0q.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. UyzccihgXgMf82Vm2zD0NAq0IUDu1306aorf59DSnuQ47PlaA8gPXAklG4MGkmapnkR0Vt6ddgrBU4fumoFDQ7w+bYhRf/U9KvBsKvjLXQV9CnORte0Ap3iqd3OiSbq09pdjUMmPBnBoOtDmVeY0MgUWwHPZld1iTKYbfwcyuw4=
0piooc0jiok0te17hjhg3r4lf940emag.fund.	3600	in	nsec3	1 1 0 73 0R3IJ4HJQHJAE10KEPTFIL7IKV7D4QL9 NS DS RRSIG
0piooc0jiok0te17hjhg3r4lf940emag.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. JS6gxB623irWGZilqmFHImCiMGg88085pLmtZJDFJJZk/UrK2wegknus7wjP0mYuUJ6Qmo9+5SVMrRafAv94Og9E3oHpLJLcLzkQUJPL7kTXn42l72Qy/k4e87piM7DS1NT6FuGwYDkPMAHVltUAUpJ1jBBfQIiu1gWv0lw2TTA=
0r3ij4hjqhjae10keptfil7ikv7d4ql9.fund.	3600	in	nsec3	1 1 0 73 0RVNFO60EVPTPV9P7HO0HFSD101JGGIF NS DS RRSIG
