07s9arrdasa4s0nj8jlm5idvjjk3h6l0.marketing.	3600	in	nsec3	1 1 0 73 07UGA9K8NMLL8M79GQCO056BJFQ6M2VM NS DS RRSIG
07s9arrdasa4s0nj8jlm5idvjjk3h6l0.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. Z6OdopTLy6RDaHNyqA7sM+z045J6r0CISbj05vYJmeNKcdP3xEqMhUgrk7lzsxZNTmnwXodAyQq1V1OvplieuDg6sNaCT2zcX5scLKSC/7GumKJBK40X2W3MiVzCXHnq85W56vlqsBBOAQkN+X299yk/5DvFQxh6wfG/kpjkQu4=
07uga9k8nmll8m79gqco056bjfq6m2vm.marketing.	3600	in	nsec3	1 1 0 73 09GUQCP55NJT9G6VO8LA5AKHV6QOVRBC NS DS RRSIG
07uga9k8nmll8m79gqco056bjfq6m2vm.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. uLlpCFXzuKHfRp1PmukXNUkpiYuLNVFIEIKDTdvoGejB2zpR1r2s/1GAbbY7EaXSO3X8kZ183EZjio60bfd1UajNFbfUK1Bgp7LTvrrmxK5dvqbPgytp8e+S+soRFaOHcvQZJxw7dDAR2WAbKbPWH3kovYJoKsbjpi/h5aF2DmI=
0800.marketing.	3600	in	ns	ns1.dyna-ns.net.
0800.marketing.	3600	in	ns	ns2.dyna-ns.net.
0941.marketing.	3600	in	ns	ns35.domaincontrol.com.
0941.marketing.	3600	in	ns	ns36.domaincontrol.com.
09guqcp55njt9g6vo8la5akhv6qovrbc.marketing.	3600	in	nsec3	1 1 0 73 09HRIUR4VQ4B128OA3M5REK5SV4BN47K NS DS RRSIG
09guqcp55njt9g6vo8la5akhv6qovrbc.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. w3LeW7UJRUBZ16ZXbwm9LdoqEnzVz8KcOhjCbdqVZMSYUJpwTKRPAUJFowqPcQ1fihPo+qkX2ePfGEdSfDroWXiah41xLzjwgKz5/1XCs3YdFjgXiKPJ1PCr83EMJ85Fsip1LVLOE72mmRuhPIZ1P7WXmNOMlZvLVReIhvoh8yY=
09hriur4vq4b128oa3m5rek5sv4bn47k.marketing.	3600	in	nsec3	1 1 0 73 09UG9MD6MULTR5F4M61ET3JJ5KQUM7AT NS DS RRSIG
09hriur4vq4b128oa3m5rek5sv4bn47k.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. jIzMg2OLx3rY/XckaBtDtQ9H0eUoS0A2iu4NtzMUoPL1Pm3TGJCWS+y04FUz0PvjWRRCJN8GRu0D2b+6qyd7M5+3h9nELFiQpy+tiIrSNU07qP7Jd6YkE/vNlRr6Xyhr9/6MPUtxi4lfEQbYHQdK5QjQ92eZbDvmAcPhXbImmL0=
09ug9md6multr5f4m61et3jj5kqum7at.marketing.	3600	in	nsec3	1 1 0 73 0A5D98R8S62R32F7G3LOCQPG7DMAM8T1 NS DS RRSIG
09ug9md6multr5f4m61et3jj5kqum7at.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. zA7b+vDq4ZjBkbw0Ur2PHRolgdIBL5XDlYE6v67pp8h5uPKX4CNVWonwxU3WYPnoWiqEMreGS6/DhDmc45Y6r2OYbIQb6pBsE2vMLf2FCRpoMtKXReB+PdAJYz5xavlstibjmuHfS9fJJFoVoeKd+d/u2gCQ+rlVDZht+5fXUvE=
0a5d98r8s62r32f7g3locqpg7dmam8t1.marketing.	3600	in	nsec3	1 1 0 73 0B37PD83QMJRB051KUS07AFS2SKNH95R NS DS RRSIG
0a5d98r8s62r32f7g3locqpg7dmam8t1.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. aIOTJPn8uXN3OgiAIpghlfp/wNx8TabZ360HNXeyFeMpLwP+L5TAN7gAukClPBpePpXXO2OZRA9iXxlCiJkeyQgLoQXnzfe4ymABKTLexO2XC6+jduP0xTEb26W6/f7ZkUzaoMlLbZLZt6ADLQrGnwK12pT1n6ixBOAsKix7+yw=
0b37pd83qmjrb051kus07afs2sknh95r.marketing.	3600	in	nsec3	1 1 0 73 0C1GQ8TQ9B99806PE77NO7N95BN5AQNU NS DS RRSIG
0b37pd83qmjrb051kus07afs2sknh95r.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. j7Z7FaTlsSc67tAVEMyuGd2cO2ebx2niS9ieyMU7VbEsAcF/sYsjTcD0vGdnLTotHram6eFGCAVEHA4Y2gxjjURFqf4Y50DqA78dKFRvL8w9L87ZHvXRrV0hQyhOtl6ArCEWNyR7nxo90DULjWMlxsRHEdVvdfktAsxg/wSxSRQ=
0c1gq8tq9b99806pe77no7n95bn5aqnu.marketing.	3600	in	nsec3	1 1 0 73 0C77EM933DQE6EKIMQFNPC9LOG09ODCC NS DS RRSIG
0c1gq8tq9b99806pe77no7n95bn5aqnu.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. BrWKTEA2IpA7l1RQq8bSTnhrd8xTqyyeUvxV4JKqFofSKNBptx8bYr7h29SSOGySfnMS4SrrZvOEYeGlCqIZr94bYY8U1pia/dX7xCRwzw/WkraJp4TiBgyuouqgXGsXQpKUmPAchzyOacdRhI0sZcqWpQWpI1QNJ2ARFSg6Rts=
0c77em933dqe6ekimqfnpc9log09odcc.marketing.	3600	in	nsec3	1 1 0 73 0C78HF8BA3STQ9V6923P944CDN6JAEV7 NS DS RRSIG
0c77em933dqe6ekimqfnpc9log09odcc.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. vrVmDHnOQ62m8xFQuMI9GdSyrvDrJXF93EZe0DgpDRhlbzl6nn4wq4rruVVBlfiP7DNqt4eQZ/wYnHf+lwSZPiuonk02z5HgX9JNv0yP2Ol3PjibpEaCPVR8Mwbwacfnkw6Q1ypbPW6gJyCz1hXrsxBx/CXsrr6uHbDp4oRuhCM=
0c78hf8ba3stq9v6923p944cdn6jaev7.marketing.	3600	in	nsec3	1 1 0 73 0CG8AEJ806UI5JJ3DKB8TUBEDU70Q256 NS DS RRSIG
0c78hf8ba3stq9v6923p944cdn6jaev7.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. mkLyYCiajzRIfuLNWGfDURQVQYdPh0s254ol9z7ZlmUAd4PK5MQllHDepPq8jqU/wWhsLr+kQHkuGgAxGyb56OtQKGRXR0kD4QbqJNrwnzq5otPH4ZHUOskpqnkTSYFalGicgo0517w9Xu5heBXHJICNTKyQpC1ZiLMqAu5Dj5g=
0cg8aej806ui5jj3dkb8tubedu70q256.marketing.	3600	in	nsec3	1 1 0 73 0CJ7ADUR3BB46TGE03IGJ0TMEGF8C7OG NS DS RRSIG
0cg8aej806ui5jj3dkb8tubedu70q256.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. NOGeb6wa9oYN0CH+HE9jn5o3aho2U40Hkm/uBCSbUCHSLv+SYezOK6q3JXFrhxpgW2ixYrGjb87rpDEpeyFOtPVKVVPKIbO7BC8hpmaq/+VZde0CToaIfSUO3RFIDx8vITit2BajKpzINy9SqGdaljRsztv5vqaK5T4X9Izh7uQ=
0cj7adur3bb46tge03igj0tmegf8c7og.marketing.	3600	in	nsec3	1 1 0 73 0DJFQK79MD38DTB20JJOQHQ90C94062M NS DS RRSIG
0cj7adur3bb46tge03igj0tmegf8c7og.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. eg0+VboEcawTfJAWxTdB/ggDPHO4xVutVU64STJAd6VKohT1TGTPPn14EZPzU9D0WpcXTlRoI9JodwxkKLpr23xlvWxfiBTj6M7WM7I2mDdNkGD2CatYlnMsGvKFvKNT6yeayYeJDH7SjbW4tc6FdzKTM6ka2G+gela6pVsMfaE=
0djfqk79md38dtb20jjoqhq90c94062m.marketing.	3600	in	nsec3	1 1 0 73 0E32QFPMI7FMIJH18ILJVFEKAS3RDI1M NS DS RRSIG
0djfqk79md38dtb20jjoqhq90c94062m.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. 27o8z7nCl3BmMaBf2BUvJfFjKI7BkrjRD7ocpfDiXg2nj3lzjqVKeavp8cVy9jQBGgx9ACdWAckEaegl68Do3859TqzQCP4fMo4fe+rpthgrvCYxXgH3oZGV7V+Nt5ewFwI7dvN4trjXweM4WDPESIVTiEjlGDVBnLlugRv5Z7w=
0e32qfpmi7fmijh18iljvfekas3rdi1m.marketing.	3600	in	nsec3	1 1 0 73 0E7QCG8R6Q0O3P5TEAAFCLSNIJDT79V6 NS DS RRSIG
0e32qfpmi7fmijh18iljvfekas3rdi1m.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. ULE+zVw2TFK+pUDkIG9DwjI2JxKESEOAaF9lk8SE5Zk6FF+zYQIiBiYSwv+alDyj7VEQB+TzfSJQs7iqWLqnGcfWjUpK/Jf8GFEz0KC8SAwWlk5u648WoIv8rVAI2CGXg6TuqPD0KoyL6G8UbtIYJuiqxmSMbZgdsm0i4cl9wmE=
