xn--mgbab2bd.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601050032 7200 7200 604800 900
06tc7nbehq5uedqm4egn1mnujc40o66o.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 08SQ9R8FM19VOLJJPVC76P4JQ23RD7BU NS
06tc7nbehq5uedqm4egn1mnujc40o66o.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. uRnNhSkQ8lF9UJ8v78sm6YpF3vRLq/nJ2NORx0PJY+D5UzBtm/3U44Nwee+8za0IS3CeijXFd6/IRxclH5b7XBnyWGfFkjnK/TVLsNGVkp1w3xAXiHAYgqVwZ6+yAau22i8+PCG9XIwosQooue1BZOWAu9twIAh1gp9b8P7oPjV5Zu36oi/TR50vGTnQRWLcyT4bWPUWP9gtRcDlGb+TPQ==
08sq9r8fm19voljjpvc76p4jq23rd7bu.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0DQ4R4UD8CH64A3AOLRAE4T9HCV4BICP NS
08sq9r8fm19voljjpvc76p4jq23rd7bu.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. sovw6cLQe5kAMfJn5EhzcavlX5uN04iEVKS4paDZ1g3ll4whwvwxSo6igPcGHY4Kix4Wd+svVGGW7VUAOUo2JEpClwNm2NdvnOkIlN8JceaMQ7dXEI3Yk2xtfXNdHeD99Mt579uyh7pVI8kdaKe7JXA+LaNyx3sQtWXttN9Wcnf2nqykGTkNPSXGfmbyXiptRVcR+xzisjs1RIPGwA/GWg==
0dq4r4ud8ch64a3aolrae4t9hcv4bicp.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0ELO8QVHSVI99998LUTJH6M873R6EKGK NS
0dq4r4ud8ch64a3aolrae4t9hcv4bicp.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Xl40xuVXiIH1QCmpYQ+N2fKYeXe5Ptp8rcfD0tiZK+KGFeovw/P1fiOY+X8a8czKoJoG7QMJeusOMGhH8TvlL61MWINKT7TcYoO+7KXY2uqEORgsek0uO6/CBPePuWmmpHc7AXtNzP1e+wgmNcYfOOUnRFjAiWigHbGD+QBW+rRsi+TO7u61CQS4O7t4GV3cKkfgLV7Mg9nnur8Kokqeow==
0elo8qvhsvi99998lutjh6m873r6ekgk.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0GPD8FN0OGM918G1SC90DIB0VNF6471E NS
0elo8qvhsvi99998lutjh6m873r6ekgk.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. n4QRnptPOOBuwdhuOU71Xv0nn1+DB8FFEK4Q+xnjeIzN4DmiIqtBLR3hQTji8d1sfWj00RXM6+AUg6q7UxR9psXCwQM7PQlOaIQMzymeU50voX/z9Qk7R38E0lbq2sk37+UNfn7IpvUWXh3AfQnePchbPNXANMahybWwS1M/vv3X8QczC5+z5i3Fng4Blm8bE64vaLI82vX4ylLR4gp4xw==
0gpd8fn0ogm918g1sc90dib0vnf6471e.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0IN94H14T3GF8JQ85CTLST3NSCGI3F71 NS
0gpd8fn0ogm918g1sc90dib0vnf6471e.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. V/mt9Y+FrHrZJvtbG/9HWVSWi5W4GpNoRPVFa6dvbOZ1u9GAOjG6ee2dqzGsIAOgTSkCWcK7lbyUhcU4FkKlA2lYK1CaGiuf6Pj2PNWv8z8XOys0usCLTp/o78L9TxV7Po2pBwKLWGmEBowkbHgyQtZ7GWQGZhwVEipbWE1XMkDF6vRnmps5d1UEPBvMR3uIu0Pnzo2TjHyIqutaNC3G3w==
0in94h14t3gf8jq85ctlst3nscgi3f71.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0J5K3UMDRFOGSO2ALKEO6B62VAMKC6ED NS
0in94h14t3gf8jq85ctlst3nscgi3f71.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. rnGqBQohHZAy+JrUEcUDn3+P30t3wN95inSoNoqcXQOfy0dPlXzHennV658ZkzCZp+M10ksDMGfRXuin0EtGcUGLdbn73rPx83ubR0KPBox0peXtuePoJGznShWf6Z8fMOV9V8UJiOWqcaV+JvJ5i2J0ullcO6R3fdOLT4YNcY4ySoWoE94uqg+JdP99lyDCnPx/LbToTSXGAPkbT8ldlw==
0j5k3umdrfogso2alkeo6b62vamkc6ed.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0KBHE20EA779DJ6UMDMAC9V9NM3P4C4P NS
0j5k3umdrfogso2alkeo6b62vamkc6ed.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. STiynDwEKblc3C8p/kWCuQW8hweInqLj2Zwk6Ad7Kk7l+xwDi+A4mamMjp7XkZeHpzfv5B4n+Buv1UuZozwIPmS4FJ+btmV2yTmkR6bK0fIobxgwOQChY+PnA8Okvf2maYd5zJsHaCDWcb6QJCpQFpJO3HxomXm2VJjB1QtN9Y4fmoG9u8cS6k7N5RPaOw2AUXkH9KhgXbK/8HvJ7ME2Fw==
0kbhe20ea779dj6umdmac9v9nm3p4c4p.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0KJU5M66UFV4MC0RJQ8U6OJNQ9LNH959 NS
0kbhe20ea779dj6umdmac9v9nm3p4c4p.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. ziC7FEKtPMErYfMNGJVI7+oDsV0tzMW2csaXvn2tRWIzcbX5Uui4jk8bagTDYjjrjTy7eoz7mTyS44b8DcCWltUaTFL6+tp2qo557GA8OG388Vw6jZ3GgEfZG1AedPDMCfcuRl/Kke670A8AW1SuOGFCONIvI0ReNbOHSUut77SQGdtJ3RPOKEtVMcbBzXzT3XhDMMtJ/VlOHs5zX34BtA==
0kju5m66ufv4mc0rjq8u6ojnq9lnh959.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0LJBTLAP4O74THJOKMR8VATR2TQBJF7F NS
0kju5m66ufv4mc0rjq8u6ojnq9lnh959.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. JpcUXU78MAbcsXEoCMxQzK7na15eZQv2aiKjLe8W7JIrnz6kef7rrCpYMy95J/OEvItZpla+UiCKnpK5bE/YzY7VCc5Sbg/JxYi2PN7b2LYpnSFAX5dVdTXBPIXutbxESLwKvqttK3h+luTAlk5Gqi25LX+NYPzVVdT85yFM9qzKZIfI8HHCElWWaXPZ9u8d/aUA+1hRWv/4AaadKSxEow==
0ljbtlap4o74thjokmr8vatr2tqbjf7f.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0MH515NSFHS3TRTDT39UDGRQPG2QI9UQ NS
0ljbtlap4o74thjokmr8vatr2tqbjf7f.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. YGcqPVqh7eQs1a2RRz7QibG+SBQZnmptpEaWZZVrTZCAOgWX8cX4EihpaDh0P7DfAf2x2BRwm9S/j2L0vtDdg2quQde1iIm3AFZDParLqItcI9D+SmYSiHHTmUAWubEq9MHo3rJMf3a5tv+yIDmC9FJ4AtQIz4B1kDidtRA6OoVWSUzhnOOzdTL/rdXcE2AlyQjAOcvaSebIhbM34iZqSA==
0mh515nsfhs3trtdt39udgrqpg2qi9uq.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0Q5CP1LAM81B77UUGQ82TK5FKB0OM0R8 NS
0mh515nsfhs3trtdt39udgrqpg2qi9uq.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. eQ9Q1dA7qUojbLoGOuUi0ruByRbyzH7pCg4BkHVLQ2Ff/tGZScshSic/lvpG8qwkdiQ6iJJlXxXP3wX5ODcn2NlSsXtqGO5teHeefoiMcqpBxzzP8Db2xFuCzbhoQQyU5cBhtd8Vg9JiGG5y6e4Li7oo3cV4lTCjmo+YCMYkMAq0/yk7gqNTBiHcILWme0YaAXukgrSMySRaaBzfhUOE8w==
0q5cp1lam81b77uugq82tk5fkb0om0r8.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0R1D85FBUU8UCLF8FEM86DSFCC65CDB3 NS
0q5cp1lam81b77uugq82tk5fkb0om0r8.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. BqtzGifG4PqfW8c6X86IBIhbdRVEHvzBugueQge1WVQlZDNBqvjK5l4Obn9PC0M+LwZEAtYI48B2zZa3+E7tgN5BzBl0S62CEuKgBDqImFY68rSXBUg/3fmQ3XihEctxIRdW/SaFg4jcj3KA7o++D6CQMoLg6R0Qb0t/kIiF2LbfH8h86GhPzEvZsryRh6WL3Y2dYS6GA1R6uIf7AHrntg==
0r1d85fbuu8uclf8fem86dsfcc65cdb3.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0SCQU013VB2F42NIPDFM1R2AS6G0S1DV NS
0r1d85fbuu8uclf8fem86dsfcc65cdb3.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. tPQShPKNLc8YE21lfMtAQM4LXKl6R+PZyFg5wlXMrtbckrotcIgp6LQP7AaQP+3TU3MF5w7y+x6tnVjrKG2LzA4SWS9SLoNClYkYwTQesG5e1DpdVeTPJ2J932kBU3wFHXHY/+t3491Z1rivgcNi17mmx9WW3Ri6fmNK77NZzDtl201QUk2+zA2fIZd70mQ7Fu0Iy3IeJScNqdT6VNMa3Q==
0scqu013vb2f42nipdfm1r2as6g0s1dv.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0ST9I1JBN2MNP6ONA6DJCSJJ673QL2GU NS
0scqu013vb2f42nipdfm1r2as6g0s1dv.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. zHEFOR5KLszMj18RnRSZ6IQkxQHiGGgHCJgNdQSa7iR3jNrowKaYFSbf6dUCeakKcb/4zQf/yzJEGCAJMIP5mtM5I+qxVsA65m1URQ1mWZg0dEMEqi4vKR43CnDsKTrkrtu6LeKBNQ/VblVzNPlyjVcLKspzB75XoqVaP+ESh6jLIT0tr1DDyjQ+KJfSRxjpcECcuzXOI/83BurKdcDS7Q==
0st9i1jbn2mnp6ona6djcsjj673ql2gu.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0UN82T0ODJG8LL404BLMMU8HNH6MFU82 NS
0st9i1jbn2mnp6ona6djcsjj673ql2gu.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. HhsZ3W3oNu+jq2P7wlV2csdCXot5z9bg1/lfXteYEcgWJIJJvTcvMa2Z4ctK9Apbhq6a+mf71yj8X9RHiHm4E0qwYF1ClLDBwVdN63QGyGPg3jcu3DnG/Or1tu7o65Wtm31ABtcx7XwVg1pjeaXnzQ28ucYaNrL0atbprRGaWXKdPXnsp+k1grtMX/IOrFeVWapm+6HR+WmOWrKP7gL7VQ==
0un82t0odjg8ll404blmmu8hnh6mfu82.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 0VVDNDD57DESS8NOGRCHNKAI13NDL04S NS
0un82t0odjg8ll404blmmu8hnh6mfu82.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. xe+OgH9et9noE7xWGp3gp0kF8bt3/p2x5pWQ4+G0agzrQvDRvkuc3T59r0YeDId389taHPncvVIKcfEQEJuQfT2lyb1UHcYB+NhRLlr2hRIHiVGmCRqfiwmsbbouJi4jwGsL6k4hUhnhfIkaG3csUeqxe3ngCjOkmPP874H1NUdy/s8A2h3HERZYfzT4Ftx6J0PRhjJ7dIQx7iIE8KaiDg==
0vvdndd57dess8nogrchnkai13ndl04s.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 10KL044VKOF3IOHN5JKCNRQCL160TFK8 NS
0vvdndd57dess8nogrchnkai13ndl04s.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Hfx9zS1+mrJbefZp48v7up1dkFBBta0sj3PxtHWOvJHzYhsRcp/L2InBfKImdahQ1dsbukuRI+HjwnvvKDDezjtEH/fMFQUq3fZ1fldeZ+YTfIW0dnKW6GZ5hlPTsu3AxYbelSSx9+gsRqPq9ewGPfsGodzQaGxBJ4RnYzRSXOAcfspUoOoVrPk5INKvjMilzjd042xWqSyyUmBi6QFArg==
10kl044vkof3iohn5jkcnrqcl160tfk8.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 13FNMRKELE5ULKQHRMMB94JDL186F1IM NS
10kl044vkof3iohn5jkcnrqcl160tfk8.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. en09/WszTnN6NbWMyAXPY7GoeSl+K9AYZGmW3k1Cc3MMxFTRih49ORir1HVhzFhH900wQvXVYJA+M2ZatFBImrx/KM+/j6Y64eYLQI8vrpKpyvwyfW0qM43FN/P0xDpq0vpKIA1zbM64SPbtxpmkcuqF7yeV6citNdNIpnv3ETtzcHo+EGezfzZnS1DRMgU3FBaCZvKVUbhIgGm72sxRFg==
13fnmrkele5ulkqhrmmb94jdl186f1im.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 16405QR8DFL0UTJD62BPEHV4P9GJNB76 NS
13fnmrkele5ulkqhrmmb94jdl186f1im.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. HE56tV2gdmj0AVU2Q0cGXMfiIiO9SUBLP7CvycE1bjiPVxqOIQncn2De8nTU97dsMtefLUnyan50wYDwEByDHDwrrXK76jF0XSnyjxTJoH+vgEe6ddj2XPfTl6pl3c9vSZqgswk1dQdcMMik+JlOadDJaj6a4DD3QTUKOUC0TSBKbZgU2AUhUntD0AW6Yg/7QTBdMBVaVAZUH94RLbcYgA==
16405qr8dfl0utjd62bpehv4p9gjnb76.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 16VQQE1H4Q1CT74N0B7QJPVM28CAEL7P NS
16405qr8dfl0utjd62bpehv4p9gjnb76.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. 0jKVDIKOVrmaZnO1YcA6ndD1ENP1/jChF2DRAmqEriUhCh5cVFAIGVG3+dgFsl6t1ONTfrG8SoqajExoRvy798Fd3kxHm8lWr7FpB1NOXLO85yMHlwvdJ2vvDIrV2rHUhHLzFvzCUHWOSD3VSxX1nKvOIqDx57ObHOVLRSFWQao2F49zzibFXIKRcssQqIC5yXpitHLjNEfMgmJ3sDwq6w==
16vqqe1h4q1ct74n0b7qjpvm28cael7p.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 17CHMP36HUG5TR153D4G74KBVB4L2PPB NS
16vqqe1h4q1ct74n0b7qjpvm28cael7p.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. Xes6Z1xpTR463exp5W/2DiFbGMk3EZ0GwkNWwpvjKdRGkFFSjo9hg8oIRc2+z+4s6TSrGE8mr/MiQB10kRnm4OcG3PESMR6Ete5JY5nJ+DimsiikWKDgtQXqJlukDThg8ipKKT+CZ2qgKdRtOLQsJ69rXHfnKJr/OjISLV32A3vpkRFMIVcK5viGPoBGdtgMsbEBkhodwQQG2BRMamvGuA==
17chmp36hug5tr153d4g74kbvb4l2ppb.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 187FSTHMR9J4N3ND1A2T2UFGR94SH6T6 NS
17chmp36hug5tr153d4g74kbvb4l2ppb.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. E5ERsSEnRrDkYPLU7FYoLqNdjWsddO3T/91dz35h5vHCaoPctsK8ekhDI5oVXLCzZfyiKGTyLuYl+rDBIwoIo6NW6OKIUxEWxu0cLlvJHxvUQjrVOowR2d4aHVwwJj7WJ0NMy5opPqD5P1gxhL/lZFETCfHK/+rre6/thBP3R3Cn3Bq5DUCNgkKvn2xlGZ+d2sQPfYoIxCdY2G7dA8+3kQ==
187fsthmr9j4n3nd1a2t2ufgr94sh6t6.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 19MA1JKTU12MUHH9P961DM9PLQQLDN5A NS
187fsthmr9j4n3nd1a2t2ufgr94sh6t6.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. UYNoYoaOWGIYJX5Sq/EGxBoRb9sLztqi2kAQ8NuBn36EHdnE0lIV0moUPIQybGPH1rBDpbB0nOi+muqmVGir4KN37B+NbfI5GwNJ8vPJ6vi/rjr7X6n06YbsIKIRS/hoKtJV2+70diSfDzS6bxHN6PLq0/SohZpWNi3TkQSF05gm2VtbCcwCMENtUg1b3XpHc8siQjDmZrb+lHD5mn9pxA==
19ma1jktu12muhh9p961dm9plqqldn5a.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1AHF676447H8OEMO0PAHILDHUO8ES69A NS
19ma1jktu12muhh9p961dm9plqqldn5a.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. sx4iatKBn2rY5eMbWeEcU3Lwafq0VJWTZO8mwasNbVCnbLXBbVISy6Bj92jZTOrs8Cu6x2W594hruWpDDCICjitcJXlKXHdU7tTmxREbnsX7H1w3IP9aP+kehgEI9eJHs+9Lzi6v7V71g31FM7rmK8XBa+z0SZCuCI804bIrS166IYvw6UB4TpqVCMqDoCTC6Wzr/bJFGjT38NBOnByEzA==
1ahf676447h8oemo0pahildhuo8es69a.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1E48FNVVS0GDC6SRLO8NK4D19KEQCP65 NS
1ahf676447h8oemo0pahildhuo8es69a.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. RDZisuCfWYPz2EEcUkAWlv6x7I3URnyy61tUmviXK0jZSzibdgTL+HcZyw2J6gZEK8yK/1xo/FXQf1icHYrqhTEn3WlGv2CR/H3hS6fNb/gfoulmgmySSKhUiYhl9e/VsmLRDsryrX7kywNYvvgbpmSmT1vFBq80pQyyDHrO/XiKyH4VvDd9bHWaKEMkVC+2w8132pjabCDGoLavjvV8fw==
1e48fnvvs0gdc6srlo8nk4d19keqcp65.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1EH6RUKIG2AP405H7T8NI3HH5IP7K3RQ NS
1e48fnvvs0gdc6srlo8nk4d19keqcp65.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. nQKm4aUHWNzjXApFmBt2b2ErgGrcDflbWneD/eyGHN0l5qQbo8QQC7aukSiwT4HfISaKQ6JiXWkwRrPJilvCIPZEkODL8mVX58pyJSsTcJsKiQF75YJ7SO0gY3SHq83mTLdTOpEhz5LeHLgtoc8y/v8dF5qabunrYcr0SZlS7EKj1KJsJDhi23t3YMDp+Z3LpjyyLQrN3v0mD0uiCGBKLA==
1eh6rukig2ap405h7t8ni3hh5ip7k3rq.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1F1QFG8D0KGPORUNEQEMONIT41SLKHFV NS
1eh6rukig2ap405h7t8ni3hh5ip7k3rq.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. T1pNi4fWJT5GuvwWfPsFSWtE0qF/dFFETzDXjjdIHNuaynQ9poM/Iufe6/LQOYnbq9roOhh+zbeqD/CmLSedZW9LYOJRo8kQUor4oaOwPSbHzIVl4RYGuxwr4QWSMe/+5cUwMpIuOipY6W/HQmaNIOsqZX7iYw4joWA/PicLXgcZyzkXXuAy19ud8509YUn1QZ3eSqIKWce7T4vpmJqtIw==
1f1qfg8d0kgporuneqemonit41slkhfv.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1F7JUV8UC3OF3KN16IGVOQ5HCQ810G0Q NS
1f1qfg8d0kgporuneqemonit41slkhfv.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. bfbDDNvw3kSAMZZqjG+TGSOUctYHVFjYqFrkzW6p/deVK3zgcfO2yPR46aFoARnUydp+tOO0v2yIOeBbJOCrv39h1H79FD4NH2WwiRzCMOoMAI+AsOWrJyKpmpHEk8d+kxIq8TbXU5GrbSH4LpNUtTJ7BPwo/A8u+Hfsrct1GeQJTflb7j/eDOn6SDhNklrwky8bjDwkYF9Xqbmmlu/Rvg==
1f7juv8uc3of3kn16igvoq5hcq810g0q.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1FDTLTHD1ACC8J335LFCSICJVLQLKUSP NS
1f7juv8uc3of3kn16igvoq5hcq810g0q.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. DEb6+jBqKqEus434JR86WTMlHxfQC21RsVsHuQzgRkv6zSl68rF3tnNGcWvrUDvLBAV0tpEKfau367iAsZMPAcUcI49XLOVqNMqqGqXmImFWzjn7p/PV/uP7cO4pCiX0ZcD1QHEC/V9n5UIRwtxmh3tq2zzDmuB6DV/GG6i2w5+SWx2rdGz8MXbs5SJKtyDeWTrEuRKUnhOqPXA6FNfV9A==
1fdtlthd1acc8j335lfcsicjvlqlkusp.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1FJB958RAAQS3NBKRFCBO5V2UOBB6BQO NS
1fdtlthd1acc8j335lfcsicjvlqlkusp.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. uQdzv/5r6ogQbgkAU3W8n9+GOdNKzK8Dt+yD48dnjb8I7VlWfU0vLpXnSoRFsDKS/E7ra0t2I647q2Voj9fODDJRfx0d5WXHOUGYBlQrSabxXuWRERnvUqAXs0H6gm/MH33VCQnSSFbOWOVh5mZsHQl0sPNnE4P/M6DyscWy0Eyhg9IVNC/KGxE6VNJOZJKS+Z1q5v/2wSft/ukKatFIbg==
1fjb958raaqs3nbkrfcbo5v2uobb6bqo.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 1HGDFHE0NDKPH7I5OFQPRGAEF0D0SJN7 NS
1fjb958raaqs3nbkrfcbo5v2uobb6bqo.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. MAo791ftaeY9qG7Hp2dLz5avHbaUZOwBPClVzO9cEh65mCHbuX3Xl/uIeAGaB71WrMRWfYu91+sizNVV/1RamQPTLGEfN1I2QQipZOckrUDurRed6IAGIKx1xuvhNBmKMwJ4NvyNYBurIPN6Mzomew30qOHMp+jD7KZbKPr1QPmmfBZgzOYI+OGeJx22s/QWQuPT4aUVZFvssc0DaysLAA==
