0rk8a4jr3bbl0351t9rvcplk5n0uodbh.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. IybDGyNI3HeyaBRWgFHdAhvefJi43pXzUiJ8rh/Wj1ptKiFjtnAfRSyEMibBkJ7MfSo7x7GWTfrRilOTQAGY+p8iZ+jPbNhu+o6bZ410zkGs8uV8w2Fc4Ar1jFFBlcfVQ51iOFk6Vrp1e5g0oj8LdkDdNmF0lkbukzxFODvV/9w=
0u0rf0640k8tllf7lc9fpel0m947s6em.restaurant.	3600	in	nsec3	1 1 0 73 0VDPLQ52SHDTDITLDA1116BM9S09V75V NS DS RRSIG
0u0rf0640k8tllf7lc9fpel0m947s6em.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. cgjHA9Uyr7ZcaWn9rI4eeHWRJJYwWZnhJuhLL8wlQtDyfWJN9gJWOmyuo4fs6/fNHX0KkMZ/wnR2vplFdXhDXFIVyfIJbuKlu8urAxd7CKwIu4PEnh62WOjZNjJ2mGGzJlXiHGITgrWsc+JZtLXLDm5klY6CCXBHb6MP7i5WTks=
0vdplq52shdtditlda1116bm9s09v75v.restaurant.	3600	in	nsec3	1 1 0 73 1051Q36PBLJ560BPMG4KAMVE1OE6NALK NS DS RRSIG
0vdplq52shdtditlda1116bm9s09v75v.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. bE/lsfkWDgqsAbJudFL/pcMcBCfPHQjpCcCd80l5cQXBhJLAWEdygmSY/of5z86ubZtiRK4w7H1QnGW4t9DlW2ocLeqSFAA3EdZg6ZlWYWtgaDhD9xY46sZ+qq2hf5eBO3OiOMJGV+0C+l9/NAAis0AqM9xVNYo2b+I71f8c8ck=
0x.restaurant.	3600	in	ds	14032 13 2 463E3285E4E336A8F334DEE5AADFF6366847AA80E12B00D6ACBCB21A1EF7FD7C
0x.restaurant.	3600	in	ns	launch1.spaceship.net.
0x.restaurant.	3600	in	ns	launch2.spaceship.net.
0x.restaurant.	3600	in	rrsig	DS 8 2 3600 20260207160022 20260117150022 35283 restaurant. SKJjmmdsJhtlK3Z/8iTWCVkWc9RavlDWY9nu57geVALX7wS9DtgJ3X5DWPl9HmEOJEANLqo45HSJ1SYmoaQxZ1awX1BZLIP+D0SFyzS/ev0125RyN5dnuFhQIBcblQRKmrgA1o1Jl3XqMd5wBZPS5R705l7n+t4ffuu6jpeqLVI=
1-618.restaurant.	3600	in	ns	dns105.ovh.net.
1-618.restaurant.	3600	in	ns	ns105.ovh.net.
100200.restaurant.	3600	in	ns	ns.udag.de.
100200.restaurant.	3600	in	ns	ns.udag.net.
100200.restaurant.	3600	in	ns	ns.udag.org.
100best.restaurant.	3600	in	ns	curitiba.ns.porkbun.com.
100best.restaurant.	3600	in	ns	fortaleza.ns.porkbun.com.
100best.restaurant.	3600	in	ns	maceio.ns.porkbun.com.
100best.restaurant.	3600	in	ns	salvador.ns.porkbun.com.
100folds.restaurant.	3600	in	ns	dns1.registrar-servers.com.
100folds.restaurant.	3600	in	ns	dns2.registrar-servers.com.
100main.restaurant.	3600	in	ns	ns01.domaincontrol.com.
100main.restaurant.	3600	in	ns	ns02.domaincontrol.com.
101bocatas.restaurant.	3600	in	ns	ns1.wordpress.com.
101bocatas.restaurant.	3600	in	ns	ns2.wordpress.com.
101bocatas.restaurant.	3600	in	ns	ns3.wordpress.com.
1051q36pblj560bpmg4kamve1oe6nalk.restaurant.	3600	in	nsec3	1 1 0 73 12HSHPUU7SBQ35POCKT2QKM8G396PO9C NS DS RRSIG
1051q36pblj560bpmg4kamve1oe6nalk.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. RK18DVI1q6r3/QfK8+l2q4mIzb6txFR3Rtn9mttcW6gWbxx2XurtdoL0MNIEiqymN7jePI+NpNAQ0qOkXkQHOFHc5diZ9LBwROCcwed+Rz6dGoVPgRMxFT6hMppHoN1kzxSLbruY6rKAzzp0ENuAFZxiAZus2fJv1/Xdzj3y0pg=
10x.restaurant.	3600	in	ns	alexia.ns.cloudflare.com.
10x.restaurant.	3600	in	ns	jay.ns.cloudflare.com.
11te.restaurant.	3600	in	ns	ns-de.1and1-dns.biz.
11te.restaurant.	3600	in	ns	ns-de.1and1-dns.com.
11te.restaurant.	3600	in	ns	ns-de.1and1-dns.de.
11te.restaurant.	3600	in	ns	ns-de.1and1-dns.org.
123b.restaurant.	3600	in	ns	garret.ns.cloudflare.com.
123b.restaurant.	3600	in	ns	liberty.ns.cloudflare.com.
12hshpuu7sbq35pockt2qkm8g396po9c.restaurant.	3600	in	nsec3	1 1 0 73 156I6GR66DKS0R9VKL87HR0GFQKGA68A NS DS RRSIG
