0hhbhv9sr069jvof5i4t0c7isdo337r3.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. o8z273Hx1lq+Rnz/UEMueGhmW3cjTFzjF6gH+IdBdoV5jmofTol88gtbb0Qai5AMehpBkmm/LZSWFCUnbK3nZwK6vBme5whkPI6TMeFEcq5tn0sI+gqWF82pm7l5/oQ0JWIGfuYaOeMfA4B7WFrGBrFNr8QqWe6JdQGI+e8ee/Y=
0ls59hpu9727b961mfr7kjpb7egh1i36.kim.	3600	in	nsec3	1 1 0 73 0LTUI4A2K5S254DDFJMTIEULH7E2FRBR NS DS RRSIG
0ls59hpu9727b961mfr7kjpb7egh1i36.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. tIQ1WuHcnSBFcdxdQyoDKRSAAUss8yf+7nScghqsBh8rx8iRzl0AGUYoKx6r9c2eunXoxTPW4X478K6whcnDZppzNYD0+jK9zKsj1nZeRSuLhzIxNP8kg713fIMMUfvAXAaGxbj5CRw7mGbcHnT6UqNlfvX6jawOGlpciK9By/c=
0ltui4a2k5s254ddfjmtieulh7e2frbr.kim.	3600	in	nsec3	1 1 0 73 0PDDC60M9DJ6OGT9KL3HL0S2LG0EJ7KD NS DS RRSIG
0ltui4a2k5s254ddfjmtieulh7e2frbr.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. RDZIAyEmh2iiImPFgwWw5PJE8twL4xVQJrb/5NKBc0UgUUN6zhDcJJYbogTFqfffkK1/DAHbiR6FqN0G9y2gTSra1+cKKIyjjOCU1bkzSz1eTQXzsKrbfud3kjPkTWBvWdXMZWrPp2UibaXalyyvi4mAOvSE53LrXK76cXmqGOI=
0pddc60m9dj6ogt9kl3hl0s2lg0ej7kd.kim.	3600	in	nsec3	1 1 0 73 17GO2E301AELG8C4GULBEVQ3MMCAN9TV NS DS RRSIG
0pddc60m9dj6ogt9kl3hl0s2lg0ej7kd.kim.	3600	in	rrsig	NSEC3 8 2 3600 20250922160903 20250901150903 64416 kim. ADUcYVn/ZS2ljflgal8qFKU8gJmI6V/xIujRF7JBv67gdWKw6dfqQ6TvJwzXbkiLcv57CjIdlF43w24yEqiTtRitibnTxqciVNtluDNnddrvd9Aif3QtIQPxVCOcbtoqqV2ip96FrxZKUOC6Vi9CE8Z84pNqFrKyGLmCVJtzPOA=
100.kim.	3600	in	ns	expire1.cnolnic.com.
100.kim.	3600	in	ns	expire2.cnolnic.com.
10000.kim.	3600	in	ns	ns1.cafe24.co.kr.
10000.kim.	3600	in	ns	ns1.cafe24.com.
10000.kim.	3600	in	ns	ns2.cafe24.co.kr.
10000.kim.	3600	in	ns	ns2.cafe24.com.
10010.kim.	3600	in	ns	vip3.alidns.com.
10010.kim.	3600	in	ns	vip4.alidns.com.
10076.kim.	3600	in	ns	a.dnspod.com.
10076.kim.	3600	in	ns	b.dnspod.com.
10076.kim.	3600	in	ns	c.dnspod.com.
1024.kim.	3600	in	ns	dns7.hichina.com.
1024.kim.	3600	in	ns	dns8.hichina.com.
10271.kim.	3600	in	ns	n1.xundns.com.
10271.kim.	3600	in	ns	n2.xundns.com.
103rat.kim.	3600	in	ns	nancy.ns.cloudflare.com.
103rat.kim.	3600	in	ns	rudy.ns.cloudflare.com.
10461.kim.	3600	in	ns	ns7.alidns.com.
10461.kim.	3600	in	ns	ns8.alidns.com.
106.kim.	3600	in	ns	dns29.hichina.com.
106.kim.	3600	in	ns	dns30.hichina.com.
10656.kim.	3600	in	ns	a.dnspod.com.
10656.kim.	3600	in	ns	b.dnspod.com.
10656.kim.	3600	in	ns	c.dnspod.com.
10dian.kim.	3600	in	ns	orion.dnspod.net.
10dian.kim.	3600	in	ns	pleasant.dnspod.net.
110.kim.	3600	in	ns	ns1.judns.com.
110.kim.	3600	in	ns	ns2.judns.com.
11062.kim.	3600	in	ns	a.dnspod.com.
11062.kim.	3600	in	ns	b.dnspod.com.
11062.kim.	3600	in	ns	c.dnspod.com.
111.kim.	3600	in	ns	ns4.myhostadmin.net.
111.kim.	3600	in	ns	ns5.myhostadmin.net.
111kmffff-k5.kim.	3600	in	ns	ns1.dyna-ns.net.
111kmffff-k5.kim.	3600	in	ns	ns2.dyna-ns.net.
1131gg.kim.	3600	in	ns	hayes.ns.cloudflare.com.
1131gg.kim.	3600	in	ns	meiling.ns.cloudflare.com.
11358.kim.	3600	in	ns	dane.ns.cloudflare.com.
11358.kim.	3600	in	ns	tori.ns.cloudflare.com.
11621.kim.	3600	in	ns	a.dnspod.com.
11621.kim.	3600	in	ns	b.dnspod.com.
11621.kim.	3600	in	ns	c.dnspod.com.
11865.kim.	3600	in	ns	a.dnspod.com.
11865.kim.	3600	in	ns	b.dnspod.com.
11865.kim.	3600	in	ns	c.dnspod.com.
11957.kim.	3600	in	ns	n1.xundns.com.
11957.kim.	3600	in	ns	n2.xundns.com.
11bet.kim.	3600	in	ns	darl.ns.cloudflare.com.
11bet.kim.	3600	in	ns	jessica.ns.cloudflare.com.
11betwin.kim.	3600	in	ns	aragorn.ns.cloudflare.com.
11betwin.kim.	3600	in	ns	penny.ns.cloudflare.com.
120.kim.	3600	in	ns	expirens3.hichina.com.
120.kim.	3600	in	ns	expirens4.hichina.com.
122.kim.	3600	in	ns	dns25.hichina.com.
122.kim.	3600	in	ns	dns26.hichina.com.
123-movies.kim.	3600	in	ds	39607 13 2 8FA9DAD7A9B081235BCE8BE10E3704E637A33A65B1C9F45C03582C1ED1E2CECD
123-movies.kim.	3600	in	ns	launch1.spaceship.net.
123-movies.kim.	3600	in	ns	launch2.spaceship.net.
123-movies.kim.	3600	in	rrsig	DS 8 2 3600 20250922160903 20250901150903 64416 kim. DBBovENStM88NBdanUFEqBWZcD1i0hIStCze24mNXQmuDi3fmx9edk04F3JZ/uW4nDKOxX07/jj8Y9LGGhAOr1Rw9GkqMbnOs+3NG2tuEAEPJw8mrNLVMiXTUOBYlrjIDgHKrlGZdtNSMvMsur7z72NjtMZLRq/9Ngrq5DxmPTM=
123.kim.	3600	in	ns	ns1.myhostadmin.net.
123.kim.	3600	in	ns	ns2.myhostadmin.net.
123.kim.	3600	in	ns	ns3.myhostadmin.net.
123.kim.	3600	in	ns	ns4.myhostadmin.net.
123.kim.	3600	in	ns	ns5.myhostadmin.net.
123.kim.	3600	in	ns	ns6.myhostadmin.net.
1234.kim.	3600	in	ns	dns25.hichina.com.
1234.kim.	3600	in	ns	dns26.hichina.com.
12345.kim.	3600	in	ns	a.dnspod.com.
12345.kim.	3600	in	ns	b.dnspod.com.
12345.kim.	3600	in	ns	c.dnspod.com.
12346.kim.	3600	in	ns	a.dnspod.com.
12346.kim.	3600	in	ns	b.dnspod.com.
12346.kim.	3600	in	ns	c.dnspod.com.
12370.kim.	3600	in	ns	a.dnspod.com.
12370.kim.	3600	in	ns	b.dnspod.com.
12370.kim.	3600	in	ns	c.dnspod.com.
123b.kim.	3600	in	ns	dns101.registrar-servers.com.
123b.kim.	3600	in	ns	dns102.registrar-servers.com.
123mkv.kim.	3600	in	ns	ns1.dns-redirect.com.
123mkv.kim.	3600	in	ns	ns2.dns-redirect.com.
123movies.kim.	3600	in	ns	mimi.ns.cloudflare.com.
123movies.kim.	3600	in	ns	ricardo.ns.cloudflare.com.
123win.kim.	3600	in	ns	perla.ns.cloudflare.com.
123win.kim.	3600	in	ns	scott.ns.cloudflare.com.
126.kim.	3600	in	ns	dns1.hichina.com.
126.kim.	3600	in	ns	dns2.hichina.com.
12bet.kim.	3600	in	ns	dns101.registrar-servers.com.
12bet.kim.	3600	in	ns	dns102.registrar-servers.com.
1314.kim.	3600	in	ns	dns27.hichina.com.
1314.kim.	3600	in	ns	dns28.hichina.com.
1337.kim.	3600	in	ns	dns1.registrar-servers.com.
1337.kim.	3600	in	ns	dns2.registrar-servers.com.
13500.kim.	3600	in	ns	a.dnspod.com.
13500.kim.	3600	in	ns	b.dnspod.com.
13500.kim.	3600	in	ns	c.dnspod.com.
13756.kim.	3600	in	ns	ns1.1233dns.com.
13756.kim.	3600	in	ns	ns2.951dns.com.
1388.kim.	3600	in	ns	ns1.dyna-ns.net.
1388.kim.	3600	in	ns	ns2.dyna-ns.net.
139.kim.	3600	in	ns	dns11.hichina.com.
139.kim.	3600	in	ns	dns12.hichina.com.
13989.kim.	3600	in	ns	a.dnspod.com.
13989.kim.	3600	in	ns	b.dnspod.com.
13989.kim.	3600	in	ns	c.dnspod.com.
14478.kim.	3600	in	ns	n1.xundns.com.
14478.kim.	3600	in	ns	n2.xundns.com.
