18win.wales.	3600	in	ds	25401 13 2 065893D9B6F0403D7E352F7491CF134160DDF3BCAE61E0910D3CBC2314CE4239
18win.wales.	3600	in	rrsig	DS 8 2 3600 20260226194223 20260122192421 5890 wales. Jc4n2a74Q9Lc5QQe5x5zGPLEu843EJYmhp1QtWZCl4e1moRvztqM0kA0CipRP3enxvsHAQej9UaLfaHKuLPf+RDMII1PHnh9A4l3hiE4e/FPQX0rAx9j2QpBO5tcAthPRMlb7zGs71wNjE0yQ7W0hYj+F9IkleChTNh3ZtxH1Vw02biotZBPJGJ25yqY23JdPfklQtBmHSQSrH4rQiG5/7mDVA0mr5xw+b9eoSJg+YFgvCNvH2zmRGz3cdeqkV0uNwzyJMQBWlk2sZGfOv/78QZ7MnOeh6cj1Dp2xJ1HngkD+M23FygGTNZCZxi1NWSbUasSsIpdsN+t8XgLVJXCeg==
196k8oolhn1ra0ot60s73764je7jg75h.wales.	3600	in	nsec3	1 1 0 - 1ANB2JV3O57NN5C2KCP8AMHUFK5D9BQ5 NS DS RRSIG
196k8oolhn1ra0ot60s73764je7jg75h.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260228061725 20260124060742 5890 wales. TrAcmwe6ZUKrNMOtjqFKY16n2wSRWeGqTaYnRyWxYa6bLEpBHnxB++Dhpd62LcFp7QRsWrLvEkS4w/lvbDPGUXeYCIi1NidpKMnZHlJSP/5C02lhVf3+Is1zDJlvZ8V8IzGGQfrat+Jp32kl0Yk/7sBl0g35vUz0yOc2Hcy0UeIYI8gUb7lsZKLKvjkKZyephEGTvKmldTakHEQTmRYtRor1cQrHirnVe6tkdfd4noMEOut7Wh9Gt5J2gbZ0DbXtD73eBqmJAve3Dny8vrScGg3LfD1MSljINwBkt0uVETGGwEjv6aKQgyC2Tbqg9Q/PqDYa8PzciF67vd9OiG6zdw==
1anb2jv3o57nn5c2kcp8amhufk5d9bq5.wales.	3600	in	nsec3	1 1 0 - 1LQJGJGHPKPVF22NGOSG9A6OS6QKML26 NS DS RRSIG
1anb2jv3o57nn5c2kcp8amhufk5d9bq5.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260226173254 20260122171047 5890 wales. DOMzlowyiSgH8JSGwzq+DhLhRspg7fBji0a2rAEpfEG8INoOK0DRV3NzJtnESXmU6W7+5hXS2tcNeng6bNOfOu4osdGmKMwOXfcheF50JIsLLfdfSq7rGLtCkY6rC7LwJp3t6f8EMtuBaHhfWZJN0Ix2zniLXn5wc6Mkj2DC7NvC3IC0vybCQGUNPsKoR4QCbNYw/ffSBwgEQBvJko1TBXNEVXwrj60Z3ptxq4hVquM52uO7aWe265t6iWYYHNGtzfNgDSS3pYiAgXyVAIv0GBNDSU3YXrAYx+bpafldVQ6FWdvDKnriuRs0zo+xz/woCywEh77amWORZxlIXXeLIA==
1gom.wales.	172800	in	ns	dns1.registrar-servers.com.
1gom.wales.	172800	in	ns	dns2.registrar-servers.com.
1lqjgjghpkpvf22ngosg9a6os6qkml26.wales.	3600	in	nsec3	1 1 0 - 1PLEA7SDHATT3MHM4L0QHN00P6DBM8LA NS DS RRSIG
1lqjgjghpkpvf22ngosg9a6os6qkml26.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260226172528 20260122165600 5890 wales. DbUOf0i+YVTKwv7YCZDQiVtuph2wdhPXa17i+V19sz/5xExddGv7/T9noL3CipVWc/bqUc2O69SxS+AQvB5ZYTIjCoRBCKF2hn/JN50/sd1GihRnWOd+wnuXzG+fETdxvwEa6qy9qcBlIl+pSAa1hRcXbqSO2CYcEph+nBSNnSB9Y3mMKHMpZ+xhCvWMDBHzCwn8LeSTSgJBvoRUuL1px4LtdoRCxFa3/GtiP5ilJk80pqZCb3n6jfS+4iSrzrV2iNJcTK212YnoD1RxqEWJL433q/SDab/ffn7Yxy9iY8Q6kpz9PO+Kr787MFzoiPLhyDuLZorITRyreWfFQpQ+8Q==
