1-800.sale.	3600	in	ns	curitiba.ns.porkbun.com.
1-800.sale.	3600	in	ns	fortaleza.ns.porkbun.com.
1-800.sale.	3600	in	ns	maceio.ns.porkbun.com.
1-800.sale.	3600	in	ns	salvador.ns.porkbun.com.
10.sale.	3600	in	ns	slate.dnspod.net.
10.sale.	3600	in	ns	smoke.dnspod.net.
1000.sale.	3600	in	ns	ns1.sedoparking.com.
1000.sale.	3600	in	ns	ns2.sedoparking.com.
10000.sale.	3600	in	ns	ivan.dnspod.net.
10000.sale.	3600	in	ns	jack.dnspod.net.
1000adayebook.sale.	3600	in	ns	ns1.systemdns.com.
1000adayebook.sale.	3600	in	ns	ns2.systemdns.com.
1000adayebook.sale.	3600	in	ns	ns3.systemdns.com.
1001.sale.	3600	in	ns	ns1.reg.ru.
1001.sale.	3600	in	ns	ns2.reg.ru.
10086.sale.	3600	in	ns	array.dnspod.net.
10086.sale.	3600	in	ns	bishop.dnspod.net.
100x.sale.	3600	in	ns	dns7.hichina.com.
100x.sale.	3600	in	ns	dns8.hichina.com.
1010.sale.	3600	in	ns	ns1.hkcsl.com.
1010.sale.	3600	in	ns	ns2.hkcsl.com.
1010.sale.	3600	in	ns	ns3.hkcsl.com.
1010.sale.	3600	in	ns	ns4.hkcsl.com.
1024.sale.	3600	in	ns	helen.dnspod.net.
1024.sale.	3600	in	ns	narrow.dnspod.net.
1069.sale.	3600	in	ns	ns1.dnsowl.com.
1069.sale.	3600	in	ns	ns2.dnsowl.com.
1069.sale.	3600	in	ns	ns3.dnsowl.com.
10863215.sale.	3600	in	ns	ariella.ns.cloudflare.com.
10863215.sale.	3600	in	ns	langston.ns.cloudflare.com.
10x.sale.	3600	in	ns	curitiba.ns.porkbun.com.
10x.sale.	3600	in	ns	fortaleza.ns.porkbun.com.
10x.sale.	3600	in	ns	maceio.ns.porkbun.com.
10x.sale.	3600	in	ns	salvador.ns.porkbun.com.
10xdigital.sale.	3600	in	ns	ns21.domaincontrol.com.
10xdigital.sale.	3600	in	ns	ns22.domaincontrol.com.
11-11.sale.	3600	in	ns	greg.ns.cloudflare.com.
11-11.sale.	3600	in	ns	hope.ns.cloudflare.com.
110vip.sale.	3600	in	ns	ns43.domaincontrol.com.
110vip.sale.	3600	in	ns	ns44.domaincontrol.com.
1131gg.sale.	3600	in	ns	hayes.ns.cloudflare.com.
1131gg.sale.	3600	in	ns	meiling.ns.cloudflare.com.
1131sport.sale.	3600	in	ns	dns101.registrar-servers.com.
1131sport.sale.	3600	in	ns	dns102.registrar-servers.com.
114.sale.	3600	in	ns	ns3.myhostadmin.net.
114.sale.	3600	in	ns	ns4.myhostadmin.net.
1156.sale.	3600	in	ns	antonio.dnspod.net.
1156.sale.	3600	in	ns	susan.dnspod.net.
11838.sale.	3600	in	ns	curitiba.ns.porkbun.com.
11838.sale.	3600	in	ns	fortaleza.ns.porkbun.com.
11838.sale.	3600	in	ns	maceio.ns.porkbun.com.
11838.sale.	3600	in	ns	salvador.ns.porkbun.com.
11bet.sale.	3600	in	ns	darl.ns.cloudflare.com.
11bet.sale.	3600	in	ns	jessica.ns.cloudflare.com.
12-12.sale.	3600	in	ns	greg.ns.cloudflare.com.
12-12.sale.	3600	in	ns	hope.ns.cloudflare.com.
12.sale.	3600	in	ns	ns3.nic.ru.
12.sale.	3600	in	ns	ns4.nic.ru.
12.sale.	3600	in	ns	ns8.nic.ru.
120.sale.	3600	in	ns	ns1.afternic.com.
120.sale.	3600	in	ns	ns2.afternic.com.
121.sale.	3600	in	ns	ns1058.ui-dns.com.
121.sale.	3600	in	ns	ns1060.ui-dns.biz.
121.sale.	3600	in	ns	ns1101.ui-dns.de.
121.sale.	3600	in	ns	ns1106.ui-dns.org.
123.sale.	3600	in	ns	ns1.premiumdomains.cloud.
123.sale.	3600	in	ns	ns2.premiumdomains.cloud.
12315.sale.	3600	in	ns	ns1-show.myhostadmin.net.
12315.sale.	3600	in	ns	ns2-show.myhostadmin.net.
12345.sale.	3600	in	ns	jonah.ns.cloudflare.com.
12345.sale.	3600	in	ns	nova.ns.cloudflare.com.
123456.sale.	3600	in	ns	escape.dnspod.net.
123456.sale.	3600	in	ns	width.dnspod.net.
123b.sale.	3600	in	ns	ezra.ns.cloudflare.com.
123b.sale.	3600	in	ns	nataly.ns.cloudflare.com.
123bet.sale.	3600	in	ns	adel.ns.cloudflare.com.
123bet.sale.	3600	in	ns	damiete.ns.cloudflare.com.
123movies.sale.	3600	in	ns	ns1.fp261.parklogic.com.
123movies.sale.	3600	in	ns	ns2.fp261.parklogic.com.
123moviesfree.sale.	3600	in	ns	ns1.park-my-domain.net.
123moviesfree.sale.	3600	in	ns	ns2.park-my-domain.net.
123tv.sale.	3600	in	ns	ns.udag.de.
123tv.sale.	3600	in	ns	ns.udag.net.
123tv.sale.	3600	in	ns	ns.udag.org.
12htp59puag7cqd7elnoquial69suk9u.sale.	3600	in	nsec3	1 1 0 73 14EIFRL7TJSR359P1M7Q2QEE88NEO45G NS DS RRSIG
12htp59puag7cqd7elnoquial69suk9u.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. pk8tFQW1OqnUJu6vIA8Bc5CM2SVcHdEx0LDTCADbzXMj3gE8mw4PIkAAsARNXrN5bDCoMMZe9obVMwWumARjGe0seQWGy9K2VBqO+g5ZOxJ4vz++CsfqiYNi2+y9YT/zCy3pHrZptRvhw8hFIhz2NiefBeq3v7arHWTpmmeBX60=
1314.sale.	3600	in	ns	adam.dnspod.net.
1314.sale.	3600	in	ns	jim.dnspod.net.
133.sale.	3600	in	ns	ns1.namefind.com.
133.sale.	3600	in	ns	ns2.namefind.com.
14.sale.	3600	in	ns	ns43.domaincontrol.com.
14.sale.	3600	in	ns	ns44.domaincontrol.com.
143dx1.sale.	3600	in	ns	algin.ns.cloudflare.com.
