1sbpiqal04dv3l0h0olc8a9itvitinp8.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. Gx45gOHeLN3A1RULp3WXDUaJi4LClEtmWeOH3rZ0FRrOG25RpBb0+KIUCBk47rp9N3wZMtbqbNvivQQLGokfZPUds4mHKvSlEm81/vDYG33PqwK6XoTN6CU4+a/xZuO3pGUD4l48RMYXW/UKB0eX2geaXUde6QnKXO4gsvzNhpc=
1stand10.football.	3600	in	ns	ns71.domaincontrol.com.
1stand10.football.	3600	in	ns	ns72.domaincontrol.com.
1stgoal.football.	3600	in	ns	ns1.livedns.co.uk.
1stgoal.football.	3600	in	ns	ns2.livedns.co.uk.
1stgoal.football.	3600	in	ns	ns3.livedns.co.uk.
1u2triusl8v378m53uc5n9lva402pbcf.football.	3600	in	nsec3	1 1 0 73 1U67NSCR2GK4ILBNSM926KPB1TM67M61 NS DS RRSIG
1u2triusl8v378m53uc5n9lva402pbcf.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. DrL3XrXK3CuRkjhlBHKwB4dAlQEUfja/xBoePwoifLWBBR+M0dvvcrDRS/IehawLm/6uEcHhHKrS0ye8I2JMixcc4nlOdj1nZB7cFOlvpipzMrLd8r3YrRNF6I9ck4NOECA2SEPwuKmKBymtQzvkxQZweKbtCjblC+rccW7N2r8=
1u67nscr2gk4ilbnsm926kpb1tm67m61.football.	3600	in	nsec3	1 1 0 73 1V72BSUH0MA4BCEC99L14VEC548LVGD4 NS DS RRSIG
1u67nscr2gk4ilbnsm926kpb1tm67m61.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. oa/+Ry2KRP5SRuXzQGYFp5O3PSz+T04eXD80oejHRLsm9Z4s9RVCDhR+1EDUosdNxTpol4SQpyzQs+nWOVSZwJiIvQIiTc66E8ENRPtOa8/rYbAsjO1PDcfdpBm761ubz4YEnB8NAMZXXt9AOI4f8oegnm/3b5Rn/qq2clruuno=
1v72bsuh0ma4bcec99l14vec548lvgd4.football.	3600	in	nsec3	1 1 0 73 2334DDBB699KVKJLOHMS1G9RKDC56KK5 NS DS RRSIG
1v72bsuh0ma4bcec99l14vec548lvgd4.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. EE9hxHSkhuB37mEjshVr1241sCWcRPngDkmmACAHOl3pBfU5RQJDsxnSNtH+JcqOp7jNPS8zUolU4FjQNL+mHnrabNFyUyRpULOjT70ro4ifiTRr1tqWtDfRdNUJteuenNlIa6Wm5JN8mEm7AItLP11KgQpuC5X/HgUHfbjIk0I=
1win.football.	3600	in	ns	ns1.regery.net.
1win.football.	3600	in	ns	ns2.regery.net.
1win.football.	3600	in	ns	ns3.regery.net.
1x2.football.	3600	in	ds	2371 13 2 A9D961FC73C577745804F372C336BFC50BBB5DC26F9A7BBA571A9554B59E2A51
1x2.football.	3600	in	ns	elle.ns.cloudflare.com.
1x2.football.	3600	in	ns	jeff.ns.cloudflare.com.
1x2.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. RWkELzspp5UZA9E8Eg+UgkGcCqWPvGfDs0zgm9QZrWE/tKF3sUfgwhl4P3Sezz918gnXtBjnYC1ZhDLAes5EUBLgz2TLe1A4x2d6ESqqTZAMznic/TOTIYDsLmsgf8M38iXOSsEcQw9EbqtiHCh5G/6l3tr76XfNNni84voFwFI=
1xbet-pt.football.	3600	in	ns	dns1.registrar-servers.com.
1xbet-pt.football.	3600	in	ns	dns2.registrar-servers.com.
2026.football.	3600	in	ns	lila.ns.cloudflare.com.
2026.football.	3600	in	ns	vin.ns.cloudflare.com.
2026fifaworldcup.football.	3600	in	ns	ns1.dns-parking.com.
2026fifaworldcup.football.	3600	in	ns	ns2.dns-parking.com.
2026worldcup.football.	3600	in	ns	ns1.dns-parking.com.
2026worldcup.football.	3600	in	ns	ns2.dns-parking.com.
2030.football.	3600	in	ns	docks12.rzone.de.
2030.football.	3600	in	ns	shades18.rzone.de.
2030yallavamos.football.	3600	in	ns	dns1.p02.nsone.net.
2030yallavamos.football.	3600	in	ns	dns2.p02.nsone.net.
2030yallavamos.football.	3600	in	ns	dns3.p02.nsone.net.
2030yallavamos.football.	3600	in	ns	dns4.p02.nsone.net.
2030yallavamos.football.	3600	in	ns	ns01.squarespacedns.com.
2030yallavamos.football.	3600	in	ns	ns02.squarespacedns.com.
2030yallavamos.football.	3600	in	ns	ns03.squarespacedns.com.
2030yallavamos.football.	3600	in	ns	ns04.squarespacedns.com.
2034.football.	3600	in	ns	ns1.pixtel.net.
2034.football.	3600	in	ns	ns3.pixtel.net.
2038.football.	3600	in	ns	ns1.pixtel.net.
2038.football.	3600	in	ns	ns3.pixtel.net.
20bet.football.	3600	in	ns	ns19.domaincontrol.com.
20bet.football.	3600	in	ns	ns20.domaincontrol.com.
