4seating.furniture.	3600	in	ns	ns-cloud-a4.googledomains.com.
4seating.furniture.	3600	in	rrsig	DS 8 2 3600 20250930152758 20250909142758 7176 furniture. YAYTlxpvFpJsJTd10WZP+UjznhI+u28lUaKijkWNkFuz/c+UxHoA+iE/CsdMetgvAzhEplQjdQ2DHslAqngRT3OZ0bTm2EBYW1QnIo6/Cllviz7EOVE41V8I9oa7bFU9EbZFUjxo7Ye1DLMbQfyp0j35cg0aCUH9h3AWq4fPJsE=
4ul3igen7gnbrqpa008fk44l1f8kk17t.furniture.	3600	in	nsec3	1 1 0 73 50P8QCVFANM0G4D7LN8G5SD61BFJD5CF NS DS RRSIG
4ul3igen7gnbrqpa008fk44l1f8kk17t.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. xtMZ8gSZC7sIUHPj2lvlmeOaoSQGoU5rOX3D8OjoSL87aXXoSCwNU6flE0scw5hrTpB4Dk4T0UJLU7TXgC0F/MrgylqbmBoeTtK+H3Ydi6YplkU3IndeTKlnuJJ+9bZIXhBisO6VhJvY4rVWQggEsXembtCOtG3tBpwmgyQi5Gg=
50p8qcvfanm0g4d7ln8g5sd61bfjd5cf.furniture.	3600	in	nsec3	1 1 0 73 53EO6QFDAP2MHT91JJLRU3DCOA9F6LMF NS DS RRSIG
50p8qcvfanm0g4d7ln8g5sd61bfjd5cf.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. yVEP6VYpeOT8ONyq+BwDwAFdcqFEXOZwLCLlIKRIJ9kE0XRn+QeFPhy/s+8b97ourm0NKIYjCk8dtG23Ek4FOgLcMW5pspEWMbbMhh4Jeu9AXlM/2tGcuaubCKRNN4sueBsOlvCXbHQ2xcLOB2gS07hPU2RGr4xtvnNd817XuGo=
53eo6qfdap2mht91jjlru3dcoa9f6lmf.furniture.	3600	in	nsec3	1 1 0 73 5CEJVO86LJIMGCM4Q7KMSDF3KIFDDQCK NS DS RRSIG
53eo6qfdap2mht91jjlru3dcoa9f6lmf.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. kzNRglTMrg+VhjGFZtltr8dAhYlxShTL1SuYVkBAdvvaw0h8OBsWUPqJnTn49l93nXnY8vD4NNH1Lz+H0qAyNPJqFqE7EY2UiYgd6Nj8FmsdndVZYKCvZ6Cbt3ay78UDcDJErH4liUENb8Mf0UkX2TWxifCvK5enoK++3G0iBwU=
5cejvo86ljimgcm4q7kmsdf3kifddqck.furniture.	3600	in	nsec3	1 1 0 73 5COK23V5IRNV5RMU0VRQVV1TKJI75PRO NS DS RRSIG
5cejvo86ljimgcm4q7kmsdf3kifddqck.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. HUvV22csMQtaknoyolEnjKsahu3RHwaGAYs1f25851vInqj5AUBbZScyjh2UsmOEd8phsey8oksBJ5QoRe/DASWqn/XC6r6czBF/mvyNqRBp6mRRE4Q2eSanVFZcI0ugkJOPkEMkAMuTxBC2yBMywqjuEz/7+bUQgyXRGZQ2E2A=
5cok23v5irnv5rmu0vrqvv1tkji75pro.furniture.	3600	in	nsec3	1 1 0 73 5FNJRVKOK335U95I3RMP91SC8M2HRTUF NS DS RRSIG
5cok23v5irnv5rmu0vrqvv1tkji75pro.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. nvxAud6pkbBvi3PEIC0T1RG8wy0YP4Z0GPy1eKpz0Uf7hVJ2xYa+Y2nK2nQsOPnfLeMH/QApK4Y7/z0aitpcnH+ZgoAcpu6rWtIcAUsYFQk5Xvd+SHo80ySVDUWtdR4/TiMNy5aTS8BQ0yXFWsqDB7yMXlLu5wMfIwvUtHeml54=
