xn----0mc0ack1b2cwa8aey.xn--ngbc5azd.	3600	in	ns	ns1.tagidomains.com.
xn----0mc0ack1b2cwa8aey.xn--ngbc5azd.	3600	in	ns	ns2.tagidomains.com.
xn----0mc0ack1b2cwa8aey.xn--ngbc5azd.	3600	in	ns	nsdr.tagidomains.com.
xn----0mcfw0hdio9a.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----0mcfw0hdio9a.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----0mcfw0hdio9a.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----0mclucm0hwa8aey.xn--ngbc5azd.	3600	in	ns	ns1.tagidomains.com.
xn----0mclucm0hwa8aey.xn--ngbc5azd.	3600	in	ns	ns2.tagidomains.com.
xn----0mclucm0hwa8aey.xn--ngbc5azd.	3600	in	ns	nsdr.tagidomains.com.
xn----4mc0af9dbhrzqo.xn--ngbc5azd.	3600	in	ns	ns1jsv.name.com.
xn----4mc0af9dbhrzqo.xn--ngbc5azd.	3600	in	ns	ns2qvz.name.com.
xn----4mc0af9dbhrzqo.xn--ngbc5azd.	3600	in	ns	ns3cpr.name.com.
xn----4mc0af9dbhrzqo.xn--ngbc5azd.	3600	in	ns	ns4sxy.name.com.
xn----4mcbsku9kbcap.xn--ngbc5azd.	3600	in	ns	dns1.p02.nsone.net.
xn----4mcbsku9kbcap.xn--ngbc5azd.	3600	in	ns	dns2.p02.nsone.net.
xn----4mcbsku9kbcap.xn--ngbc5azd.	3600	in	ns	dns3.p02.nsone.net.
xn----4mcbsku9kbcap.xn--ngbc5azd.	3600	in	ns	dns4.p02.nsone.net.
xn----fnc3a8bgg.xn--ngbc5azd.	3600	in	ns	byron.ns.cloudflare.com.
xn----fnc3a8bgg.xn--ngbc5azd.	3600	in	ns	zariyah.ns.cloudflare.com.
xn----gnc2dabdr2ae.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn----gnc2dabdr2ae.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn----kocabcpy.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn----kocabcpy.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn----qmcm5bdhb5i4amv1a.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcm5bdhb5i4amv1a.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----qmcm5bdhb5i4amv1a.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----qmcm7an5gyakreub.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----qmcm7an5gyakreub.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
