amazoncosmos.moi.	172800	in	ns	ns2.amzndns.co.uk.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.com.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.net.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.org.
amazoncuisine.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazoncuisine.moi.	172800	in	ns	nssui.comlaude.ch.
amazoncuisine.moi.	172800	in	ns	nsusa.comlaude.net.
amazondashbutton.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazondashbutton.moi.	172800	in	ns	nssui.comlaude.ch.
amazondashbutton.moi.	172800	in	ns	nsusa.comlaude.net.
amazondrive.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazondrive.moi.	172800	in	ns	nssui.comlaude.ch.
amazondrive.moi.	172800	in	ns	nsusa.comlaude.net.
amazonechospot.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonechospot.moi.	172800	in	ns	nssui.comlaude.ch.
amazonechospot.moi.	172800	in	ns	nsusa.comlaude.net.
amazonfashion.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonfashion.moi.	172800	in	ns	nssui.comlaude.ch.
amazonfashion.moi.	172800	in	ns	nsusa.comlaude.net.
amazonfood.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonfood.moi.	172800	in	ns	nssui.comlaude.ch.
amazonfood.moi.	172800	in	ns	nsusa.comlaude.net.
amazongaming.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazongaming.moi.	172800	in	ns	nssui.comlaude.ch.
amazongaming.moi.	172800	in	ns	nsusa.comlaude.net.
amazongo.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazongo.moi.	172800	in	ns	nssui.comlaude.ch.
amazongo.moi.	172800	in	ns	nsusa.comlaude.net.
amazonhandmade.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonhandmade.moi.	172800	in	ns	nssui.comlaude.ch.
amazonhandmade.moi.	172800	in	ns	nsusa.comlaude.net.
amazoninspire.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazoninspire.moi.	172800	in	ns	nssui.comlaude.ch.
amazoninspire.moi.	172800	in	ns	nsusa.comlaude.net.
amazonjeuxvideo.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonjeuxvideo.moi.	172800	in	ns	nssui.comlaude.ch.
amazonjeuxvideo.moi.	172800	in	ns	nsusa.comlaude.net.
amazonjewelry.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonjewelry.moi.	172800	in	ns	nssui.comlaude.ch.
amazonjewelry.moi.	172800	in	ns	nsusa.comlaude.net.
amazonjouets.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonjouets.moi.	172800	in	ns	nssui.comlaude.ch.
amazonjouets.moi.	172800	in	ns	nsusa.comlaude.net.
amazonkey.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonkey.moi.	172800	in	ns	nssui.comlaude.ch.
amazonkey.moi.	172800	in	ns	nsusa.comlaude.net.
amazonlaunchpad.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonlaunchpad.moi.	172800	in	ns	nssui.comlaude.ch.
amazonlaunchpad.moi.	172800	in	ns	nsusa.comlaude.net.
amazonlivre.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonlivre.moi.	172800	in	ns	nssui.comlaude.ch.
amazonlivre.moi.	172800	in	ns	nsusa.comlaude.net.
amazonlivres.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonlivres.moi.	172800	in	ns	nssui.comlaude.ch.
amazonlivres.moi.	172800	in	ns	nsusa.comlaude.net.
amazonmaison.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonmaison.moi.	172800	in	ns	nssui.comlaude.ch.
amazonmaison.moi.	172800	in	ns	nsusa.comlaude.net.
amazonmusique.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonmusique.moi.	172800	in	ns	nssui.comlaude.ch.
