xn--cck2b3b.	3600	in	soa	v0n0.nic.xn--cck2b3b. hostmaster.donuts.email. 1756257856 7200 900 1209600 3600
element.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
element.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
element.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
element.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
element.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
element.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
element.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
elementbrand.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
eucerin.xn--cck2b3b.	3600	in	ns	ns1.netnames.net.
eucerin.xn--cck2b3b.	3600	in	ns	ns2.netnames.net.
eucerin.xn--cck2b3b.	3600	in	ns	ns5.netnames.net.
eucerin.xn--cck2b3b.	3600	in	ns	ns6.netnames.net.
express-scripts.xn--cck2b3b.	3600	in	ns	ns.cigna.com.
express-scripts.xn--cck2b3b.	3600	in	ns	ns2.cigna.com.
expressscripts.xn--cck2b3b.	3600	in	ns	ns.cigna.com.
expressscripts.xn--cck2b3b.	3600	in	ns	ns2.cigna.com.
fay.xn--cck2b3b.	3600	in	ns	ns1.barbero.zone.
fay.xn--cck2b3b.	3600	in	ns	ns2.barbero.zone.
fire.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
fire.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
fire.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
flickr.xn--cck2b3b.	3600	in	ns	ns1.brandsight-dns.com.
flickr.xn--cck2b3b.	3600	in	ns	ns1.brandsight-dns.net.
flickr.xn--cck2b3b.	3600	in	ns	ns2.brandsight-dns.com.
flickr.xn--cck2b3b.	3600	in	ns	ns2.brandsight-dns.net.
fredperry.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
fredperry.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
fredperry.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
fredperry.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
fredperry.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
fredperry.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
fredperry.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
get.xn--cck2b3b.	3600	in	ns	ns1.amzndns.co.uk.
get.xn--cck2b3b.	3600	in	ns	ns1.amzndns.com.
get.xn--cck2b3b.	3600	in	ns	ns1.amzndns.net.
get.xn--cck2b3b.	3600	in	ns	ns1.amzndns.org.
get.xn--cck2b3b.	3600	in	ns	ns2.amzndns.co.uk.
get.xn--cck2b3b.	3600	in	ns	ns2.amzndns.com.
get.xn--cck2b3b.	3600	in	ns	ns2.amzndns.net.
get.xn--cck2b3b.	3600	in	ns	ns2.amzndns.org.
gofundme.xn--cck2b3b.	3600	in	ns	ns1.lexsynergy.net.
gofundme.xn--cck2b3b.	3600	in	ns	ns2.lexsynergy.us.
gofundme.xn--cck2b3b.	3600	in	ns	ns3.lexsynergy.info.
hogan.xn--cck2b3b.	3600	in	ns	ns1.barbero.zone.
hogan.xn--cck2b3b.	3600	in	ns	ns2.barbero.zone.
hp.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
hp.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
hp.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
hp.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
hp.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
hp.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
hp.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
hugoboss.xn--cck2b3b.	3600	in	ns	a.portsdns.se.
hugoboss.xn--cck2b3b.	3600	in	ns	b.portsdns.net.
ibooks.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
ibooks.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
ibooks.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
ibooks.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
idilis.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
idilis.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
ipad.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
ipad.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
ipad.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
ipad.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
iphone.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
iphone.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
iphone.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
iphone.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
ipod.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
ipod.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
ipod.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
ipod.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
itunes.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
itunes.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
itunes.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
itunes.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
junglee.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
junglee.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
junglee.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
kindle.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
kindle.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
kindle.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
kleber.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
kleber.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
kormoran.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
kormoran.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
line.xn--cck2b3b.	3600	in	ns	adns1.naver.com.
line.xn--cck2b3b.	3600	in	ns	adns2.naver.com.
line.xn--cck2b3b.	3600	in	ns	ns1.naver.jp.
line.xn--cck2b3b.	3600	in	ns	ns2.naver.jp.
lohaco.xn--cck2b3b.	3600	in	ns	ns1.lexsynergy.net.
lohaco.xn--cck2b3b.	3600	in	ns	ns2.lexsynergy.us.
lohaco.xn--cck2b3b.	3600	in	ns	ns3.lexsynergy.info.
mac.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
mac.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
mac.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
mac.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
macbook.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
macbook.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
macbook.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
macbook.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
macintosh.xn--cck2b3b.	3600	in	ns	a.ns.apple.com.
macintosh.xn--cck2b3b.	3600	in	ns	b.ns.apple.com.
macintosh.xn--cck2b3b.	3600	in	ns	c.ns.apple.com.
macintosh.xn--cck2b3b.	3600	in	ns	d.ns.apple.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
manoloblahnik.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
markmonitor.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
mathworks.xn--cck2b3b.	3600	in	ns	ns-1158.awsdns-16.org.
mathworks.xn--cck2b3b.	3600	in	ns	ns-1921.awsdns-48.co.uk.
mathworks.xn--cck2b3b.	3600	in	ns	ns-198.awsdns-24.com.
mathworks.xn--cck2b3b.	3600	in	ns	ns-610.awsdns-12.net.
matlab.xn--cck2b3b.	3600	in	ns	ns-1327.awsdns-37.org.
matlab.xn--cck2b3b.	3600	in	ns	ns-1670.awsdns-16.co.uk.
matlab.xn--cck2b3b.	3600	in	ns	ns-429.awsdns-53.com.
matlab.xn--cck2b3b.	3600	in	ns	ns-977.awsdns-58.net.
maxvalu.xn--cck2b3b.	3600	in	ns	rns1.rightsdns.com.
maxvalu.xn--cck2b3b.	3600	in	ns	rns2.rightsdns.com.
michelin.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
michelin.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
moleskine.xn--cck2b3b.	3600	in	ns	dns.sfera.net.
moleskine.xn--cck2b3b.	3600	in	ns	thunder.sfera.net.
naughty.xn--cck2b3b.	3600	in	ns	ns1.101domain.com.
naughty.xn--cck2b3b.	3600	in	ns	ns2.101domain.com.
naughty.xn--cck2b3b.	3600	in	ns	ns5.101domain.com.
nic.xn--cck2b3b.	3600	in	ds	63942 8 2 BEB9F9AD88440CCDC1764D03B4B337410F395B42B6074E7D2D7A8BA3A611BB31
nic.xn--cck2b3b.	3600	in	ns	v0n0.nic.xn--cck2b3b.
nic.xn--cck2b3b.	3600	in	ns	v0n1.nic.xn--cck2b3b.
nic.xn--cck2b3b.	3600	in	ns	v0n2.nic.xn--cck2b3b.
nic.xn--cck2b3b.	3600	in	ns	v0n3.nic.xn--cck2b3b.
nic.xn--cck2b3b.	3600	in	ns	v2n0.nic.xn--cck2b3b.
nic.xn--cck2b3b.	3600	in	ns	v2n1.nic.xn--cck2b3b.
nic.xn--cck2b3b.	3600	in	rrsig	DS 8 2 3600 20250916151937 20250826141937 828 xn--cck2b3b. XEHiADGJZqAuXgGSM9GKHMVAnlOn6criXPoq2bfprp/5eklQx3hRn2L65aBInAeZFY6cXQ2t2wya5efdyoyKh7sLrWHHHEMmCBp622k83T5S3T9s65BFSJuiBvfMg8gu46Iwo8KP8zYKdVL+88sLQadGCKBOFZJRzo+NFqnGi2k=
nivea.xn--cck2b3b.	3600	in	ns	ns1.netnames.net.
nivea.xn--cck2b3b.	3600	in	ns	ns2.netnames.net.
nivea.xn--cck2b3b.	3600	in	ns	ns5.netnames.net.
nivea.xn--cck2b3b.	3600	in	ns	ns6.netnames.net.
oculusrift.xn--cck2b3b.	3600	in	ns	a.ns.facebook.com.
oculusrift.xn--cck2b3b.	3600	in	ns	b.ns.facebook.com.
oculusrift.xn--cck2b3b.	3600	in	ns	c.ns.facebook.com.
oculusrift.xn--cck2b3b.	3600	in	ns	d.ns.facebook.com.
oculusvr.xn--cck2b3b.	3600	in	ns	a.ns.facebook.com.
oculusvr.xn--cck2b3b.	3600	in	ns	b.ns.facebook.com.
oculusvr.xn--cck2b3b.	3600	in	ns	c.ns.facebook.com.
oculusvr.xn--cck2b3b.	3600	in	ns	d.ns.facebook.com.
orium.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
orium.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
parmaham.xn--cck2b3b.	3600	in	ns	ns1.brandshelter.com.
parmaham.xn--cck2b3b.	3600	in	ns	ns2.brandshelter.de.
parmaham.xn--cck2b3b.	3600	in	ns	ns3.brandshelter.info.
parmaham.xn--cck2b3b.	3600	in	ns	ns4.brandshelter.net.
parmaham.xn--cck2b3b.	3600	in	ns	ns5.brandshelter.us.
peterrabbit.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
peterrabbit.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
philippestarck.xn--cck2b3b.	3600	in	ns	ns1.iptwins.net.
philippestarck.xn--cck2b3b.	3600	in	ns	ns2.iptwins.net.
philippestarck.xn--cck2b3b.	3600	in	ns	ns3.iptwins.com.
philippestarck.xn--cck2b3b.	3600	in	ns	ns4.iptwins.com.
prime.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
prime.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
prime.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
prosciuttodiparma.xn--cck2b3b.	3600	in	ns	ns1.brandshelter.com.
prosciuttodiparma.xn--cck2b3b.	3600	in	ns	ns2.brandshelter.de.
prosciuttodiparma.xn--cck2b3b.	3600	in	ns	ns3.brandshelter.info.
prosciuttodiparma.xn--cck2b3b.	3600	in	ns	ns4.brandshelter.net.
prosciuttodiparma.xn--cck2b3b.	3600	in	ns	ns5.brandshelter.us.
rakuten.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
rakuten.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
rakuten.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
recamic.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
recamic.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
register.xn--cck2b3b.	3600	in	ns	ns1.amzndns.co.uk.
register.xn--cck2b3b.	3600	in	ns	ns1.amzndns.com.
register.xn--cck2b3b.	3600	in	ns	ns1.amzndns.net.
register.xn--cck2b3b.	3600	in	ns	ns1.amzndns.org.
register.xn--cck2b3b.	3600	in	ns	ns2.amzndns.co.uk.
register.xn--cck2b3b.	3600	in	ns	ns2.amzndns.com.
register.xn--cck2b3b.	3600	in	ns	ns2.amzndns.net.
register.xn--cck2b3b.	3600	in	ns	ns2.amzndns.org.
riken.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
riken.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
rogervivier.xn--cck2b3b.	3600	in	ns	ns1.barbero.zone.
rogervivier.xn--cck2b3b.	3600	in	ns	ns2.barbero.zone.
rvca.xn--cck2b3b.	3600	in	ns	ns1.markmonitor.com.
rvca.xn--cck2b3b.	3600	in	ns	ns2.markmonitor.com.
rvca.xn--cck2b3b.	3600	in	ns	ns3.markmonitor.com.
rvca.xn--cck2b3b.	3600	in	ns	ns4.markmonitor.com.
rvca.xn--cck2b3b.	3600	in	ns	ns5.markmonitor.com.
rvca.xn--cck2b3b.	3600	in	ns	ns6.markmonitor.com.
rvca.xn--cck2b3b.	3600	in	ns	ns7.markmonitor.com.
shopbop.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
shopbop.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
shopbop.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
splunk.xn--cck2b3b.	3600	in	ns	ha1.markmonitor.zone.
splunk.xn--cck2b3b.	3600	in	ns	ha2.markmonitor.zone.
splunk.xn--cck2b3b.	3600	in	ns	ha3.markmonitor.zone.
splunk.xn--cck2b3b.	3600	in	ns	ha4.markmonitor.zone.
spotlight.xn--cck2b3b.	3600	in	ns	ns1.pridecraft-corp.com.
spotlight.xn--cck2b3b.	3600	in	ns	ns1.uecomm.net.au.
spotlight.xn--cck2b3b.	3600	in	ns	ns2.pridecraft-corp.com.
starck.xn--cck2b3b.	3600	in	ns	ns1.iptwins.net.
starck.xn--cck2b3b.	3600	in	ns	ns2.iptwins.net.
starck.xn--cck2b3b.	3600	in	ns	ns3.iptwins.com.
starck.xn--cck2b3b.	3600	in	ns	ns4.iptwins.com.
strial.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
strial.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
taurus.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
taurus.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
thebookdepository.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
thebookdepository.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
thebookdepository.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
tigar.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
tigar.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
tods.xn--cck2b3b.	3600	in	ns	ns1.barbero.zone.
tods.xn--cck2b3b.	3600	in	ns	ns2.barbero.zone.
topvalu.xn--cck2b3b.	3600	in	ns	rns1.rightsdns.com.
topvalu.xn--cck2b3b.	3600	in	ns	rns2.rightsdns.com.
tumblr.xn--cck2b3b.	3600	in	ns	ns1.tumblr.com.
tumblr.xn--cck2b3b.	3600	in	ns	ns2.tumblr.com.
tumblr.xn--cck2b3b.	3600	in	ns	ns3.tumblr.com.
tumblr.xn--cck2b3b.	3600	in	ns	ns4.tumblr.com.
tupperware.xn--cck2b3b.	3600	in	ns	ns1.tupperware.net.
tupperware.xn--cck2b3b.	3600	in	ns	ns2.tupperware.net.
tupperware.xn--cck2b3b.	3600	in	ns	ns3.tupperware.net.
twitch.xn--cck2b3b.	3600	in	ns	nsgbr.comlaude.co.uk.
twitch.xn--cck2b3b.	3600	in	ns	nssui.comlaude.ch.
twitch.xn--cck2b3b.	3600	in	ns	nsusa.comlaude.net.
tyreplus.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
tyreplus.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
uniroyal.xn--cck2b3b.	3600	in	ns	dns1.cscdns.net.
uniroyal.xn--cck2b3b.	3600	in	ns	dns2.cscdns.net.
v0n0.nic.xn--cck2b3b.	3600	in	a	65.22.76.5
v0n0.nic.xn--cck2b3b.	3600	in	aaaa	2a01:8840:004a:0000:0000:0000:0000:0005
v0n1.nic.xn--cck2b3b.	3600	in	a	65.22.77.5
v0n1.nic.xn--cck2b3b.	3600	in	aaaa	2a01:8840:004b:0000:0000:0000:0000:0005
v0n2.nic.xn--cck2b3b.	3600	in	a	65.22.78.5
v0n2.nic.xn--cck2b3b.	3600	in	aaaa	2a01:8840:004c:0000:0000:0000:0000:0005
v0n3.nic.xn--cck2b3b.	3600	in	a	161.232.38.5
v0n3.nic.xn--cck2b3b.	3600	in	aaaa	2a01:8840:010c:0000:0000:0000:0000:0005
v2n0.nic.xn--cck2b3b.	3600	in	a	65.22.79.5
v2n0.nic.xn--cck2b3b.	3600	in	aaaa	2a01:8840:004d:0000:0000:0000:0000:0005
v2n1.nic.xn--cck2b3b.	3600	in	a	161.232.39.5
