0ta.vin.	3600	in	ns	ns09.domaincontrol.com.
0ta.vin.	3600	in	ns	ns10.domaincontrol.com.
0ta.vin.	3600	in	rrsig	DS 8 2 3600 20260122161103 20260101151103 36831 vin. N8IbDc31qd1yxZdxS+t2kBgkpIFu8ieUFsgJOmlG4K+1n+0jn/2RuCfEZQWtVI9PvTRwYXQSPwG8nW190rnBCxQ0amIE6aLFFChnt3JjhAhZG51WXsGj7w/rr2R+//0SSKPcxIBcaFKqOUbk5WPA+UWtC1ShiRDqrSGLY/TuMY4=
10.vin.	3600	in	ns	ns1.sedoparking.com.
10.vin.	3600	in	ns	ns2.sedoparking.com.
100.vin.	3600	in	ns	a.ezdnscenter.com.
100.vin.	3600	in	ns	b.ezdnscenter.com.
1000.vin.	3600	in	ns	paradoxweb.earth.orderbox-dns.com.
1000.vin.	3600	in	ns	paradoxweb.mars.orderbox-dns.com.
1000.vin.	3600	in	ns	paradoxweb.mercury.orderbox-dns.com.
1000.vin.	3600	in	ns	paradoxweb.venus.orderbox-dns.com.
10000.vin.	3600	in	ns	chin.ns.cloudflare.com.
10000.vin.	3600	in	ns	vern.ns.cloudflare.com.
1000win.vin.	3600	in	ns	dns1.registrar-servers.com.
1000win.vin.	3600	in	ns	dns2.registrar-servers.com.
1000y.vin.	3600	in	ns	gas.dnspod.net.
1000y.vin.	3600	in	ns	regulus.dnspod.net.
1001.vin.	3600	in	ns	ns1.dyna-ns.net.
1001.vin.	3600	in	ns	ns2.dyna-ns.net.
10086.vin.	3600	in	ns	stone.dnspod.net.
10086.vin.	3600	in	ns	van.dnspod.net.
100wim.vin.	3600	in	ns	dns1.registrar-servers.com.
100wim.vin.	3600	in	ns	dns2.registrar-servers.com.
100win.vin.	3600	in	ns	dns1.registrar-servers.com.
100win.vin.	3600	in	ns	dns2.registrar-servers.com.
100win12.vin.	3600	in	ns	dns1.registrar-servers.com.
100win12.vin.	3600	in	ns	dns2.registrar-servers.com.
100win33.vin.	3600	in	ns	dns1.registrar-servers.com.
100win33.vin.	3600	in	ns	dns2.registrar-servers.com.
100win55.vin.	3600	in	ns	dns1.registrar-servers.com.
100win55.vin.	3600	in	ns	dns2.registrar-servers.com.
100win99.vin.	3600	in	ns	dns1.registrar-servers.com.
100win99.vin.	3600	in	ns	dns2.registrar-servers.com.
1024.vin.	3600	in	ns	ferdinand.dnspod.net.
1024.vin.	3600	in	ns	rice.dnspod.net.
10555t.vin.	3600	in	ns	cortney.ns.cloudflare.com.
10555t.vin.	3600	in	ns	matias.ns.cloudflare.com.
10777ty.vin.	3600	in	ns	cortney.ns.cloudflare.com.
10777ty.vin.	3600	in	ns	matias.ns.cloudflare.com.
1080tv.vin.	3600	in	ns	ns51.domaincontrol.com.
1080tv.vin.	3600	in	ns	ns52.domaincontrol.com.
10999yh.vin.	3600	in	ns	cortney.ns.cloudflare.com.
10999yh.vin.	3600	in	ns	matias.ns.cloudflare.com.
10bit.vin.	3600	in	ns	ns1.dyna-ns.net.
10bit.vin.	3600	in	ns	ns2.dyna-ns.net.
10hm88.vin.	3600	in	ns	curitiba.ns.porkbun.com.
10hm88.vin.	3600	in	ns	fortaleza.ns.porkbun.com.
10hm88.vin.	3600	in	ns	maceio.ns.porkbun.com.
10hm88.vin.	3600	in	ns	salvador.ns.porkbun.com.
10starhd.vin.	3600	in	ns	ns1.afternic.com.
10starhd.vin.	3600	in	ns	ns2.afternic.com.
11.vin.	3600	in	ns	bethany.ns.cloudflare.com.
11.vin.	3600	in	ns	rob.ns.cloudflare.com.
110.vin.	3600	in	ns	ns1.dns-redirect.com.
110.vin.	3600	in	ns	ns2.dns-redirect.com.
111.vin.	3600	in	ns	ns1.afternic.com.
111.vin.	3600	in	ns	ns2.afternic.com.
1111.vin.	3600	in	ns	ns1.judns.com.
1111.vin.	3600	in	ns	ns2.judns.com.
111111.vin.	3600	in	ns	ns1.myhostadmin.net.
111111.vin.	3600	in	ns	ns2.myhostadmin.net.
111111.vin.	3600	in	ns	ns3.myhostadmin.net.
111111.vin.	3600	in	ns	ns4.myhostadmin.net.
111111.vin.	3600	in	ns	ns5.myhostadmin.net.
111111.vin.	3600	in	ns	ns6.myhostadmin.net.
1111bet.vin.	3600	in	ns	ns69.domaincontrol.com.
1111bet.vin.	3600	in	ns	ns70.domaincontrol.com.
111555.vin.	3600	in	ns	dns1.registrar-servers.com.
111555.vin.	3600	in	ns	dns2.registrar-servers.com.
111hb88.vin.	3600	in	ns	dns1.registrar-servers.com.
111hb88.vin.	3600	in	ns	dns2.registrar-servers.com.
1131gg.vin.	3600	in	ns	hayes.ns.cloudflare.com.
1131gg.vin.	3600	in	ns	meiling.ns.cloudflare.com.
114.vin.	3600	in	ns	ns1.afternic.com.
114.vin.	3600	in	ns	ns2.afternic.com.
115.vin.	3600	in	ns	ns1.dyna-ns.net.
115.vin.	3600	in	ns	ns2.dyna-ns.net.
117.vin.	3600	in	ns	ns1.dns-redirect.com.
117.vin.	3600	in	ns	ns2.dns-redirect.com.
118.vin.	3600	in	ns	ns1.dns-redirect.com.
118.vin.	3600	in	ns	ns2.dns-redirect.com.
119.vin.	3600	in	ns	expirens3.hichina.com.
119.vin.	3600	in	ns	expirens4.hichina.com.
11aa.vin.	3600	in	ns	maxim.ns.cloudflare.com.
11aa.vin.	3600	in	ns	paityn.ns.cloudflare.com.
11bet.vin.	3600	in	ns	etienne.ns.cloudflare.com.
11bet.vin.	3600	in	ns	ulla.ns.cloudflare.com.
11hm88.vin.	3600	in	ns	curitiba.ns.porkbun.com.
11hm88.vin.	3600	in	ns	fortaleza.ns.porkbun.com.
11hm88.vin.	3600	in	ns	maceio.ns.porkbun.com.
11hm88.vin.	3600	in	ns	salvador.ns.porkbun.com.
11kp88.vin.	3600	in	ns	harmony.ns.cloudflare.com.
11kp88.vin.	3600	in	ns	rajeev.ns.cloudflare.com.
11luck8.vin.	3600	in	ns	dns1.registrar-servers.com.
11luck8.vin.	3600	in	ns	dns2.registrar-servers.com.
11one789.vin.	3600	in	ns	dns1.registrar-servers.com.
11one789.vin.	3600	in	ns	dns2.registrar-servers.com.
11u.vin.	3600	in	ns	dns1.registrar-servers.com.
11u.vin.	3600	in	ns	dns2.registrar-servers.com.
11uu.vin.	3600	in	ns	harmony.ns.cloudflare.com.
11uu.vin.	3600	in	ns	rajeev.ns.cloudflare.com.
11uu666.vin.	3600	in	ns	harmony.ns.cloudflare.com.
11uu666.vin.	3600	in	ns	rajeev.ns.cloudflare.com.
11uu777.vin.	3600	in	ns	harmony.ns.cloudflare.com.
11uu777.vin.	3600	in	ns	rajeev.ns.cloudflare.com.
11v.vin.	3600	in	ns	enid.dnspod.net.
11v.vin.	3600	in	ns	taxi.dnspod.net.
11win.vin.	3600	in	ns	dns1.registrar-servers.com.
11win.vin.	3600	in	ns	dns2.registrar-servers.com.
11xmovies.vin.	3600	in	ns	ns1.afternic.com.
11xmovies.vin.	3600	in	ns	ns2.afternic.com.
12.vin.	3600	in	ns	cheap.dnspod.net.
12.vin.	3600	in	ns	print.dnspod.net.
120.vin.	3600	in	ns	ns1.dns-redirect.com.
120.vin.	3600	in	ns	ns2.dns-redirect.com.
122bet.vin.	3600	in	ns	ns45.domaincontrol.com.
122bet.vin.	3600	in	ns	ns46.domaincontrol.com.
12315.vin.	3600	in	ns	dns25.hichina.com.
12315.vin.	3600	in	ns	dns26.hichina.com.
1234.vin.	3600	in	ns	ns11.domaincontrol.com.
1234.vin.	3600	in	ns	ns12.domaincontrol.com.
12345.vin.	3600	in	ns	cuckoo.dnspod.net.
12345.vin.	3600	in	ns	slateblue.dnspod.net.
12346.vin.	3600	in	ns	heather.ns.cloudflare.com.
12346.vin.	3600	in	ns	skip.ns.cloudflare.com.
123b.vin.	3600	in	ns	amos.ns.cloudflare.com.
123b.vin.	3600	in	ns	lucy.ns.cloudflare.com.
123bcom.vin.	3600	in	ns	jewel.ns.cloudflare.com.
123bcom.vin.	3600	in	ns	lynn.ns.cloudflare.com.
123hero.vin.	3600	in	ns	harmony.ns.cloudflare.com.
123hero.vin.	3600	in	ns	rajeev.ns.cloudflare.com.
123kk.vin.	3600	in	ns	gwen.ns.cloudflare.com.
123kk.vin.	3600	in	ns	kellen.ns.cloudflare.com.
123movies.vin.	3600	in	ns	5579.ns1.abovedomains.com.
123movies.vin.	3600	in	ns	5579.ns2.abovedomains.com.
123moviesfree.vin.	3600	in	ns	ns1.dns-redirect.com.
123moviesfree.vin.	3600	in	ns	ns2.dns-redirect.com.
123moviesfree9.vin.	3600	in	ns	chase.ns.cloudflare.com.
123moviesfree9.vin.	3600	in	ns	elisabeth.ns.cloudflare.com.
123win.vin.	3600	in	ns	ns23.domaincontrol.com.
123win.vin.	3600	in	ns	ns24.domaincontrol.com.
123win01.vin.	3600	in	ns	dns1.registrar-servers.com.
123win01.vin.	3600	in	ns	dns2.registrar-servers.com.
126.vin.	3600	in	ns	dns27.hichina.com.
126.vin.	3600	in	ns	dns28.hichina.com.
128.vin.	3600	in	ns	expire1.gname-dns.com.
128.vin.	3600	in	ns	expire2.gname-dns.com.
12bet.vin.	3600	in	ns	ns61.domaincontrol.com.
12bet.vin.	3600	in	ns	ns62.domaincontrol.com.
12bong.vin.	3600	in	ns	ns1.dyna-ns.net.
12bong.vin.	3600	in	ns	ns2.dyna-ns.net.
12coin.vin.	3600	in	ns	dns1.registrar-servers.com.
12coin.vin.	3600	in	ns	dns2.registrar-servers.com.
12hm88.vin.	3600	in	ns	curitiba.ns.porkbun.com.
12hm88.vin.	3600	in	ns	fortaleza.ns.porkbun.com.
12hm88.vin.	3600	in	ns	maceio.ns.porkbun.com.
12hm88.vin.	3600	in	ns	salvador.ns.porkbun.com.
12m4t735oucgst4e90reg2gdc4se9n5k.vin.	3600	in	nsec3	1 1 0 73 1417JB1V21H0VS81QD2B241CKTS00DDQ NS DS RRSIG
