2aftermidnight.hospital.	3600	in	ns	dns4.fastdns24.link.
2fn540aofkgl0tn92l4cb0ver5bmu4k4.hospital.	3600	in	nsec3	1 1 0 73 2KNRBQ6I4BK61GC0EM483GH64MLUIEMU NS DS RRSIG
2fn540aofkgl0tn92l4cb0ver5bmu4k4.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. Z5bM3CmXfSYo0LqbrfymcKtXlDbVeevER3OJOC5QZFEqtkPpgY1u3gAdMlZPqVJtpLrqopAJGcVy93zbmwL7nuT1LBfg0LfA8DfoEU+IhE1NZ1BaPx4wgP5jgSkZnb8XT3/6rIL7atGwVZFAFeO0mah1zuBJFGZ6M+spvePRWLY=
2knrbq6i4bk61gc0em483gh64mluiemu.hospital.	3600	in	nsec3	1 1 0 73 2R9E9TFR7EIGUU2M8A5UJ9C1N9EJ9RHI NS DS RRSIG
2knrbq6i4bk61gc0em483gh64mluiemu.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. JsKffYI4G9+dDH0cvGwajQKfqYe2JkoVdxTFiipGN3PhGGeibVV9hBgcD18qrzICufyAU56edyhG4HHHqZoy4vcolSb2tSOCZr6aDiNBkToieqWGQayzL/01Ea0PPW5ffT7nxKje3qGPn5CbXNnNfKGb6TMWe3FqE023jufP1R4=
2r9e9tfr7eiguu2m8a5uj9c1n9ej9rhi.hospital.	3600	in	nsec3	1 1 0 73 38JRVIAQ50CH65BB2CUUH8LGG9F9QSLR NS DS RRSIG
2r9e9tfr7eiguu2m8a5uj9c1n9ej9rhi.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. TJabITZzKKkt9EtufgyK3vN/q1grO9U+u/otx6nCV+LoouwCyYFuT8E+GooxgqJFYOaqGmli6RX/YvNt9PpE6uv9rZIPYDGSlT00D7MuisjFIThWk50qwrJm4V+f7uUk/JvSSZCJWrkHWosEoV8M5NuYB/EaNZZwtlVzwRcU8AQ=
301.hospital.	3600	in	ns	ns1.dyna-ns.net.
301.hospital.	3600	in	ns	ns2.dyna-ns.net.
3081.hospital.	3600	in	ds	37964 8 2 F56F944B68F99888A397D6F0251D82E03E1ABD6E48D98EFF0E51A92584581471
3081.hospital.	3600	in	ns	ns-cloud-d1.googledomains.com.
3081.hospital.	3600	in	ns	ns-cloud-d2.googledomains.com.
3081.hospital.	3600	in	ns	ns-cloud-d3.googledomains.com.
3081.hospital.	3600	in	ns	ns-cloud-d4.googledomains.com.
3081.hospital.	3600	in	rrsig	DS 8 2 3600 20250930155640 20250909145640 12573 hospital. UKyYOb1PbE/nozradsfWEh96WqRsLijJa6/JMUnW1+rrCsVHlo1/SIhxx+JWP1eOSpSqL3/00lgaVlnRH9mXzT96SwWoraBjs9CcPw+4caj5F5HTkKSEKRUKbIWFjIKf4MxmKffyPWL84KBGvTyuqrz5J1I+cSjI/zuV9w0tRW0=
360.hospital.	3600	in	ns	ns1.afternic.com.
360.hospital.	3600	in	ns	ns2.afternic.com.
3675812.hospital.	3600	in	ns	ns1.globaldomaingroup.com.
3675812.hospital.	3600	in	ns	ns2.globaldomaingroup.com.
38jrviaq50ch65bb2cuuh8lgg9f9qslr.hospital.	3600	in	nsec3	1 1 0 73 3J1IBUUMOUDSAR3MTUH48PGLM3HO6Q0E NS DS RRSIG
38jrviaq50ch65bb2cuuh8lgg9f9qslr.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. G59A1ZneFEDfwhz437MwTOwXO4X8qx21NDbzeTTqplmgV0tkvceuig2u0/bivTa/kkJcXvgnh2fmy9OlQf4yIons3xpE6XoSsPzIRVrFsMS+hR983a3ax+uPt+aeXocpJg+muGoc39qc80E4vR3Er2PSgAqt9n8oGhXtuh60/r4=
3j1ibuumoudsar3mtuh48pglm3ho6q0e.hospital.	3600	in	nsec3	1 1 0 73 3MNJUHMEFARLLT4R3L0CQDSC1U8NPSSA NS DS RRSIG
3j1ibuumoudsar3mtuh48pglm3ho6q0e.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. Vw/gLQ3Us2978zgDcIwKpJJibx/koWgsDkUf8gtrvh7OJeUv/BkzATdsbfaD9YbC0zEhn6ndof6cjpNIRHyGnd66zlTCWrSwcAxCGq81yeAG8JGoy4DiyWtU5ZCPjFDPA7d77wmCXOXndLAFs4DzvJAsyf3vJQ8il6Blb1OfG2Q=
