27four.capetown.	7200	in	ns	ns2.host-h.net.
28243.capetown.	7200	in	ns	verify1.registrar.eu.
28243.capetown.	7200	in	ns	verify2.registrar.eu.
28243.capetown.	7200	in	ns	verify3.registrar.eu.
2afe84f92fddfe67f5895c1720765025.capetown.	7200	in	ns	1-you.njalla.no.
2afe84f92fddfe67f5895c1720765025.capetown.	7200	in	ns	2-can.njalla.in.
2afe84f92fddfe67f5895c1720765025.capetown.	7200	in	ns	3-get.njalla.fo.
2oceans.capetown.	7200	in	ns	ns.dns1.co.za.
2oceans.capetown.	7200	in	ns	ns.dns2.co.za.
2oceans.capetown.	7200	in	ns	ns.otherdns.com.
2oceans.capetown.	7200	in	ns	ns.otherdns.net.
2onmilner.capetown.	7200	in	ns	ns.dns1.co.za.
2onmilner.capetown.	7200	in	ns	ns.dns2.co.za.
2onmilner.capetown.	7200	in	ns	ns.otherdns.com.
2onmilner.capetown.	7200	in	ns	ns.otherdns.net.
30atbloem.capetown.	7200	in	ns	ns.dns1.co.za.
30atbloem.capetown.	7200	in	ns	ns.dns2.co.za.
30atbloem.capetown.	7200	in	ns	ns.otherdns.com.
30atbloem.capetown.	7200	in	ns	ns.otherdns.net.
365-24.capetown.	7200	in	ns	ns20.digicertdns.com.
365-24.capetown.	7200	in	ns	ns21.digicertdns.com.
365-24.capetown.	7200	in	ns	ns22.digicertdns.com.
365-24.capetown.	7200	in	ns	ns23.digicertdns.net.
365-24.capetown.	7200	in	ns	ns24.digicertdns.net.
365x24.capetown.	7200	in	ns	ns20.digicertdns.com.
365x24.capetown.	7200	in	ns	ns21.digicertdns.com.
365x24.capetown.	7200	in	ns	ns22.digicertdns.com.
365x24.capetown.	7200	in	ns	ns23.digicertdns.net.
365x24.capetown.	7200	in	ns	ns24.digicertdns.net.
368279.capetown.	7200	in	ns	luciane.ns.cloudflare.com.
368279.capetown.	7200	in	ns	merlin.ns.cloudflare.com.
37388.capetown.	7200	in	ns	a.dnspod.com.
37388.capetown.	7200	in	ns	b.dnspod.com.
37388.capetown.	7200	in	ns	c.dnspod.com.
39638.capetown.	7200	in	ns	a.dnspod.com.
39638.capetown.	7200	in	ns	b.dnspod.com.
39638.capetown.	7200	in	ns	c.dnspod.com.
39760.capetown.	7200	in	ns	a.dnspod.com.
39760.capetown.	7200	in	ns	b.dnspod.com.
39760.capetown.	7200	in	ns	c.dnspod.com.
3dsurveys.capetown.	7200	in	ns	ns1.mywebserver.co.za.
3dsurveys.capetown.	7200	in	ns	ns2.mywebserver.co.za.
3dsurveys.capetown.	7200	in	ns	ns3.mywebserver.co.za.
3ibq1h080pn24jo5ld3t88bcto7e3fl1.capetown.	86400	in	nsec3	1 1 0 - 4M2HBQTNNLUN1OPAKHG3I9ILDKOIRDJB NS DS RRSIG
3ibq1h080pn24jo5ld3t88bcto7e3fl1.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. Ey1nXKoIxDraTw0aS/1NVXuJT87oDTsmg44zZr9tlDo/+iAVGhZfDefVixtl90Ra8uFyJM6d83M5INUYOmywIRCi7pgDFGfRePqM7hIKxBQE0y2iaFVX/QTxsmu8ekiG1Fpv5fFJ8LvEGdws/N5s81sURXzj9sFcr0A5aQZtaLU=
420.capetown.	7200	in	ns	jason.ns.cloudflare.com.
420.capetown.	7200	in	ns	paityn.ns.cloudflare.com.
42372.capetown.	7200	in	ns	a.dnspod.com.
42372.capetown.	7200	in	ns	b.dnspod.com.
42372.capetown.	7200	in	ns	c.dnspod.com.
42home.capetown.	7200	in	ns	ns.dns1.co.za.
42home.capetown.	7200	in	ns	ns.dns2.co.za.
42home.capetown.	7200	in	ns	ns.otherdns.com.
42home.capetown.	7200	in	ns	ns.otherdns.net.
4kids.capetown.	7200	in	ns	ns1.clusterdns.co.za.
4kids.capetown.	7200	in	ns	ns2.clusterdns.co.za.
4kids.capetown.	7200	in	ns	ns3.hostdns.co.za.
4kids.capetown.	7200	in	ns	ns4.clusterdns.org.
4m2hbqtnnlun1opakhg3i9ildkoirdjb.capetown.	86400	in	nsec3	1 1 0 - 4PQOHVBCIUOGFJH5477OL4G5IAD5BJEJ NS DS RRSIG
4m2hbqtnnlun1opakhg3i9ildkoirdjb.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. H89X06ooTXRBMsQgZwkMo8U+MkXzb1CRC19Y4jO9jgM65sNbgeO4vcHet4zB5jmULSSgkDWj1hOzbkMRAP3vZt9Q4tYIm9L/Ofi0IV+W/JyT8isKWhbR43G15WlM4JxSCw7tKMFTICvi/tgo/mtyoLrs+Ze+5q5fPkbcCb+9ZGQ=
4pqohvbciuogfjh5477ol4g5iad5bjej.capetown.	86400	in	nsec3	1 1 0 - 5C59DELTTT1TUG37HM9A2BI90HD2E18M NS DS RRSIG
4pqohvbciuogfjh5477ol4g5iad5bjej.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. Te3+ZCsRQaWe/L9fh5eLlNZ56ZCSUbc9dFVopCZJ8o68TteOisFfkZGcn0l3X5R0XlHTPq5uZGtvWbXY37g5T+0M9ooJBnnGLsl2KL3CKYkKLCtGGhrbPufAb/J/pGOPHj6d59350fPN6/a8HePxXg3Gb/haBkojoZT3QjKHzGY=
50fifty.capetown.	7200	in	ns	ns1.dns-h.com.
50fifty.capetown.	7200	in	ns	ns1.host-h.net.
50fifty.capetown.	7200	in	ns	ns2.dns-h.com.
50fifty.capetown.	7200	in	ns	ns2.host-h.net.
518397.capetown.	7200	in	ns	ns1.dns.com.
518397.capetown.	7200	in	ns	ns2.dns.com.
58965.capetown.	7200	in	ns	ns1.netsto.net.
58965.capetown.	7200	in	ns	ns2.netsto.net.
58966.capetown.	7200	in	ns	ns1.netsto.net.
58966.capetown.	7200	in	ns	ns2.netsto.net.
58967.capetown.	7200	in	ns	ns1.netsto.net.
58967.capetown.	7200	in	ns	ns2.netsto.net.
58968.capetown.	7200	in	ns	ns1.netsto.net.
58968.capetown.	7200	in	ns	ns2.netsto.net.
58969.capetown.	7200	in	ns	ns1.netsto.net.
58969.capetown.	7200	in	ns	ns2.netsto.net.
58barnetstreet.capetown.	7200	in	ns	main.nameserver1.co.za.
58barnetstreet.capetown.	7200	in	ns	main.nameserver2.co.za.
58barnetstreet.capetown.	7200	in	ns	main.nameserver3.co.za.
58barnetstreet.capetown.	7200	in	ns	main.nameserver4.co.za.
591762.capetown.	7200	in	ns	luciane.ns.cloudflare.com.
591762.capetown.	7200	in	ns	merlin.ns.cloudflare.com.
5c59delttt1tug37hm9a2bi90hd2e18m.capetown.	86400	in	nsec3	1 1 0 - 7AQLKF6DMKP3IGBH4U8OR6M4KS3BS0ID NS SOA RRSIG DNSKEY NSEC3PARAM
5c59delttt1tug37hm9a2bi90hd2e18m.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. U9218X7AEzSPm17geOqk1RLtOVFZlV/yuwlVjGyg+QKIF/tmRVNWuDx/NUmhOrFXG+E2qGX7cVkxY3NLkJTXYTm8cr3DgIHgci+3dWvF+h6QFDse5z6YKCriU0erpsKh+MG5xF6NYyTZioo3XWrX7DNbPUdOYsAmvdynDUSurZ4=
60198.capetown.	7200	in	ns	verify1.registrar.eu.
60198.capetown.	7200	in	ns	verify2.registrar.eu.
60198.capetown.	7200	in	ns	verify3.registrar.eu.
66419.capetown.	7200	in	ns	a.dnspod.com.
66419.capetown.	7200	in	ns	b.dnspod.com.
66419.capetown.	7200	in	ns	c.dnspod.com.
675283.capetown.	7200	in	ns	ns1.dns.com.
675283.capetown.	7200	in	ns	ns2.dns.com.
69789.capetown.	7200	in	ns	ns1.netsto.net.
69789.capetown.	7200	in	ns	ns2.netsto.net.
70309.capetown.	7200	in	ns	a.dnspod.com.
70309.capetown.	7200	in	ns	b.dnspod.com.
70309.capetown.	7200	in	ns	c.dnspod.com.
726591.capetown.	7200	in	ns	ns1.netsto.net.
726591.capetown.	7200	in	ns	ns2.netsto.net.
726592.capetown.	7200	in	ns	ns1.netsto.net.
726592.capetown.	7200	in	ns	ns2.netsto.net.
728153.capetown.	7200	in	ns	ns1.dns.com.
728153.capetown.	7200	in	ns	ns2.dns.com.
735981.capetown.	7200	in	ns	ns1.dns.com.
735981.capetown.	7200	in	ns	ns2.dns.com.
78642.capetown.	7200	in	ns	a.dnspod.com.
78642.capetown.	7200	in	ns	b.dnspod.com.
78642.capetown.	7200	in	ns	c.dnspod.com.
795368.capetown.	7200	in	ns	ns1.dns.com.
795368.capetown.	7200	in	ns	ns2.dns.com.
7aqlkf6dmkp3igbh4u8or6m4ks3bs0id.capetown.	86400	in	nsec3	1 1 0 - 852IVQIUTJMC4B4GL0LUE1SBFINTG4M3 NS DS RRSIG
7aqlkf6dmkp3igbh4u8or6m4ks3bs0id.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. T5QZW4VShTbqreOIIgvGmQ1Cn1kPFUT5r8F1x/snFgNXfFa3i734gkiQijO2GNaJ1SlKEOVUG1Po8IQcHXU19+2uy3nkHtu1CueDRtcxtWYr3hTjENP4gsSG4OaUZDpA252IeVFi4Xu1uSAo6CUIqeh/BltsLKNHu4FrFOGndDc=
831692.capetown.	7200	in	ns	ns1.dns.com.
831692.capetown.	7200	in	ns	ns2.dns.com.
852ivqiutjmc4b4gl0lue1sbfintg4m3.capetown.	86400	in	nsec3	1 1 0 - 91KUU9LPQKT1MDBJV9OKUP4VE5VJGN4B NS DS RRSIG
852ivqiutjmc4b4gl0lue1sbfintg4m3.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. HqYa9hFEhRkgahKnTQyQ1vBHCnZLKp8wWPZ9+qUjMjlcUd556Fp7c4cOzQNbQ2uo/0DOc1iKWpFns7dK2IEH3Qjy2FcsO27Rm0YEafHLK3eB4SBzF2cf7CxdUG3pc0tj8PU+S3srFj6O6H1Q7Or+TV/j8b6aD+8yDu2Au7DDk5I=
856317.capetown.	7200	in	ns	ns1.dns.com.
856317.capetown.	7200	in	ns	ns2.dns.com.
86432.capetown.	7200	in	ns	verify1.registrar.eu.
86432.capetown.	7200	in	ns	verify2.registrar.eu.
86432.capetown.	7200	in	ns	verify3.registrar.eu.
91kuu9lpqkt1mdbjv9okup4ve5vjgn4b.capetown.	86400	in	nsec3	1 1 0 - A1M2RLLRTLB4G9TQKIRPSSJG7JREG6IM NS DS RRSIG
