077ffgvougl5nbakn5g4jb7lf9r7qj52.phd.	900	in	rrsig	NSEC3 8 2 900 20260212151410 20260121151410 47988 phd. ExJygl2HHvNO2vm8hO42RgDjVTZ0bnD9E85zpDmlsyiS+YwHGPj93TvtaXJd6VxiczBAxZ96VDrCt7NE3rHXLQb0SDLY1aq2l4B7ebjdYnUPA3WUPwHTs/zmrDMpJq1YLFFwH+B7aIEjObMjmtQhxDwsM1R/VftwxfT1zLwtusA=
07plg4p2s6j5n5anlmns7paoddudpbem.phd.	900	in	nsec3	1 0 1 A5F664BCE67A2042 08691PVT22PL3LDF108EA1QBIQ4DDFUK NS DS RRSIG
07plg4p2s6j5n5anlmns7paoddudpbem.phd.	900	in	rrsig	NSEC3 8 2 900 20260212151410 20260121151410 47988 phd. CKyyZCqkONEyN4Ow+BsGKDc+vklHQM7GRME5a++TWePdarCAhaG6+/bCMYGv1VtCK7Lho7iB29QMB52eFbj0QuSUI95IjTlytvkszzZL7WyQMglqf7HC0+Nk+zxV1YMD8IILy8ZY/QDxtcn03zdChwZ1yIzEJV0gU6fnoLOoc8A=
08691pvt22pl3ldf108ea1qbiq4ddfuk.phd.	900	in	nsec3	1 0 1 A5F664BCE67A2042 08DC7RJERQTISPDS1FKLLFVIEUI6JA5B NS DS RRSIG
08691pvt22pl3ldf108ea1qbiq4ddfuk.phd.	900	in	rrsig	NSEC3 8 2 900 20260212151410 20260121151410 47988 phd. gIpB8fM6wvPIeTfVmWZaH8ElU7oBZexwSgT4J/ppUGm7WTniu5wJdS2yRtDDVrl7tkjMr9S06q9J6h5X2xyuq2Yct+dIu/4U++Yt0fFEoDZUIZlCNuqVbJpcTMWnpwgRtmLVnbWhQIQhGKDa9XRiG9h4jopsw1/g9Unjbpiw9qw=
08dc7rjerqtispds1fkllfvieui6ja5b.phd.	900	in	nsec3	1 0 1 A5F664BCE67A2042 08IQ7L7VCFQKP3BEI1CHDCT5HOCLQGCR NS
08dc7rjerqtispds1fkllfvieui6ja5b.phd.	900	in	rrsig	NSEC3 8 2 900 20260212151410 20260121151410 47988 phd. bk/zgXADWW7KvfcO2C1b4jRQx26pzBwOQ1/9zIto4uhaPJybXB7seSUg8JSWtMWKemcXhas9PfVfc4+ivKnWvJNcZiOV6rLwx5cF4gpGkSiE4SSaAMIQvgZdxB0sahnliBVei+DF1sXCAHdSTZUNux5cLh51kYCo0iMefKAeK6k=
08iq7l7vcfqkp3bei1chdct5hoclqgcr.phd.	900	in	nsec3	1 0 1 A5F664BCE67A2042 09CVTPRPGG8VURJN5LCM2ITU5HOEJQUL NS
08iq7l7vcfqkp3bei1chdct5hoclqgcr.phd.	900	in	rrsig	NSEC3 8 2 900 20260212151410 20260121151410 47988 phd. 3nGbLXFlHX0JZI5jkhXevEB1aOAhCsd8y947mu1aXv8nlJfM2h4Npd4rNrY6SW3gH+fVj0WIXfZonPsot8e3rLImFuQVKms6SpKtZbCZ8XPyv88xyWomKEf/bcmZn/iXE1kCGyR4cTXt+e3Q4+GgYyDIAg4QjSCR8uPrT6Xs5ms=
09cvtprpgg8vurjn5lcm2itu5hoejqul.phd.	900	in	nsec3	1 0 1 A5F664BCE67A2042 09EVETFEDN4HJ1CKBQ4EOQIK89JOJKG4 NS
09cvtprpgg8vurjn5lcm2itu5hoejqul.phd.	900	in	rrsig	NSEC3 8 2 900 20260212151410 20260121151410 47988 phd. YnezkHjOoSd/vqXof86tBPdl1z1GVCpmVRUU7tWpKhzv9+50+I6aXCCSfzkK0e0nqkNyrGCWQTBgdEhSc095X7E73WcyG3UalDHBosKEGXoyIO2KTxS2NvM6ha8NkBhX6xjRzzFmkFDOpZ9PrVW+0wJF/p+4C1GlcwxX4ucyOqU=
09evetfedn4hj1ckbq4eoqik89jojkg4.phd.	900	in	nsec3	1 0 1 A5F664BCE67A2042 0AD5623USTC0U1BA47S798UGS6E18VK5 NS DS RRSIG
