country.	900	in	soa	ns.trs-dns.com. trs-ops.tucows.com. 1756256885 1800 900 604800 300
1290.country.	900	in	ns	dns4.name-services.com.
1290.country.	900	in	ns	dns5.name-services.com.
13.country.	900	in	ns	ns1.hiddenstate.xyz.
13.country.	900	in	ns	ns2.hiddenstate.xyz.
14.country.	900	in	ns	ns1.hiddenstate.xyz.
14.country.	900	in	ns	ns2.hiddenstate.xyz.
15.country.	900	in	ns	ns1.hiddenstate.xyz.
15.country.	900	in	ns	ns2.hiddenstate.xyz.
16.country.	900	in	ns	ns1.hiddenstate.xyz.
16.country.	900	in	ns	ns2.hiddenstate.xyz.
17.country.	900	in	ns	ns1.hiddenstate.xyz.
17.country.	900	in	ns	ns2.hiddenstate.xyz.
18.country.	900	in	ns	ns1.hiddenstate.xyz.
18.country.	900	in	ns	ns2.hiddenstate.xyz.
19.country.	900	in	ns	ns1.hiddenstate.xyz.
19.country.	900	in	ns	ns2.hiddenstate.xyz.
1a.country.	900	in	ns	ns1.hiddenstate.xyz.
1a.country.	900	in	ns	ns2.hiddenstate.xyz.
1ai.country.	900	in	ns	ns1.hiddenstate.xyz.
1ai.country.	900	in	ns	ns2.hiddenstate.xyz.
1b.country.	900	in	ns	ns1.hiddenstate.xyz.
1b.country.	900	in	ns	ns2.hiddenstate.xyz.
1c.country.	900	in	ns	ns1.hiddenstate.xyz.
1c.country.	900	in	ns	ns2.hiddenstate.xyz.
1d.country.	900	in	ns	ns1.hiddenstate.xyz.
1d.country.	900	in	ns	ns2.hiddenstate.xyz.
1e.country.	900	in	ns	ns1.hiddenstate.xyz.
1e.country.	900	in	ns	ns2.hiddenstate.xyz.
1f.country.	900	in	ns	ns1.hiddenstate.xyz.
1f.country.	900	in	ns	ns2.hiddenstate.xyz.
1g.country.	900	in	ns	ns1.hiddenstate.xyz.
1g.country.	900	in	ns	ns2.hiddenstate.xyz.
1h.country.	900	in	ns	ns1.hiddenstate.xyz.
1h.country.	900	in	ns	ns2.hiddenstate.xyz.
1i.country.	900	in	ns	ns1.hiddenstate.xyz.
1i.country.	900	in	ns	ns2.hiddenstate.xyz.
1j.country.	900	in	ns	ns1.hiddenstate.xyz.
1j.country.	900	in	ns	ns2.hiddenstate.xyz.
1k.country.	900	in	ns	ns1.hiddenstate.xyz.
1k.country.	900	in	ns	ns2.hiddenstate.xyz.
1l.country.	900	in	ns	ns1.hiddenstate.xyz.
1l.country.	900	in	ns	ns2.hiddenstate.xyz.
1love1world.country.	900	in	ns	ns1.hiddenstate.xyz.
1love1world.country.	900	in	ns	ns2.hiddenstate.xyz.
1m.country.	900	in	ns	lovisa.ns.cloudflare.com.
1m.country.	900	in	ns	nitin.ns.cloudflare.com.
1map.country.	900	in	ns	ns1.hiddenstate.xyz.
1map.country.	900	in	ns	ns2.hiddenstate.xyz.
1n.country.	900	in	ns	ns1.hiddenstate.xyz.
1n.country.	900	in	ns	ns2.hiddenstate.xyz.
1ns.country.	900	in	ns	dns1.registrar-servers.com.
1ns.country.	900	in	ns	dns2.registrar-servers.com.
1nternet.country.	900	in	ns	ns1.hiddenstate.xyz.
1nternet.country.	900	in	ns	ns2.hiddenstate.xyz.
1o.country.	900	in	ns	ns1.hiddenstate.xyz.
1o.country.	900	in	ns	ns2.hiddenstate.xyz.
1p.country.	900	in	ns	ns1.hiddenstate.xyz.
