csgcompetitions.sky.	172800	in	ns	ns1-156.akam.net.
csgcompetitions.sky.	172800	in	ns	ns1-42.akam.net.
csgcompetitions.sky.	172800	in	ns	use1.akam.net.
csgcompetitions.sky.	172800	in	ns	use2.akam.net.
csgcompetitions.sky.	172800	in	ns	use9.akam.net.
csgengagement.sky.	172800	in	ns	edns1.ultradns.biz.
csgengagement.sky.	172800	in	ns	edns1.ultradns.com.
csgengagement.sky.	172800	in	ns	edns1.ultradns.net.
csgengagement.sky.	172800	in	ns	edns1.ultradns.org.
csgengagement.sky.	172800	in	ns	ns0.isp.sky.com.
csgengagement.sky.	172800	in	ns	ns1.isp.sky.com.
csglearning.sky.	172800	in	ns	edns1.ultradns.biz.
csglearning.sky.	172800	in	ns	edns1.ultradns.com.
csglearning.sky.	172800	in	ns	edns1.ultradns.net.
csglearning.sky.	172800	in	ns	edns1.ultradns.org.
csglearning.sky.	172800	in	ns	ns0.isp.sky.com.
csglearning.sky.	172800	in	ns	ns1.isp.sky.com.
cybersec.sky.	172800	in	ns	asia2.akam.net.
cybersec.sky.	172800	in	ns	asia3.akam.net.
cybersec.sky.	172800	in	ns	eur6.akam.net.
cybersec.sky.	172800	in	ns	ns1-156.akam.net.
cybersec.sky.	172800	in	ns	ns1-42.akam.net.
cybersec.sky.	172800	in	ns	use1.akam.net.
cybersec.sky.	172800	in	ns	use2.akam.net.
design.sky.	172800	in	ns	edns1.ultradns.biz.
design.sky.	172800	in	ns	edns1.ultradns.com.
design.sky.	172800	in	ns	edns1.ultradns.net.
design.sky.	172800	in	ns	edns1.ultradns.org.
design.sky.	172800	in	ns	ns0.isp.sky.com.
design.sky.	172800	in	ns	ns1.isp.sky.com.
digitalcontent.sky.	172800	in	ns	edns1.ultradns.biz.
digitalcontent.sky.	172800	in	ns	edns1.ultradns.com.
digitalcontent.sky.	172800	in	ns	edns1.ultradns.net.
digitalcontent.sky.	172800	in	ns	edns1.ultradns.org.
digitalcontent.sky.	172800	in	ns	ns0.isp.sky.com.
digitalcontent.sky.	172800	in	ns	ns1.isp.sky.com.
digitalimages.sky.	172800	in	ns	edns1.ultradns.biz.
digitalimages.sky.	172800	in	ns	edns1.ultradns.com.
digitalimages.sky.	172800	in	ns	edns1.ultradns.net.
digitalimages.sky.	172800	in	ns	edns1.ultradns.org.
digitalimages.sky.	172800	in	ns	ns0.isp.sky.com.
digitalimages.sky.	172800	in	ns	ns1.isp.sky.com.
dns1.nic.sky.	86400	in	a	213.248.219.127
dns1.nic.sky.	86400	in	aaaa	2a01:0618:0403:0000:0000:0000:0000:0127
dns2.nic.sky.	86400	in	a	103.49.83.127
dns2.nic.sky.	86400	in	aaaa	2401:fd80:0403:0000:0000:0000:0000:0127
dns3.nic.sky.	86400	in	a	213.248.223.127
dns3.nic.sky.	86400	in	aaaa	2a01:0618:0407:0000:0000:0000:0000:0127
dns4.nic.sky.	86400	in	a	43.230.51.127
dns4.nic.sky.	86400	in	aaaa	2401:fd80:0407:0000:0000:0000:0000:0127
dnsa.nic.sky.	86400	in	a	156.154.100.3
dnsa.nic.sky.	86400	in	aaaa	2001:0502:ad09:0000:0000:0000:0000:0003
dnsb.nic.sky.	86400	in	a	156.154.101.3
dnsb.nic.sky.	86400	in	aaaa	2001:0502:2eda:0000:0000:0000:0000:0003
dnsc.nic.sky.	86400	in	a	156.154.102.3
dnsc.nic.sky.	86400	in	aaaa	2610:00a1:1009:0000:0000:0000:0000:0003
dnsd.nic.sky.	86400	in	a	156.154.103.3
dnsd.nic.sky.	86400	in	aaaa	2610:00a1:1010:0000:0000:0000:0000:0003
dse.sky.	172800	in	ns	ns-0.awsdns-00.com.
dse.sky.	172800	in	ns	ns-1024.awsdns-00.org.
dse.sky.	172800	in	ns	ns-1536.awsdns-00.co.uk.
dse.sky.	172800	in	ns	ns-512.awsdns-00.net.
dsp.sky.	172800	in	ns	dns1.comlaude-dns.com.
dsp.sky.	172800	in	ns	dns2.comlaude-dns.net.
dsp.sky.	172800	in	ns	dns3.comlaude-dns.co.uk.
dsp.sky.	172800	in	ns	dns4.comlaude-dns.eu.
elections.sky.	172800	in	ns	edns1.ultradns.biz.
elections.sky.	172800	in	ns	edns1.ultradns.com.
elections.sky.	172800	in	ns	edns1.ultradns.net.
elections.sky.	172800	in	ns	edns1.ultradns.org.
elections.sky.	172800	in	ns	ns0.isp.sky.com.
elections.sky.	172800	in	ns	ns1.isp.sky.com.
ense.sky.	172800	in	ns	edns1.ultradns.biz.
ense.sky.	172800	in	ns	edns1.ultradns.com.
ense.sky.	172800	in	ns	edns1.ultradns.net.
ense.sky.	172800	in	ns	edns1.ultradns.org.
ense.sky.	172800	in	ns	ns0.isp.sky.com.
ense.sky.	172800	in	ns	ns1.isp.sky.com.
entos.sky.	172800	in	ns	edns1.ultradns.biz.
entos.sky.	172800	in	ns	edns1.ultradns.com.
entos.sky.	172800	in	ns	edns1.ultradns.net.
entos.sky.	172800	in	ns	edns1.ultradns.org.
entos.sky.	172800	in	ns	ns0.isp.sky.com.
entos.sky.	172800	in	ns	ns1.isp.sky.com.
experiencetrials.sky.	172800	in	ns	edns1.ultradns.biz.
experiencetrials.sky.	172800	in	ns	edns1.ultradns.com.
experiencetrials.sky.	172800	in	ns	edns1.ultradns.net.
experiencetrials.sky.	172800	in	ns	edns1.ultradns.org.
experiencetrials.sky.	172800	in	ns	ns0.isp.sky.com.
experiencetrials.sky.	172800	in	ns	ns1.isp.sky.com.
explore.sky.	172800	in	ns	dns1.comlaude-dns.com.
explore.sky.	172800	in	ns	dns2.comlaude-dns.net.
explore.sky.	172800	in	ns	dns3.comlaude-dns.co.uk.
explore.sky.	172800	in	ns	dns4.comlaude-dns.eu.
futurenow.sky.	172800	in	ns	edns1.ultradns.biz.
futurenow.sky.	172800	in	ns	edns1.ultradns.com.
futurenow.sky.	172800	in	ns	edns1.ultradns.net.
futurenow.sky.	172800	in	ns	edns1.ultradns.org.
futurenow.sky.	172800	in	ns	ns0.isp.sky.com.
futurenow.sky.	172800	in	ns	ns1.isp.sky.com.
getintotech.sky.	172800	in	ns	dns1.comlaude-dns.com.
getintotech.sky.	172800	in	ns	dns2.comlaude-dns.net.
getintotech.sky.	172800	in	ns	dns3.comlaude-dns.co.uk.
