a.xn--9dbq2a.	172800	in	ns	ns2.101domain.com.
a.xn--9dbq2a.	172800	in	ns	ns5.101domain.com.
aexp.xn--9dbq2a.	172800	in	ns	dns1.cscdns.net.
aexp.xn--9dbq2a.	172800	in	ns	dns2.cscdns.net.
airpods.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
airpods.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
airpods.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
airpods.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
amazon.xn--9dbq2a.	172800	in	ns	nsgbr.comlaude.co.uk.
amazon.xn--9dbq2a.	172800	in	ns	nssui.comlaude.ch.
amazon.xn--9dbq2a.	172800	in	ns	nsusa.comlaude.net.
americanexpress.xn--9dbq2a.	172800	in	ns	dns1.cscdns.net.
americanexpress.xn--9dbq2a.	172800	in	ns	dns2.cscdns.net.
amex.xn--9dbq2a.	172800	in	ns	dns1.cscdns.net.
amex.xn--9dbq2a.	172800	in	ns	dns2.cscdns.net.
apollo.xn--9dbq2a.	172800	in	ns	ns1.brandshelter.com.
apollo.xn--9dbq2a.	172800	in	ns	ns2.brandshelter.de.
apollo.xn--9dbq2a.	172800	in	ns	ns3.brandshelter.info.
apollo.xn--9dbq2a.	172800	in	ns	ns4.brandshelter.net.
apollo.xn--9dbq2a.	172800	in	ns	ns5.brandshelter.us.
apple.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
apple.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
apple.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
apple.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applecare.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applecare.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applecare.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applecare.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
appleid.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
appleid.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
appleid.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
appleid.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applemusic.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applemusic.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applemusic.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applemusic.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applenews.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applenews.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applenews.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applenews.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applepay.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applepay.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applepay.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applepay.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applestore.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applestore.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applestore.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applestore.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
appletv.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
appletv.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
appletv.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
appletv.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applewallet.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applewallet.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applewallet.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applewallet.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
applewatch.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
applewatch.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
applewatch.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
applewatch.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
appstore.xn--9dbq2a.	172800	in	ns	a.ns.apple.com.
appstore.xn--9dbq2a.	172800	in	ns	b.ns.apple.com.
appstore.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
appstore.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
ava.xn--9dbq2a.	172800	in	ns	ns1.eurodns.com.
ava.xn--9dbq2a.	172800	in	ns	ns2.eurodns.com.
