63320.democrat.	3600	in	ns	ns2.dyna-ns.net.
66065.democrat.	3600	in	ns	ns1.dyna-ns.net.
66065.democrat.	3600	in	ns	ns2.dyna-ns.net.
66195.democrat.	3600	in	ns	ns1.dyna-ns.net.
66195.democrat.	3600	in	ns	ns2.dyna-ns.net.
66222.democrat.	3600	in	ns	ns1.dyna-ns.net.
66222.democrat.	3600	in	ns	ns2.dyna-ns.net.
68220.democrat.	3600	in	ns	ns1.dyna-ns.net.
68220.democrat.	3600	in	ns	ns2.dyna-ns.net.
68805.democrat.	3600	in	ns	ns1.dyna-ns.net.
68805.democrat.	3600	in	ns	ns2.dyna-ns.net.
68888.democrat.	3600	in	ns	ns1.dnsip.com.
68888.democrat.	3600	in	ns	ns2.dnsip.com.
68896.democrat.	3600	in	ns	ns1.dyna-ns.net.
68896.democrat.	3600	in	ns	ns2.dyna-ns.net.
69588.democrat.	3600	in	ns	ns1.dyna-ns.net.
69588.democrat.	3600	in	ns	ns2.dyna-ns.net.
69968.democrat.	3600	in	ns	ns1.dyna-ns.net.
69968.democrat.	3600	in	ns	ns2.dyna-ns.net.
6s4gmk3tvkhi77h8pgenueqqkut5n6t4.democrat.	3600	in	nsec3	1 1 0 73 7J1PT3R1R1FOILMG9PEHJ4ST9CET4TK2 NS DS RRSIG
6s4gmk3tvkhi77h8pgenueqqkut5n6t4.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. qcVagq44F2RmuGGQjlBnXPj2RBdPuXj3mUvYq/5tJ7qVBAge5im/krHGH6GI9ZNnWW/3uk7sxn8ka5cgZYSqUu2+hAXr8lHAYpk+2wIGD5m6MsURfJf12slfgAq+VLaf0vgAjMCg0/QY2EBAQu/DXZ1UNELpuTVF54WacbXnUwo=
77077.democrat.	3600	in	ns	ns1.dyna-ns.net.
77077.democrat.	3600	in	ns	ns2.dyna-ns.net.
77155.democrat.	3600	in	ns	ns1.dyna-ns.net.
77155.democrat.	3600	in	ns	ns2.dyna-ns.net.
78889.democrat.	3600	in	ns	ns1.dnsip.com.
78889.democrat.	3600	in	ns	ns2.dnsip.com.
78898.democrat.	3600	in	ns	ns1.dyna-ns.net.
78898.democrat.	3600	in	ns	ns2.dyna-ns.net.
789bet.democrat.	3600	in	ns	eloise.ns.cloudflare.com.
789bet.democrat.	3600	in	ns	lex.ns.cloudflare.com.
789club.democrat.	3600	in	ns	hasslo.ns.cloudflare.com.
789club.democrat.	3600	in	ns	veronica.ns.cloudflare.com.
789win.democrat.	3600	in	ns	ns1.dyna-ns.net.
789win.democrat.	3600	in	ns	ns2.dyna-ns.net.
79010.democrat.	3600	in	ns	ns1.dyna-ns.net.
79010.democrat.	3600	in	ns	ns2.dyna-ns.net.
7j1pt3r1r1foilmg9pehj4st9cet4tk2.democrat.	3600	in	nsec3	1 1 0 73 8G3O7VCSA31DF3PNMO2394LVUK7IO0LK NS DS RRSIG
7j1pt3r1r1foilmg9pehj4st9cet4tk2.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. QjFWU6DupW+ycEoVWAArwApEtFNfd5IrcqeHznsC+wz+JQF9Ex5YlpDby67FKEqMAX23l9U9ZFLHSrqyQH2XwNp4ZcMlIDDlcrfO0pRdlK+nF/NBpGYJf63gmh1v+3omv5w8oRSkEopDgA6MdfAhwJF3B+s6V+tnilVinlMEbK4=
7m.democrat.	3600	in	ns	leonard.ns.cloudflare.com.
7m.democrat.	3600	in	ns	susan.ns.cloudflare.com.
80860.democrat.	3600	in	ns	ns1.dyna-ns.net.
80860.democrat.	3600	in	ns	ns2.dyna-ns.net.
81000.democrat.	3600	in	ns	ns1.dyna-ns.net.
81000.democrat.	3600	in	ns	ns2.dyna-ns.net.
81515.democrat.	3600	in	ns	ns1.dyna-ns.net.
81515.democrat.	3600	in	ns	ns2.dyna-ns.net.
81863.democrat.	3600	in	ns	ns1.dyna-ns.net.
81863.democrat.	3600	in	ns	ns2.dyna-ns.net.
81888.democrat.	3600	in	ns	ns1.dnsip.com.
81888.democrat.	3600	in	ns	ns2.dnsip.com.
81984.democrat.	3600	in	ns	ns1.dyna-ns.net.
81984.democrat.	3600	in	ns	ns2.dyna-ns.net.
83368.democrat.	3600	in	ns	ns1.dyna-ns.net.
83368.democrat.	3600	in	ns	ns2.dyna-ns.net.
85888.democrat.	3600	in	ns	ns1.dnsip.com.
85888.democrat.	3600	in	ns	ns2.dnsip.com.
86028.democrat.	3600	in	ns	ns1.dnsip.com.
86028.democrat.	3600	in	ns	ns2.dnsip.com.
86101.democrat.	3600	in	ns	ns1.dyna-ns.net.
86101.democrat.	3600	in	ns	ns2.dyna-ns.net.
86462.democrat.	3600	in	ns	ns1.dyna-ns.net.
86462.democrat.	3600	in	ns	ns2.dyna-ns.net.
86650.democrat.	3600	in	ns	ns1.dyna-ns.net.
86650.democrat.	3600	in	ns	ns2.dyna-ns.net.
86655.democrat.	3600	in	ns	ns1.dnsip.com.
86655.democrat.	3600	in	ns	ns2.dnsip.com.
86828.democrat.	3600	in	ns	ns1.dnsip.com.
86828.democrat.	3600	in	ns	ns2.dnsip.com.
86839.democrat.	3600	in	ns	ns1.dyna-ns.net.
86839.democrat.	3600	in	ns	ns2.dyna-ns.net.
86888.democrat.	3600	in	ns	ns1.dnsip.com.
86888.democrat.	3600	in	ns	ns2.dnsip.com.
86998.democrat.	3600	in	ns	ns1.dyna-ns.net.
86998.democrat.	3600	in	ns	ns2.dyna-ns.net.
87888.democrat.	3600	in	ns	ns1.dnsip.com.
87888.democrat.	3600	in	ns	ns2.dnsip.com.
88-aa.democrat.	3600	in	ns	vicky.ns.cloudflare.com.
88-aa.democrat.	3600	in	ns	zita.ns.cloudflare.com.
88602.democrat.	3600	in	ns	ns1.dnsip.com.
88602.democrat.	3600	in	ns	ns2.dnsip.com.
88666.democrat.	3600	in	ns	ns1.dyna-ns.net.
88666.democrat.	3600	in	ns	ns2.dyna-ns.net.
88888.democrat.	3600	in	ns	ns1.dnsip.com.
88888.democrat.	3600	in	ns	ns2.dnsip.com.
88clb.democrat.	3600	in	ns	arely.ns.cloudflare.com.
88clb.democrat.	3600	in	ns	fonzie.ns.cloudflare.com.
89191.democrat.	3600	in	ns	ns1.dnsip.com.
