0115hn26rq2n697ofho5u29e0llv4lgi.business.	3600	in	nsec3	1 1 0 73 01C7756MLSINC0R0SHQQ2EGER81NCAV0 NS DS RRSIG
0115hn26rq2n697ofho5u29e0llv4lgi.business.	3600	in	rrsig	NSEC3 8 2 3600 20251022153329 20251001143329 7056 business. aHs7AJr+2I9a2iJr5snnuTgJjXf/0xE3AkzsXFfIJgJKRFSB51EcJD99Dat7R/5MvCO/7AdCs1vtnqrJ+vhrXZQDg/MOF+NkzEaQzhfWW49OQiGZWDI8kcvrq7qLGYozkzESVYLXJP/MBriz9srhS1VRWf/YwNnNem3fskQTgBQ=
01479.business.	3600	in	ns	ns1.dnsip.com.
01479.business.	3600	in	ns	ns2.dnsip.com.
01740.business.	3600	in	ns	ns1.dnsip.com.
01740.business.	3600	in	ns	ns2.dnsip.com.
01c7756mlsinc0r0shqq2eger81ncav0.business.	3600	in	nsec3	1 1 0 73 01JV7S8HI5M596OKD9AJ6DAVJUC1RIIK NS DS RRSIG
01c7756mlsinc0r0shqq2eger81ncav0.business.	3600	in	rrsig	NSEC3 8 2 3600 20251022153329 20251001143329 7056 business. mOYQUFiTmlSWvcp2Rh5ZX8pmwj/rZIaNdTIsA84INdHy9rLoioLvumOQ1T98j2iF8ttfozVUezrENrcE2W1d9/gfOBDeuejL9tn4/L9fgO7HW1zdINUqunbsT2whZ/Yo84MnBVbZw8SfqTfRPPX7G9ueYfzRePMAL23ijgaqLoY=
01fxczvz-o2.business.	3600	in	ns	raina.ns.cloudflare.com.
01fxczvz-o2.business.	3600	in	ns	steven.ns.cloudflare.com.
01jv7s8hi5m596okd9aj6davjuc1riik.business.	3600	in	nsec3	1 1 0 73 020IFGTG8GIB0KPB8G69NT4B1UIU034G NS DS RRSIG
01jv7s8hi5m596okd9aj6davjuc1riik.business.	3600	in	rrsig	NSEC3 8 2 3600 20251022153329 20251001143329 7056 business. ZvoDgisCRyDA84sSr0W83LzdRjL3Efz6TSjTph6XMB1MlpAhSJbEMnLppxfxUCJsGpgKFrOkIoylUrINpQrmCA0FlLOFVckIBuBhlMJ1PrhH8YhWvGnGjkmaEn5Plc5NZ/GXuMG5A8TlQ+oxgbe/FIt/Sy18vfMUTTqE5o3Z+xU=
01s.business.	3600	in	ns	curitiba.ns.porkbun.com.
01s.business.	3600	in	ns	fortaleza.ns.porkbun.com.
01s.business.	3600	in	ns	maceio.ns.porkbun.com.
01s.business.	3600	in	ns	salvador.ns.porkbun.com.
02076.business.	3600	in	ns	ns1.dnsip.com.
02076.business.	3600	in	ns	ns2.dnsip.com.
020ifgtg8gib0kpb8g69nt4b1uiu034g.business.	3600	in	nsec3	1 1 0 73 03JHVM281PO957VJ62AGONE55KFEJR6S NS DS RRSIG
020ifgtg8gib0kpb8g69nt4b1uiu034g.business.	3600	in	rrsig	NSEC3 8 2 3600 20251022153329 20251001143329 7056 business. uRumHWoa44Br00OK4gxk2DR7or1sc+ihJCGcoTAcslOv5Cq8wgkkGM4fi52H0auTXh7vMMyhxzpHXe42UXcpCtfeeBb5TWResC+VSxrzI366ynRjYJJoroXJCbHeBS10fzhGv5U0TbfKvprQ2xd8GDfy3nd8Rp86rCGL4aZdND0=
025001.business.	3600	in	ns	n1.xundns.com.
025001.business.	3600	in	ns	n2.xundns.com.
025002.business.	3600	in	ns	n1.xundns.com.
025002.business.	3600	in	ns	n2.xundns.com.
025003.business.	3600	in	ns	n1.xundns.com.
025003.business.	3600	in	ns	n2.xundns.com.
025004.business.	3600	in	ns	n1.xundns.com.
025004.business.	3600	in	ns	n2.xundns.com.
025006.business.	3600	in	ns	n1.xundns.com.
025006.business.	3600	in	ns	n2.xundns.com.
025007.business.	3600	in	ns	n1.xundns.com.
025007.business.	3600	in	ns	n2.xundns.com.
025009.business.	3600	in	ns	n1.xundns.com.
025009.business.	3600	in	ns	n2.xundns.com.
