0317fnqsed3hmudnnn5rcfkd75pdfs8e.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. PASvMuR+vYDUQ8oWjsKPa9FlJH7HlVgpvNZ1P70L0GoSRDMFw90WVKOh7IalHQMSSlWhsiLO1S+q0PeHVmOhKaQnUywVtgR3OthDsrV+9sYUMXbELA7EARXbzpcBQ4seymssesc/30e8MwUUfhuoV9VRkcgHcumQhAaV/Hw5KvwQA/gFbgAmMZnDGyZL53DneRM8rIC6EdU+5yM9JiHnRw==
0381r13gt143olp3nulpch67jotqlnu2.sport.	43200	in	nsec3	1 0 0 - 039M277LTKUMQQM9UUVJNOSC138C0VBK NS
0381r13gt143olp3nulpch67jotqlnu2.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. rOzoGeZh0V3/UoKKDc7VOV0k04NYQusGuvIdYyIZWTi5CL4vb3/UjJ0qhoZ9CvpcU3KA6I0RQW7umF7ZvHgkGTiTF5jajiKXayaX/jrzSGLi1t1+OYCFNK72inzYxoUbl8HtDTzHgSsSErBpMDd61iuWNnlvIbMnx8A+9LokVeuBTpj/u8jUb+rKBRnY1ZKwmH2w9bLnECc3wO/wo3xL2g==
039m277ltkumqqm9uuvjnosc138c0vbk.sport.	43200	in	nsec3	1 0 0 - 03BB827TDA8M1ABTJ026L6DH9N7PMLLR NS
039m277ltkumqqm9uuvjnosc138c0vbk.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. XveVNRGHQbxevZ0LIPeO8nfgbwuT8seGQcEnjzVRclh4lpFBKK1thgaTb5n82QVRDcRfT/Cn2wok/vvDJ11Ycocd990yN7yrmwhKTqyTBGwEBop2ok6kZdYmgokpP0NjbVK+6oqjXld4IZHCoBV3ppf0tSfeaTpK4nLfSH1WHOHBw0iX+9KZ5KCsBoZEsohXJBJ0DZTEEpw3YFWz/R2l2g==
03bb827tda8m1abtj026l6dh9n7pmllr.sport.	43200	in	nsec3	1 0 0 - 03CE8RONAL3IIASHFIM6FDQBN1K64DSJ NS
03bb827tda8m1abtj026l6dh9n7pmllr.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. lO+PFClIqPX8G/t0FFDo2tdxny4fhjZ+LodB1OPNBDgJ4w0pju3WfrkPjrAL6OS1slqgipy0RvQaBYAqzFhWuuwpGqzhb9qTjvi+wU2eyznld84+CeUbswBOwzfEJrpmSyU+DbxBPtV4xyztFi3Zv1uAwW3ltaImojurr0bZbND3KBHlyPa8NfUr8bxR0+EqFIdPmAT4dXSoOyzmD3iKGg==
03ce8ronal3iiashfim6fdqbn1k64dsj.sport.	43200	in	nsec3	1 0 0 - 03IPBRSMB41EEE935U5APSHP46O0MQ97 NS
03ce8ronal3iiashfim6fdqbn1k64dsj.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. hZciNqKkyDge2FCc6qPUUWLWdTU4u/0hICqm8se12xcDjjFtHdiFI30fyCeS0R8JAJiWfyKk3iu8Rf++D+UTIL4/7lPQxLW/l4Y58KHoYKvng+Aa+9pDp9C0AZcZeDzMDxO2YLJsuhYKskjPXndY0J04VAwdbL2ESaBsGYVuR9Mx0e1GhE0EGL8J/smcLrYREDOi0/bO5djDthIO1dJ48w==
03ipbrsmb41eee935u5apshp46o0mq97.sport.	43200	in	nsec3	1 0 0 - 03TNILQP4N40RJKMC1KVBT85A43QFACU NS
