1t9tcu6an8bfg5da7ihfkpq9jpplsui4.horse.	900	in	rrsig	NSEC3 8 2 900 20250917143140 20250903142455 11808 horse. sXqJraj9Vw4RcHo0mVIxrFm6qVzkCTOPzikZ+pjIDI5ADPtHVdnY8LRuX+K47QZogm33V42gBmRT9+I5LwWxOZ5+Rcr+Czy6XXYjV1ynpBy8G85Wl3ODtSefGVBP+044oNuUbDgEKuEN0tXyhoXcgmZfcc1ZDoK7lgYawcMLRuNAAllZtdUl0/YQtbCsWgpMM4iQBSy/tVEPmQKDIZ4J+g==
1ucps193b6b208qsi18i48rd90fc1r5t.horse.	900	in	nsec3	1 1 0 - 1UG9T616A1MS15IUIMQRURAF7K2I8DKU NS DS RRSIG
1ucps193b6b208qsi18i48rd90fc1r5t.horse.	900	in	rrsig	NSEC3 8 2 900 20250913021859 20250830012056 11808 horse. MnW0DnRE2CpTxf98ydzMOMuHmOSnK/ZymEcCk/m1RnIGzadc39I7rQYxhp+o/yg008ERa3wO89CPw2SFJFzAIF4iECkdW92KOk5OmeEkruLjxzULNVlK6OG8eFxOFRK4eGDvYZskjBwvzifEj5+mplREdHMHChB4K0kxsovujC4fxFg2qo7EjU2HeZ97NZEcAC87FQ4iEA5xsQHZ6ORk7A==
1ug9t616a1ms15iuimqruraf7k2i8dku.horse.	900	in	nsec3	1 1 0 - 1UUE3LNAB0MNBI6B4ONUU90VLH7QE396 NS DS RRSIG
1ug9t616a1ms15iuimqruraf7k2i8dku.horse.	900	in	rrsig	NSEC3 8 2 900 20250913021859 20250830012056 11808 horse. OG3esp/Zr8W1sg8A1KO4RoZOkCCFqevYzJ02x7yl0LOyPANQ9dfX+zgrPm3Z6PhdsBmsGJHetJghwED31uyTtu19/xutI2oaS+DQhP0y0hZvxDwU4BQHS+Jwrgnkqnb2mD9vM6iqkM4beu3jVR0eJku+A75ZUBh4Cak6dzNCIybrYu/aBNvR87qtuxE8JxwcWE6fIwoUNkGiaROu3zKXgQ==
1uue3lnab0mnbi6b4onuu90vlh7qe396.horse.	900	in	nsec3	1 1 0 - 24BIM6JT4JTNNQ48B6NLOJ7RAR5LCNQG NS DS RRSIG
1uue3lnab0mnbi6b4onuu90vlh7qe396.horse.	900	in	rrsig	NSEC3 8 2 900 20250913163123 20250830160125 11808 horse. bWb+bQjUm3jJ593253sRfJp9SO3ceKiLPnx55g0c9H2gpNZHyypzdWrlWxVVUkEMetUQOUTABd0uSifql73PrbrLtXmaorULinTZZ3Dmb/HcUs8sQ8JZRS+V4a5oxrJT3+08MeYBrF4LpbZJSAYFyclDcHaIiicFMMScEw3w78at4wuXJDzhsdgFdNe79qqXT4WzE7RQwif64Ze2HsrvHQ==
1w.horse.	3600	in	ns	ns1.pananames.com.
1w.horse.	3600	in	ns	ns2.pananames.com.
1w.horse.	3600	in	ns	ns3.pananames.com.
1w.horse.	3600	in	ns	ns4.pananames.com.
2.horse.	3600	in	ns	ns1.dyna-ns.net.
2.horse.	3600	in	ns	ns2.dyna-ns.net.
23win.horse.	3600	in	ns	josephine.ns.cloudflare.com.
23win.horse.	3600	in	ns	tadeo.ns.cloudflare.com.
24bim6jt4jtnnq48b6nloj7rar5lcnqg.horse.	900	in	nsec3	1 1 0 - 29D4CMLDVHPBACH26HMMQH2LURIHP2MH NS DS RRSIG
24bim6jt4jtnnq48b6nloj7rar5lcnqg.horse.	900	in	rrsig	NSEC3 8 2 900 20250915072355 20250901070839 11808 horse. Qiyqh4MesYIqgE86uM4+3DOuqk7OenOa7JDqcVyZJX/A2UBqyGggfjAbJN8FRNven3zgtnENkpAtK8j7oZqRMwS0eP77KDhC+Upv+NRq4NF6gHdJ39Pk1hkpsnbzsDiJBeHRGwVQ8TTy0j5tkLT1//FVwPia2f1E0LsSuhv7Ca/CiVMehkRkvqX1X0/ZR23S6QiwAoM4xKU4DA07zQ8lEg==
2600.horse.	3600	in	ns	dns1.registrar-servers.com.
2600.horse.	3600	in	ns	dns2.registrar-servers.com.
29d4cmldvhpbach26hmmqh2lurihp2mh.horse.	900	in	nsec3	1 1 0 - 2MLV3VQSCQ9NC7RFNEG70KFDM29SSS22 NS DS RRSIG
29d4cmldvhpbach26hmmqh2lurihp2mh.horse.	900	in	rrsig	NSEC3 8 2 900 20250916235257 20250902233804 11808 horse. EbvbJF45UEetOvMErDRffumri3RhdLZ5Eq1oAOITGRisd4IyqFG1n3HY3CiR/KDpjMM5DWrXremkBKiSx6JC21Lht9nPvA/9d7NV7afnRfCuDnWsrxGvhci4/+pk1IQ3zzcZ0T10k/00DEd5CbZSf/Xx3nCQq6/LvWrzrHeUmHGQWGfUl2+geYKpwsd5+2TjCyFIsR7hgQuLxFpIf6WOdw==
2mlv3vqscq9nc7rfneg70kfdm29sss22.horse.	900	in	nsec3	1 1 0 - 30GE85TF0GP5PJ02ATT09TAFK3KP2BC3 NS DS RRSIG
2mlv3vqscq9nc7rfneg70kfdm29sss22.horse.	900	in	rrsig	NSEC3 8 2 900 20250916235257 20250902233804 11808 horse. i4rmvCRthrw9vzRK5AuObQ3GwglpKZlpbZWNpaJWgemgx5oKCEj74H1cMkT6I3yZd5VrF+amKWoNqTC9sZm9yaZOISaRB4QAIVKewt0PVpPdRYfNqdFr6rrqlo2Hz9OV0qOosaL0O4Mn6i2mSH22BZytWjMdNGzDWpbP7LeMydKC74o5FfM6vLZFrRaBjWq//mqN8wOmcZYtrZ7p/p2XwQ==
30ge85tf0gp5pj02att09tafk3kp2bc3.horse.	900	in	nsec3	1 1 0 - 331937HNH1UAF08AHP5S999P57RJBCIA NS DS RRSIG
30ge85tf0gp5pj02att09tafk3kp2bc3.horse.	900	in	rrsig	NSEC3 8 2 900 20250918025110 20250904021849 11808 horse. VZVkDSCneHJWi1tCRl+IUgYWd4o0l/QJs9ErnyTS5EWbu9ajFTL1XC609i56X0PIeFTlR2eMiPTJV/e9wAnXXWn/RdP87616e1/bqrcabtB1/8HE7IHvF+sI1Dwi361kPCqJIKuOzDHenz0S0GWT4J2N3fZHZfJ6I/FnAFaTDlYavpM3AHGWhOxZ5OWV0TApEf6JkUMGmPYzPJiVrHJhPQ==
331937hnh1uaf08ahp5s999p57rjbcia.horse.	900	in	nsec3	1 1 0 - 33LNNLA477ASS84MNQPDJVVO75MEHRBA NS DS RRSIG
331937hnh1uaf08ahp5s999p57rjbcia.horse.	900	in	rrsig	NSEC3 8 2 900 20250918025110 20250904021849 11808 horse. KpdcQsnRQGp+K9zjNs5ndT8iCyIpvXS8jbsxuidbaGt0Bpcqrffz86PG3fASM3d+cNaaLbaWv53QFHwLpk6suXViniJfV+zwYJLwyuzKeYPNEV2crAfOS678NqVGLgl0wHYZk/4o3K1yVU9o1oguoSXxcQNQz5v8V6/sCP2qTi8QLkLmVF7smRCX/YHXXNBoGoWuADRmz/6tcKnbJUwNGw==
33lnnla477ass84mnqpdjvvo75mehrba.horse.	900	in	nsec3	1 1 0 - 36TEH8IS1FG8GOHIQIFUEA6M1D2119B6 NS DS RRSIG
