3bd95a9m3cps4d1hp33dif6bd9g6svm1.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. JzeQUS5JLrP0xdm6Ny61S98GGbXlig7ZmsA47uuoRAVmsDOqcjVHwx6gjK9KpE3wa13lUKlqubUKm0QxiBxDs+WAwkOHVzfRe5y3tZygwFQjjbhATVHenyE3LESjmHTSxLlVGXVupA/Em9ifWIwmV5qkFao2Sm6M1lzz1sfYcjA=
3cofctfo6min3us1mp0eumped4h9mtrl.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 3HBTS3G0GUNLEM0JG74F8S6RFAU0OTK5 NS DS RRSIG
3cofctfo6min3us1mp0eumped4h9mtrl.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. OkZVLklfcs5WLE2QAvJMCWYCHIqCJVIUchvPtN4LqQI9++r8FA9gjOBwE8lnYOQkv30Nb2MRX4fNwX42b+6MMxfDqLn977V5LYbhgtLG+9WGkf3kZAaKupWlgTr5tjBkvmR4T+0Pg8/DeYHCSpQUSUnGCnHDbCwJztqcxedCTdE=
3hbts3g0gunlem0jg74f8s6rfau0otk5.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 3RUQRMT16OHADMFTP05510TBHVSLEAJP NS DS RRSIG
3hbts3g0gunlem0jg74f8s6rfau0otk5.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. S7MwGziXyveJmhLkWdmUHHUSegaFx/gHsUljT7lg6FnOkzs/0tai2eVX+612p+PKN9lH7QNS/bWRMhmHd20TBi2Z1E/L4IvLfbbV+RuIazUiDi83iF7UPrA7S9APgBPbZpQXdXJSIrCpSjbl6GRQrEh4xXQaCCJvIp+syAIrGMA=
3hf.ngo.	3600	in	ns	nsa.whogohost.com.
3hf.ngo.	3600	in	ns	nsb.whogohost.com.
3ruqrmt16ohadmftp05510tbhvsleajp.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 44MS6P3NMIHSQ48C7TUPLBQ4582B0290 NS DS RRSIG
3ruqrmt16ohadmftp05510tbhvsleajp.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. QEzc5u1fbdg/5ol6wc95pS73qpV/xfxW4W1kyNK2Vv2cjfnjQ6BHPyo1JiKRVwYPHH5SGeJPMcOYBdOCbgvR3lG6cqHFVFyrs5sgyDFFyNv3d/4EQ9rSUPa3nVTZGYtfMCCs1TpZgts4vCSZRjYoS2vjarZV4td5fa5txhxWcqc=
4-paws.ngo.	3600	in	ns	dns.dns1.de.
4-paws.ngo.	3600	in	ns	dns.dns2.de.
4-paws.ngo.	3600	in	ns	dns.dns3.de.
4-paws.ngo.	3600	in	ns	dns.dns4.de.
4-pfoten.ngo.	3600	in	ns	dns.dns1.de.
4-pfoten.ngo.	3600	in	ns	dns.dns2.de.
4-pfoten.ngo.	3600	in	ns	dns.dns3.de.
4-pfoten.ngo.	3600	in	ns	dns.dns4.de.
44ms6p3nmihsq48c7tuplbq4582b0290.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 49O208LRFEE45D551BNTO64H21OP057J NS DS RRSIG
44ms6p3nmihsq48c7tuplbq4582b0290.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. fvmUVksjCCSkGlx0ytrkN3//t4u0jmwrpYJRkU8BWRmxmjdied1CDrT78BzjA954j5OcYKuh6Egc+I0H9TT0t258j1278xmxNkth22FmpQ6oYIY407wWcM65VuN1OMSQF2wvuqXLTlJ2AoenIVskG7QYsRUoV4dLA/NWqHM3cEQ=
49o208lrfee45d551bnto64h21op057j.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 4NGQDV699BEHTPHJJA9P71N0JVVL6L8U NS DS RRSIG
49o208lrfee45d551bnto64h21op057j.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. tewK/+p3+T9WglGSE+7DKLMYnJNqz6pLHYbouux5tsEbyV6F6k599BQa/0U2Jqqrxx3VPjzS6Wk8HwxAj5tRmH0IPeUftmvcmgv/UonfHyVXfMEw9yms0GyM0jpFRvjXvIPzG7MjIXvpn/gLLcfGf12db9hQ1esa6MrF0N/m6SM=
4climate.ngo.	3600	in	ns	ns17.domaincontrol.com.
4climate.ngo.	3600	in	ns	ns18.domaincontrol.com.
4ngqdv699behtphjja9p71n0jvvl6l8u.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 5TO95S9K22A5IQACPDKSUN2JH9OJOGPG NS DS RRSIG
4ngqdv699behtphjja9p71n0jvvl6l8u.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. anD7iXRKnL03NZIoEIGr6d27IUXIX/1iqykeaXLYrOsVLFkA3upzzMtZTUa2zxMWgvQ5F+Zu/hTKS4+6eqfHt/IPMR21Ywh+LBfs7IDiL5V95cJcYrnP/EWn4J6/O4st1u+YcMskisVGQkjpN/ocHKDiobEpKXN29YdpeV0a0og=
4paws.ngo.	3600	in	ns	dns.dns1.de.
4paws.ngo.	3600	in	ns	dns.dns2.de.
4paws.ngo.	3600	in	ns	dns.dns3.de.
4paws.ngo.	3600	in	ns	dns.dns4.de.
4pfoten.ngo.	3600	in	ns	dns.dns1.de.
4pfoten.ngo.	3600	in	ns	dns.dns2.de.
4pfoten.ngo.	3600	in	ns	dns.dns3.de.
4pfoten.ngo.	3600	in	ns	dns.dns4.de.
4prevent.ngo.	3600	in	ns	ns.inwx.de.
4prevent.ngo.	3600	in	ns	ns2.inwx.de.
4prevent.ngo.	3600	in	ns	ns3.inwx.eu.
4ybin.ngo.	3600	in	ns	ns1.alldomains.hosting.
4ybin.ngo.	3600	in	ns	ns2.alldomains.hosting.
4ybin.ngo.	3600	in	ns	ns3.alldomains.hosting.
4ybin.ngo.	3600	in	ns	ns4.alldomains.hosting.
501.ngo.	3600	in	ns	ns23.domaincontrol.com.
501.ngo.	3600	in	ns	ns24.domaincontrol.com.
5050.ngo.	3600	in	ns	irns139.parsdn.com.
5050.ngo.	3600	in	ns	irns140.parsdn.com.
58win.ngo.	3600	in	ns	ignat.ns.cloudflare.com.
58win.ngo.	3600	in	ns	ziggy.ns.cloudflare.com.
5to95s9k22a5iqacpdksun2jh9ojogpg.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 5URKSI587K8U30FS0UMCL9AJB83P6M4Q NS DS RRSIG
