amsterdam.	1800	in	soa	ns1.dns.amsterdam. dns.sidn.nl. 2026012502 1800 600 1209600 600
01ukb0bc8of3238ehelej9m5t718a1pn.amsterdam.	600	in	nsec3	1 0 0 - 01UNIF4B5GCKM7P02586LLLQ4JFEPE1Q NS
01ukb0bc8of3238ehelej9m5t718a1pn.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220084230 20260123093210 48007 amsterdam. j+hCSoFbXXrfQUYBUE8ydpGO/zkcLBeCas8WIfvIP6ADIbpq9WTaAhJAic/1RZfqzw/HXp4VZLrwVnwXeDgGgQ==
01unif4b5gckm7p02586lllq4jfepe1q.amsterdam.	600	in	nsec3	1 0 0 - 01UVEFKFP0JKIBDF253QSBQH411T9VL7 NS
01unif4b5gckm7p02586lllq4jfepe1q.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220145407 20260123093210 48007 amsterdam. iKlHIXL4Rtz3o2h4iwL20dXOAw5cYsgu/zp3/Yz1F72ufPXwEtgPyTC/3SDangz+Qm6acqAEFjjbhbX19nt4mQ==
01uvefkfp0jkibdf253qsbqh411t9vl7.amsterdam.	600	in	nsec3	1 0 0 - 025BTO80KE1H1K4D1N0GJ8C42BG0QUMH NS DS RRSIG
01uvefkfp0jkibdf253qsbqh411t9vl7.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220073206 20260123093210 48007 amsterdam. 6NM15dr6UuYhJpyyOfhC98S0A7mYbVwo/A7dcoEuiv/RiWtNr93S7NEFs/2VbowlIZRo+OBZymSnvMKHH7KlWQ==
020.amsterdam.	1800	in	ns	ns01.hostnet.nl.
020.amsterdam.	1800	in	ns	ns02.hostnet.nl.
020dna.amsterdam.	1800	in	ns	ns1.zxcs.nl.
020dna.amsterdam.	1800	in	ns	ns2.zxcs.nl.
020dna.amsterdam.	1800	in	ns	ns3.zxcs.nl.
020elektricien.amsterdam.	1800	in	ns	ns01.hostnet.nl.
020elektricien.amsterdam.	1800	in	ns	ns02.hostnet.nl.
020makelaars.amsterdam.	1800	in	ns	ns1.metaregistrar.nl.
020makelaars.amsterdam.	1800	in	ns	ns2.metaregistrar.nl.
025bto80ke1h1k4d1n0gj8c42bg0qumh.amsterdam.	600	in	nsec3	1 0 0 - 027A714PJPOIT33N4I77ML5JLSO27TKQ NS
025bto80ke1h1k4d1n0gj8c42bg0qumh.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220030037 20260123093210 48007 amsterdam. Fwejncm/rjzaN4Y6roNwe1QCawLyDaifChNY08tsTp1WmZ41MQVkEvSHwjUf4p4cJd3prmmmEvUaU/j6FgT3hQ==
027a714pjpoit33n4i77ml5jlso27tkq.amsterdam.	600	in	nsec3	1 0 0 - 02DB2QU0KTMTGQ7SKM7K6F7E3GG9GN0V NS
027a714pjpoit33n4i77ml5jlso27tkq.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220055050 20260123093210 48007 amsterdam. ujrVT5Bjw7I0F81fc8jpDMfzmEXHJwFc4F2gX0cR1gn5zx1J+IVQ5FTi+ERFGIMnD6HlxCuRp5Ky4GdcCs9zsA==
02db2qu0ktmtgq7skm7k6f7e3gg9gn0v.amsterdam.	600	in	nsec3	1 0 0 - 02FN27U456OK3G4T1ERJF50QIFQLQRN6 NS
02db2qu0ktmtgq7skm7k6f7e3gg9gn0v.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220024149 20260123093210 48007 amsterdam. +tZFgyc6dsNT+nM+XkuPBh0Wnl+lGeIZc8rZrvh5fZo8+RvV6J1wNuwWoZVpUl9ZFokvUsQatt+tJ3t+looOJw==
02fn27u456ok3g4t1erjf50qifqlqrn6.amsterdam.	600	in	nsec3	1 0 0 - 02JVU0V35EJ30DHB6HK7UKUNR5COKUJO NS
02fn27u456ok3g4t1erjf50qifqlqrn6.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220190158 20260123093210 48007 amsterdam. WCx90slI3WW78TdeyePqEdpjmFbfOhp6Nc9IaeKrHigeP+q4XvNu6Qk4ABSZS4yhpOXoUFk3wQ7RdV8P0qK2ew==
02jvu0v35ej30dhb6hk7ukunr5cokujo.amsterdam.	600	in	nsec3	1 0 0 - 02KQBBVS3OUBNO5G9A649TE8L7KHDJE8 NS
02jvu0v35ej30dhb6hk7ukunr5cokujo.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220170307 20260123093210 48007 amsterdam. 3JYxDB1lRzheE4OrZM4RrTPxv2vyCxTUN/F8K50wGF04nZbMcRbDsNNuhMm05TQWSwPQZuuJK9XFH8dZ8TKpBQ==
02kqbbvs3oubno5g9a649te8l7khdje8.amsterdam.	600	in	nsec3	1 0 0 - 02L93CU1L8590R4PD573DB0E45TP6VEV NS
02kqbbvs3oubno5g9a649te8l7khdje8.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220070034 20260123093210 48007 amsterdam. T4jCFlIOJzWcS1HWjPuRSvOk1Zn6N1Hn8EAkoPfiBQe0wilhUn0AdYXSraYLfHSqLirYiFD9tjY6uXXKEts/iw==
02l93cu1l8590r4pd573db0e45tp6vev.amsterdam.	600	in	nsec3	1 0 0 - 02NPDJUIQ27NJ4BD9B1EKQGDCLQRTB3K NS
02l93cu1l8590r4pd573db0e45tp6vev.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220085705 20260123093210 48007 amsterdam. z4VKzNT3d5LJ4i0J2MdEbghNq+QRbLq5PEAX84kKhh53HPGO34ot+JSChR9YRKy7R9eCpk9Ls12Ofa7DGlECqg==
02npdjuiq27nj4bd9b1ekqgdclqrtb3k.amsterdam.	600	in	nsec3	1 0 0 - 02NUCKICMS5SI565H7U5HUPFL9L4ECG3 NS
02npdjuiq27nj4bd9b1ekqgdclqrtb3k.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220145117 20260123093210 48007 amsterdam. O281gjep8pZT5kDjRTha5osuL4auxlXMXIvOwoibDH65xjDHdr1YIoRFLD/otkJFa4HMILFK+j9/bXBkYlntWA==
