toray.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1769302941 1800 900 604800 3600
1k883fuo0qaienb7v3job0o0petmkhc2.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260131193228 20260124071221 35650 toray. NEMmKlJxX3d2sIZgL/Pvx3jCUXbPP6sozdq5oCSlHhxlFgO8AzsvEsfcmtd/C3oQmQACZOD5S3/QlVWOsXbdcRrssm5+MGhSTXVGVRxfdWZUW1PYWdibhLdyHFfUhudqP6kINc9ix4N4Mg4woaJ1sTgZpJ54MfOmrsZtNzbAWdU=
1voinqdrh97rhj7i2glgb8cnn175t0d4.toray.	3600	in	nsec3	1 0 0 - 28BHH86OMQC36I7RGO0RU5PQF3V25596 NS
1voinqdrh97rhj7i2glgb8cnn175t0d4.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127021941 20260120101813 35650 toray. BOFQOK9V19cuLe5O4KqOrLSnaY8bX95O21mbJUpd+QmEP8YcEUw9rq9W34WsbhsE8iZ6m5a+pb8rbGW0kuTAmbHjUcqVkH6W+uFMZ5acGx2nD2EOz8kHcWFZ5oW4A5XLRSi0IKw2ZguWicgIG0GoaDzV68nDvPGppyqNKiPBU30=
28bhh86omqc36i7rgo0ru5pqf3v25596.toray.	3600	in	nsec3	1 0 0 - 2F4TQ021LKGHKGR4G7O9QP4FD44SJLPK NS
28bhh86omqc36i7rgo0ru5pqf3v25596.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129063514 20260122011915 35650 toray. H36T59i8Mda43pQtl6uk0eg1HzUWHngD5D84cxyT+FveOnUPzplHYHCIs+ZiaGM6GiiOVhG6zWVEQ+lKCEnXXO1USMM5DEhidUK6Mx39JzG4ZsgQAyfwGoXMQEwhwuAOfy5tDPEfLWA+JULxNySht3HF3cBCWDg4RWSFwESPqpQ=
2f4tq021lkghkgr4g7o9qp4fd44sjlpk.toray.	3600	in	nsec3	1 0 0 - 2MK8RIHIPSAA5GEGK2LU9CUIJD9BG6D3 NS DS RRSIG
2f4tq021lkghkgr4g7o9qp4fd44sjlpk.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129211459 20260122201719 35650 toray. TFMfwTIJjIuHs+x7FHYGR9VRVsS+cpw43RllPJkZ2ayEvzQ741ccPR7HZJ7VncAwdLP6W+H4GfZ2+Gh3ko7w/hjIAEBHTsmr/HClzRvj4In7VksklF0FIf4nMngpe+dWUlnFHb04hgm9ovwaN8GInrbDRnBG1d0LE8tqaa5cTYc=
2mk8rihipsaa5gegk2lu9cuijd9bg6d3.toray.	3600	in	nsec3	1 0 0 - 333RGBDF8RP1NU5DDEMN7JKFC02711P4 NS DS RRSIG
2mk8rihipsaa5gegk2lu9cuijd9bg6d3.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260130070348 20260122182025 35650 toray. dptmRpygc+IMjACScrx515DW8AI8v0k40yy/xyhGVYBvAtuMdAXZnhTAALa4PczE0cNiI2v70rdceDgPXoeArPyhteCsTS31GVR9pKGnGCI+TrIMq4BrTBK8zX2IB0ab9uHICdKBdECmtazJotDNXh0gC/oz1Xg/SxWNJUqEQS8=
333rgbdf8rp1nu5ddemn7jkfc02711p4.toray.	3600	in	nsec3	1 0 0 - 3E11J55QPG02SKTK7P9QFD5RCAG1SNPN NS DS RRSIG
333rgbdf8rp1nu5ddemn7jkfc02711p4.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127103614 20260120043909 35650 toray. TtQt65HQnU1Uy1xYqf5DttO4Pse0w3s5k2DC959EXn0MSdbJQrJIak8mDt0ahY6YHCusr8iLby7doD09YRFGMcbgUtLeAbV+tcdGtz6xNODbEWu7wBWmC4i/XUyz8SdEf9DgiqZ5IsC2kSbgsizLGFiz6TFrvDooBGVzIcECIdM=
3e11j55qpg02sktk7p9qfd5rcag1snpn.toray.	3600	in	nsec3	1 0 0 - 3IB2I04HH2IHBFRD6EQAI41HQRGK1TMP NS DS RRSIG
3e11j55qpg02sktk7p9qfd5rcag1snpn.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129012253 20260122025718 35650 toray. fBjKg/hEbDXUaGM+uMSrxoxTxny9UAJEEbL7lB0BuBKa7tCVFauUQn/9CsW4K5xuxhrtHZvJO/DK3Vfs9BOaMYtSG9QU6XAlASRkG+DvYeoimUTr9RZaE6QqO1vqON/sFAocXJGFH2ywk83QkUuUCsCPU35eHSUE7YnCoruo+jQ=
3ib2i04hh2ihbfrd6eqai41hqrgk1tmp.toray.	3600	in	nsec3	1 0 0 - 4NOKNEGJ037P0BOLCDF3DA3L1H3TP1H1 NS DS RRSIG
3ib2i04hh2ihbfrd6eqai41hqrgk1tmp.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128204725 20260122055012 35650 toray. Cw9n1Cd2RGp/jq9e6Xvx7g5iCEodsAI1H2qX9NxM4X4aeVqXlW/IuC+Z8L9pkkngrrYLePyPZG4vFxHhjK1DP8U9GWJj8qHmf86JCgIbsl3wjFDL3zAvo5TkyW41TqdBJKmSCihs66wsXbTuKpo6JCbEvkhAzNrszg5SYklSJyE=
4noknegj037p0bolcdf3da3l1h3tp1h1.toray.	3600	in	nsec3	1 0 0 - 542JLUN0SGLUBE2G34VKFEVB6TON435V NS DS RRSIG
4noknegj037p0bolcdf3da3l1h3tp1h1.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128235243 20260122083612 35650 toray. rtVynk2sjuqIy6iQt3Ivw1heMsS3UNP0eNzg1Qwk5WLUaRtDmE0KGgUkCQ0ZunILkrKrGu8DEuKAxS3ykqwUDme1X+JkBQC5TkyBYmslIRfgviWvsQqIcuRIvnTzEW2Cm1Ft5y9+8wBkIceOIWfkDJs42Clt//+qR9CNtONZhYI=
542jlun0sglube2g34vkfevb6ton435v.toray.	3600	in	nsec3	1 0 0 - 5HFN01CIG46MJT32EPD0DNQS48SRU2O1 NS DS RRSIG
542jlun0sglube2g34vkfevb6ton435v.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260130191305 20260123063115 35650 toray. bH31D6B/FKRUWH96InaigRcwdIPHddHyyFcRWRGZbjl2OcquCIjQe5YOsFNIyYjODw95bNweSNjmxXlKtqQOlCqQ3sl1GvZsVM+/bYYR8G4iSbtOM9Wn8cfDKEDH/nuHRloN6+Ut70rzqi2oN1xzpSgJjyOciY4B4vlZaTtjBFY=
5hfn01cig46mjt32epd0dnqs48sru2o1.toray.	3600	in	nsec3	1 0 0 - 5R8U2KJCD0M9E1ST8HE9B224CP6I6Q7S NS DS RRSIG
5hfn01cig46mjt32epd0dnqs48sru2o1.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128200614 20260122032718 35650 toray. sHZc2r0XwyjXIXse5Pw30OHXTohL6YHWA37Ch4n0fRy++3s210gNTar0lxEhSIcGC3+Oe1jhmhKD0ZZYGHQ7/hlZxvkMA/JuxrK3NLX7owkI17p9ul98+aO8sX0fL5JDjPd/FjnYXoVW0Ywt9bEuvXhhSVsfKLGVNjSzP4jhBfc=
5r8u2kjcd0m9e1st8he9b224cp6i6q7s.toray.	3600	in	nsec3	1 0 0 - 5TGCP6HSFEN9B3GLVUQ678SQH0TQG42L NS DS RRSIG
5r8u2kjcd0m9e1st8he9b224cp6i6q7s.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127162123 20260120230312 35650 toray. DRB8ZSkoVR0dg0FnNoqKDyIFdmNTIQNv14vTA4yJz0KoDdnKoclheGjEkjCDkwo4vPSEglqVZC+rU36viLdEmHmfnw8OXPjQ5fQkdFIBIT36BdnsENiiV6Eo9xGXpaTQ6sg9zNKeOCKWGif5+6IyE3NeKrbCuXVE5tq0hfR10jc=
5tgcp6hsfen9b3glvuq678sqh0tqg42l.toray.	3600	in	nsec3	1 0 0 - 6P8HUAARNG30AKL1APUTBK6J9ELFELM2 NS DS RRSIG
5tgcp6hsfen9b3glvuq678sqh0tqg42l.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129045103 20260122131109 35650 toray. duVWLMCgbPJm6RYHLYVN4bUuOEo4Sq8KCQMNVCe1pz/7T4UfL1hDRJK2kdKc+5R+q+3uFeZ2UEDR3P8tSLmtzQmkMo9rgZD+drkiAcBqtVqu+Sne2iU2rqecIip6e4LQT3J6PHPuSPKarLDjvpE7utJBvjEbF4vxxG7FADy+EVk=
6p8huaarng30akl1aputbk6j9elfelm2.toray.	3600	in	nsec3	1 0 0 - 71VN1ON91PAS9MUN0J1QK4H2KH64R5NS NS DS RRSIG
6p8huaarng30akl1aputbk6j9elfelm2.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129121950 20260122032718 35650 toray. fdZVSKaiiHdHGnpuD/oBwyo05ZjzOlAN4cia3e9bQoU91SpkgAr6aC5pWhaPxvrjCfkBNzucpST/105J28HlgaRMNJRg7rRsndqfe/C/TchinCJ+MotVpHP/ntFh1Og5DGxtDekkaUEHkTyaRsWKWn9uo1kf0N4q2uJJyp5i29w=
71vn1on91pas9mun0j1qk4h2kh64r5ns.toray.	3600	in	nsec3	1 0 0 - 80JQHISSDT2GOM3CRCBNB33HIO2R9DL2 NS DS RRSIG
71vn1on91pas9mun0j1qk4h2kh64r5ns.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128140434 20260122010415 35650 toray. g4/5q1aVyTsIWnAMeQyVAutmXV6XXgoGl+sQIe8Pa/H+j+2sOwazrP+xuH5JFWLYb8SzHTQqFY9XUqW/Wop+lokjDLKOn/iVgZGeaJpMrWvqz8DbrCSAake2CLB+nB07+pQWDe0B33nzdhOoMaAsD5vKhZHxjcnaKmMh0Uf5/gw=
80jqhissdt2gom3crcbnb33hio2r9dl2.toray.	3600	in	nsec3	1 0 0 - 83KHIOK3HUSBIDAJR1F12207I7KUM2TG NS DS RRSIG
80jqhissdt2gom3crcbnb33hio2r9dl2.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129215811 20260123034916 35650 toray. U6+vfRyxk1s79Y/KAzh8J5R3rHFuqT6to+b0tilXC04T7UWbWKYTtvd5nJpuSNnDYaoz+CwrnXLNCU2g9wBdLNQXaHROdfobKritNcdkmMYHxGzvYvaqnv4tozxyru8AUxvnv74byS8LDc/R3CJ2dz3mdQw+FoGM5Jq7syL/5Wo=
83khiok3husbidajr1f12207i7kum2tg.toray.	3600	in	nsec3	1 0 0 - 85J96B8IS2DUQG5A6D7JCMENNQC7J95F NS DS RRSIG
83khiok3husbidajr1f12207i7kum2tg.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127190518 20260120103714 35650 toray. CNSM2PjmjA0I/aSEXlHlu/GAmH+irJxUdOVt60JIlq1zg2RZtWDadf2VET66VKvHjfI7TmCQ6bUyzkjn4zCiJY+CNC3vUX0j1BJyofz1SubXu/OMYHyna86J8PhBrt5AePOvvyTGk1yWNKn1MFcbnziYvgwPRpwDi2W8EqVnX0c=
85j96b8is2duqg5a6d7jcmennqc7j95f.toray.	3600	in	nsec3	1 0 0 - 88726DSPQSR10KSOJM9MSMTAIQJO31GB NS DS RRSIG
85j96b8is2duqg5a6d7jcmennqc7j95f.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127073359 20260120161608 35650 toray. CWUhAEQcfO6q4QHgprMaqoGaAfV1KVN5KiVLmq4kB6kWK2CYeIG97gB9a13V32Jt7UZ+nQPgNkZWRxtXs8f+j/1G30+bunIY52PFOR63FLkOXeDPAM4bR70hhbyAepk2Hj74fJzKYX+qZ3qW0MzyPK83L2hxHZBzUWbn6fstroM=
88726dspqsr10ksojm9msmtaiqjo31gb.toray.	3600	in	nsec3	1 0 0 - 8ND7IGS0J1RCK4NELNU3M2MGOI09EE86 NS DS RRSIG
88726dspqsr10ksojm9msmtaiqjo31gb.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129060819 20260122040126 35650 toray. lvPe8mdcJADtU+San4J8pgdtuXTwRgrDHPAh0+l2rl7wA5JJhQx4n4FoHOaogLkG4jFkY1Kn60XBqvWbwTiKmjmTKddhTqYk9Y5HuEtKq6n16O+0YAiCCPFLAv9BZkFL3gElVBkSMrW1adAP3MKFthJVdUiu24uX0BraUlk3XoA=
8nd7igs0j1rck4nelnu3m2mgoi09ee86.toray.	3600	in	nsec3	1 0 0 - 9EEAIJNCJND1JAIKFMRB7N1NPIAC6KCM NS DS RRSIG
8nd7igs0j1rck4nelnu3m2mgoi09ee86.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128000702 20260120193222 35650 toray. P3EoK0nG39lty6gBSrC7AUSF457uE8i3H5vwLqQqApq7bjVJh5j7N07EqLWfRuHKEzKEPlo9fU/8Uc0qr2GhiyD4W2gUft+KbyGX6m7WBkgdfdzPMZd42Unj/tmpYOcvAmOyGP1eXd5/fAol/m3381tCPKPIfwIpCtLFzNM+i+Q=
9eeaijncjnd1jaikfmrb7n1npiac6kcm.toray.	3600	in	nsec3	1 0 0 - 9IG5ON3RDHJ68F6D25MO0REKBAROQ7KE NS DS RRSIG
9eeaijncjnd1jaikfmrb7n1npiac6kcm.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129093605 20260122043126 35650 toray. HROQIjvzgqKsZZZGZuVWpuPqOlF8qXUioonhKjuaqygDIynC88Vq1Fy5+6qR7ObhuT3vPH0uxpHVc6IuP1ajRRA4kE5dXRZheAIEjFusoJnfWKYhc0xJN81oKPvanhW/RhGFPfQKK0eBGmrvpxMTxn0Wq9JV7ZkAXzYFdePINGE=
9ig5on3rdhj68f6d25mo0rekbaroq7ke.toray.	3600	in	nsec3	1 0 0 - A7IS1C7KCAQ5LPFU31BVJ2ULHRL57CH6 NS DS RRSIG
9ig5on3rdhj68f6d25mo0rekbaroq7ke.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260128030158 20260120154608 35650 toray. aZnCZ31oPSSlNSMZUWjv9VhXu5EQL2nXv35DPYwU+bLL3IvqnLgq0WpYDgwdGEcXgBVvfEWFYFIMbbFcAbdLL5GdbjAzelHLPmsBZdHzVpsYMKgQP8KBCt9Ix/tlbJKeWdgOjZL7slVU9X5ZQmpzt2UYYEHKX8JHG3mwuAugjwo=
__zone_status.toray.	0	in	rrsig	TXT 8 2 0 20260201052432 20260125000221 35650 toray. OUXlQ66w/taLp0buts66D3B51fSKbXmCsMjl/xr6HOVAYHqEY9mktyWRd1xA6O8mvimjP5LQQ9QAO8JVWwyaVWqpSPy5UK7ohrUb205Z57+jH1zsd4mqgCSVmtY/AqAP6CidN623xPo3DN7k7LEDRJWyTByWy2yzLaf0UDOu3vY=
__zone_status.toray.	0	in	txt	"original-serial=73340"
__zone_status.toray.	0	in	txt	"original-timestamp=1769302937.9808"
a7is1c7kcaq5lpfu31bvj2ulhrl57ch6.toray.	3600	in	nsec3	1 0 0 - A86LK1RKE7DNE2G1E9TP4DVTQHHUV3CV NS DS RRSIG
a7is1c7kcaq5lpfu31bvj2ulhrl57ch6.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129050527 20260122043126 35650 toray. gSfxzefkqjRZ8Lo1zZnm3cYdISUyI7JqpoQ987NPZBypFuh/OsZiZ5bJAYvACD2MlR0DTrMo2ZCWJDzA5kzlgrFS+/GXbY/5hGhdTByqVEqXetFtNY2fZail6jCfR/9NxnvWgoLc9TLwpShkaSIFL9tpg9DVqS6H/7NZZRr0O04=
a86lk1rke7dne2g1e9tp4dvtqhhuv3cv.toray.	3600	in	nsec3	1 0 0 - AG7ASQC853ALPJUGF4OJH039A77O1KTH NS DS RRSIG
a86lk1rke7dne2g1e9tp4dvtqhhuv3cv.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127165524 20260120230312 35650 toray. OHRVsSQgMO8AwXpcTVD4pIlyoJvAfSVAGln3YovVfmGFKiuu17xnbqJOFdphivCIBPAHDEmw+pSUpH9jrF3ken3Pi9ttIxD7GivwcHVLPmaRn3f21pfLitXrAeBhE+ekZE/qL7XXhOoZqNS2Z2Zo6fq+zKj+Fq4N7AxZMtT/kBI=
ag7asqc853alpjugf4ojh039a77o1kth.toray.	3600	in	nsec3	1 0 0 - AT3KLFUF6TAM92547AV7K78IAE82COFH NS DS RRSIG
ag7asqc853alpjugf4ojh039a77o1kth.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260130170910 20260123210909 35650 toray. NpArhd/mwu4EWl1cCQgf7UUyMV+Oc1ZGvKhH6ZNg3NWL0LshBUmH8LbS8ix+AU+YfmxgIqGqxK7ukxFLaEml6dtgMQasWM03+4MTH0EjexJOH6VkAOrMeXGfs+lO3aJ0MIp+AsJZmsx6NbRYyCjggXiG/eGH3grjBVG9Z5tJMj0=
andplus.toray.	3600	in	ds	65019 13 2 E2CEFCBAB0BD0224898D33B6A74B9D01088CB1E79995290F3E63AD4C104E1DE4
andplus.toray.	3600	in	rrsig	DS 8 2 3600 20260130042659 20260123093229 35650 toray. cOLeO8froNXwHVR+bMmkJ4lcUXgUlKPnvIgBjd1+qdFO4iRjizli9KASsrfKfcEVW5G1U9aGeKbjp1zPid/lQSoe10/bk/z87T3mk9eNbjKxn99FWAABdg13la31QRHY3ipUW+enhgVaqgwvZW9IIhPAyH4mVM1wZoqcknIeLOg=
andplus.toray.	86400	in	ns	a1-184.akam.net.
andplus.toray.	86400	in	ns	a12-66.akam.net.
andplus.toray.	86400	in	ns	a14-65.akam.net.
andplus.toray.	86400	in	ns	a4-66.akam.net.
andplus.toray.	86400	in	ns	a5-66.akam.net.
andplus.toray.	86400	in	ns	a7-65.akam.net.
animalhealth.toray.	3600	in	ds	57218 13 2 1FDD81C18D27D738921FED6F8CD3F2AC833A963928D364E377EBE897C5A78812
animalhealth.toray.	3600	in	rrsig	DS 8 2 3600 20260131164747 20260124160719 35650 toray. XWOIDAqzFg4Wj/vkzuv1q4osS9H3dW2yuRJuGbgyczSZZZCkoaESHfuJMAePRJkLqVie5o6JJb0ajuy/z+7pPtopQA6538nOsMGLjzc2omh40TQ+SFwSMz9jXyQVNpAgV8OGpvKOjpzoR286W8dYbn1LcdVmg29HbopYziemG84=
animalhealth.toray.	86400	in	ns	a1-184.akam.net.
animalhealth.toray.	86400	in	ns	a12-66.akam.net.
animalhealth.toray.	86400	in	ns	a14-65.akam.net.
animalhealth.toray.	86400	in	ns	a4-66.akam.net.
animalhealth.toray.	86400	in	ns	a5-66.akam.net.
animalhealth.toray.	86400	in	ns	a7-65.akam.net.
aozora.toray.	3600	in	ds	30337 13 2 85B74170728D6ADED39885750ACC11A8392138F80F5DD8880148D28138B75EEA
aozora.toray.	3600	in	rrsig	DS 8 2 3600 20260131072426 20260124102412 35650 toray. XljxPKPUQBtWN143c9cfLMtRpdDYTbxekhjhU7nLFJGFN2KbyivPuTCqnfOu/HwuflyM0FMiFnndbkdqujs4eUwZ/gzvXh5KRMdRBkXcJu8EAkr+lNlTeTscZqwGmJugNzlrDCUcfOt0hs/qoJqM/POBUBSD5836DPQEGbkeNl4=
aozora.toray.	86400	in	ns	a1-184.akam.net.
aozora.toray.	86400	in	ns	a12-66.akam.net.
aozora.toray.	86400	in	ns	a14-65.akam.net.
aozora.toray.	86400	in	ns	a4-66.akam.net.
aozora.toray.	86400	in	ns	a5-66.akam.net.
aozora.toray.	86400	in	ns	a7-65.akam.net.
apoa2.toray.	3600	in	ds	38116 13 2 D4976814760740BC349E36C4AB63FFEBAE136AE445831D80288FB681184284F8
apoa2.toray.	3600	in	rrsig	DS 8 2 3600 20260129075413 20260122010415 35650 toray. vUqilKGNfJWJhqrmUrpQ84lN5U1Foc3DxSzkVPpRYIDNJ0Ke+0vfyW6YEAf7s+tAFRHWbt9tReIdiaibkM+C1BUi0H41o7v7xy0TDUwo5Z/oqxyx7DBKmWZrD5egH/rOVA5dKpww0LUBKGZGZ++P72uq1szlG4X4RnOhbnTMmOs=
apoa2.toray.	86400	in	ns	a1-184.akam.net.
apoa2.toray.	86400	in	ns	a12-66.akam.net.
apoa2.toray.	86400	in	ns	a14-65.akam.net.
apoa2.toray.	86400	in	ns	a4-66.akam.net.
apoa2.toray.	86400	in	ns	a5-66.akam.net.
apoa2.toray.	86400	in	ns	a7-65.akam.net.
arrows.toray.	86400	in	ns	dns3.toray.co.jp.
arrows.toray.	86400	in	ns	dns4.toray.co.jp.
arrows.toray.	86400	in	ns	dns5.toray.co.jp.
arrows.toray.	86400	in	ns	dns6.toray.co.jp.
at3klfuf6tam92547av7k78iae82cofh.toray.	3600	in	nsec3	1 0 0 - BOGVTJOC6RQOISLKKBOJ6E8PR1A0C5E1 NS DS RRSIG
at3klfuf6tam92547av7k78iae82cofh.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260127203955 20260121011311 35650 toray. uH+LSwpVh03F1JCYHKKV8fOJzn1ALsA8W0xHLXaBF1BPKLcvNQVXqqSsMW+H2D00UEOI1TYH0NXc4naSsoYOrF63itAqdEhIEuclXuIYkfUodGdJgiaOQgZCiyK2st11Op6UgxkXnymnoOpCRP9z4qxC781VAFPvmj5rCmCZQag=
atrial-fibrillation.toray.	3600	in	ds	17174 13 2 A9F55295149F9B57396235AE377E7C28429783FF9BF611194BFBC263E18C147A
atrial-fibrillation.toray.	3600	in	rrsig	DS 8 2 3600 20260131205356 20260124132516 35650 toray. rz9C0ZZrl/ygcUn3Jw5sW48ivieAqxPIJIMVCZkL7P++SbKiPZX7ga1DokahK1mGml4iwj44dHOM3amDitA988jVRTTmZC5A1jcG80urqeaaXDF6LPegrQm9vbe6O3FWMNT/gUwtkry/aeu6iFlfa2Ywl7nidBNxuBdHRYhRKbw=
atrial-fibrillation.toray.	86400	in	ns	a1-184.akam.net.
atrial-fibrillation.toray.	86400	in	ns	a12-66.akam.net.
atrial-fibrillation.toray.	86400	in	ns	a14-65.akam.net.
atrial-fibrillation.toray.	86400	in	ns	a4-66.akam.net.
atrial-fibrillation.toray.	86400	in	ns	a5-66.akam.net.
atrial-fibrillation.toray.	86400	in	ns	a7-65.akam.net.
authentication.toray.	86400	in	ns	ns1.xbiz.ne.jp.
authentication.toray.	86400	in	ns	ns2.xbiz.ne.jp.
authentication.toray.	86400	in	ns	ns3.xbiz.ne.jp.
automotive.toray.	3600	in	ds	43667 13 2 4646773DDB93EB0E18AB09565AAD068922A7F1A3A3AB56733F9305EABE3AFAA2
automotive.toray.	3600	in	rrsig	DS 8 2 3600 20260128201350 20260121200714 35650 toray. wsUkENtB8loDVzSkmFbisH4SOavjrZ56kTu7S3yky8bOmlZlK5Z/7QycL6FPwoGXmhN+PNS8HBy5iLKxK59EGj+qRLYW6GDW0dvuRp5jLfr3Uu0NXJiBTWHHc49DoAnpi2ZZWW4VUlX29qRiep7ePCCBR5KoJq9tnu198mX3lPU=
automotive.toray.	86400	in	ns	a1-184.akam.net.
automotive.toray.	86400	in	ns	a12-66.akam.net.
automotive.toray.	86400	in	ns	a14-65.akam.net.
automotive.toray.	86400	in	ns	a4-66.akam.net.
automotive.toray.	86400	in	ns	a5-66.akam.net.
automotive.toray.	86400	in	ns	a7-65.akam.net.
azumaremi.toray.	86400	in	ns	rns1.rightsdns.com.
azumaremi.toray.	86400	in	ns	rns2.rightsdns.com.
blood-purification.toray.	3600	in	ds	37735 13 2 B5042189E0415EA87D9B4D44EA48185ED04DB24CFE7DF92493E03FAE37BC57BB
blood-purification.toray.	3600	in	rrsig	DS 8 2 3600 20260130051046 20260123015611 35650 toray. daeFdih9Z/NRLw4WU1hrdrs5RS0xHLDwk2TehxHHdmDZW4hm/pzK77Os+zIR0tfqGclgkafSnO1NbNCJeRNCI6sem8wZRaoUVT1b4a4jMyhi6BKdk1ee6Dl9ljejzXDuvyuxYEaXjjCRqZGk3qEj7Mib2yUkN30uAdpu4Z2FW2w=
blood-purification.toray.	86400	in	ns	a1-184.akam.net.
blood-purification.toray.	86400	in	ns	a12-66.akam.net.
blood-purification.toray.	86400	in	ns	a14-65.akam.net.
blood-purification.toray.	86400	in	ns	a4-66.akam.net.
blood-purification.toray.	86400	in	ns	a5-66.akam.net.
blood-purification.toray.	86400	in	ns	a7-65.akam.net.
bogvtjoc6rqoislkkboj6e8pr1a0c5e1.toray.	3600	in	nsec3	1 0 0 - CEJFGQD5QTOJLBU6S72CP65ICOGI3VQS NS DS RRSIG
bogvtjoc6rqoislkkboj6e8pr1a0c5e1.toray.	3600	in	rrsig	NSEC3 8 2 3600 20260129195640 20260122180525 35650 toray. LstM8GUWRy1j5e3xGyPsCDORCxfMAZ8Sv7MLUI8UJ1Dciy5w0imwmUrkqcXCmkW4wuMLQhR2d2NwdwCLkc1QLHCpoU+x/hWbmOQc5Lu0wfl4B2OvQA0Lg7N/5d/91u9CG/0gxXWeXF4vRiMnzKDPsQrK1QjVsBdjYl5wugwfT0g=
carbonmagic.toray.	3600	in	ds	9039 13 2 F49B7D8CC0BF663274841A130C2F8268447290421B962F2F79B63DB407B609FF
carbonmagic.toray.	3600	in	rrsig	DS 8 2 3600 20260130223157 20260123184217 35650 toray. dJVAz+noxTFxFNhnsG6cCL80ID3mnXiMd1arJlHjb/7ZVtTZC99QbvlknaLy9I7SxZI5isaBrVQeF8Elc0qHitGXVD1tZbR2cZlyjxeYrFU0xVY/Y6VfGJ+SlftBEXpiTNGXzSqSkhUc1c9IFCkE5D7/9+fdz2g4SEXjU+AaDqk=
carbonmagic.toray.	86400	in	ns	a1-184.akam.net.
