70ciuvg8pclq4t1kee3jp6nc8g7ei2s9.tickets.	900	in	nsec3	1 1 0 - 8A2DJ6PI6AEUG5I7SQT01299EIC0LS7O NS DS RRSIG
70ciuvg8pclq4t1kee3jp6nc8g7ei2s9.tickets.	900	in	rrsig	NSEC3 8 2 900 20250913103038 20250814090038 31245 tickets. drQCq9DXsNEADUK/DYwobpDRt9Bqn2T023imSXryoX5ZlYqT6nn/0czUO7z5YCyvJeyON6yOxR6I06fLibn5A6TFoFb3u4zb0MkijwaFVTOxoT5JTl85sMbtl0F/29ur4uPaeUUnl49vp60ArMQNrQ6oFhIWpkthXoCpxBkJcUA=
76ers.tickets.	3600	in	ns	a1-148.akam.net.
76ers.tickets.	3600	in	ns	a12-65.akam.net.
76ers.tickets.	3600	in	ns	a16-64.akam.net.
76ers.tickets.	3600	in	ns	a18-65.akam.net.
76ers.tickets.	3600	in	ns	a5-65.akam.net.
76ers.tickets.	3600	in	ns	a7-67.akam.net.
7am.tickets.	3600	in	ns	ns-1008.awsdns-62.net.
7am.tickets.	3600	in	ns	ns-1072.awsdns-06.org.
7am.tickets.	3600	in	ns	ns-1714.awsdns-22.co.uk.
7am.tickets.	3600	in	ns	ns-189.awsdns-23.com.
88.tickets.	3600	in	ns	dns1.registrar-servers.com.
88.tickets.	3600	in	ns	dns2.registrar-servers.com.
888.tickets.	3600	in	ns	ns0.centralnic-dns.com.
888.tickets.	3600	in	ns	ns1.centralnic-dns.com.
888.tickets.	3600	in	ns	ns2.centralnic-dns.com.
888.tickets.	3600	in	ns	ns3.centralnic-dns.com.
888.tickets.	3600	in	ns	ns4.centralnic-dns.com.
888.tickets.	3600	in	ns	ns5.centralnic-dns.com.
8a2dj6pi6aeug5i7sqt01299eic0ls7o.tickets.	900	in	nsec3	1 1 0 - 9S6CIAJ2DO7OO3UUE3AR81LVKH6BCDK9 NS DS RRSIG
8a2dj6pi6aeug5i7sqt01299eic0ls7o.tickets.	900	in	rrsig	NSEC3 8 2 900 20250913103038 20250814090038 31245 tickets. LUqYlw2No1VFfltgnUoCUqNV/Bz9KRHFFQUvdvu8StM3yipmnhP33q8EoYC1K+Bgw+q2PMsm+yP/ur1hk0ejuPjsQCwfuD/bXHUKfLYCqgr+uXCmlVOWwV7CPwvHIaUcC+70O6uX4HSZi6Lyhh5lpMB/KivUMHa14K42viZ057c=
8xbet.tickets.	3600	in	ns	cora.ns.cloudflare.com.
8xbet.tickets.	3600	in	ns	nile.ns.cloudflare.com.
905.tickets.	3600	in	ns	a1-148.akam.net.
905.tickets.	3600	in	ns	a12-65.akam.net.
905.tickets.	3600	in	ns	a16-64.akam.net.
905.tickets.	3600	in	ns	a18-65.akam.net.
905.tickets.	3600	in	ns	a5-65.akam.net.
905.tickets.	3600	in	ns	a7-67.akam.net.
90minutesplus.tickets.	3600	in	ns	ns21.domaincontrol.com.
90minutesplus.tickets.	3600	in	ns	ns22.domaincontrol.com.
9s6ciaj2do7oo3uue3ar81lvkh6bcdk9.tickets.	900	in	nsec3	1 1 0 - AGR3UEH5C09TL5FHKO7L6EDG57FJ7T9I NS DS RRSIG
9s6ciaj2do7oo3uue3ar81lvkh6bcdk9.tickets.	900	in	rrsig	NSEC3 8 2 900 20250912182215 20250813165215 31245 tickets. lE2qcVUByeCCjhh7A3SCeR8tLRmo3UlYCDQUdQ6HlUjNiU0E9i2PIbvuLpCRcw8sWXTilvO1V4YjSJCmF/Y9oYIrkFri4rh3hqRADGxqlqfcfMtYhwR2O7SjuSR0Aab++iLLiH5/t9KL0TiUjmQpDI2bt0lrALI7kA0D3cqf4oY=
a.nic.tickets.	3600	in	a	194.169.218.58
a.nic.tickets.	3600	in	aaaa	2001:067c:13cc:0000:0000:0000:0001:0058
abnamro.tickets.	3600	in	ns	dns1.cscdns.net.
abnamro.tickets.	3600	in	ns	dns2.cscdns.net.
abudhabi.tickets.	3600	in	ns	dns1.registrar-servers.com.
abudhabi.tickets.	3600	in	ns	dns2.registrar-servers.com.
acffiorentina.tickets.	3600	in	ns	ns1.register.it.
acffiorentina.tickets.	3600	in	ns	ns2.register.it.
acropolis.tickets.	3600	in	ns	ns1kpv.name.com.
acropolis.tickets.	3600	in	ns	ns2clp.name.com.
acropolis.tickets.	3600	in	ns	ns3gnv.name.com.
acropolis.tickets.	3600	in	ns	ns4dls.name.com.
adele.tickets.	3600	in	ns	ns1.markmonitor.com.
adele.tickets.	3600	in	ns	ns2.markmonitor.com.
adele.tickets.	3600	in	ns	ns3.markmonitor.com.
adele.tickets.	3600	in	ns	ns4.markmonitor.com.
adele.tickets.	3600	in	ns	ns5.markmonitor.com.
adele.tickets.	3600	in	ns	ns6.markmonitor.com.
adele.tickets.	3600	in	ns	ns7.markmonitor.com.
aditus.tickets.	3600	in	ns	dns113.ovh.net.
aditus.tickets.	3600	in	ns	ns113.ovh.net.
admira.tickets.	3600	in	ds	2371 13 2 36951FEB40CBAC5BDFCCFF1CFA879EFCB5F33A9AB731C23B741E8F905DC5BF77
admira.tickets.	3600	in	ns	brianna.ns.cloudflare.com.
admira.tickets.	3600	in	ns	kai.ns.cloudflare.com.
admira.tickets.	3600	in	rrsig	DS 8 2 3600 20250922133537 20250823120537 31245 tickets. h4pKtiAL67SVNQsk/fMGCnjllJY+Blzm485P5tyW3guFHFnuGPkvZcZ0MvFo0/EMT2/yrSP78OemwETSsPOs69U+H18M3fHMLB1Zizx6oz1hmvFVk7fVeFLT3ENmCf2OEk+yrvjhG2YIbdwkatKCbl5dBOBuFYifNmDnbuXrxZo=
adsense.tickets.	3600	in	ns	ns1.googledomains.com.
adsense.tickets.	3600	in	ns	ns2.googledomains.com.
adsense.tickets.	3600	in	ns	ns3.googledomains.com.
adsense.tickets.	3600	in	ns	ns4.googledomains.com.
adwords.tickets.	3600	in	ns	ns1.googledomains.com.
adwords.tickets.	3600	in	ns	ns2.googledomains.com.
adwords.tickets.	3600	in	ns	ns3.googledomains.com.
adwords.tickets.	3600	in	ns	ns4.googledomains.com.
aegeanair.tickets.	3600	in	ns	a.dns.gandi.net.
aegeanair.tickets.	3600	in	ns	b.dns.gandi.net.
aegeanair.tickets.	3600	in	ns	c.dns.gandi.net.
afl.tickets.	3600	in	ns	ns0.centralnic-dns.com.
