11mf7vqin64gspi76mjmieslfuct2eu3.repair.	3600	in	nsec3	1 1 0 73 1E5REULQ70AU2ELP3TVRQ8E8R38JVQAM NS DS RRSIG
11mf7vqin64gspi76mjmieslfuct2eu3.repair.	3600	in	rrsig	NSEC3 8 2 3600 20250930155952 20250909145952 54324 repair. hK42D1BSwkD8f/VFaR9W72M7zHDX1vbdZZqdNuML+iYWTDYjbwHYUtr7FZ1JTBzowvsmJEsEgmkTKxC2TkHSTSor2CwMID5onHwGULwZt9viOg3Nvor+ukykhpkEZg7fvwNM0NAorTXq9d0urqPDRIHOQ1QrZE0vHHe0ZNBzqMY=
123.repair.	3600	in	ns	ns3.afternic.com.
123.repair.	3600	in	ns	ns4.afternic.com.
123b.repair.	3600	in	ns	harleigh.ns.cloudflare.com.
123b.repair.	3600	in	ns	peyton.ns.cloudflare.com.
1300we.repair.	3600	in	ns	ns1.sgp26.siteground.asia.
1300we.repair.	3600	in	ns	ns2.sgp26.siteground.asia.
1337.repair.	3600	in	ns	dns1.registrar-servers.com.
1337.repair.	3600	in	ns	dns2.registrar-servers.com.
15percentoff.repair.	3600	in	ns	ns-cloud-e1.googledomains.com.
15percentoff.repair.	3600	in	ns	ns-cloud-e2.googledomains.com.
15percentoff.repair.	3600	in	ns	ns-cloud-e3.googledomains.com.
15percentoff.repair.	3600	in	ns	ns-cloud-e4.googledomains.com.
1717.repair.	3600	in	ds	2371 13 2 11DD09DDCDB7ABFB32E34992DAC14FBBFE2677BEBA02632D85BAACFCB7F44A1B
1717.repair.	3600	in	ns	olivia.ns.cloudflare.com.
1717.repair.	3600	in	ns	west.ns.cloudflare.com.
1717.repair.	3600	in	rrsig	DS 8 2 3600 20250930155952 20250909145952 54324 repair. DKBD+Ud+C+2nGIM3AOqOHtc9h78ggfHip5jVdRdz1N0DCJkvxw0zLwqGH+frXoYgOwpd9yuwv1xUcDYGozOqtPVRtNsYSoM5hq3aaXC7OYN0Vb4izlEGvHQqo15jrzi3YwQYVqdrEbmY+Wl/MFm9yuXf6lVcn2wY1JqcUpsQTKQ=
1776.repair.	3600	in	ns	dns1.registrar-servers.com.
1776.repair.	3600	in	ns	dns2.registrar-servers.com.
188bet.repair.	3600	in	ns	fattouche.ns.cloudflare.com.
188bet.repair.	3600	in	ns	kiki.ns.cloudflare.com.
18wheel.repair.	3600	in	ns	ns57.domaincontrol.com.
18wheel.repair.	3600	in	ns	ns58.domaincontrol.com.
1a.repair.	3600	in	ns	ns.udag.de.
1a.repair.	3600	in	ns	ns.udag.net.
1a.repair.	3600	in	ns	ns.udag.org.
1and1.repair.	3600	in	ns	ns-ca.ui-dns.biz.
1and1.repair.	3600	in	ns	ns-ca.ui-dns.com.
1and1.repair.	3600	in	ns	ns-ca.ui-dns.de.
1and1.repair.	3600	in	ns	ns-ca.ui-dns.org.
1e5reulq70au2elp3tvrq8e8r38jvqam.repair.	3600	in	nsec3	1 1 0 73 1H1GVTND2BPVVF2RJCOBVEOILS30PKB5 NS DS RRSIG
1e5reulq70au2elp3tvrq8e8r38jvqam.repair.	3600	in	rrsig	NSEC3 8 2 3600 20250930155952 20250909145952 54324 repair. Dy4nOJIKE+o6DbqHCyK6qfTQKjqdSFHsJStE31jXg832QaWgpu2bBTO0XH1rCqt9Tc83fLuIj/KHjQmdHV71PY6tqRRqkrwwWPQC5zUEsgc/R08abdzd3hnF2VASAle7jqIk1LWvehIjl/ehxq2TLdrhueNGYo1auGwOokOifjQ=
1h1gvtnd2bpvvf2rjcobveoils30pkb5.repair.	3600	in	nsec3	1 1 0 73 1NPCM0ABEDAL9PGKFJQ6MII451UFF2FJ NS DS RRSIG
1h1gvtnd2bpvvf2rjcobveoils30pkb5.repair.	3600	in	rrsig	NSEC3 8 2 3600 20250930155952 20250909145952 54324 repair. buHDxMXhpBQSzqGfAVgU/y8T0Gt4ZjRzdBrMYQoUb1RnA0RdQXRCX9+lgmuAnFUwwI+IpdEw3WLi3Lv5nAJKBurC58ZazTHiBn4DxWd76nBGLSqdXlRkAsK5gm1w34pgo+eqLsk99mts6bIbPTXzSETsbgTBvFh8hO5nVsMbrM4=
1kuwin.repair.	3600	in	ns	sloan.ns.cloudflare.com.
1kuwin.repair.	3600	in	ns	titan.ns.cloudflare.com.
1npcm0abedal9pgkfjq6mii451uff2fj.repair.	3600	in	nsec3	1 1 0 73 1PQ47SQHV8LVRGAIIB9BFD5TB997EBS6 NS DS RRSIG
1npcm0abedal9pgkfjq6mii451uff2fj.repair.	3600	in	rrsig	NSEC3 8 2 3600 20250930155952 20250909145952 54324 repair. NUuWD71n21TXi9CUhYlRRsWKUYIQJVDiDNo4bYpkIn0uKGEksaxDdgdulMcvb83NprXZ6ri464w2bn4/PvNn3eLBBlNhaWuZJZwX96vP/J2XxFpWjn3YUjEiBnAr+zwzxCd48p3dWDmgCEdLcEmqtEMdzp1ksOdcyDpm/z8esaI=
1pq47sqhv8lvrgaiib9bfd5tb997ebs6.repair.	3600	in	nsec3	1 1 0 73 1R5PAG8FSQ5OPF02FRPT27PFR2T8NS9T NS DS RRSIG
1pq47sqhv8lvrgaiib9bfd5tb997ebs6.repair.	3600	in	rrsig	NSEC3 8 2 3600 20250930155952 20250909145952 54324 repair. fWetgmUDCPT7T/RpKxFxXp0FWKyDY80bkbw4G8CMrEHeKNWm5UOR8vb8gXTGP9CINJrUGTUj4Wp98d8URxZ17amBPkXxITO3/tWSXY3e9wvYW59G2vARaB3i84opwQ4Xa9nfSbAidhNt2HhxX4qMnqaGa7tLcWzZRPSYqgKZm2E=
1r5pag8fsq5opf02frpt27pfr2t8ns9t.repair.	3600	in	nsec3	1 1 0 73 1V3KT130SVGUOG0LQMVMMGJA0FFBNCPM NS DS RRSIG
1r5pag8fsq5opf02frpt27pfr2t8ns9t.repair.	3600	in	rrsig	NSEC3 8 2 3600 20250930155952 20250909145952 54324 repair. EYsBvZ2+mbF4/+Ps+fxc9ONEzh7VAJT82K3hWma1/n2pLU1KWWTF/SHT1wiYmTUZyHPjKwV3UHd5ofdfI0XKG37qzHR4DAPj94si5ndH28W4+zYcu51zx4Eh1Gpwr6sjpf6yHNSTZA+7exwa1JRvtfmIqOa8FrcMGoE+fxZnyWI=
1st.repair.	3600	in	ns	ns1.atom.com.
1st.repair.	3600	in	ns	ns2.atom.com.
1stcall.repair.	3600	in	ns	ns1.dns-parking.com.
1stcall.repair.	3600	in	ns	ns2.dns-parking.com.
1stcallonus.repair.	3600	in	ns	ns55.domaincontrol.com.
1stcallonus.repair.	3600	in	ns	ns56.domaincontrol.com.
1stchoiceappliance.repair.	3600	in	ns	ns11.domaincontrol.com.
1stchoiceappliance.repair.	3600	in	ns	ns12.domaincontrol.com.
1stchoicehail.repair.	3600	in	ns	ns37.domaincontrol.com.
1stchoicehail.repair.	3600	in	ns	ns38.domaincontrol.com.
1stclass.repair.	3600	in	ns	ns65.domaincontrol.com.
1stclass.repair.	3600	in	ns	ns66.domaincontrol.com.
1stcomputer.repair.	3600	in	ns	dina.ns.cloudflare.com.
1stcomputer.repair.	3600	in	ns	kevin.ns.cloudflare.com.
