008.hair.	3600	in	ns	brynne.ns.cloudflare.com.
008.hair.	3600	in	ns	dane.ns.cloudflare.com.
00852.hair.	3600	in	ns	cass.ns.cloudflare.com.
00852.hair.	3600	in	ns	elliott.ns.cloudflare.com.
008774.hair.	3600	in	ds	64517 13 2 BA0381BF5EAEEBBF8679EC6811823AD7648CB82C0DFF1F97A464777A7834F3B4
008774.hair.	3600	in	ns	launch1.spaceship.net.
008774.hair.	3600	in	ns	launch2.spaceship.net.
008774.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. IwI3OrfjaYX+4P0QKk2MhD2+IDTt/5ZtGq70/MngwZhJ9y+GweeVxUxqoz2jfCiVjRUlKenjZvcn0LQL90UsgbqqvJy+hhwxEj9/ek+QshUutfIlV5Lol8lYasJG6I8PBYvl422dXQqjZVGftBQDXcEfbCUTeC0VL26Yf4sAL1IiaLzSD0yPwEPk/RcnSsbLSEH5GYFO+1PMYKmptk13lQ==
008dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
008dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
008fl8.hair.	3600	in	ns	benedict.ns.cloudflare.com.
008fl8.hair.	3600	in	ns	pat.ns.cloudflare.com.
009dl.hair.	3600	in	ns	erin.ns.cloudflare.com.
009dl.hair.	3600	in	ns	houston.ns.cloudflare.com.
00gomklb0nt0g86kpj4g6qi73ohrdnlv.hair.	900	in	nsec3	1 1 0 - 00LK3KV75VLSCCAOJMDFU9VAAHPMCF1D NS DS RRSIG
