4llpd00gqe4r379jrh14sogqol0babip.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. vvXQr2svjZXnJ+7kGwMk/nmftwPLNCYKpeKE/eqaU/UQx1lc8JjzhwmLYB60flCj8+a1stoyn8c4uXXsxyRQZerlbLupyhTE7KGjzqRVc/dzK0Fgdzv/QKaO5+74Ql9TTOvTb8ef2ef85Dzy97037fF0yGCKxNJ5K9//ZJLL0Lw=
51gpbus6n6to5s7e9u8g9je6n0p0qk6o.hockey.	3600	in	nsec3	1 1 0 73 5FPKU8GT1AN7TJUSJ4FIOGCATVK8M84U NS DS RRSIG
51gpbus6n6to5s7e9u8g9je6n0p0qk6o.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. t950ZZqdl/+Vo1vngWQGc1Q1cOiAqofrUfqBxgxA5nQpPSoyKI0EWyUiafoSqBuzWZmwnzCyY0bh1X6y0jkeqjLKhupm/4xTmGHf5Ib7lTcA4Max/4voCNRFc+SxWriSy6Hm0lpCOlXUnN2nB4iCbO24NJOzTHRfQjr1DsSQbfA=
5280.hockey.	3600	in	ns	pdns11.domaincontrol.com.
5280.hockey.	3600	in	ns	pdns12.domaincontrol.com.
5fpku8gt1an7tjusj4fiogcatvk8m84u.hockey.	3600	in	nsec3	1 1 0 73 665O1J8T594SSPLIE838GFN8UL98QILB NS DS RRSIG
5fpku8gt1an7tjusj4fiogcatvk8m84u.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. c1yPS1jQH63TFml2WR0rCyR4ilVAgNDTtx4dVPgEwB8gXpl/rShBtWkM7gB0vBduLyJd9nXgW7x4gXD5yxmZerlcbzCeUm9aBug4orfD9g/ZVyjc45aEa8HArqqI2fCFjZM+vUQNtIgd9Q1tkT4NuR7eWcSlwXNyFt2jcatKqsg=
5star.hockey.	3600	in	ns	ns19.domaincontrol.com.
5star.hockey.	3600	in	ns	ns20.domaincontrol.com.
5sworldcup.hockey.	3600	in	ns	ns47.domaincontrol.com.
5sworldcup.hockey.	3600	in	ns	ns48.domaincontrol.com.
665o1j8t594ssplie838gfn8ul98qilb.hockey.	3600	in	nsec3	1 1 0 73 68IPAGVIK16ICUG3PALQSHE0A7KT9EJS NS DS RRSIG
665o1j8t594ssplie838gfn8ul98qilb.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. J7qq9iqreWHIo0e/vUxQUsVP51pL+1vcrFf6ZGH1PgmqO0hQktJSJC1HQnQg33a1XZaNXBGh6hSfxvc1ulJigoK0QxiW8Ktl1iGR6FVF30h5UoUcBRJMLqNolxEbPTSh0s/SHg7/YM9hhDBi4yP1ijkM1ODckVa8D91LMeWoIII=
68ipagvik16icug3palqshe0a7kt9ejs.hockey.	3600	in	nsec3	1 1 0 73 6JJ5RSUDBDJM1C6PI21BOG8178KQOA6E NS DS RRSIG
68ipagvik16icug3palqshe0a7kt9ejs.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. POy/iedCpOMo63e1W507150d4CYPquL3Pe/v92EcFsCcRnXo7HoQeif0A1qK+cBnJADYDJ3Z8tcxaWm2+Uixy/X99x8cWakBV7gACCDPKZcb+IJAm69DAJJScclQz+XSmFAbkNApHLmjzOiXgJ2+jqwLmy6KAAR8U80VrtkUZPg=
6jj5rsudbdjm1c6pi21bog8178kqoa6e.hockey.	3600	in	nsec3	1 1 0 73 7R10D6JV14874P5EM1AVU5QQ05T1A83S NS DS RRSIG
6jj5rsudbdjm1c6pi21bog8178kqoa6e.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. rebjXP5wsCCRUi+Q4qHOB8Ghww8QGvx+K8eKVuJnJkyvdDk58FJdOpRq5p2ignlavYtS2ehV7kPPCsVMx9czZqaJeLDk9nApi21KhoJ8AapjA8a+bwmH/9dCCt9mNAXPZiyBpInelljoTkHcTcFNsHkMDbuNpfOHOXae21/e6J4=
6ypl49mwmfbri.hockey.	3600	in	ns	ns1.dyna-ns.net.
