pikachu.xn--unup4y.	3600	in	ns	dns1.cscdns.net.
pikachu.xn--unup4y.	3600	in	ns	dns2.cscdns.net.
pj.xn--unup4y.	3600	in	ns	ns6.netsto.net.
pj.xn--unup4y.	3600	in	ns	ns7.netsto.net.
pokemongo.xn--unup4y.	3600	in	ns	dns1.cscdns.net.
pokemongo.xn--unup4y.	3600	in	ns	dns2.cscdns.net.
pvpnet.xn--unup4y.	3600	in	ns	ns1.markmonitor.com.
pvpnet.xn--unup4y.	3600	in	ns	ns2.markmonitor.com.
pvpnet.xn--unup4y.	3600	in	ns	ns3.markmonitor.com.
pvpnet.xn--unup4y.	3600	in	ns	ns4.markmonitor.com.
pvpnet.xn--unup4y.	3600	in	ns	ns5.markmonitor.com.
pvpnet.xn--unup4y.	3600	in	ns	ns6.markmonitor.com.
pvpnet.xn--unup4y.	3600	in	ns	ns7.markmonitor.com.
qq.xn--unup4y.	3600	in	ns	hazel.dnspod.net.
qq.xn--unup4y.	3600	in	ns	hydrus.dnspod.net.
riot.xn--unup4y.	3600	in	ns	ns1.markmonitor.com.
riot.xn--unup4y.	3600	in	ns	ns2.markmonitor.com.
riot.xn--unup4y.	3600	in	ns	ns3.markmonitor.com.
riot.xn--unup4y.	3600	in	ns	ns4.markmonitor.com.
riot.xn--unup4y.	3600	in	ns	ns5.markmonitor.com.
riot.xn--unup4y.	3600	in	ns	ns6.markmonitor.com.
riot.xn--unup4y.	3600	in	ns	ns7.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns1.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns2.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns3.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns4.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns5.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns6.markmonitor.com.
riotgames.xn--unup4y.	3600	in	ns	ns7.markmonitor.com.
robot.xn--unup4y.	3600	in	ns	expirens3.hichina.com.
robot.xn--unup4y.	3600	in	ns	expirens4.hichina.com.
rugbyworldcup.xn--unup4y.	3600	in	ns	a.portsdns.se.
rugbyworldcup.xn--unup4y.	3600	in	ns	b.portsdns.net.
s6f1u0jpu7r7qupt8ccn16242dttddhi.xn--unup4y.	3600	in	nsec3	1 1 0 73 3K60BO1LR7RJKKAKPEU0U1BI515IP84T NS DS RRSIG
s6f1u0jpu7r7qupt8ccn16242dttddhi.xn--unup4y.	3600	in	rrsig	NSEC3 8 2 3600 20250916152001 20250826142001 18024 xn--unup4y. Ty9uPrI8y3qlVdOkwsJ6YpuMRMndB8Ya3lvgLuBBk32UoKrNu7pjjmZf1LELlLdRwv2IzYp537g1uReS/Fc9wSElmxa4S7IOAD+qCTSfLR7LftzFbITRpzUIO8uQ0e3cG9Nawak0ZeRYRYjH64494OafT5gJZ+5J3UUak5m7ez8=
shopify.xn--unup4y.	3600	in	ns	ns1.markmonitor.com.
shopify.xn--unup4y.	3600	in	ns	ns2.markmonitor.com.
shopify.xn--unup4y.	3600	in	ns	ns3.markmonitor.com.
shopify.xn--unup4y.	3600	in	ns	ns4.markmonitor.com.
shopify.xn--unup4y.	3600	in	ns	ns5.markmonitor.com.
shuffle.xn--unup4y.	3600	in	ns	curitiba.ns.porkbun.com.
shuffle.xn--unup4y.	3600	in	ns	fortaleza.ns.porkbun.com.
shuffle.xn--unup4y.	3600	in	ns	maceio.ns.porkbun.com.
shuffle.xn--unup4y.	3600	in	ns	salvador.ns.porkbun.com.
sign.xn--unup4y.	3600	in	ns	dns31.hichina.com.
sign.xn--unup4y.	3600	in	ns	dns32.hichina.com.
silverwolf.xn--unup4y.	3600	in	ns	curitiba.ns.porkbun.com.
silverwolf.xn--unup4y.	3600	in	ns	fortaleza.ns.porkbun.com.
silverwolf.xn--unup4y.	3600	in	ns	maceio.ns.porkbun.com.
silverwolf.xn--unup4y.	3600	in	ns	salvador.ns.porkbun.com.
snk.xn--unup4y.	3600	in	ns	magpie.dnspod.net.
snk.xn--unup4y.	3600	in	ns	yew.dnspod.net.
soundcloud.xn--unup4y.	3600	in	ns	ns-212-b.gandi.net.
soundcloud.xn--unup4y.	3600	in	ns	ns-213-c.gandi.net.
soundcloud.xn--unup4y.	3600	in	ns	ns-91-a.gandi.net.
sportingbet.xn--unup4y.	3600	in	ns	dns1.itsfogo.com.
sportingbet.xn--unup4y.	3600	in	ns	dns2.itsfogo.com.
sportingbet.xn--unup4y.	3600	in	ns	dns3.itsfogo.com.
sportingbet.xn--unup4y.	3600	in	ns	dns4.itsfogo.com.
sportingbet.xn--unup4y.	3600	in	ns	dns5.itsfogo.com.
sportingbet.xn--unup4y.	3600	in	ns	dns6.itsfogo.com.
steam.xn--unup4y.	3600	in	ns	diameter.dnspod.net.
steam.xn--unup4y.	3600	in	ns	shrimp.dnspod.net.
supermario.xn--unup4y.	3600	in	ns	dns1.cscdns.net.
supermario.xn--unup4y.	3600	in	ns	dns2.cscdns.net.
supermariobros.xn--unup4y.	3600	in	ns	dns1.cscdns.net.
supermariobros.xn--unup4y.	3600	in	ns	dns2.cscdns.net.
temu.xn--unup4y.	3600	in	ns	ns1.gxkjdns.com.
temu.xn--unup4y.	3600	in	ns	ns2.gxkjdns.com.
tumblr.xn--unup4y.	3600	in	ns	ns1.tumblr.com.
tumblr.xn--unup4y.	3600	in	ns	ns2.tumblr.com.
tumblr.xn--unup4y.	3600	in	ns	ns3.tumblr.com.
tumblr.xn--unup4y.	3600	in	ns	ns4.tumblr.com.
tvos.xn--unup4y.	3600	in	ns	a.ns.apple.com.
tvos.xn--unup4y.	3600	in	ns	b.ns.apple.com.
tvos.xn--unup4y.	3600	in	ns	c.ns.apple.com.
