04uonlcfqmbtdd6f0ptm02qag6r06h4k.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. SjfoX1JohZf9CDwcm1CpiiMtSJVMsNp9CqrRWvhgGl1XPpFOnUej9PNB5HoIqsqFW4hoP+NX6Jb4zezGHOGLBECAx2zRq1UsS8i5dbWeJAy8EJHhk2FKKXIimUfmi1c2GxUH73qtrQPORUQ1srCXfMUtnQ3vKojPgCPMkIYLEn4=
05lr8lr7gbn60bb9h2ds74i97nusis8l.partners.	3600	in	nsec3	1 1 0 73 05VR89Q9B8F6OO71J55G80KCVH3SMUHS NS DS RRSIG
05lr8lr7gbn60bb9h2ds74i97nusis8l.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. m7LCMBaHskR8FmRzQ3LT7OPpifNqVB640S0m+0Bauj8hbfMZc5Ak2lMcWFSaneELcHnEZLzz0ASIdzwyNVonKbSaSmJIS+VX5QAkqv+DTovGxFfqSH0P7lD03BtSNk5gGqD2jr1fioMzI/U4owazq2BJEvjmlUvMZ/tehjcmufg=
05vr89q9b8f6oo71j55g80kcvh3smuhs.partners.	3600	in	nsec3	1 1 0 73 067RP3H0OG9MF5NFNDBNNEVEU6DHL54T NS DS RRSIG
05vr89q9b8f6oo71j55g80kcvh3smuhs.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. jBsiziioK6piDXAInhHl5XO07IoNNiRuxlObauuLdzwvSXomUNirA8qBapcBoRd5M576gdEBC2JpKY0Yu3Hh6g+hb2ha7TIdJM+y1nQhLZ80mSoF1UqToa6FYza6WfOwqmPqfIvdisqOgMyUraMzTM99PSXmPP2V8KvfPyY+gPs=
067rp3h0og9mf5nfndbnneveu6dhl54t.partners.	3600	in	nsec3	1 1 0 73 07E06GH6L38QLUMNJOSV5L6IPC0UVO9K NS DS RRSIG
067rp3h0og9mf5nfndbnneveu6dhl54t.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. USwjUtsvY6w1H0Uagd5p/iuOgOCPYOr4+qodvxVY8Zov2haqDpoEePo6oZlF5udhyI6RMb8KSpU4qaOXIKoOoH8vLUcWoq29H6pisBZZCqXfXOBSeaE2mZehzOtivdJEGWy1sqZ1shbMunSeE5Mj2SznA4tJM8Z9sFWwSgAE+gk=
07e06gh6l38qlumnjosv5l6ipc0uvo9k.partners.	3600	in	nsec3	1 1 0 73 08O0HAU5PEUJC9CMCA5OLPN9SUN4TOS4 NS DS RRSIG
07e06gh6l38qlumnjosv5l6ipc0uvo9k.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. dyNTqdKLGRo/hVNj461PBgvMBz4jjmaBN4RRKyfr8jNw4e1WoT+BykKGwiNh/VGb82HLoNfKi26e2b6ZOZ7TzB3NTKkw2flBEDqyYreaZXv01tzAjNKa3glFoSnNpmB+7PFzvuwH+Va5sQKfbyk6JHso8kVYjs1OJLkkY0c7ETQ=
089.partners.	3600	in	ns	ns.checkdomain.de.
