0bfntgdd0giv48gebuu7b5crkdtjune5.paris.	600	in	rrsig	NSEC3 13 2 600 20260122101338 20251223091547 38200 paris. lytV9he+06OgD0ITJCL+pmjQZHGTEsuQpWpb0OcN/ZdDz7Fkzry6pQ14tPFxpY97Ts4irBnFirSpID0LJODCjg==
0bis.paris.	3600	in	ns	dns102.ovh.net.
0bis.paris.	3600	in	ns	ns102.ovh.net.
0bjihbhlrg9amhrd2fdgfvg6oihs368m.paris.	600	in	nsec3	1 1 0 - 0BP5LT20N7STC1B4HOL6QH5L1MCIUJG3 NS DS RRSIG
0bjihbhlrg9amhrd2fdgfvg6oihs368m.paris.	600	in	rrsig	NSEC3 13 2 600 20260123142343 20251224132818 38200 paris. CUIDmm63Y5k2OB47wonJjGYmqRB4n3JmY2RnbMlrcWipwjsCC49LaA13+qzGORKIaLXAIKxnYGH37RL/0ipQng==
0bp5lt20n7stc1b4hol6qh5l1mciujg3.paris.	600	in	nsec3	1 1 0 - 0BPBNC5ALGBJUOVDGV01OLN27EI7OD6C NS DS RRSIG
0bp5lt20n7stc1b4hol6qh5l1mciujg3.paris.	600	in	rrsig	NSEC3 13 2 600 20260124073416 20251225072040 38200 paris. L+DTkY+VjD8zd9vElU89HqAjrsy4famOhpvZrt7AwujYJSm12vUrufTl71JmzMnGjXLtYXUcJUvGQwD7e6+1rw==
0bpbnc5algbjuovdgv01oln27ei7od6c.paris.	600	in	nsec3	1 1 0 - 0BU70RNJ758NFN8TR40S0E9MP0CM14OV NS DS RRSIG
0bpbnc5algbjuovdgv01oln27ei7od6c.paris.	600	in	rrsig	NSEC3 13 2 600 20260201104057 20260102103530 38200 paris. +X0CdyVLoJR8UD7/c7Ko2nU65Rx5R8iY8aW6dUI2VtfalhGZQUmbhRIL5Y/z4zxAQM+KYhenLrwERxby0M6Qow==
0bu70rnj758nfn8tr40s0e9mp0cm14ov.paris.	600	in	nsec3	1 1 0 - 0C03NJRVLHTJA42815B7S07IS1BP6L26 NS DS RRSIG
0bu70rnj758nfn8tr40s0e9mp0cm14ov.paris.	600	in	rrsig	NSEC3 13 2 600 20260129184718 20251230184518 38200 paris. Pr+DDwQwC31U22dwOyb8PPpSTLkkfw02T+FImbvALme8txw2Ir7MxoTJvHepBNxBRS0T0MvMEoc8Pfy3v/MnEA==
0c03njrvlhtja42815b7s07is1bp6l26.paris.	600	in	nsec3	1 1 0 - 0CTVO9J4TPN91J7IOPN181HI2CU07AGR NS DS RRSIG
0c03njrvlhtja42815b7s07is1bp6l26.paris.	600	in	rrsig	NSEC3 13 2 600 20260202063820 20260103055406 38200 paris. OYWVo5lb+qP2HK/jrzaeplzgsp1ZxEvbSStypNXJk4xxoqVgg36HW5rVsMQy7poVDZXCOMztmDoa/SK9bj/ZuQ==
