escoresourcecenter.weir.	3600	in	ns	dns2.cscdns.net.
eur.weir.	3600	in	ns	dns1.cscdns.net.
eur.weir.	3600	in	ns	dns2.cscdns.net.
geho.weir.	3600	in	ns	dns1.cscdns.net.
geho.weir.	3600	in	ns	dns2.cscdns.net.
gemex.weir.	3600	in	ns	dns1.cscdns.net.
gemex.weir.	3600	in	ns	dns2.cscdns.net.
genderpay.weir.	3600	in	ns	dns1.cscdns.net.
genderpay.weir.	3600	in	ns	dns2.cscdns.net.
global.weir.	3600	in	ns	dns1.cscdns.net.
global.weir.	3600	in	ns	dns2.cscdns.net.
graduates.weir.	3600	in	ns	dns1.cscdns.net.
graduates.weir.	3600	in	ns	dns2.cscdns.net.
hazleton.weir.	3600	in	ns	dns1.cscdns.net.
hazleton.weir.	3600	in	ns	dns2.cscdns.net.
herzamanwarman.weir.	3600	in	ns	dns1.cscdns.net.
herzamanwarman.weir.	3600	in	ns	dns2.cscdns.net.
hopkinsons.weir.	3600	in	ns	dns1.cscdns.net.
hopkinsons.weir.	3600	in	ns	dns2.cscdns.net.
hydrau-flo.weir.	3600	in	ns	dns1.cscdns.net.
hydrau-flo.weir.	3600	in	ns	dns2.cscdns.net.
hydro.weir.	3600	in	ns	dns1.cscdns.net.
hydro.weir.	3600	in	ns	dns2.cscdns.net.
id.weir.	3600	in	ns	dns1.cscdns.net.
id.weir.	3600	in	ns	dns2.cscdns.net.
independentaftermarket.weir.	3600	in	ns	dns1.cscdns.net.
independentaftermarket.weir.	3600	in	ns	dns2.cscdns.net.
industrial-services.weir.	3600	in	ns	dns1.cscdns.net.
industrial-services.weir.	3600	in	ns	dns2.cscdns.net.
industrial.weir.	3600	in	ns	dns1.cscdns.net.
industrial.weir.	3600	in	ns	dns2.cscdns.net.
innovation.weir.	3600	in	ns	dns1.cscdns.net.
innovation.weir.	3600	in	ns	dns2.cscdns.net.
investors.weir.	3600	in	ns	dns1.cscdns.net.
investors.weir.	3600	in	ns	dns2.cscdns.net.
ip.weir.	3600	in	ns	dns1.cscdns.net.
ip.weir.	3600	in	ns	dns2.cscdns.net.
iqaconference17.weir.	3600	in	ns	dns1.cscdns.net.
iqaconference17.weir.	3600	in	ns	dns2.cscdns.net.
isogate.weir.	3600	in	ns	dns1.cscdns.net.
isogate.weir.	3600	in	ns	dns2.cscdns.net.
latam.weir.	3600	in	ns	dns1.cscdns.net.
latam.weir.	3600	in	ns	dns2.cscdns.net.
lewis.weir.	3600	in	ns	dns1.cscdns.net.
lewis.weir.	3600	in	ns	dns2.cscdns.net.
linatex.weir.	3600	in	ns	dns1.cscdns.net.
linatex.weir.	3600	in	ns	dns2.cscdns.net.
linatex100.weir.	3600	in	ns	dns1.cscdns.net.
linatex100.weir.	3600	in	ns	dns2.cscdns.net.
linatexminetested.weir.	3600	in	ns	dns1.cscdns.net.
linatexminetested.weir.	3600	in	ns	dns2.cscdns.net.
mac-valve.weir.	3600	in	ns	dns1.cscdns.net.
mac-valve.weir.	3600	in	ns	dns2.cscdns.net.
mail.weir.	3600	in	ns	dns1.cscdns.net.
mail.weir.	3600	in	ns	dns2.cscdns.net.
manufacturing.weir.	3600	in	ns	dns1.cscdns.net.
manufacturing.weir.	3600	in	ns	dns2.cscdns.net.
mathena.weir.	3600	in	ns	dns1.cscdns.net.
mathena.weir.	3600	in	ns	dns2.cscdns.net.
middle-east-services.weir.	3600	in	ns	dns1.cscdns.net.
middle-east-services.weir.	3600	in	ns	dns2.cscdns.net.
minerals.weir.	3600	in	ns	dns1.cscdns.net.
minerals.weir.	3600	in	ns	dns2.cscdns.net.
mineralsproservices.weir.	3600	in	ns	dns1.cscdns.net.
mineralsproservices.weir.	3600	in	ns	dns2.cscdns.net.
miningindonesia.weir.	3600	in	ns	dns1.cscdns.net.
miningindonesia.weir.	3600	in	ns	dns2.cscdns.net.
multiflo.weir.	3600	in	ns	dns1.cscdns.net.
multiflo.weir.	3600	in	ns	dns2.cscdns.net.
my.weir.	3600	in	ns	dns1.cscdns.net.
my.weir.	3600	in	ns	dns2.cscdns.net.
newsroom.weir.	3600	in	ns	dns1.cscdns.net.
newsroom.weir.	3600	in	ns	dns2.cscdns.net.
next.weir.	3600	in	ns	dns1.cscdns.net.
next.weir.	3600	in	ns	dns2.cscdns.net.
nic.weir.	3600	in	ns	a0.nic.weir.
nic.weir.	3600	in	ns	a2.nic.weir.
nic.weir.	3600	in	ns	b0.nic.weir.
nic.weir.	3600	in	ns	c0.nic.weir.
notifications.weir.	3600	in	ns	dns1.cscdns.net.
notifications.weir.	3600	in	ns	dns2.cscdns.net.
novatech.weir.	3600	in	ns	dns1.cscdns.net.
novatech.weir.	3600	in	ns	dns2.cscdns.net.
odessajobfair.weir.	3600	in	ns	dns1.cscdns.net.
odessajobfair.weir.	3600	in	ns	dns2.cscdns.net.
oilandgas-services.weir.	3600	in	ns	dns1.cscdns.net.
oilandgas-services.weir.	3600	in	ns	dns2.cscdns.net.
oilandgas.weir.	3600	in	ns	dns1.cscdns.net.
oilandgas.weir.	3600	in	ns	dns2.cscdns.net.
olympicchallenge.weir.	3600	in	ns	dns1.cscdns.net.
olympicchallenge.weir.	3600	in	ns	dns2.cscdns.net.
oneengine.weir.	3600	in	ns	dns1.cscdns.net.
oneengine.weir.	3600	in	ns	dns2.cscdns.net.
onlylewis.weir.	3600	in	ns	dns1.cscdns.net.
onlylewis.weir.	3600	in	ns	dns2.cscdns.net.
otc.weir.	3600	in	ns	dns1.cscdns.net.
otc.weir.	3600	in	ns	dns2.cscdns.net.
otc2019.weir.	3600	in	ns	dns1.cscdns.net.
otc2019.weir.	3600	in	ns	dns2.cscdns.net.
portal.weir.	3600	in	ns	dns1.cscdns.net.
portal.weir.	3600	in	ns	dns2.cscdns.net.
power-services.weir.	3600	in	ns	dns1.cscdns.net.
power-services.weir.	3600	in	ns	dns2.cscdns.net.
power.weir.	3600	in	ns	dns1.cscdns.net.
power.weir.	3600	in	ns	dns2.cscdns.net.
powerindustrialfrance.weir.	3600	in	ns	dns1.cscdns.net.
powerindustrialfrance.weir.	3600	in	ns	dns2.cscdns.net.
problemsolved.weir.	3600	in	ns	dns1.cscdns.net.
problemsolved.weir.	3600	in	ns	dns2.cscdns.net.
productionequipment.weir.	3600	in	ns	dns1.cscdns.net.
productionequipment.weir.	3600	in	ns	dns2.cscdns.net.
products.weir.	3600	in	ns	dns1.cscdns.net.
products.weir.	3600	in	ns	dns2.cscdns.net.
provenengineering.weir.	3600	in	ns	dns1.cscdns.net.
provenengineering.weir.	3600	in	ns	dns2.cscdns.net.
roto-jet.weir.	3600	in	ns	dns1.cscdns.net.
roto-jet.weir.	3600	in	ns	dns2.cscdns.net.
rwales.weir.	3600	in	ns	dns1.cscdns.net.
rwales.weir.	3600	in	ns	dns2.cscdns.net.
sandwashplant.weir.	3600	in	ns	dns1.cscdns.net.
sandwashplant.weir.	3600	in	ns	dns2.cscdns.net.
sarasin-rsbd.weir.	3600	in	ns	dns1.cscdns.net.
sarasin-rsbd.weir.	3600	in	ns	dns2.cscdns.net.
seaboard.weir.	3600	in	ns	dns1.cscdns.net.
seaboard.weir.	3600	in	ns	dns2.cscdns.net.
sebim.weir.	3600	in	ns	dns1.cscdns.net.
sebim.weir.	3600	in	ns	dns2.cscdns.net.
selectorpro.weir.	3600	in	ns	dns1.cscdns.net.
selectorpro.weir.	3600	in	ns	dns2.cscdns.net.
semprewarman.weir.	3600	in	ns	dns1.cscdns.net.
semprewarman.weir.	3600	in	ns	dns2.cscdns.net.
sharebuilder.weir.	3600	in	ns	dns1.cscdns.net.
sharebuilder.weir.	3600	in	ns	dns2.cscdns.net.
siemprewarman.weir.	3600	in	ns	dns1.cscdns.net.
siemprewarman.weir.	3600	in	ns	dns2.cscdns.net.
solutions.weir.	3600	in	ns	dns1.cscdns.net.
solutions.weir.	3600	in	ns	dns2.cscdns.net.
spe2019.weir.	3600	in	ns	dns1.cscdns.net.
