leclerc.	3600	in	soa	a.nic.fr. dnsmaster.afnic.fr. 2222888607 3600 1800 1209600 600
andrezieux-bbj.leclerc.	3600	in	ns	pdns112.ultradns.org.
andrezieux.leclerc.	3600	in	ns	ns1.prodomaines.com.
andrezieux.leclerc.	3600	in	ns	ns2.prodomaines.com.
anet.leclerc.	3600	in	ns	ns1.prodomaines.com.
anet.leclerc.	3600	in	ns	ns2.prodomaines.com.
angely.leclerc.	3600	in	ns	ns1.prodomaines.com.
angely.leclerc.	3600	in	ns	ns2.prodomaines.com.
angers.leclerc.	3600	in	ns	ns1.prodomaines.com.
angers.leclerc.	3600	in	ns	ns2.prodomaines.com.
angerville.leclerc.	3600	in	ns	ns1.prodomaines.com.
angerville.leclerc.	3600	in	ns	ns2.prodomaines.com.
anglet-le-busquet.leclerc.	3600	in	ns	ns1.prodomaines.com.
anglet-le-busquet.leclerc.	3600	in	ns	ns2.prodomaines.com.
anglet.leclerc.	3600	in	ns	ns1.prodomaines.com.
anglet.leclerc.	3600	in	ns	ns2.prodomaines.com.
angouleme.leclerc.	3600	in	ns	ns1.prodomaines.com.
angouleme.leclerc.	3600	in	ns	ns2.prodomaines.com.
angres.leclerc.	3600	in	ns	ns1.prodomaines.com.
angres.leclerc.	3600	in	ns	ns2.prodomaines.com.
antilles.leclerc.	3600	in	ns	pdns112.ultradns.biz.
antilles.leclerc.	3600	in	ns	pdns112.ultradns.com.
antilles.leclerc.	3600	in	ns	pdns112.ultradns.net.
antilles.leclerc.	3600	in	ns	pdns112.ultradns.org.
api.leclerc.	3600	in	ns	pdns112.ultradns.biz.
api.leclerc.	3600	in	ns	pdns112.ultradns.com.
api.leclerc.	3600	in	ns	pdns112.ultradns.net.
api.leclerc.	3600	in	ns	pdns112.ultradns.org.
apt.leclerc.	3600	in	ns	ns1.prodomaines.com.
apt.leclerc.	3600	in	ns	ns2.prodomaines.com.
aquamark.leclerc.	3600	in	ns	ns1.prodomaines.com.
aquamark.leclerc.	3600	in	ns	ns2.prodomaines.com.
aranjuez.leclerc.	3600	in	ns	ns1.prodomaines.com.
aranjuez.leclerc.	3600	in	ns	ns2.prodomaines.com.
arcachon.leclerc.	3600	in	ns	ns1.prodomaines.com.
arcachon.leclerc.	3600	in	ns	ns2.prodomaines.com.
arconnay.leclerc.	3600	in	ns	ns1.prodomaines.com.
arconnay.leclerc.	3600	in	ns	ns2.prodomaines.com.
ardence.leclerc.	3600	in	ns	pdns112.ultradns.biz.
ardence.leclerc.	3600	in	ns	pdns112.ultradns.com.
ardence.leclerc.	3600	in	ns	pdns112.ultradns.net.
ardence.leclerc.	3600	in	ns	pdns112.ultradns.org.
ares.leclerc.	3600	in	ns	ns1.prodomaines.com.
ares.leclerc.	3600	in	ns	ns2.prodomaines.com.
argences.leclerc.	3600	in	ns	ns1.prodomaines.com.
argences.leclerc.	3600	in	ns	ns2.prodomaines.com.
argentan.leclerc.	3600	in	ns	ns1.prodomaines.com.
argentan.leclerc.	3600	in	ns	ns2.prodomaines.com.
arles.leclerc.	3600	in	ns	ns1.prodomaines.com.
arles.leclerc.	3600	in	ns	ns2.prodomaines.com.
arras.leclerc.	3600	in	ns	ns1.prodomaines.com.
arras.leclerc.	3600	in	ns	ns2.prodomaines.com.
artemis.leclerc.	3600	in	ns	ns1.prodomaines.com.
artemis.leclerc.	3600	in	ns	ns2.prodomaines.com.
ateliersdubac.leclerc.	3600	in	ns	ns1.prodomaines.com.
ateliersdubac.leclerc.	3600	in	ns	ns2.prodomaines.com.
atlantis.leclerc.	3600	in	ns	pdns112.ultradns.biz.
atlantis.leclerc.	3600	in	ns	pdns112.ultradns.com.
atlantis.leclerc.	3600	in	ns	pdns112.ultradns.net.
atlantis.leclerc.	3600	in	ns	pdns112.ultradns.org.
attin.leclerc.	3600	in	ns	ns1.prodomaines.com.
attin.leclerc.	3600	in	ns	ns2.prodomaines.com.
aubenas.leclerc.	3600	in	ns	ns1.prodomaines.com.
aubenas.leclerc.	3600	in	ns	ns2.prodomaines.com.
aubins-energies.leclerc.	3600	in	ns	pdns112.ultradns.biz.
aubins-energies.leclerc.	3600	in	ns	pdns112.ultradns.com.
aubins-energies.leclerc.	3600	in	ns	pdns112.ultradns.net.
aubins-energies.leclerc.	3600	in	ns	pdns112.ultradns.org.
aubins-fioul.leclerc.	3600	in	ns	ns1.prodomaines.com.
aubins-fioul.leclerc.	3600	in	ns	ns2.prodomaines.com.
aubins-pellets.leclerc.	3600	in	ns	ns1.prodomaines.com.
aubins-pellets.leclerc.	3600	in	ns	ns2.prodomaines.com.
aubins.leclerc.	3600	in	ns	ns1.prodomaines.com.
aubins.leclerc.	3600	in	ns	ns2.prodomaines.com.
aubrais.leclerc.	3600	in	ns	pdns112.ultradns.biz.
aubrais.leclerc.	3600	in	ns	pdns112.ultradns.com.
aubrais.leclerc.	3600	in	ns	pdns112.ultradns.net.
aubrais.leclerc.	3600	in	ns	pdns112.ultradns.org.
auch.leclerc.	3600	in	ns	ns1.prodomaines.com.
auch.leclerc.	3600	in	ns	ns2.prodomaines.com.
audierne.leclerc.	3600	in	ns	ns1.prodomaines.com.
audierne.leclerc.	3600	in	ns	ns2.prodomaines.com.
audun.leclerc.	3600	in	ns	ns1.prodomaines.com.
audun.leclerc.	3600	in	ns	ns2.prodomaines.com.
aulnoye-aymeries.leclerc.	3600	in	ns	ns1.prodomaines.com.
aulnoye-aymeries.leclerc.	3600	in	ns	ns2.prodomaines.com.
auray.leclerc.	3600	in	ns	ns1.prodomaines.com.
auray.leclerc.	3600	in	ns	ns2.prodomaines.com.
aurillac.leclerc.	3600	in	ns	ns1.prodomaines.com.
aurillac.leclerc.	3600	in	ns	ns2.prodomaines.com.
auto.leclerc.	3600	in	ns	pdns112.ultradns.biz.
auto.leclerc.	3600	in	ns	pdns112.ultradns.com.
auto.leclerc.	3600	in	ns	pdns112.ultradns.net.
auto.leclerc.	3600	in	ns	pdns112.ultradns.org.
autun.leclerc.	3600	in	ns	ns1.prodomaines.com.
autun.leclerc.	3600	in	ns	ns2.prodomaines.com.
auxerre.leclerc.	3600	in	ns	ns1.prodomaines.com.
auxerre.leclerc.	3600	in	ns	ns2.prodomaines.com.
auxonne.leclerc.	3600	in	ns	ns1.prodomaines.com.
auxonne.leclerc.	3600	in	ns	ns2.prodomaines.com.
avermes.leclerc.	3600	in	ns	ns1.prodomaines.com.
avermes.leclerc.	3600	in	ns	ns2.prodomaines.com.
avignon.leclerc.	3600	in	ns	ns1.prodomaines.com.
avignon.leclerc.	3600	in	ns	ns2.prodomaines.com.
avranches.leclerc.	3600	in	ns	ns1.prodomaines.com.
avranches.leclerc.	3600	in	ns	ns2.prodomaines.com.
bailleul.leclerc.	3600	in	ns	ns1.prodomaines.com.
bailleul.leclerc.	3600	in	ns	ns2.prodomaines.com.
bain-de-bretagne.leclerc.	3600	in	ns	ns1.prodomaines.com.
bain-de-bretagne.leclerc.	3600	in	ns	ns2.prodomaines.com.
baindebretagne.leclerc.	3600	in	ns	pdns112.ultradns.biz.
baindebretagne.leclerc.	3600	in	ns	pdns112.ultradns.com.
baindebretagne.leclerc.	3600	in	ns	pdns112.ultradns.net.
baindebretagne.leclerc.	3600	in	ns	pdns112.ultradns.org.
banque-edel.leclerc.	3600	in	ns	ns1.prodomaines.com.
banque-edel.leclerc.	3600	in	ns	ns2.prodomaines.com.
bapaume.leclerc.	3600	in	ns	ns1.prodomaines.com.
bapaume.leclerc.	3600	in	ns	ns2.prodomaines.com.
bapeaume-les-rouen.leclerc.	3600	in	ns	ns1.prodomaines.com.
bapeaume-les-rouen.leclerc.	3600	in	ns	ns2.prodomaines.com.
bar-le-duc.leclerc.	3600	in	ns	ns1.prodomaines.com.
bar-le-duc.leclerc.	3600	in	ns	ns2.prodomaines.com.
bar-sur-aube.leclerc.	3600	in	ns	ns1.prodomaines.com.
bar-sur-aube.leclerc.	3600	in	ns	ns2.prodomaines.com.
barbezieux.leclerc.	3600	in	ns	ns1.prodomaines.com.
barbezieux.leclerc.	3600	in	ns	ns2.prodomaines.com.
barcelos.leclerc.	3600	in	ns	ns1.prodomaines.com.
barcelos.leclerc.	3600	in	ns	ns2.prodomaines.com.
barjouville.leclerc.	3600	in	ns	ns1.prodomaines.com.
barjouville.leclerc.	3600	in	ns	ns2.prodomaines.com.
bascharage.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bascharage.leclerc.	3600	in	ns	pdns112.ultradns.com.
bascharage.leclerc.	3600	in	ns	pdns112.ultradns.net.
bascharage.leclerc.	3600	in	ns	pdns112.ultradns.org.
basiquespourtous.leclerc.	3600	in	ns	pdns112.ultradns.biz.
basiquespourtous.leclerc.	3600	in	ns	pdns112.ultradns.com.
basiquespourtous.leclerc.	3600	in	ns	pdns112.ultradns.net.
basiquespourtous.leclerc.	3600	in	ns	pdns112.ultradns.org.
basse-goulaine.leclerc.	3600	in	ns	ns1.prodomaines.com.
basse-goulaine.leclerc.	3600	in	ns	ns2.prodomaines.com.
bastia.leclerc.	3600	in	ns	ns1.prodomaines.com.
bastia.leclerc.	3600	in	ns	ns2.prodomaines.com.
bayeux.leclerc.	3600	in	ns	ns1.prodomaines.com.
bayeux.leclerc.	3600	in	ns	ns2.prodomaines.com.
bayonne.leclerc.	3600	in	ns	ns1.prodomaines.com.
bayonne.leclerc.	3600	in	ns	ns2.prodomaines.com.
bbjnord.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bbjnord.leclerc.	3600	in	ns	pdns112.ultradns.com.
bbjnord.leclerc.	3600	in	ns	pdns112.ultradns.net.
bbjnord.leclerc.	3600	in	ns	pdns112.ultradns.org.
bbjso.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bbjso.leclerc.	3600	in	ns	pdns112.ultradns.com.
bbjso.leclerc.	3600	in	ns	pdns112.ultradns.net.
bbjso.leclerc.	3600	in	ns	pdns112.ultradns.org.
beaune.leclerc.	3600	in	ns	ns1.prodomaines.com.
beaune.leclerc.	3600	in	ns	ns2.prodomaines.com.
beaute.leclerc.	3600	in	ns	pdns112.ultradns.biz.
beaute.leclerc.	3600	in	ns	pdns112.ultradns.com.
beaute.leclerc.	3600	in	ns	pdns112.ultradns.net.
beaute.leclerc.	3600	in	ns	pdns112.ultradns.org.
beautor.leclerc.	3600	in	ns	ns1.prodomaines.com.
beautor.leclerc.	3600	in	ns	ns2.prodomaines.com.
beauvais.leclerc.	3600	in	ns	ns1.prodomaines.com.
beauvais.leclerc.	3600	in	ns	ns2.prodomaines.com.
beauxjours.leclerc.	3600	in	ns	pdns112.ultradns.biz.
beauxjours.leclerc.	3600	in	ns	pdns112.ultradns.com.
beauxjours.leclerc.	3600	in	ns	pdns112.ultradns.net.
beauxjours.leclerc.	3600	in	ns	pdns112.ultradns.org.
begles.leclerc.	3600	in	ns	ns1.prodomaines.com.
begles.leclerc.	3600	in	ns	ns2.prodomaines.com.
belchatow.leclerc.	3600	in	ns	ns1.prodomaines.com.
belchatow.leclerc.	3600	in	ns	ns2.prodomaines.com.
belfort.leclerc.	3600	in	ns	ns1.prodomaines.com.
belfort.leclerc.	3600	in	ns	ns2.prodomaines.com.
bellaing.leclerc.	3600	in	ns	ns1.prodomaines.com.
bellaing.leclerc.	3600	in	ns	ns2.prodomaines.com.
bellerive.leclerc.	3600	in	ns	ns1.prodomaines.com.
bellerive.leclerc.	3600	in	ns	ns2.prodomaines.com.
belmont.leclerc.	3600	in	ns	pdns112.ultradns.biz.
belmont.leclerc.	3600	in	ns	pdns112.ultradns.com.
belmont.leclerc.	3600	in	ns	pdns112.ultradns.net.
belmont.leclerc.	3600	in	ns	pdns112.ultradns.org.
bergerac.leclerc.	3600	in	ns	ns1.prodomaines.com.
bergerac.leclerc.	3600	in	ns	ns2.prodomaines.com.
bergues.leclerc.	3600	in	ns	ns1.prodomaines.com.
bergues.leclerc.	3600	in	ns	ns2.prodomaines.com.
bertrange.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bertrange.leclerc.	3600	in	ns	pdns112.ultradns.com.
bertrange.leclerc.	3600	in	ns	pdns112.ultradns.net.
bertrange.leclerc.	3600	in	ns	pdns112.ultradns.org.
beynost.leclerc.	3600	in	ns	ns1.prodomaines.com.
beynost.leclerc.	3600	in	ns	ns2.prodomaines.com.
beziers-devese.leclerc.	3600	in	ns	ns1.prodomaines.com.
beziers-devese.leclerc.	3600	in	ns	ns2.prodomaines.com.
beziers-deveze.leclerc.	3600	in	ns	pdns112.ultradns.biz.
beziers-deveze.leclerc.	3600	in	ns	pdns112.ultradns.com.
beziers-deveze.leclerc.	3600	in	ns	pdns112.ultradns.net.
beziers-deveze.leclerc.	3600	in	ns	pdns112.ultradns.org.
beziers-montimaran.leclerc.	3600	in	ns	ns1.prodomaines.com.
beziers-montimaran.leclerc.	3600	in	ns	ns2.prodomaines.com.
biarritz.leclerc.	3600	in	ns	ns1.prodomaines.com.
biarritz.leclerc.	3600	in	ns	ns2.prodomaines.com.
biars.leclerc.	3600	in	ns	ns1.prodomaines.com.
biars.leclerc.	3600	in	ns	ns2.prodomaines.com.
bijoux.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bijoux.leclerc.	3600	in	ns	pdns112.ultradns.com.
bijoux.leclerc.	3600	in	ns	pdns112.ultradns.net.
bijoux.leclerc.	3600	in	ns	pdns112.ultradns.org.
billeterie.leclerc.	3600	in	ns	pdns112.ultradns.biz.
billeterie.leclerc.	3600	in	ns	pdns112.ultradns.com.
billeterie.leclerc.	3600	in	ns	pdns112.ultradns.net.
billeterie.leclerc.	3600	in	ns	pdns112.ultradns.org.
billetterie.leclerc.	3600	in	ns	pdns112.ultradns.biz.
billetterie.leclerc.	3600	in	ns	pdns112.ultradns.com.
billetterie.leclerc.	3600	in	ns	pdns112.ultradns.net.
billetterie.leclerc.	3600	in	ns	pdns112.ultradns.org.
bio.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bio.leclerc.	3600	in	ns	pdns112.ultradns.com.
bio.leclerc.	3600	in	ns	pdns112.ultradns.net.
bio.leclerc.	3600	in	ns	pdns112.ultradns.org.
biovillage.leclerc.	3600	in	ns	pdns112.ultradns.biz.
biovillage.leclerc.	3600	in	ns	pdns112.ultradns.com.
biovillage.leclerc.	3600	in	ns	pdns112.ultradns.net.
biovillage.leclerc.	3600	in	ns	pdns112.ultradns.org.
biscarrosse.leclerc.	3600	in	ns	ns1.prodomaines.com.
biscarrosse.leclerc.	3600	in	ns	ns2.prodomaines.com.
blackfriday.leclerc.	3600	in	ns	pdns112.ultradns.biz.
blackfriday.leclerc.	3600	in	ns	pdns112.ultradns.com.
blackfriday.leclerc.	3600	in	ns	pdns112.ultradns.net.
blackfriday.leclerc.	3600	in	ns	pdns112.ultradns.org.
blagnac.leclerc.	3600	in	ns	ns1.prodomaines.com.
blagnac.leclerc.	3600	in	ns	ns2.prodomaines.com.
blain.leclerc.	3600	in	ns	ns1.prodomaines.com.
blain.leclerc.	3600	in	ns	ns2.prodomaines.com.
blainville.leclerc.	3600	in	ns	ns1.prodomaines.com.
blainville.leclerc.	3600	in	ns	ns2.prodomaines.com.
blanc-mesnil.leclerc.	3600	in	ns	ns1.prodomaines.com.
blanc-mesnil.leclerc.	3600	in	ns	ns2.prodomaines.com.
blaye.leclerc.	3600	in	ns	ns1.prodomaines.com.
blaye.leclerc.	3600	in	ns	ns2.prodomaines.com.
blois.leclerc.	3600	in	ns	ns1.prodomaines.com.
blois.leclerc.	3600	in	ns	ns2.prodomaines.com.
blotzheim.leclerc.	3600	in	ns	ns1.prodomaines.com.
blotzheim.leclerc.	3600	in	ns	ns2.prodomaines.com.
bobigny.leclerc.	3600	in	ns	ns1.prodomaines.com.
bobigny.leclerc.	3600	in	ns	ns2.prodomaines.com.
boisdarcy.leclerc.	3600	in	ns	ns1.prodomaines.com.
boisdarcy.leclerc.	3600	in	ns	ns2.prodomaines.com.
bollene.leclerc.	3600	in	ns	ns1.prodomaines.com.
bollene.leclerc.	3600	in	ns	ns2.prodomaines.com.
bonneuil.leclerc.	3600	in	ns	ns1.prodomaines.com.
bonneuil.leclerc.	3600	in	ns	ns2.prodomaines.com.
bordeaux-chartrons.leclerc.	3600	in	ns	ns1.prodomaines.com.
bordeaux-chartrons.leclerc.	3600	in	ns	ns2.prodomaines.com.
borgo.leclerc.	3600	in	ns	ns1.prodomaines.com.
borgo.leclerc.	3600	in	ns	ns2.prodomaines.com.
bouclier-anti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bouclier-anti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.com.
bouclier-anti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.net.
bouclier-anti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.org.
bouclieranti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bouclieranti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.com.
bouclieranti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.net.
bouclieranti-inflation.leclerc.	3600	in	ns	pdns112.ultradns.org.
boulou.leclerc.	3600	in	ns	ns1.prodomaines.com.
boulou.leclerc.	3600	in	ns	ns2.prodomaines.com.
bourg-les-valence.leclerc.	3600	in	ns	ns1.prodomaines.com.
bourg-les-valence.leclerc.	3600	in	ns	ns2.prodomaines.com.
bourges.leclerc.	3600	in	ns	ns1.prodomaines.com.
bourges.leclerc.	3600	in	ns	ns2.prodomaines.com.
bourgoin.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bourgoin.leclerc.	3600	in	ns	pdns112.ultradns.com.
bourgoin.leclerc.	3600	in	ns	pdns112.ultradns.net.
bourgoin.leclerc.	3600	in	ns	pdns112.ultradns.org.
braga.leclerc.	3600	in	ns	ns1.prodomaines.com.
braga.leclerc.	3600	in	ns	ns2.prodomaines.com.
bras-panon.leclerc.	3600	in	ns	pdns112.ultradns.biz.
bras-panon.leclerc.	3600	in	ns	pdns112.ultradns.com.
bras-panon.leclerc.	3600	in	ns	pdns112.ultradns.net.
bras-panon.leclerc.	3600	in	ns	pdns112.ultradns.org.
bressedis.leclerc.	3600	in	ns	ns1.prodomaines.com.
bressedis.leclerc.	3600	in	ns	ns2.prodomaines.com.
bressuire.leclerc.	3600	in	ns	ns1.prodomaines.com.
bressuire.leclerc.	3600	in	ns	ns2.prodomaines.com.
brest-europe.leclerc.	3600	in	ns	ns1.prodomaines.com.
brest-europe.leclerc.	3600	in	ns	ns2.prodomaines.com.
brest.leclerc.	3600	in	ns	ns1.prodomaines.com.
brest.leclerc.	3600	in	ns	ns2.prodomaines.com.
breteuil.leclerc.	3600	in	ns	ns1.prodomaines.com.
breteuil.leclerc.	3600	in	ns	ns2.prodomaines.com.
brezet.leclerc.	3600	in	ns	ns1.prodomaines.com.
brezet.leclerc.	3600	in	ns	ns2.prodomaines.com.
briancon.leclerc.	3600	in	ns	ns1.prodomaines.com.
briancon.leclerc.	3600	in	ns	ns2.prodomaines.com.
brico.leclerc.	3600	in	ns	ns1.prodomaines.com.
brico.leclerc.	3600	in	ns	ns2.prodomaines.com.
brignoles.leclerc.	3600	in	ns	ns1.prodomaines.com.
brignoles.leclerc.	3600	in	ns	ns2.prodomaines.com.
brissac.leclerc.	3600	in	ns	ns1.prodomaines.com.
brissac.leclerc.	3600	in	ns	ns2.prodomaines.com.
brive.leclerc.	3600	in	ns	ns1.prodomaines.com.
brive.leclerc.	3600	in	ns	ns2.prodomaines.com.
bruges.leclerc.	3600	in	ns	ns1.prodomaines.com.
bruges.leclerc.	3600	in	ns	ns2.prodomaines.com.
bruyeres.leclerc.	3600	in	ns	ns1.prodomaines.com.
bruyeres.leclerc.	3600	in	ns	ns2.prodomaines.com.
btlec-est.leclerc.	3600	in	ns	ns1.prodomaines.com.
btlec-est.leclerc.	3600	in	ns	ns2.prodomaines.com.
btlec-ouest.leclerc.	3600	in	ns	ns1.prodomaines.com.
btlec-ouest.leclerc.	3600	in	ns	ns2.prodomaines.com.
btlecest.leclerc.	3600	in	ns	pdns112.ultradns.biz.
btlecest.leclerc.	3600	in	ns	pdns112.ultradns.com.
btlecest.leclerc.	3600	in	ns	pdns112.ultradns.net.
btlecest.leclerc.	3600	in	ns	pdns112.ultradns.org.
btlecouest.leclerc.	3600	in	ns	pdns112.ultradns.biz.
btlecouest.leclerc.	3600	in	ns	pdns112.ultradns.com.
btlecouest.leclerc.	3600	in	ns	pdns112.ultradns.net.
btlecouest.leclerc.	3600	in	ns	pdns112.ultradns.org.
bugnicourt.leclerc.	3600	in	ns	ns1.prodomaines.com.
bugnicourt.leclerc.	3600	in	ns	ns2.prodomaines.com.
buxerolles.leclerc.	3600	in	ns	ns1.prodomaines.com.
buxerolles.leclerc.	3600	in	ns	ns2.prodomaines.com.
bydgoszcz.leclerc.	3600	in	ns	ns1.prodomaines.com.
bydgoszcz.leclerc.	3600	in	ns	ns2.prodomaines.com.
cabries.leclerc.	3600	in	ns	ns1.prodomaines.com.
cabries.leclerc.	3600	in	ns	ns2.prodomaines.com.
caen.leclerc.	3600	in	ns	ns1.prodomaines.com.
caen.leclerc.	3600	in	ns	ns2.prodomaines.com.
cahiersengages.leclerc.	3600	in	ns	pdns112.ultradns.biz.
cahiersengages.leclerc.	3600	in	ns	pdns112.ultradns.com.
cahiersengages.leclerc.	3600	in	ns	pdns112.ultradns.net.
cahiersengages.leclerc.	3600	in	ns	pdns112.ultradns.org.
cahors-pradines.leclerc.	3600	in	ns	ns1.prodomaines.com.
cahors-pradines.leclerc.	3600	in	ns	ns2.prodomaines.com.
calendrierdelavent.leclerc.	3600	in	ns	pdns112.ultradns.biz.
calendrierdelavent.leclerc.	3600	in	ns	pdns112.ultradns.com.
calendrierdelavent.leclerc.	3600	in	ns	pdns112.ultradns.net.
calendrierdelavent.leclerc.	3600	in	ns	pdns112.ultradns.org.
cannes-la-bocca.leclerc.	3600	in	ns	ns1.prodomaines.com.
cannes-la-bocca.leclerc.	3600	in	ns	ns2.prodomaines.com.
capbreton.leclerc.	3600	in	ns	ns1.prodomaines.com.
capbreton.leclerc.	3600	in	ns	ns2.prodomaines.com.
capellen.leclerc.	3600	in	ns	pdns112.ultradns.biz.
capellen.leclerc.	3600	in	ns	pdns112.ultradns.com.
capellen.leclerc.	3600	in	ns	pdns112.ultradns.net.
capellen.leclerc.	3600	in	ns	pdns112.ultradns.org.
carburant.leclerc.	3600	in	ns	pdns112.ultradns.biz.
carburant.leclerc.	3600	in	ns	pdns112.ultradns.com.
