247.forsale.	3600	in	ns	curitiba.ns.porkbun.com.
247.forsale.	3600	in	ns	fortaleza.ns.porkbun.com.
247.forsale.	3600	in	ns	maceio.ns.porkbun.com.
247.forsale.	3600	in	ns	salvador.ns.porkbun.com.
25959.forsale.	3600	in	ns	n1.xundns.com.
25959.forsale.	3600	in	ns	n2.xundns.com.
263957.forsale.	3600	in	ns	ns1.dns.com.
263957.forsale.	3600	in	ns	ns2.dns.com.
273568.forsale.	3600	in	ns	ns1.dns.com.
273568.forsale.	3600	in	ns	ns2.dns.com.
285379.forsale.	3600	in	ns	ns1.dns.com.
285379.forsale.	3600	in	ns	ns2.dns.com.
29nbhnos7oc2g91241lct4md1k0tpncg.forsale.	3600	in	nsec3	1 1 0 73 2EVQM3F0MC64FEHUS7NJ89OGK0TUP0L9 NS DS RRSIG
29nbhnos7oc2g91241lct4md1k0tpncg.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. hRPS6/ziRB3vDE2wiju22gR/W05qH1vzaQOUHHrFbuxxLa+/Q3THQt2JYIGeBXl4NeM/rfkmp/OXeW/x0nckozF7XDUX3uMYX12LzFQEgBpKk5BYFIlJ7OoeFrSuz6BqNN820hLPkg8apdsw1EdPbfjWiZeuWpe0mjfA27NHOtc=
2bhk.forsale.	3600	in	ns	curitiba.ns.porkbun.com.
2bhk.forsale.	3600	in	ns	fortaleza.ns.porkbun.com.
2bhk.forsale.	3600	in	ns	maceio.ns.porkbun.com.
2bhk.forsale.	3600	in	ns	salvador.ns.porkbun.com.
2evqm3f0mc64fehus7nj89ogk0tup0l9.forsale.	3600	in	nsec3	1 1 0 73 2MEO0BBR2384NASQJP3F2RT0CIDD1O53 NS DS RRSIG
2evqm3f0mc64fehus7nj89ogk0tup0l9.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. aFrzLCYlsCTGI57y50sJ6SbGoygdnOE0cOSH1qQEJ7oZ5rcmdaofInXUbUa7R+xRtHfdb2KgmsvCCXjxaXnZ2vM24YPQ0OSi/SqXf17hWkt02u1QOF6sxzf3UTfPmTbbElDvD7aYTHKnv840FwYrCZmrfq8kePgjafJaYusUo5A=
2meo0bbr2384nasqjp3f2rt0cidd1o53.forsale.	3600	in	nsec3	1 1 0 73 2STQB72DHFPE18T3K1JLGR92RQSLIEH8 NS DS RRSIG
2meo0bbr2384nasqjp3f2rt0cidd1o53.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. MU0K/TXUxT4I6zzUciCRFxl9O2X8KzRIMCGUZjEkW17D5KnVRqFX3a6lyUXFs77Lqg3cedhcdtJnrWhv3qCtICCICw2TJfg5EgNZTNdbO7ZSn7rKQk8vTtgmeRTd26qZrbulPIS0TM3YY1UKRjtSpXonHESOYRoAbqYtKGEHsEk=
2stqb72dhfpe18t3k1jlgr92rqslieh8.forsale.	3600	in	nsec3	1 1 0 73 2V14BIEC2TE9KCA4U0FTFD57QP6QQ9R0 NS DS RRSIG
2stqb72dhfpe18t3k1jlgr92rqslieh8.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260124195441 20260103185441 46734 forsale. sljhrDGVJ130CEa0xbwU4LO6bAyYEzgq+ur4AAusxUfRvHBUIJttNEGQqld5cD/PZf5+mkMROE+NrvZHczohtQV3qMsdPIGPuHkwhwspHTTLoKGw6HCIXVdQm6XvGOXnVdamMqI9NzANRLzy7551Vk2oZVRVyN4MkAJtEb0QYS8=
2v14biec2te9kca4u0ftfd57qp6qq9r0.forsale.	3600	in	nsec3	1 1 0 73 35U0B9PF89K357KUO1SK40PTGU25EG9T NS DS RRSIG
2v14biec2te9kca4u0ftfd57qp6qq9r0.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260124195441 20260103185441 46734 forsale. MRRXxbAYiQwQDDqI4ZGUkMD6h22OvzdOHM7SC1vp09cdP/H/uB9cX8tSFpsgtfIL6L/gt6UXZYnbsCrt1NBMkrelmF9hXMZn9nd7PRDtzDEk3mkec8MWoDoXmuIlxzvEVR9CTStItj2n0Th+bbeAb+y78Euzy4HPhDc0ekxTcfA=
30799baueravenue.forsale.	3600	in	ns	ns69.domaincontrol.com.
30799baueravenue.forsale.	3600	in	ns	ns70.domaincontrol.com.
30a.forsale.	3600	in	ns	ns43.domaincontrol.com.
30a.forsale.	3600	in	ns	ns44.domaincontrol.com.
321.forsale.	3600	in	ns	dns1.registrar-servers.com.
321.forsale.	3600	in	ns	dns2.registrar-servers.com.
3330.forsale.	3600	in	ns	ns39.domaincontrol.com.
3330.forsale.	3600	in	ns	ns40.domaincontrol.com.
3333.forsale.	3600	in	ns	ns39.domaincontrol.com.
3333.forsale.	3600	in	ns	ns40.domaincontrol.com.
3336.forsale.	3600	in	ns	ns39.domaincontrol.com.
3336.forsale.	3600	in	ns	ns40.domaincontrol.com.
33368.forsale.	3600	in	ns	ns39.domaincontrol.com.
33368.forsale.	3600	in	ns	ns40.domaincontrol.com.
3338.forsale.	3600	in	ns	ns39.domaincontrol.com.
3338.forsale.	3600	in	ns	ns40.domaincontrol.com.
348s.forsale.	3600	in	ns	ns1.wordpress.com.
348s.forsale.	3600	in	ns	ns2.wordpress.com.
348s.forsale.	3600	in	ns	ns3.wordpress.com.
35223.forsale.	3600	in	ns	n1.xundns.com.
35223.forsale.	3600	in	ns	n2.xundns.com.
35721.forsale.	3600	in	ns	ns1.dnsip.com.
35721.forsale.	3600	in	ns	ns2.dnsip.com.
35u0b9pf89k357kuo1sk40ptgu25eg9t.forsale.	3600	in	nsec3	1 1 0 73 3B1UU888B80LL58U1D208GMN0S75H813 NS DS RRSIG
35u0b9pf89k357kuo1sk40ptgu25eg9t.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. wNZXzl/7xe2p2+TLFqWZx3nM7lGJOvMq/qWsZaAObV4LWP75Dl6neTb5HmOG2+A0rF6gbHzGOYAfYfyTw3t7Dzkmj34hZ7WPDepBbK/WqduXh82tPj7fQgDndjkTkC1P8iY2O9gFR2wR/wNwbjHqvpJ9aVOYvy4Ea0zvbBM+3D4=
360.forsale.	3600	in	ns	ns1.afternic.com.
360.forsale.	3600	in	ns	ns2.afternic.com.
360homes.forsale.	3600	in	ns	ns.inwx.de.
360homes.forsale.	3600	in	ns	ns2.inwx.de.
360homes.forsale.	3600	in	ns	ns3.inwx.eu.
365.forsale.	3600	in	ns	ns1.sedoparking.com.
365.forsale.	3600	in	ns	ns2.sedoparking.com.
365days.forsale.	3600	in	ns	ns1.afternic.com.
365days.forsale.	3600	in	ns	ns2.afternic.com.
37069.forsale.	3600	in	ns	n1.xundns.com.
37069.forsale.	3600	in	ns	n2.xundns.com.
37257.forsale.	3600	in	ns	ns1.dnsip.com.
37257.forsale.	3600	in	ns	ns2.dnsip.com.
38171.forsale.	3600	in	ns	ns1.dnsip.com.
38171.forsale.	3600	in	ns	ns2.dnsip.com.
3838.forsale.	3600	in	ns	ns39.domaincontrol.com.
3838.forsale.	3600	in	ns	ns40.domaincontrol.com.
38521.forsale.	3600	in	ns	ns1.dnsip.com.
38521.forsale.	3600	in	ns	ns2.dnsip.com.
388.forsale.	3600	in	ns	ns39.domaincontrol.com.
388.forsale.	3600	in	ns	ns40.domaincontrol.com.
3b1uu888b80ll58u1d208gmn0s75h813.forsale.	3600	in	nsec3	1 1 0 73 3LGTCPFN7N6RVM6HADQVCIJTN0ROTHNN NS DS RRSIG
3b1uu888b80ll58u1d208gmn0s75h813.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. jXZah4WtieHFzdcLZ88hECYpI9lxr4kK3QG2gzMgxts9ywD0QsTe/wQxv6b30QQQnm3OWR+pKRhT/17XkyA1aUwgj8Pe5z9rG2kW0wUXB3+7jTc7/GTbRtVx9DieJrQfwUm029oacicylQgUYbzK5a+CkXJ00yHmg2uIJEDqi1w=
3bedroomhome.forsale.	3600	in	ns	ns01.trademarkarea.com.
3bedroomhome.forsale.	3600	in	ns	ns02.trademarkarea.com.
3bedroomhome.forsale.	3600	in	ns	ns03.trademarkarea.com.
3bhk.forsale.	3600	in	ns	curitiba.ns.porkbun.com.
3bhk.forsale.	3600	in	ns	fortaleza.ns.porkbun.com.
3bhk.forsale.	3600	in	ns	maceio.ns.porkbun.com.
3bhk.forsale.	3600	in	ns	salvador.ns.porkbun.com.
3dprinters.forsale.	3600	in	ns	ns1.afternic.com.
3dprinters.forsale.	3600	in	ns	ns2.afternic.com.
3lgtcpfn7n6rvm6hadqvcijtn0rothnn.forsale.	3600	in	nsec3	1 1 0 73 3RSDH7UHVRMGTLREE936L7MM2DD94K2C NS DS RRSIG
3lgtcpfn7n6rvm6hadqvcijtn0rothnn.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. mE5fvKZKZQ0FCxYX/gEn73sfAwBRsTA4CMg96JR5ixpvEFKYtZ/RrDfO3rXrmrgCZOwMOg3pRlXGsAo6cVRWKrACe5b0RdNN16njWbXvgPwwL4AuNaDuMmQJJp1pAz7D5dajV6yJJrb2S0dohyKlDUANyKdo9fQHRQdIfy4ayZU=
3rsdh7uhvrmgtlree936l7mm2dd94k2c.forsale.	3600	in	nsec3	1 1 0 73 3UM4RT3GKEJB3RIFVNB308ILDK8LAUP5 NS DS RRSIG
3rsdh7uhvrmgtlree936l7mm2dd94k2c.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. ZygYSdCcWDI7mt8oVNcmNnNQDHjuWkixwj6CeyI8vq7/8kOYmv1RkHshFXevAviKFV4FWYrCWw+09xbkeYaaXn57wCPsEoW0VMQhq2erS91LWIiJuXf8LRvBkLPoIIlaEdTiLKn5guXi4O4tqd/7dFvEmSVMQaY6aG88GWNGqrA=
3um4rt3gkejb3rifvnb308ildk8laup5.forsale.	3600	in	nsec3	1 1 0 73 4E5PUCG37QI3D1NPAT9BDR6CCPU3R34P NS DS RRSIG
3um4rt3gkejb3rifvnb308ildk8laup5.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. u5HNNkgHiGuMVbiwDSWYl8dpei09vdox2+MfECis+mY24HxUOxBgjUhTWot4RHh8826TgodjuoO4qblor1PjtSHz3CZuNxzw+3gYIAuOASBSv+iQ11w6+cOzTo79fCSdW3C4IxGQmH0rjBYFxYcWzHnCST2Bx9DkBbBTYUz1qPU=
420recharged.forsale.	3600	in	ds	63881 13 2 D893B2B92494A18BDCC2C3E2887C12A416C4AC06B81EDFC07B767204382DED23
420recharged.forsale.	3600	in	ns	launch1.spaceship.net.
420recharged.forsale.	3600	in	ns	launch2.spaceship.net.
420recharged.forsale.	3600	in	rrsig	DS 8 2 3600 20260122154631 20260101144631 46734 forsale. l//UV6Qbm9DRH4lUCf4JqamMvLJee4S+Ax3sSgXsCOmILP1LK8KJiuLr+fTZLmlcko1gcaM9xxgNiRVxEXRRfkj+WYFCeHYyvrRWauPMgyCyv3mCr7r2/lpKu8Wn+FRZBi6sGKorX5gA8xhqJSm6D6udHjtYPprlQdddd3vIHCM=
42535.forsale.	3600	in	ns	ns1.dyna-ns.net.
42535.forsale.	3600	in	ns	ns2.dyna-ns.net.
44550elkhorntrail.forsale.	3600	in	ns	dns4.pair.com.
44550elkhorntrail.forsale.	3600	in	ns	ns9.ns0.com.
448621.forsale.	3600	in	ns	ns1.1233dns.com.
448621.forsale.	3600	in	ns	ns2.951dns.com.
45167.forsale.	3600	in	ns	ns1.dnsip.com.
45167.forsale.	3600	in	ns	ns2.dnsip.com.
48x102trailers.forsale.	3600	in	ns	ns-cloud-a1.googledomains.com.
48x102trailers.forsale.	3600	in	ns	ns-cloud-a2.googledomains.com.
48x102trailers.forsale.	3600	in	ns	ns-cloud-a3.googledomains.com.
48x102trailers.forsale.	3600	in	ns	ns-cloud-a4.googledomains.com.
497tk.forsale.	3600	in	ns	ns1.dyna-ns.net.
497tk.forsale.	3600	in	ns	ns2.dyna-ns.net.
4club.forsale.	3600	in	ns	dns1.teknology.ch.
4club.forsale.	3600	in	ns	dns2.teknology.ch.
4e5pucg37qi3d1npat9bdr6ccpu3r34p.forsale.	3600	in	nsec3	1 1 0 73 4NKEVFC6J4S4PMSRBI6HFUJTN8AELPQP NS DS RRSIG
4e5pucg37qi3d1npat9bdr6ccpu3r34p.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. m2HVjxSY/8TWdHWnT13nHIopuxVG18iWRJO/Iec+WZnbTiaByYWcXNLLvMBKgq+gdJIhjD4cgrHH/mGuNsCMM7ehRb6cLEhB16DOVleAKDCfdN7ISuDYKD1CKVGz6T6AuloG7LoFgCSzawGcDU11LDu4cvu7GSxYaO41kNVejwc=
4family.forsale.	3600	in	ns	dns1.registrar-servers.com.
4family.forsale.	3600	in	ns	dns2.registrar-servers.com.
4nkevfc6j4s4pmsrbi6hfujtn8aelpqp.forsale.	3600	in	nsec3	1 1 0 73 4U4L6FHE87A7SHB99KUSF2H6C1C6CEO2 NS DS RRSIG
4nkevfc6j4s4pmsrbi6hfujtn8aelpqp.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. XPiGTRjCcb8YK1rcK4WRgvNt21aLKFo5UShbLCNQOU5VD4xqEiPBnS0PGk3r/tQucIfWYpVQ5w6DRsCzFp5pjNVJN3strdGwPdRWFOaQ+Zr4giYvhiRTxpwmnwMUeGbQsJSJqxdBUgz68C+2Y4LrBcJYVzA4g5hevY6aDTNeEUI=
4rent.forsale.	3600	in	ns	ns21.domaincontrol.com.
4rent.forsale.	3600	in	ns	ns22.domaincontrol.com.
