alamo.joburg.	7200	in	ns	ns6.markmonitor.com.
alarm.joburg.	7200	in	ns	ns1.dns-h.com.
alarm.joburg.	7200	in	ns	ns1.host-h.net.
alarm.joburg.	7200	in	ns	ns2.dns-h.com.
alarm.joburg.	7200	in	ns	ns2.host-h.net.
albiesachs.joburg.	7200	in	ns	ns1.dns-h.com.
albiesachs.joburg.	7200	in	ns	ns1.host-h.net.
albiesachs.joburg.	7200	in	ns	ns2.dns-h.com.
albiesachs.joburg.	7200	in	ns	ns2.host-h.net.
alexanderforbes.joburg.	7200	in	ns	demeter.is.co.za.
alexanderforbes.joburg.	7200	in	ns	jupiter.is.co.za.
alexanderforbes.joburg.	7200	in	ns	titan.is.co.za.
alexandra.joburg.	7200	in	ns	ns1.tld-ns.net.
alexandra.joburg.	7200	in	ns	ns2.tld-ns.com.
alexandra.joburg.	7200	in	ns	ns3.tld-ns.net.
alexandra.joburg.	7200	in	ns	ns4.tld-ns.com.
alignit.joburg.	7200	in	ns	ns1.dns-h.com.
alignit.joburg.	7200	in	ns	ns1.host-h.net.
alignit.joburg.	7200	in	ns	ns2.dns-h.com.
alignit.joburg.	7200	in	ns	ns2.host-h.net.
alignmentcentre.joburg.	7200	in	ns	ns.dns1.co.za.
alignmentcentre.joburg.	7200	in	ns	ns.dns2.co.za.
alignmentcentre.joburg.	7200	in	ns	ns.otherdns.com.
alignmentcentre.joburg.	7200	in	ns	ns.otherdns.net.
alkalinewater.joburg.	7200	in	ns	ns1.dns-h.com.
alkalinewater.joburg.	7200	in	ns	ns1.host-h.net.
alkalinewater.joburg.	7200	in	ns	ns2.dns-h.com.
alkalinewater.joburg.	7200	in	ns	ns2.host-h.net.
all4you.joburg.	7200	in	ns	ns.dns1.co.za.
all4you.joburg.	7200	in	ns	ns.dns2.co.za.
all4you.joburg.	7200	in	ns	ns.otherdns.com.
all4you.joburg.	7200	in	ns	ns.otherdns.net.
allianzsanlam.joburg.	7200	in	ns	ns1.lexsynergy.net.
