tumblr.xn--fjq720a.	3600	in	ns	ns3.tumblr.com.
tumblr.xn--fjq720a.	3600	in	ns	ns4.tumblr.com.
tvos.xn--fjq720a.	3600	in	ns	a.ns.apple.com.
tvos.xn--fjq720a.	3600	in	ns	b.ns.apple.com.
tvos.xn--fjq720a.	3600	in	ns	c.ns.apple.com.
tvos.xn--fjq720a.	3600	in	ns	d.ns.apple.com.
twitch.xn--fjq720a.	3600	in	ns	nsgbr.comlaude.co.uk.
twitch.xn--fjq720a.	3600	in	ns	nssui.comlaude.ch.
twitch.xn--fjq720a.	3600	in	ns	nsusa.comlaude.net.
u.xn--fjq720a.	3600	in	ns	ns1.netsto.net.
u.xn--fjq720a.	3600	in	ns	ns2.netsto.net.
usdt.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
usdt.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
uu.xn--fjq720a.	3600	in	ns	n1.xundns.com.
uu.xn--fjq720a.	3600	in	ns	n2.xundns.com.
v0n0.nic.xn--fjq720a.	3600	in	a	65.22.20.66
v0n0.nic.xn--fjq720a.	3600	in	aaaa	2a01:8840:0016:0000:0000:0000:0000:0066
v0n1.nic.xn--fjq720a.	3600	in	a	65.22.21.66
v0n1.nic.xn--fjq720a.	3600	in	aaaa	2a01:8840:0017:0000:0000:0000:0000:0066
v0n2.nic.xn--fjq720a.	3600	in	a	65.22.22.66
v0n2.nic.xn--fjq720a.	3600	in	aaaa	2a01:8840:0018:0000:0000:0000:0000:0066
v0n3.nic.xn--fjq720a.	3600	in	a	161.232.10.66
v0n3.nic.xn--fjq720a.	3600	in	aaaa	2a01:8840:00f4:0000:0000:0000:0000:0066
v2n0.nic.xn--fjq720a.	3600	in	a	65.22.23.66
v2n0.nic.xn--fjq720a.	3600	in	aaaa	2a01:8840:0019:0000:0000:0000:0000:0066
v2n1.nic.xn--fjq720a.	3600	in	a	161.232.11.66
v2n1.nic.xn--fjq720a.	3600	in	aaaa	2a01:8840:00f5:0000:0000:0000:0000:0066
vq93kbu68l7vgvv90ulg1kgi32lpamal.xn--fjq720a.	3600	in	nsec3	1 1 0 73 EC31EQE91LQUA2IKTKQSM9A6N0Q372N8 NS SOA RRSIG DNSKEY NSEC3PARAM
vq93kbu68l7vgvv90ulg1kgi32lpamal.xn--fjq720a.	3600	in	rrsig	NSEC3 8 2 3600 20250917011736 20250827001736 37326 xn--fjq720a. e+oU1BjwTeCeEzx5o4nw5sWzn75G1n8b9b0clz8fF3cbfNIRFcb5lGUfQ6WnbDRHF4CvFUKZjEQU+YeyfRU/+pR1luwj+0qL4PM7ZMrwgfi7w6gWPw6zLDGoYXzZuc7abiwCgFMr/N5bbpdUyWdzkHnl9X0fY/b1qnov6oJme8Q=
watchos.xn--fjq720a.	3600	in	ns	a.ns.apple.com.
watchos.xn--fjq720a.	3600	in	ns	b.ns.apple.com.
watchos.xn--fjq720a.	3600	in	ns	c.ns.apple.com.
watchos.xn--fjq720a.	3600	in	ns	d.ns.apple.com.
web3.xn--fjq720a.	3600	in	ns	dns27.hichina.com.
web3.xn--fjq720a.	3600	in	ns	dns28.hichina.com.
whatsapp.xn--fjq720a.	3600	in	ns	a.ns.facebook.com.
whatsapp.xn--fjq720a.	3600	in	ns	b.ns.facebook.com.
whatsapp.xn--fjq720a.	3600	in	ns	c.ns.facebook.com.
whatsapp.xn--fjq720a.	3600	in	ns	d.ns.facebook.com.
wj.xn--fjq720a.	3600	in	ns	dns29.hichina.com.
wj.xn--fjq720a.	3600	in	ns	dns30.hichina.com.
www.xn--fjq720a.	3600	in	ns	ns-1419.awsdns-49.org.
www.xn--fjq720a.	3600	in	ns	ns-1640.awsdns-13.co.uk.
www.xn--fjq720a.	3600	in	ns	ns-484.awsdns-60.com.
www.xn--fjq720a.	3600	in	ns	ns-800.awsdns-36.net.
xiaoying.xn--fjq720a.	3600	in	ns	dns21.hichina.com.
xiaoying.xn--fjq720a.	3600	in	ns	dns22.hichina.com.
xn--0wws70buwq.xn--fjq720a.	3600	in	ns	ns1.brandshelter.com.
xn--0wws70buwq.xn--fjq720a.	3600	in	ns	ns2.brandshelter.de.
xn--0wws70buwq.xn--fjq720a.	3600	in	ns	ns3.brandshelter.info.
xn--0wws70buwq.xn--fjq720a.	3600	in	ns	ns4.brandshelter.net.
xn--0wws70buwq.xn--fjq720a.	3600	in	ns	ns5.brandshelter.us.
xn--123-tn8e.xn--fjq720a.	3600	in	ns	ns1.brandshelter.com.
xn--123-tn8e.xn--fjq720a.	3600	in	ns	ns2.brandshelter.de.
xn--123-tn8e.xn--fjq720a.	3600	in	ns	ns3.brandshelter.info.
xn--123-tn8e.xn--fjq720a.	3600	in	ns	ns4.brandshelter.net.
xn--123-tn8e.xn--fjq720a.	3600	in	ns	ns5.brandshelter.us.
xn--1lqy2o.xn--fjq720a.	3600	in	ns	ns1.brandcloudns.com.
xn--1lqy2o.xn--fjq720a.	3600	in	ns	ns2.brandcloudns.com.
