1099.healthcare.	3600	in	ns	ns22.domaincontrol.com.
10x.healthcare.	3600	in	ns	ns.udag.de.
10x.healthcare.	3600	in	ns	ns.udag.net.
10x.healthcare.	3600	in	ns	ns.udag.org.
1177.healthcare.	3600	in	ns	a.portsdns.se.
1177.healthcare.	3600	in	ns	b.portsdns.net.
1177vardguiden.healthcare.	3600	in	ns	a.portsdns.se.
1177vardguiden.healthcare.	3600	in	ns	b.portsdns.net.
120.healthcare.	3600	in	ns	ns11.domaincontrol.com.
120.healthcare.	3600	in	ns	ns12.domaincontrol.com.
14d2lp934oj26njb54sqvn2m03vanega.healthcare.	3600	in	nsec3	1 1 0 73 14H5RMCCAS032F8T9ARONV9FDVS8UVLJ NS DS RRSIG
14d2lp934oj26njb54sqvn2m03vanega.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. sU3w60yZjeQQZPR5ssFhjwnhObCKkZrFHxkBwhsaNRmR/MK8zF+oEhJ3DxBIRmpwo1vmHBNvJkzev/z7QrFhT+7oX3niTYPzG5k8yDgGFrAzmYZ+vjVIx1qgkmqKwv+HGEaMAQOfMicSNt3jfSSX9kg4e+k6SJdH+EaHu4BR2ic=
14h5rmccas032f8t9aronv9fdvs8uvlj.healthcare.	3600	in	nsec3	1 1 0 73 14IHPUDFKGIMA8SFF00IV09FAL22ROD0 NS DS RRSIG
14h5rmccas032f8t9aronv9fdvs8uvlj.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. kEVUUCkviTO9UqxgKl9T+iDzez17n1hPRnADSIdYuI+BT40bT79j+M+Gf9fYnIN+vemFnmPuEY1pPggSb+PO6HMVJD1p0U4AQlAX9JXo2G3u+huQ5ZnHWAucShbF1ncG7gfrgVCnJp4PFBtXI/wh0YH7Q5WtZwaI6+p/2OZkWIA=
14ihpudfkgima8sff00iv09fal22rod0.healthcare.	3600	in	nsec3	1 1 0 73 15E84JMA8EKMVH7AEBE282MQRCENPOP3 NS DS RRSIG
14ihpudfkgima8sff00iv09fal22rod0.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. nnjzJJNjoJfyfl0bpOfkPXYFkJf+OJQtfA7fI8h6LSSeGc5pZS56SXVP8C3/4UnbPHCXj9tPsDIyhrb+alkQI2ZPtYOj2PcXaG9WGSw5AnPZpDJG7wdeb3oM7ZCwQ6YZywjfnWDdwohcQlDyYY3hu9j5MA+IM+lYb3zW6u3GMFA=
15e84jma8ekmvh7aebe282mqrcenpop3.healthcare.	3600	in	nsec3	1 1 0 73 15HBAJI8TH8PUGOORHIQ5JA7EPQ2PGFV NS DS RRSIG
15e84jma8ekmvh7aebe282mqrcenpop3.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. sYX330s/ovVwwShPlC/K1uoFRmw//oWdWpXO9jkPTAtlhKKjpWP5qk8MbrKQsVu4p+WEmAWNbMCZ/116eqhJ45Dscvt7HMiwrAaxh5xLQQCDISRhsB7b0CJI9tmeASheJkO+IDh+KwRu8zrVpARWWrQBB5x/E6HzLK/c1hBCevI=
15hbaji8th8pugoorhiq5ja7epq2pgfv.healthcare.	3600	in	nsec3	1 1 0 73 180KG8FNCI78VTI2CFV2PI61ETH5293K NS DS RRSIG
15hbaji8th8pugoorhiq5ja7epq2pgfv.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. txyvl6Nkp+r6oWL5wCWhKlmOBSWO1HezG8fBw+M26xxMDGUCQ8LX5SX2cwkqg8FfhW5bP0tN2+h2LdI6ISLzJRSY25tuu8ZooMKJNlmgK4aQm2y5iR1jrWDmcLUDbW8Q06FN7+rTUf80/n25ZbHgv1WhOtZwRT9L41kwTC2J9Lc=
180kg8fnci78vti2cfv2pi61eth5293k.healthcare.	3600	in	nsec3	1 1 0 73 1A9K7NHNVNIBN96PCJSAGCRD5HBBB596 NS DS RRSIG
180kg8fnci78vti2cfv2pi61eth5293k.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. QPkDi0uUbw/W1uc0cF57H6INx/opsrDV/OaJUpWSkZ8TwuOz+N0paR/7A9Qjkxc2IYy8U9avomAbn62+EvYmALinoSli6M6jSud6TVXYVnMYp6IW+LPL4zS7pmiOERLx5WiDi5FbgvkGEYskNZs6OHhklT9f/U2QoFR9Xj2bf4Q=
1877drchewy.healthcare.	3600	in	ns	dns1.p01.nsone.net.
