188bet.equipment.	3600	in	ns	irena.ns.cloudflare.com.
188bet.equipment.	3600	in	ns	rene.ns.cloudflare.com.
19795.equipment.	3600	in	ns	ns1.dnsip.com.
19795.equipment.	3600	in	ns	ns2.dnsip.com.
19901.equipment.	3600	in	ns	ns1.dnsip.com.
19901.equipment.	3600	in	ns	ns2.dnsip.com.
1daikin.equipment.	3600	in	ns	ns73.domaincontrol.com.
1daikin.equipment.	3600	in	ns	ns74.domaincontrol.com.
1evbmacimstipql1vpf3radnff89vhqg.equipment.	3600	in	nsec3	1 1 0 73 1G8J6S02E42I3E0JGK0LBN2JGMV5KBL1 NS DS RRSIG
1evbmacimstipql1vpf3radnff89vhqg.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. AhW1tjU/fWzAXpRHr8zYlnlIgWegML5oh/pNvIgh988sB7coHy1c70Jgd2rAJa6x6+QxgThsUtD2QtszKUrlW0/4TjTAzV1qgIhXtLr0lwS6hTkc97FBS8WJQK7Ma0pNVD+wdiQrYXCOwPr8kN4MnYP5f8e+22LHRvvLml+PnKI=
1g8j6s02e42i3e0jgk0lbn2jgmv5kbl1.equipment.	3600	in	nsec3	1 1 0 73 1H599AO42BJFS3TFS5RMGQL0PLARPI7H NS DS RRSIG
1g8j6s02e42i3e0jgk0lbn2jgmv5kbl1.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. ZC8NmRM7SqA2PldycyJUn/MoVGplLCEROmja4Ilv1P84RHerYS8/eB5DwZQ/ZA4nCF6+eq+IaM7WQ+hpqK0zfKrbFiji4Ml5zAhiWkad/AFPSB+AcU5RsRAYREsNbDmuM6xQbA3IKyvTHJWHOd6pXtLVRUvdkda486LpyA5qiHg=
1h599ao42bjfs3tfs5rmgql0plarpi7h.equipment.	3600	in	nsec3	1 1 0 73 1KGD9IIT3C29NPL9EV4RJMDFB5R1VJ5B NS DS RRSIG
1h599ao42bjfs3tfs5rmgql0plarpi7h.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. hDQWPf8xfFERkljHyc7Kaz3RnoYHTzBBnFe5FiDOw+mIkd4L1NdUxb+7JzElXHWxoSkKKG7uLkWNgTP2y9lmmpfCbe5OCf0OCAg47N91MGA4AnHSwU1+OfXW7Ccj0/Dw/FffnaC0zs9TuMpm+1Oo3D8wVviJ1s+ANMq3zTfqO8I=
1kgd9iit3c29npl9ev4rjmdfb5r1vj5b.equipment.	3600	in	nsec3	1 1 0 73 1SI6K26CND4C5FBE597J5M49QJH6OLSU NS DS RRSIG
1kgd9iit3c29npl9ev4rjmdfb5r1vj5b.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. gE0CvyoJTwOoxQfatX1GByuQobZNS0QJOwINYQ2QvUc7w4zM0W4hZpDxH80S986N1xNLaG9PRzXqODIl8brGcM9rgX/QjSppQcnvLW18VPO/aoty8ddQIG4QFCDkusNTHGNDpDVYxsRJ1HLpcJVg8nqlyRCRsoqnU4aEddXKyFU=
1si6k26cnd4c5fbe597j5m49qjh6olsu.equipment.	3600	in	nsec3	1 1 0 73 1TE09CHP29NGFDNROJDI46BC1NDVECTP NS DS RRSIG
