00805.pizza.	3600	in	ns	n1.xundns.com.
00805.pizza.	3600	in	ns	n2.xundns.com.
00807.pizza.	3600	in	ns	ns1.dnsip.com.
00807.pizza.	3600	in	ns	ns2.dnsip.com.
008188.pizza.	3600	in	ns	ns1.1233dns.com.
008188.pizza.	3600	in	ns	ns2.951dns.com.
00829.pizza.	3600	in	ns	naya.ns.cloudflare.com.
00829.pizza.	3600	in	ns	ridge.ns.cloudflare.com.
00838.pizza.	3600	in	ns	a.dnspod.com.
00838.pizza.	3600	in	ns	b.dnspod.com.
00838.pizza.	3600	in	ns	c.dnspod.com.
00856.pizza.	3600	in	ns	n1.xundns.com.
00856.pizza.	3600	in	ns	n2.xundns.com.
00865.pizza.	3600	in	ns	ns1.dnsip.com.
00865.pizza.	3600	in	ns	ns2.dnsip.com.
00871.pizza.	3600	in	ns	ns1.dyna-ns.net.
00871.pizza.	3600	in	ns	ns2.dyna-ns.net.
00877.pizza.	3600	in	ns	n1.xundns.com.
00877.pizza.	3600	in	ns	n2.xundns.com.
009.pizza.	3600	in	ns	ns1.dyna-ns.net.
009.pizza.	3600	in	ns	ns2.dyna-ns.net.
009011.pizza.	3600	in	ns	n1.xundns.com.
009011.pizza.	3600	in	ns	n2.xundns.com.
00903.pizza.	3600	in	ns	a.dnspod.com.
00903.pizza.	3600	in	ns	b.dnspod.com.
00903.pizza.	3600	in	ns	c.dnspod.com.
00924.pizza.	3600	in	ns	ns1.dnsip.com.
00924.pizza.	3600	in	ns	ns2.dnsip.com.
009262.pizza.	3600	in	ns	ns1.1233dns.com.
009262.pizza.	3600	in	ns	ns2.951dns.com.
00927.pizza.	3600	in	ns	ns1.1233dns.com.
00927.pizza.	3600	in	ns	ns2.951dns.com.
00930.pizza.	3600	in	ns	ns1.dnsip.com.
00930.pizza.	3600	in	ns	ns2.dnsip.com.
00931.pizza.	3600	in	ns	ns1.dnsip.com.
00931.pizza.	3600	in	ns	ns2.dnsip.com.
00945.pizza.	3600	in	ns	n1.xundns.com.
00945.pizza.	3600	in	ns	n2.xundns.com.
00950.pizza.	3600	in	ns	ns1.dnsip.com.
00950.pizza.	3600	in	ns	ns2.dnsip.com.
00952.pizza.	3600	in	ns	a.dnspod.com.
00952.pizza.	3600	in	ns	b.dnspod.com.
00952.pizza.	3600	in	ns	c.dnspod.com.
00962.pizza.	3600	in	ns	ns1.dnsip.com.
00962.pizza.	3600	in	ns	ns2.dnsip.com.
009903.pizza.	3600	in	ns	ns1.1233dns.com.
009903.pizza.	3600	in	ns	ns2.951dns.com.
00994.pizza.	3600	in	ns	ns1.1233dns.com.
00994.pizza.	3600	in	ns	ns2.951dns.com.
010.pizza.	3600	in	ns	ns1.dyna-ns.net.
010.pizza.	3600	in	ns	ns2.dyna-ns.net.
01006.pizza.	3600	in	ns	amy.ns.cloudflare.com.
01006.pizza.	3600	in	ns	mark.ns.cloudflare.com.
01010.pizza.	3600	in	ns	ns1.dyna-ns.net.
01010.pizza.	3600	in	ns	ns2.dyna-ns.net.
01026.pizza.	3600	in	ns	ns1.1233dns.com.
01026.pizza.	3600	in	ns	ns2.951dns.com.
01027.pizza.	3600	in	ns	ns1.dnsip.com.
01027.pizza.	3600	in	ns	ns2.dnsip.com.
010307.pizza.	3600	in	ns	ns1.1233dns.com.
010307.pizza.	3600	in	ns	ns2.951dns.com.
010344.pizza.	3600	in	ns	ns1.1233dns.com.
010344.pizza.	3600	in	ns	ns2.951dns.com.
01041.pizza.	3600	in	ns	n1.xundns.com.
01041.pizza.	3600	in	ns	n2.xundns.com.
010423.pizza.	3600	in	ns	ns1.1233dns.com.
010423.pizza.	3600	in	ns	ns2.951dns.com.
01045.pizza.	3600	in	ns	ns1.1233dns.com.
01045.pizza.	3600	in	ns	ns2.951dns.com.
01060.pizza.	3600	in	ns	ns1.dnsip.com.
01060.pizza.	3600	in	ns	ns2.dnsip.com.
01073.pizza.	3600	in	ns	ns1.dnsip.com.
01073.pizza.	3600	in	ns	ns2.dnsip.com.
01078.pizza.	3600	in	ns	dolly.ns.cloudflare.com.
01078.pizza.	3600	in	ns	oswald.ns.cloudflare.com.
01088.pizza.	3600	in	ns	ns1.dnsip.com.
01088.pizza.	3600	in	ns	ns2.dnsip.com.
01089.pizza.	3600	in	ns	a.dnspod.com.
01089.pizza.	3600	in	ns	b.dnspod.com.
01089.pizza.	3600	in	ns	c.dnspod.com.
011.pizza.	3600	in	ns	ns1.dyna-ns.net.
011.pizza.	3600	in	ns	ns2.dyna-ns.net.
011026.pizza.	3600	in	ns	ns1.1233dns.com.
011026.pizza.	3600	in	ns	ns2.951dns.com.
01105.pizza.	3600	in	ns	ns1.1233dns.com.
01105.pizza.	3600	in	ns	ns2.951dns.com.
01111.pizza.	3600	in	ns	ns1.dnsip.com.
01111.pizza.	3600	in	ns	ns2.dnsip.com.
011135.pizza.	3600	in	ns	n1.xundns.com.
011135.pizza.	3600	in	ns	n2.xundns.com.
01114.pizza.	3600	in	ns	ns1.dnsip.com.
01114.pizza.	3600	in	ns	ns2.dnsip.com.
011152.pizza.	3600	in	ns	n1.xundns.com.
011152.pizza.	3600	in	ns	n2.xundns.com.
01120.pizza.	3600	in	ns	ns1.dnsip.com.
01120.pizza.	3600	in	ns	ns2.dnsip.com.
01121.pizza.	3600	in	ns	n1.xundns.com.
01121.pizza.	3600	in	ns	n2.xundns.com.
011313.pizza.	3600	in	ns	ns1.1233dns.com.
