00986.lgbt.	3600	in	ns	n1.xundns.com.
00986.lgbt.	3600	in	ns	n2.xundns.com.
00994.lgbt.	3600	in	ns	ns1.dnsip.com.
00994.lgbt.	3600	in	ns	ns2.dnsip.com.
01010.lgbt.	3600	in	ns	ns1.dnsip.com.
01010.lgbt.	3600	in	ns	ns2.dnsip.com.
01015.lgbt.	3600	in	ns	n1.xundns.com.
01015.lgbt.	3600	in	ns	n2.xundns.com.
010159.lgbt.	3600	in	ns	n1.xundns.com.
010159.lgbt.	3600	in	ns	n2.xundns.com.
01018.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01018.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01053.lgbt.	3600	in	ns	n1.xundns.com.
01053.lgbt.	3600	in	ns	n2.xundns.com.
01054.lgbt.	3600	in	ns	n1.xundns.com.
01054.lgbt.	3600	in	ns	n2.xundns.com.
01061.lgbt.	3600	in	ns	n1.xundns.com.
01061.lgbt.	3600	in	ns	n2.xundns.com.
01083.lgbt.	3600	in	ns	ns1.dnsip.com.
01083.lgbt.	3600	in	ns	ns2.dnsip.com.
01102.lgbt.	3600	in	ns	ns1.dnsip.com.
01102.lgbt.	3600	in	ns	ns2.dnsip.com.
01104.lgbt.	3600	in	ns	ns1.dns.com.
01104.lgbt.	3600	in	ns	ns2.dnsip.com.
01111.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01111.lgbt.	3600	in	ns	ns2.dyna-ns.net.
011135.lgbt.	3600	in	ns	n1.xundns.com.
011135.lgbt.	3600	in	ns	n2.xundns.com.
011152.lgbt.	3600	in	ns	n1.xundns.com.
011152.lgbt.	3600	in	ns	n2.xundns.com.
011244.lgbt.	3600	in	ns	n1.xundns.com.
011244.lgbt.	3600	in	ns	n2.xundns.com.
01130.lgbt.	3600	in	ns	n1.xundns.com.
01130.lgbt.	3600	in	ns	n2.xundns.com.
011344.lgbt.	3600	in	ns	n1.xundns.com.
011344.lgbt.	3600	in	ns	n2.xundns.com.
011544.lgbt.	3600	in	ns	n1.xundns.com.
011544.lgbt.	3600	in	ns	n2.xundns.com.
01161.lgbt.	3600	in	ns	n1.xundns.com.
01161.lgbt.	3600	in	ns	n2.xundns.com.
011644.lgbt.	3600	in	ns	n1.xundns.com.
011644.lgbt.	3600	in	ns	n2.xundns.com.
01176.lgbt.	3600	in	ns	n1.xundns.com.
01176.lgbt.	3600	in	ns	n2.xundns.com.
01200.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01200.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01234.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01234.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01240.lgbt.	3600	in	ns	n1.xundns.com.
01240.lgbt.	3600	in	ns	n2.xundns.com.
01241.lgbt.	3600	in	ns	ns1.dnsip.com.
01241.lgbt.	3600	in	ns	ns2.dnsip.com.
01245.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01245.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01247.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01247.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01250.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01250.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01251.lgbt.	3600	in	ns	a.dnspod.com.
01251.lgbt.	3600	in	ns	b.dnspod.com.
01251.lgbt.	3600	in	ns	c.dnspod.com.
01272.lgbt.	3600	in	ns	n1.xundns.com.
01272.lgbt.	3600	in	ns	n2.xundns.com.
01284.lgbt.	3600	in	ns	n1.xundns.com.
01284.lgbt.	3600	in	ns	n2.xundns.com.
01285.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01285.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01297.lgbt.	3600	in	ns	n1.xundns.com.
01297.lgbt.	3600	in	ns	n2.xundns.com.
01301.lgbt.	3600	in	ns	ns1.dnsip.com.
01301.lgbt.	3600	in	ns	ns2.dnsip.com.
01304.lgbt.	3600	in	ns	ns1.dns.com.
01304.lgbt.	3600	in	ns	ns2.dns.com.
01310.lgbt.	3600	in	ns	n1.xundns.com.
01310.lgbt.	3600	in	ns	n2.xundns.com.
013214.lgbt.	3600	in	ns	ns1.1233dns.com.
013214.lgbt.	3600	in	ns	ns2.951dns.com.
01341.lgbt.	3600	in	ns	grannbo.ns.cloudflare.com.
01341.lgbt.	3600	in	ns	norm.ns.cloudflare.com.
01356.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01356.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01360.lgbt.	3600	in	ns	ns1.dnsip.com.
01360.lgbt.	3600	in	ns	ns2.dnsip.com.
01363.lgbt.	3600	in	ns	n1.xundns.com.
01363.lgbt.	3600	in	ns	n2.xundns.com.
01376.lgbt.	3600	in	ns	n1.xundns.com.
01376.lgbt.	3600	in	ns	n2.xundns.com.
01381.lgbt.	3600	in	ns	n1.xundns.com.
01381.lgbt.	3600	in	ns	n2.xundns.com.
01394.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01394.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01428.lgbt.	3600	in	ns	n1.xundns.com.
01428.lgbt.	3600	in	ns	n2.xundns.com.
01432.lgbt.	3600	in	ns	ns1.dnsip.com.
01432.lgbt.	3600	in	ns	ns2.dnsip.com.
01454.lgbt.	3600	in	ns	ns1.dnsip.com.
01454.lgbt.	3600	in	ns	ns2.dnsip.com.
01465.lgbt.	3600	in	ns	ns1.dns.com.
01465.lgbt.	3600	in	ns	ns2.dns.com.
01470.lgbt.	3600	in	ns	ns1.dnsip.com.
01470.lgbt.	3600	in	ns	ns2.dnsip.com.
01472.lgbt.	3600	in	ns	ns1.dnsip.com.
01472.lgbt.	3600	in	ns	ns2.dnsip.com.
01504.lgbt.	3600	in	ns	ns1.dnsip.com.
01504.lgbt.	3600	in	ns	ns2.dnsip.com.
01513.lgbt.	3600	in	ns	grannbo.ns.cloudflare.com.
01513.lgbt.	3600	in	ns	norm.ns.cloudflare.com.
01515.lgbt.	3600	in	ns	n1.xundns.com.
01515.lgbt.	3600	in	ns	n2.xundns.com.
01540.lgbt.	3600	in	ns	ns1.dnsip.com.
01540.lgbt.	3600	in	ns	ns2.dnsip.com.
01543.lgbt.	3600	in	ns	grannbo.ns.cloudflare.com.
01543.lgbt.	3600	in	ns	norm.ns.cloudflare.com.
01549.lgbt.	3600	in	ns	ns1.dnsip.com.
01549.lgbt.	3600	in	ns	ns2.dnsip.com.
01559.lgbt.	3600	in	ns	ns1.dyna-ns.net.
01559.lgbt.	3600	in	ns	ns2.dyna-ns.net.
01568.lgbt.	3600	in	ns	n1.xundns.com.
01568.lgbt.	3600	in	ns	n2.xundns.com.
01570.lgbt.	3600	in	ns	ns1.dnsip.com.
01570.lgbt.	3600	in	ns	ns2.dnsip.com.
01578.lgbt.	3600	in	ns	ns1.dns.com.
01578.lgbt.	3600	in	ns	ns2.dns.com.
