0on4p7d5tcuomko9agd4f9cm5ots2lqv.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. pO9Ajh2WRVDXDshjMymk2TSwVBzIIUK6X88RO2HG0lF8YY74qs+RxHS32JQlSfT5avpTRtnzpPP78CogqMCvcgJMyT/fPmiB4XhKHVUbbG2YxarKDv8M8MUN9kcE52oDbpaLPIuAUwRwroQCNEp9Fq0i/EsWEv0y0rAgdJw+JHQ=
0p9qm8itoakn5pabgis2258e8lekga5p.fish.	3600	in	nsec3	1 1 0 73 0QV6JV1ACK8E3AS0C46SSA4T9RPFM5LA NS DS RRSIG
0p9qm8itoakn5pabgis2258e8lekga5p.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. OlkJUEl60PuChXgPpuSiahv7X+N8qN8xRdd4pygoP8dbOLwRD3QGJZsQ/Fbx+/7/y8uX9XqoAgAyDRdNNJ6QYWGKZeLO8UZnTNqUCgIeDNQGsKRjXb6bfgIbVKDoYPEtOYui3/gamtAjoumIQXIMNKzg2bsaeJhSJLUVP25bnIU=
0qv6jv1ack8e3as0c46ssa4t9rpfm5la.fish.	3600	in	nsec3	1 1 0 73 106ER1QFCTABCMBIRN86VB1B9CCE12NS NS DS RRSIG
0qv6jv1ack8e3as0c46ssa4t9rpfm5la.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. PCS2hrlaaYTc3w0HcThjTFlAWywK1UFWAjOachjvgTtpRtYpwH7UMiUFJBcSa/V2q3SOzA74db0TwuxcyMfjLGhFkc0cGXVTaWGJJDu5HrY40tV74auKaiozAOzItFCDIFPBSMm/NbK2ZZuvgoxWa5+TS2/eFvapR3fnWWZmgd0=
1.fish.	3600	in	ns	ns1.huaweicloud-dns.net.
1.fish.	3600	in	ns	ns1.huaweicloud-dns.org.
100p.fish.	3600	in	ns	dns1.registrar-servers.com.
100p.fish.	3600	in	ns	dns2.registrar-servers.com.
106er1qfctabcmbirn86vb1b9cce12ns.fish.	3600	in	nsec3	1 1 0 73 107QFJI1MG6BIQDVNQTKQ9U3OHUAD3GA NS DS RRSIG
106er1qfctabcmbirn86vb1b9cce12ns.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. H2j/zxT337VemlOj6ctQbi5NvnS3bQ3D9Xgt9scdioi7H5CQn2wdvpjht6806kQm1kzmLFcsIDuipICmNBRgQk1V0uzdWAm7x1h2uDIQE6/9GZbOVk42WfueqM1h2YYEfpJhcZNFDmg4zX5WMXO3oiQmBgQY7PV2BC2GtDES63I=
107qfji1mg6biqdvnqtkq9u3ohuad3ga.fish.	3600	in	nsec3	1 1 0 73 10P0OE5NBA4MEM87C9206V37442JI8UQ NS DS RRSIG
107qfji1mg6biqdvnqtkq9u3ohuad3ga.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. bsTvfeAkyL+Y6bZ0e5YVL1Roc+ZWwUFmEhXvih5Nt9gJdFGtDsUkaFkWvSFIPdryh13mok8G7BjkgC3C8MUFXKxqhvOg9UmYJ55zFt3SfUHZH6AN2mF4Q4vuQtuokxe0k95crOAMd5P/A/tGitrLsFQj2UJc79hsNs+h6t1sn/8=
10p0oe5nba4mem87c9206v37442ji8uq.fish.	3600	in	nsec3	1 1 0 73 19A2UE3OFOSU6FL784E4BIN804MJAK50 NS DS RRSIG
10p0oe5nba4mem87c9206v37442ji8uq.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. ACWMFl1KMXbKsm7nqrP/SdEeNPozcJ4yekw2Erlk0R0kezk0HefBswHo66O1gxFxZhewPMjrOmcPjOukE410CiYkkww0DCgDj41KMV+5Tekq10oHotRWlTqSfckqFeZRYFJ3E+t3jjpYp1xl1oCh2aCMbAniB/pmm7HThCQt3PI=
11bet.fish.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.fish.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.fish.	3600	in	ns	maceio.ns.porkbun.com.
11bet.fish.	3600	in	ns	salvador.ns.porkbun.com.
123.fish.	3600	in	ds	4620 13 2 4E7AFE3D40A79A504B38BAEB7316E1E8DA539A93CD558D2AA47625FCCD9EDCFF
123.fish.	3600	in	ns	launch1.spaceship.net.
123.fish.	3600	in	ns	launch2.spaceship.net.
123.fish.	3600	in	rrsig	DS 8 2 3600 20260122153534 20260101143534 61224 fish. molFBX3uV0ghwdq7FPQUMdei+ISG9LC3NkYBC66bWoHbmjql0XkySdwVtVxn+6YRJ+XCDw2oq6rZQRP548buW2TuQSoqzsbkAYJdKOMvlCsp2ANazb9/5qPC8IkdOeg/JLE9kjdhovrUqjMzclMa8YrIwvNt+k/1udmNM9KQY1s=
123b.fish.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.fish.	3600	in	ns	sandy.ns.cloudflare.com.
123win.fish.	3600	in	ns	meera.ns.cloudflare.com.
123win.fish.	3600	in	ns	theo.ns.cloudflare.com.
128603.fish.	3600	in	ns	curt.ns.cloudflare.com.
128603.fish.	3600	in	ns	piper.ns.cloudflare.com.
12bet.fish.	3600	in	ns	ns1.dyna-ns.net.
12bet.fish.	3600	in	ns	ns2.dyna-ns.net.
1337.fish.	3600	in	ns	ns3.stratoserver.net.
1337.fish.	3600	in	ns	ns4.stratoserver.net.
14.fish.	3600	in	ns	ns09.domaincontrol.com.
14.fish.	3600	in	ns	ns10.domaincontrol.com.
153.fish.	3600	in	ns	ns1hwy.name.com.
153.fish.	3600	in	ns	ns2clp.name.com.
153.fish.	3600	in	ns	ns3gxy.name.com.
153.fish.	3600	in	ns	ns4fmx.name.com.
158.fish.	3600	in	ns	dns1.cafe24.co.kr.
158.fish.	3600	in	ns	dns1.cafe24.com.
158.fish.	3600	in	ns	dns2.cafe24.co.kr.
158.fish.	3600	in	ns	dns2.cafe24.com.
1800glo.fish.	3600	in	ns	ns11.constellix.com.
1800glo.fish.	3600	in	ns	ns21.constellix.com.
1800glo.fish.	3600	in	ns	ns31.constellix.com.
1800glo.fish.	3600	in	ns	ns41.constellix.net.
1800glo.fish.	3600	in	ns	ns51.constellix.net.
1800glo.fish.	3600	in	ns	ns61.constellix.net.
182.fish.	3600	in	ns	dns1.yandex.net.
182.fish.	3600	in	ns	dns2.yandex.net.
187.fish.	3600	in	ns	ns43.domaincontrol.com.
187.fish.	3600	in	ns	ns44.domaincontrol.com.
188bet.fish.	3600	in	ns	garrett.ns.cloudflare.com.
188bet.fish.	3600	in	ns	lisa.ns.cloudflare.com.
19a2ue3ofosu6fl784e4bin804mjak50.fish.	3600	in	nsec3	1 1 0 73 19H1LR4AERBL65IS0U6GRPRDHSD34J8I NS DS RRSIG
19a2ue3ofosu6fl784e4bin804mjak50.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. Kq25c95hM0L6kVXxbj5UrjlL6FXMtLK8jnVkViT8xOojfTKjxQu8G/HEp0CZkAgFiudlGGxjRAGvcgZu19+vsLRmeynsKrBLf1UYdLDk+4chcgQe34ZGCF9uIoqB9IBIr99Jz+J8ZMHaBnubtpyN/m/s+xYrfydXlrQ3Q+GU4wY=
19h1lr4aerbl65is0u6grprdhsd34j8i.fish.	3600	in	nsec3	1 1 0 73 1BN0VIR01ACDAM1DT2QHC9DPAAFLHFQ1 NS DS RRSIG
19h1lr4aerbl65is0u6grprdhsd34j8i.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. CHp62GTR/M8UZITXbyRohKPrTJEdrpqd4ZlOw0P4U9kWWkr6CyHuvHMYdpNOjVh4sQuuFgP/f7zc3nBbltoMebodb01BDliW7kOZIWZV+BLk7yCOiwTvT2DhF0gZ5oXfQlU2rj9UEec/FBJPpUYsQncJ6Puk9NtYq26qudfEcFo=
1bn0vir01acdam1dt2qhc9dpaaflhfq1.fish.	3600	in	nsec3	1 1 0 73 1CAHF9MBI2E4OENJ9ORAC5KONUVDDOF6 NS DS RRSIG
1bn0vir01acdam1dt2qhc9dpaaflhfq1.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. mKkMQ9kLSsGZhMz4od2g6mbaY7lW5zpfuhdVfLUNn4zKj8siy75GiuLCQFVGtxc+W+0Rp++IDfL3Ty3QPPCKstqEcKmS5XrQmxDn7grgayMmyzQfVXTm8+T3cce+bTLSZTHiPma1GBKh+0NqSYU+Z7CukG2Huqk2jPulPJyTalU=
1cabura.fish.	3600	in	ns	dns1.registrar-servers.com.
1cabura.fish.	3600	in	ns	dns2.registrar-servers.com.
1cahf9mbi2e4oenj9orac5konuvddof6.fish.	3600	in	nsec3	1 1 0 73 1E35BF9DBE22KRR0T4C824HE45HCNQ7U NS DS RRSIG
1cahf9mbi2e4oenj9orac5konuvddof6.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. jWUnRxsmwtPXHcgmQjgu6fgBADvDUnOSfE169aaiYT2p7S2M7tucJA1EpCH19ITVCltlOjwnxDeoEf2WaxtxNmFAXs5mOGvz6TNhlkDdW2ibaJwlj4y1z9BXPIZOOdvOy6Ju5HnXehXORfWehPfDUQvkjl8mTF9Gw+uJXz5bO9Y=
1degree.fish.	3600	in	ns	ns19.domaincontrol.com.
1degree.fish.	3600	in	ns	ns20.domaincontrol.com.
