4aatmjaqn2r859olk0qh2icmnc14o27v.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. nZMr4Th5d/nr78cv7hrZRTfKNT/CD1b3PUPrTqDmWMCm5pX08DTy+iqJ6PkURHAKELutIlzmB4bHP+J50R2QMFXm5yhgiy70h/MxWBR4zL7WDO6riNkel+8zwVz3LyA2/acgXAJEeN2tcq+bpSUmT4UgMrD0um9cL+YddAEC82U=
4k.surgery.	3600	in	ns	ns73.domaincontrol.com.
4k.surgery.	3600	in	ns	ns74.domaincontrol.com.
5ak03i5o4jofn35s38oa17cvfa4vva0m.surgery.	3600	in	nsec3	1 1 0 73 5L87FCOP8CPMJHH6KLVJ50VR4TEQNN3G NS DS RRSIG
5ak03i5o4jofn35s38oa17cvfa4vva0m.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. GfOd4d+WK1b/txzhekRGTAVMC3w9alygZheYOLXssD9Aa9Ls0D/qZHDGl/T0Fir2ZPPl6ZgVGgClEgowdAoRaVoSGMxEuxA73OPk79fxMir6Gi4a9/bLmzc+91YJrfgwA5TSjvo1P7Z5I2u9lSEPJHutnaye10Yxz6gw0wxr1EE=
5l87fcop8cpmjhh6klvj50vr4teqnn3g.surgery.	3600	in	nsec3	1 1 0 73 68J37KQNEA0OK9MDV4MO1LAVSJ2MEAFM NS DS RRSIG
5l87fcop8cpmjhh6klvj50vr4teqnn3g.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. wTBGwzJG4WKJq4JiOYjFq7ACHtKkPTiX8Y5UR1+lFtfUFLPm//y5dkUGoAkHEWfUsKbTL8PCot7n04Xm2x8gbBiZY5X6lJR3JEcRe0qsTp10MFLchkrzA0GxDEFEUlk9HEzEiO5fKvZAGf0gfyNTbMwNDHbRNkivIA3BfByQRmI=
68j37kqnea0ok9mdv4mo1lavsj2meafm.surgery.	3600	in	nsec3	1 1 0 73 6D89R9AFUITLJHEH456SLPMDV38SDN68 NS DS RRSIG
68j37kqnea0ok9mdv4mo1lavsj2meafm.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. lEr0XHd1wYDBiR6AUEsK8QCu5Xzg+Vurp79gEquZUATxZO/2osy6ovYfV0WmTXgqDCoGI5liOxXHT1//ezyH1kF0thz6kpmUKFKQ3zCKV0LT+oyhFcPS/hTqrACrkQbS4SUQ5tnE+Ow0ssVBshKAwlOcoGYik1IfC+f4GiBEd7I=
6d89r9afuitljheh456slpmdv38sdn68.surgery.	3600	in	nsec3	1 1 0 73 6J5RRK5MGT3SGL3RCKDH2PBJBT0A27S4 NS DS RRSIG
6d89r9afuitljheh456slpmdv38sdn68.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. y0BOTwRdC1K3sFkefsM5hVUCNYHSPltTw3daWwlXG9mBrb7tNrxkLzQSX1X1uqP+kEzUdR01o+s3FS+bEd0OZaMhaY8/r+udPz+MemrPRxGT7TqHZXlaQM77OUxhfcAHwS4nzC83cZJKdx5HG2DMq15laUi3BVW3+jlveLbECGE=
6j5rrk5mgt3sgl3rckdh2pbjbt0a27s4.surgery.	3600	in	nsec3	1 1 0 73 71LQ8BRG75F6G0J507AEQO3R1M7UVEN8 NS DS RRSIG
6j5rrk5mgt3sgl3rckdh2pbjbt0a27s4.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. S1CeMeVy9kJoNTBDQPubiPy3Wer1NEP4zxSOMR+13udWJf/5EROlnfF0FQUgjFEAoWwVVBjgG/3sCJM+Ymi9ElkyvSawpl7kmjZY6GOJ5tGltePWLfmr6a0QNZDt9pET9SHQDvS3RXx8MnMHHOzEz3EeiwEtYmVDg/TqYcbbUk4=
716.surgery.	3600	in	ns	ns25.domaincontrol.com.
716.surgery.	3600	in	ns	ns26.domaincontrol.com.
71lq8brg75f6g0j507aeqo3r1m7uven8.surgery.	3600	in	nsec3	1 1 0 73 7EIEP84BPM8CJ3JVS0H93GS2IT3SM20N NS DS RRSIG
71lq8brg75f6g0j507aeqo3r1m7uven8.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. v0awhw4Mqp7ZodnAOLBIPQ/GK7WIcazBkvmTClMz/dL5d1poRs9aoUzTH2IKQ0O9cRmPytBtyO36ZisU+OVnhEH1NOzie8aipA2mX/Fb8BXJXa/rFkP5+jhQA+vb8cLAueh4rKAuBPwa3efouFRDd2fJe7AaIi/YZFCNaCmdnQE=
789club.surgery.	3600	in	ns	ns1.dyna-ns.net.
789club.surgery.	3600	in	ns	ns2.dyna-ns.net.
7eiep84bpm8cj3jvs0h93gs2it3sm20n.surgery.	3600	in	nsec3	1 1 0 73 82UAIP4KSI58J24MO90GIDK79GA1U0MM NS DS RRSIG
