scot.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601060025 7200 7200 604800 900
01v4a63ukaak4h8pl27gtdhqj44pj2nv.scot.	43200	in	nsec3	1 0 0 - 0214S17K42TJ6GGHK97T3H84SR80NKCA NS
01v4a63ukaak4h8pl27gtdhqj44pj2nv.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. E8UMuHUISPXYYCGaTQCqfdaEIck7DZ01FkH4+WElhN4pIJGdTM2nQwUbAWi8yzns8MXh54XMZ1+ZvNy3KEZu+ZkWRgtYnLz4IfMRszW0ZlNUK86KiIjw7WvbROi7ja713rQhRrxcosewUJiIk8Z8pWq+yuq+btOCfwQz+6VGen8ZHh736HB2jf4AMxTsygWj7P9tYcGtLUQTsxXBA9/b8w==
0214s17k42tj6gghk97t3h84sr80nkca.scot.	43200	in	nsec3	1 0 0 - 022085E2CB3B9EQDIEJT65UKOKEU1LP8 NS
0214s17k42tj6gghk97t3h84sr80nkca.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. UW5scM7Nz8c/XNAtq4IqPlu0qsXdb+E2GbdG/7u1fXoEc4ZBURFt2d7FMobts66xvFCd0viDleo/errNu/vSMXMgnNriQPPAWhSSPyRdYC332ssPEHAIFexBYn83hyiD7Xg71zZca2CD/uqPfy1bLF9fUcP+sPLyBgBFqqA4nZr9vvcx42iIRvKV1NtupLGSJiL1kGCjyfUK3cYRAVh31Q==
022085e2cb3b9eqdiejt65ukokeu1lp8.scot.	43200	in	nsec3	1 0 0 - 0256FTUOQ852S6FT3SB991F2VNR2AJPE NS
022085e2cb3b9eqdiejt65ukokeu1lp8.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. qI192ez0x/kYbDfg2kjz2JwGGvYR302LmSSEIlGeO4Rg6539/MGKSQEoCLuBONBA086vGkHH32drAndd2ZR3Ewod7fp5dnZiYj5UqBY0Jv/euhXt+iE5xitXgjSyeiGzQJCKRMPsRFRSCgb+mfrVx25akI2rXrxdXrQtssZJWnbTud4RN/qYjfK63vWyovV8/Sl6QjMdWf1K2kvtBTOW/g==
0256ftuoq852s6ft3sb991f2vnr2ajpe.scot.	43200	in	nsec3	1 0 0 - 0285VAM1NJS5S4N3694LP9MFBBT58VMD NS
0256ftuoq852s6ft3sb991f2vnr2ajpe.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. AbvPOLuv57KxpCluWtX78NmTP9hkX5FR7Fo8ERnxXBTuirWT1zSXXp08R5PWbLWRdtgMpwnf9DqkrsflG1mmY6dJx0DhmdJwzG3VsAHsjGsKjfPrpUs+adYRlx5TGdR8RuBDJ9vm53yax5iAIZq7EZal23bfRg2yjaT3u/hluljeWly1U0U7WnSbD6uRP+RMFETJdBA0TMMyqDbd+CKI9g==
0285vam1njs5s4n3694lp9mfbbt58vmd.scot.	43200	in	nsec3	1 0 0 - 02DMOUU342NKBF38LPVANK4PNNRB6V57 NS
0285vam1njs5s4n3694lp9mfbbt58vmd.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. NwPvL0GU9P1rReIHQ++v+Z9WN+HnvbSzSfbX0R0VhpP8sbLP9ZoaUX/R5F1+64LjylkpW+0xSNqZXGw7q2VOYZazgr2l/99b5UdO76K364/qrcFdNedfwmSypLNBgPUDn7JoY7teaU0zf5/8htFyzcgtntts98zVvrJCAvSAL9EljIvgfDMVMDjUmiHRBSsjfBw7bK3UE/3Ns2IU0pGmyw==
02dmouu342nkbf38lpvank4pnnrb6v57.scot.	43200	in	nsec3	1 0 0 - 02KTDQO3J0D12ENIFMVSL19OCDOH699K NS
